,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.026686852998473936,,,,,,,,,,0.007449435600997186,,-0.02454169532081507,
BMP1,0.11405936436880916,-0.025472791688268593,0.010602092225796113,-0.049871046195395,-0.0016912980640163414,0.009229944678696152,0.02761574372413139,-0.02936485096387792,-0.08031589930397647,-0.013660945372941062,0.0787443144933207,0.07632165064355177,0.017011835806878237,0.03242335166233012,0.02632289969809872,0.020071049976101738,0.01845771772241835,0.027311388358949078,0.060339153338235446,0.03799102678191292
NDP,0.07739770475436793,-0.023737221279079835,-0.02797790495500065,-0.010792491793181582,0.028641353634034916,0.007000155430183125,0.05941008891513956,0.020223060533639696,-0.004892695018294065,-0.05732342663391491,0.018108765523624632,-0.0029016286482467226,0.06231949626239123,0.08672528152455201,0.04719838226085622,0.06264453123445124,0.04047138197421348,-0.058711170651602064,0.018634753596320074,0.03142990020987299
TNFSF18,0.007523477599571057,-0.03213739349000449,0.009418005057164206,,,-0.0188053756055399,-0.020035995204847643,-0.018249271935700733,,,,0.036852565917282684,,0.16892291737253456,,,-0.020115880884302318,,0.018249494494697566,-0.0002455086630150526
RTN4,0.023255681193195713,0.07961775600738219,-0.027920422583792015,-0.01832936245269496,0.04064446489821854,0.04103027136557085,-0.017069708275512952,-0.01790204983383949,-0.0008981530358781381,0.024300197034899593,-0.017226453351975986,-0.00923309844866322,0.001001488192761622,0.03079348165540197,-0.03153568029678113,-0.0816877548717352,-0.12493450066014149,0.03769204251613341,-0.0031523897041604377,-0.040918475867032386
HEBP1,0.06717283506822348,-0.00883521257655745,-0.024957011685156835,0.04119997161600148,0.021909092409145837,-0.0031163915418164806,0.015347246038347058,0.009798956335473865,0.049393550993505356,0.02148749650914918,-0.010669562504636224,0.012290659631727409,0.03481818696991049,-0.06775852811510052,0.0037950317632624337,0.06826188265734019,0.02324829306395689,0.03986988580090311,0.03368391284086586,0.023073716991787445
WNT7B,-0.04837046795698023,-0.003977853734292009,-0.019936822430454935,0.026047518251835683,0.001101737811273525,-0.005514356720764419,0.08221749921627773,0.01439078970963878,0.004695788753031353,,0.0263343182349993,0.14636483070317033,0.06699716143261307,,0.03922230348931413,0.070614060180392,0.016853768329444744,0.032210749254946124,0.05404119202484455,0.040966349532427226
PTMA,-0.06742831012777148,-0.039800605538545954,-0.01570408702475453,0.03730168446102038,0.07227258772062531,-0.06397037250774035,-0.005292473986546685,0.00939378457081475,-0.011867788471690779,-0.01414299308109651,0.06225109626577602,-0.05921615110175989,0.020190487298226995,-0.012048531377231718,-0.035110741443725633,-0.09210681309150263,-0.06996546343156704,-0.0019177734299238797,0.019431559426371137,-0.021700189439023892
FASLG,,,,,,,,,,,,,,,,,,,0.136636997731221,
CEACAM1,,0.013441493644653522,-0.015300312096249729,0.022567672665052337,-0.01389737099126239,,0.032655891308513596,-0.018985866840648395,,,,,-0.06312123984627581,-0.03834496638981199,0.021794862334686745,0.05309548218138356,-0.028904420704353007,-0.01716392407547261,-0.0011464096987557472,
