,UKF304,UKF334,ZH1019inf,ZH8812bulk,ZH881inf
IGFL3,,,,-0.017543371462755874,
BMP1,0.09695326174795588,0.04019454278220326,-0.014046805641955276,0.016277673427210676,0.02872808868240339
NDP,0.05052847685415848,0.07381414444962439,-0.09266949116291422,0.052140867633827186,0.06469719926323776
TNFSF18,,,,-0.018092169330849093,-0.0038267643910441544
IL36G,,-0.018234103613661484,,,
RTN4,-0.15195182031713267,0.01706432101467793,0.12125292275370218,-0.02144073086382554,-0.016030218523496172
HEBP1,0.09514128377368403,0.02260703299971387,-0.0268443591837134,0.0028426473880223332,0.09090414250606851
WNT7B,,0.0315541995640789,-0.03362338443561701,-0.022934794070793692,-0.033140102718546595
PTMA,0.13203800834568988,0.007224099799247075,0.04575613587297723,0.06159589430899055,0.0716130875246797
CEACAM1,,,-0.030153989719318524,-0.025996558480386543,
PDAP1,-0.007790112060041384,-0.02530389901311817,-0.08352993534172803,-0.006271118381706941,-0.020969172077511297
QDPR,0.14216589950706263,-0.010620046953797695,0.13113838432341782,0.027087250687766427,0.048384594347587156
POMC,0.14483843542773941,0.007892926792463865,0.06874273549373183,-0.04642986550728951,
CCL18,0.06478060833897151,,-0.02137967449014602,,
CCL17,,0.023770904118914866,,0.15387275252187396,
VEGFD,-0.03418304746333314,-0.017852220774913677,,-0.024394928549248705,
TNFSF13,,,,-0.024803849983349276,
WNT5A,0.009867706046846178,-0.001549384175667205,0.010793374771679222,-0.035404464419162084,0.027794696645485416
CXCL8,-0.004122229281589736,-0.03928562417828635,-0.03764228302497907,0.06349053835212075,-0.026206489600387652
GRN,0.12012344694374828,0.0052932225158606305,0.011187672880103867,0.022669515478323972,-0.0018667548497194398
MIA,,-0.02444943447496747,-0.06782011707883039,0.0304882126259577,
COL4A4,,0.032884594574761616,-0.02703058870478221,0.023872230112811036,
TAC1,-0.10573702551581964,0.04688273635239259,,,-0.025991910104161745
RARRES2,0.005388042583361348,0.02034506046384324,-0.018373213123557285,-0.01559167058386151,0.2000876484030841
FGF7,-0.015914085494343495,0.02298505197773316,0.02533726243403474,-0.020399949226062242,0.05364971537997301
HBEGF,0.07750088612670393,0.013813221874065976,-0.029423652983092245,0.11949752806076464,0.09066365924048314
CSF3,,,,,-0.029785419160967393
PI3,,,,-0.019652641042480046,
PCSK1N,-0.13763167184378383,0.04187031729563641,0.0005545431788360998,0.04646265662307058,-0.12378385704307265
NTS,-0.013006618181958576,,,,
SFRP1,0.027007573194482753,0.052792127653874345,-0.05342451900142656,-0.0861009297153785,0.03502291679068272
MICA,-0.016573944232750028,0.02789097957116673,-0.011628067731099274,-0.015216815437881746,-0.02968217330154416
TG,,0.02905482933343779,0.00791747808745855,,
ADA,0.03234034521229059,0.054986276305762076,-0.0341902214407837,0.013397963273966515,0.13314796475343826
LAMC3,0.01705231244106089,0.007838264700609705,-0.0020022793444480153,0.03881752901610334,0.07714289911127653
NGF,-0.03077574350187659,,-0.03177154610150612,,
TNFSF15,,,0.10769127103404692,,
HMGB1,-0.0070633362740325665,-0.029891681266800776,0.02259374889265757,-0.014397782734466945,0.02016638052394566
ITGB3BP,0.009308609754773016,0.03312334790472381,0.01806610394463585,-0.04859523428203377,0.19181481949936607
AANAT,0.00727796934842103,0.008818486283511002,-0.022267827177682595,-0.028610971310165358,
RELN,0.002675216529723728,0.01837792133782596,,0.0387834927207778,0.042354169392791935
IL15,0.040696729279591635,0.04307492949939502,-0.037642381406426645,-0.007893720655212403,-0.03150260730773207
BSG,-0.040235480122629765,0.0048216719872624285,-0.022343852386200413,0.02353127882210497,0.05937919681628108
ADAMTS3,-0.046460763612421054,0.055167814342339416,-0.026663456086498546,0.0059219405218805515,-0.03621878340485019
CD34,-0.04506892007323148,-0.00954336962634765,0.017258304245950543,0.012079445752771126,0.06381600957578108
PLAT,-0.06193632137773994,-0.0017732220623457922,-0.004475886440123479,0.10861237059624398,0.00041328175041643585
LTA,,-0.020723280551121347,,,
CKLF,0.04514948362707724,0.021802147260860744,-0.022400307274651955,-0.011851009814616545,0.025529851291746095
CD24,0.04430954188722711,-0.016112870264590306,-0.12363988313369705,0.007858373317333193,-0.0018716562474807156
HSP90AA1,-0.13760076369303326,0.013032155953027869,0.07788296177895813,0.02291431567434214,0.05622255525947282
BMP4,-0.04614991914577122,-0.01765837542168097,-0.02507861958484279,0.0533944755003904,
SCGB3A1,0.017903292608711315,-0.014460431114648861,,,
IGFBP4,0.1203880273594938,0.0068011174124017765,0.004538742767423744,0.07370715237403094,0.2538024937071028
RSPO4,,-0.017197641584525025,,,
LEFTY2,0.021217102325920945,-0.025582658410339843,-0.028456395938445376,0.066834916957623,-0.04877723595623522
ANGPTL2,0.05793894616070609,-0.007954426507854804,-0.042818219749715725,0.03566318087627299,0.10759702325114243
LRIG2,0.015466853162881718,-0.025815593278707673,0.02777605654066109,-0.07442349151034978,-0.02470258295981065
ICOSLG,0.029354373275702048,0.050485257256010024,0.06408738053095049,0.03467135557186647,0.040141946669284466
WIF1,-0.03910107318258031,0.0402776146173979,,,-0.0320566325862216
NPPC,-0.07640744245496459,-0.011578232082658043,-0.02666340487773448,-0.027143467710245377,0.04157605782043572
LYZ,0.0627289635191862,-0.03897154006912392,-0.02420631213692648,0.0038833172218506852,-0.018268636639479162
EREG,-0.031659246210540934,,,,
SPTAN1,-0.16321306956100198,0.03314222572544177,-0.021575905671934136,0.011102073879979331,-0.02045223104286247
LIPC,-0.01752465141886199,0.008507369297322388,0.004568116800367042,0.0788777502103853,
COL8A1,0.06598111279392802,-0.014501766242653412,0.018641554267673905,0.0069495486635032045,0.027177965158953807
GSTM2,0.094987202123063,0.03957498558513849,-0.015057100927282432,-0.01212993532602641,-0.05648106625098733
SPX,-0.03910622676403725,0.007870176140878454,0.06247407458929106,-0.004750031357989044,0.04784181897021969
MFGE8,-0.07420979037371594,-0.014063385841809585,0.02029117962913255,0.02862037976890994,-0.01042445083193668
TGFA,0.020102351836119293,-0.02786209244660173,-0.006446678248157759,0.052855371640969734,0.009284760266537479
SLIT2,-0.02493110164995959,0.02799009125657609,-0.030153952876423626,0.01666968519507319,-0.03424787369035181
PLTP,0.14553087884208157,-0.014354639294878535,-0.11653191925224256,0.03366502330402214,0.056672118967351
APOD,0.07061517638263377,0.06391279494108987,0.05226567878959918,-0.01729996647071739,0.08494958566421387
B2M,0.18744978480333274,0.0026760316801852303,0.0256257135280926,0.07239126606869659,-0.024346692711530594
OMG,-0.02204633159986165,0.07406023484611127,0.054289655964043164,0.0009406368216423261,0.03978450281483679
CXCL3,-0.006824527405901304,-0.01492451470085577,,-0.020147859774982756,0.0008738838376164297
CXCL10,-0.0019925406415637614,-0.023716859991015502,-0.03596572810224466,-0.027143464758840143,
