,UKF243,UKF251,UKF259,UKF260,UKF275,UKF296,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk
IGFL3,,,,,,,,,,,-0.004506701595853775,,,
BMP1,0.023405646050674713,-0.038696880540987286,-0.010161169097410635,0.03716391930534523,-0.025967748814324537,-0.00870973992584243,0.05936036597323459,-0.026960492167383953,0.053755341388222945,0.0486312006584703,-0.022132640871609655,0.03895455489277314,0.24494477171706658,-0.021852331447481575
NDP,0.019092480636991732,-0.05917450478763238,-0.030565498126732944,-0.0102803620066889,-0.038238043022120916,0.0019101684958548466,-0.027435918381615527,0.04014809561309038,0.05191069667466183,0.024899210858360592,-0.0703809057362619,0.021223607793254776,0.01286162668101384,0.024028493061615114
TNFSF18,-0.019872599663920746,-0.0235174614574216,,,-0.010647509681371023,,,-0.029027964669485328,,,-0.025833186788054276,,-0.03314018299682983,-0.013939423006506635
IL36G,,,,,,,-0.01956200055782837,,,,,,,
RTN4,-0.038963608875121084,0.010261445099182288,0.05147889377139235,-0.018941683479706074,0.032112244605585,-0.06138367765308155,-0.06325717191563122,-0.06501954802279493,0.026833895289905124,0.03087375960160411,0.031235537625493377,0.061136012148204806,0.01397898501093501,-0.06670665297523708
HEBP1,0.008540385840693625,0.011494004574537394,0.03864647286068791,-0.015326403213719253,0.059230565103667164,0.0018823072668537387,-0.02553570311955022,-0.007531794099151796,0.011639360769473143,0.04536330806191022,0.0044085107897296,-0.03263960846846137,0.09344223531894391,6.8719460727514475e-06
WNT7B,-0.04638286852274462,-0.02082429574200826,-0.004721615203146327,-0.040044297431002164,-0.030520095349847606,0.0003337392745923373,-0.0056198954429957865,,-0.03537742816375952,0.01861185602941865,0.010325475555627,-0.019769039285930535,0.02548661718332182,0.09456698866319639
PTMA,-0.020417821763717817,0.006941072618242328,0.08745214869742064,0.08535788269562117,0.010024015920733487,-0.00859414977560119,0.06696853351602879,-0.03521338970697277,-0.13554921040157017,0.047960564969367826,0.027937780732385478,0.006613681532844238,0.12828463040539487,0.014316373812004112
CEACAM1,,-0.015981394484941507,-0.03651738013026522,0.05432418836293827,-0.0005386052303771208,,,-0.04330692138113988,0.0237429348933651,-0.024532496198112715,-0.03711959239322927,0.10205273621467792,,
PDAP1,0.02748485038665879,0.034503152114392824,0.03403482596361395,0.047617210459589956,-0.03219848375018436,-0.03367094416948106,0.009258206223584009,-0.15624917372745953,-0.03903670218233803,-0.05191734236804265,-0.007134152295417069,0.05275515241996283,-0.033218735943073174,-0.0033885059421189653
QDPR,-0.00775005535745906,-0.03743068367868725,-0.02431969310125446,0.0035302194120793327,0.008023436193500877,-0.07281407102427262,-0.06409223885704741,0.047803625059701885,0.010787088203186038,0.011613397495451885,0.007469960804175867,-0.03817699219637997,0.12833473931999753,0.004709837289375208
