,UKF243,UKF251,UKF259,UKF260,UKF275,UKF296,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk
POMC,-0.03752278463779137,-0.01660941736911629,-0.008102016542026774,0.003676198806897289,-0.012354528249030876,-0.010336901964347417,0.00734220793805246,-0.00142624156418613,0.03828610147745017,0.013431751244466812,-0.010838277345280227,0.047431699370374066,,0.014206971059597472
CCL18,-0.02665079015845497,,,,,,,,0.022846962129227866,-0.04641181422147607,,0.02305440210868053,,
CCL17,,,-0.02116592518584891,,-0.013279517579130084,0.03505793846108087,-0.017870442874583753,,-0.014063968341622421,0.1475285061883355,-0.033026420513989345,,,
VEGFD,0.04728184672266843,-0.022890141262633546,-0.023581178004237487,0.05055630324748773,-0.014148202783512946,-0.015030618435577998,-0.01915230713593662,0.0719917497699263,,0.04135608383663594,-0.03483268006006461,,,
TNFSF13,,,0.005479441479337138,,,,,,-0.026986642807119654,0.08006229457043448,-0.03541656492182891,-0.014734002349801103,,-0.033000168854509494
WNT5A,0.003378362105905129,0.018377454945472108,0.016142909673258987,0.005960762292310892,-0.012613056492510684,0.025856327502340383,0.05606253180924004,-0.02543025185206938,0.014743366270587787,0.018128147192113774,-0.016856964401905712,0.012879823532889969,-0.04311461397036763,0.08354802983543852
CXCL8,0.06280570420180698,-0.02143297153638845,0.08832078870247427,-0.06187247820486624,-0.017816874905180278,-0.01399716544022736,-0.004904558613689724,-0.10287128717426748,0.05976212736550373,-0.04151349611307121,0.023608208206366763,-0.011839206159285453,0.07981456355734734,0.005803977714350955
GRN,6.251246198837515e-05,0.013901896007322657,-0.060788199348298703,-0.0033819461363935174,-0.02408102157422207,0.012434245720209954,0.004871584409946736,-0.1289406284332823,0.026742486503360748,-0.005732328630614306,-0.07353575490281426,-0.08064165028203837,-0.026398218049138316,-0.04318285146889036
MIA,0.028757395363443447,-0.020356890866777982,0.00850852795425384,0.01366805306849557,-0.0034692055388954777,-0.017094163051701514,-0.0009125848730329992,0.0631204050603205,0.011314233343635075,0.10688330338393771,-0.04051517571471971,-0.02899867352099821,,0.017497375327517987
COL4A4,-0.030228071074287145,-0.015636658093988922,-0.0009179321638566103,0.0474058205478367,-0.013864227203243833,-0.018743364898793056,0.014890074457598004,0.041506575554054154,-0.024228730783803984,-0.028454020813125997,-0.005733487997756107,-0.026443347798409195,,-0.03688268550944253
TAC1,-0.03785830241094893,0.04716711663828387,0.049850414567024444,-0.026784761728558457,0.03489142315391565,-0.03286879183201587,-0.04509215777735163,,,,,-0.02263746102649031,-0.061888628917964456,-0.00752589451103058
RARRES2,-0.006992359675747286,0.0022734294344956534,0.05061115306764454,0.060798820630492155,0.01679545591173521,0.01088163312824835,0.08774415156593984,0.10583434588131306,0.056770969489574385,-0.04058256644391057,0.05109423158482588,-0.0066977437875798615,-0.013301052993796197,0.022960614675964428
FGF7,0.044818301790234945,0.09156612691578224,0.0013657333025778957,-0.035488140385619836,-0.022402714271628415,-0.035992915035063855,0.030789755292958524,-0.062227586700581795,0.029098827551585372,-0.0038135889472469564,0.03033832672111705,-0.04338758779545974,-0.05173002329091056,-0.0038657881399683522
EFNA2,,,,,,,,,,-0.023316495846169717,,,,
HBEGF,0.024672199938605848,-0.00945604780279809,-0.007006369374906494,-0.05618135603721116,-0.018921861247016492,0.010451261794349612,0.04468900861195129,0.09741087272898777,0.06308925643079294,0.009089545567491393,-0.05668213371300257,0.06928458837909496,-0.052318995858440805,0.07810754513339717
CSF3,0.08384144175719593,,0.15089828045752596,-0.06016503598255032,,,,,0.08925725414163498,-0.002839887534956001,,-0.018810744218407414,-0.0297854604275787,0.0511849068183924
PI3,-0.003381765631665031,,0.05402109605079717,-0.054840522374759434,,,,,0.07069059931795148,-0.10402142872989338,-0.028061330714128467,-0.00668109111687368,,-0.04788141792822449
PCSK1N,-0.037366977892678614,-0.04891609253919612,-0.07677604947265175,0.004295058253320105,0.04494696637075001,-0.03671700826939823,-0.008066200232175195,-0.03466680959898658,-0.02510460098824895,-0.010571108776888051,-0.0031375265109833766,0.12046478885651614,-0.01687689309736163,-0.09010034276597752
NTS,,,,0.03000794439723487,-0.015838267966539643,-0.009774841321573687,,,-0.03280977413585545,-0.028406725570474353,,0.024040788086899596,,
SFRP1,0.05596026629405018,0.028018396230902142,-0.01846808786365763,-0.03642012162784808,0.007583602607011509,-0.020491303035993357,0.04261663241921209,-0.06442581994956807,0.04974020321609864,0.10704614049744346,0.041371976447179055,-0.0059196401365073145,-0.006167445275200169,0.04625541220900419
CXCL13,,-0.0007920182660542631,,-0.03609280563939699,,,,,-0.03159055641281192,0.030498031123576515,,-0.005740935787988861,,0.047945197861179734
MICA,0.0038227317451981976,-0.010417813471538305,0.05897214929037162,0.00637127356371417,-0.007465622205973858,0.007374262143113754,0.08434856965282456,-0.0630070534979479,0.004611676725483618,0.05874692370174722,-0.0034444689019506045,-0.003219207209567486,0.09143432929376012,0.027984403535484766
TG,6.665557965331652e-05,-0.021731476499356698,-0.019929992782417156,0.0561063182967199,-0.013378611417638507,-0.014829466871837962,0.036222210705818804,-0.03302981352357786,-0.018687497732411334,0.010964382935731277,,-0.015481531548570598,,0.06538268398990044
ADA,-0.03563490277876981,-0.028368712424150004,-0.016662010586931682,0.021457494206831487,-0.006247565402433533,0.0005303473966680278,0.034923883070597475,-0.04901071109835672,0.014512653633792533,0.00215934801995771,0.03206280406679472,-0.004913166486716191,0.03361238810147971,-0.05185873460381365
LAMC3,-0.04371701540403694,0.005925167430659466,-0.021344245734738677,-0.06103637274252571,0.05527240155385454,0.00025526027388431805,-0.005318618440918673,-0.07467540496369125,-0.035434124555009675,0.032150049646714786,-0.09544181415185253,0.04989276770944595,-0.04134213679342525,-0.013193248040541696
CCL7,,,-0.014409352938954068,-0.04785239656754689,,,,,-0.00029808129737015563,,,,,0.06376391257939244
NGF,0.015476619513852026,,0.05709062874036387,-0.02775947416157811,,,,-0.05809972613832538,-0.024344149569928735,-0.023003082914663086,,0.02797662500554281,,0.029332432818711354
TNFSF15,-0.021544821942364088,,-0.01604551924994984,-0.03542975203520825,,,,-0.06624875401916784,0.06308331319797561,,,-0.01168114921899897,,0.019250518942255924
HMGB1,-0.03331111651048688,-0.010271148466142912,0.016738267701249778,0.10376643881674819,-0.01728099705408917,-0.006209313460995658,-0.03288362086649087,-0.1438505412902926,-0.04706652941424348,0.020689136157434784,0.10846519866522551,-0.009710692488610027,-0.025602028630648154,-0.03256402680775371
ITGB3BP,0.13104690849452127,0.027342972875864405,-0.007433309771461787,-0.0055780048540936406,-0.056064696654082924,-0.012904131965189606,0.032539659747371615,0.05108625732501214,0.037722448713645364,0.028948134742515994,0.029917596580190286,0.016202840680250827,0.07937631604716083,0.009646164735603124
AANAT,-0.031214059055301117,,-0.014599783044011978,-0.031924325486807306,-0.012031463432730795,0.016245646593498555,-0.009319622451885445,,-0.01849192089023215,-0.03137768823783822,-0.02849116531157398,,,-0.023689012802016626
RELN,-0.030027635303342955,-0.030652988938886072,-0.025341953815383053,-0.054559941370760985,0.04004144035163134,0.051763159630206355,-0.02653850826159491,0.006746795894528593,,,0.07631095604993328,-0.014109562343216591,0.018838165830013628,-0.011159856936073746
IL15,0.024691818539144348,-0.027685568587971155,0.04586191582698136,-0.020045727754507355,0.07447746970196552,0.010722429583120162,-0.022232448835925317,0.058234017706148875,-0.006416079665156559,-0.0015654119306352373,0.047882037083998484,-0.0011407827119745374,-0.031502650953444886,0.022330043401209528
UTS2,,,,,,,,,-0.015747224017125677,,,,,
BSG,0.05289090305309108,-0.041453655569683806,-0.028964972159865286,0.022012231031655425,0.007979026481695869,0.019307987047727387,0.11522583510753974,-0.021504712961124665,0.10692120601103787,0.018513431804638658,-0.010710468143004494,0.024858018924238032,0.03700357768950507,0.021641654619739378
ADAMTS3,-0.04486295044200493,0.03391431574190944,0.04033333680137608,0.07035990375955792,0.013547173193518601,0.06802649053861165,0.046648197826682385,,-0.03814485656545328,0.017437365137889793,-0.045002476956000716,0.03466114147008109,-0.03621883358465289,0.012560073536229356
CD34,-0.04881087992930426,0.009177822255302911,-0.004005166893669593,-0.03294966286605144,-0.04050088865453977,0.022059015050317956,0.017991619794347165,-0.11734600896037213,0.039300659198175616,-0.03356416323513573,-0.010052155067175909,0.007777193669223648,0.00513563224076779,-0.00018872942786150553
PLAT,0.04141871924053463,-0.037149404541383615,-0.1036400413852314,-0.019661757261297496,-0.006422891177169138,-0.00900973031677297,-0.012734654327493768,-0.0888351807151839,-0.0035319569058060592,0.05716910400235308,-0.09205662684845071,0.05646880995526924,0.025472059219492565,-0.026213730041054564
NTF3,,,,,,0.026792123444980966,,,0.06390643983854598,0.0031261546042893966,,0.07423166382871621,,
LTA,,0.06555516372799014,-0.018468086999691453,,-0.011587553160305459,,0.06892138425919894,,,,,,,
CKLF,0.02675490834520592,0.029761286381595715,-0.01464184802881077,0.07032459839256905,0.03445035822542429,-0.02199872799357065,0.05008498513282753,-0.0707210665822969,0.03128053517005802,0.04005317662105382,0.012167481725135466,-0.06782266822047499,0.06578394003703539,0.052441788473887786
CD24,0.032212840430374784,0.04319534944666586,0.03560862380056019,-0.039128475365584815,0.030152540824975333,0.0178025536134163,0.012424885637227455,0.18649948348264248,-0.005714415333076377,0.00955718667655654,-0.03785562429382267,0.021009959428989033,-0.03718715358478091,-0.02447839527116371
HSP90AA1,-0.03328611298724204,-0.03603176724691518,-0.005025452353115491,-0.05566775383900714,-0.06107091372848326,-0.024391638652431234,-0.05588132387103742,-0.06031265100904134,0.03098855131807281,-0.08568974660063512,0.07121327238517552,-0.0381592299705298,-0.10470147836965846,-0.02250432887640388
BMP4,0.011782312806153421,-0.016941216721945797,0.0673128858996638,-0.042168693323204616,-0.0233767256240499,0.08393448417439892,-0.018944345012411684,0.0001153974529943274,0.010902293691333059,0.04493587648546323,-0.07225378075182957,0.024920722594602988,,0.030610360522060485
SCGB3A1,,,,-0.038017930609500546,,-0.01441909452883753,0.06931737559190942,-0.04739191019014594,-0.03208259151272172,0.04171583302821602,,-0.024258061011007862,,0.01981554715782382
IGFBP4,0.03327231490126555,-0.02917023106329191,0.00045911486358869865,-0.01378098911836248,-0.025314304257866908,-0.046946999983303636,0.0695586056477208,-0.06593099050105873,0.018909363075272224,-0.029102931857102266,-0.030760448535703984,0.017879236061127343,-0.03480366850211752,-0.00256543110415106
RSPO4,-0.021274497760134684,-0.012713127206234454,-0.02826864276929845,0.0007484738509728468,-0.013477029757715937,-0.014419092419718772,0.01304323238158475,0.02726698686414222,,,,-0.016336771724584587,,0.03652714735770377
LEFTY2,0.08440197116130194,0.003606118326429676,0.03148042148291255,0.02118710770698871,-0.03318921640892202,0.057816431493791294,-0.003476600750231189,,-0.017893384157005702,-0.026809781014631447,-0.061437884675329894,0.027736867527727825,-0.04877730353531563,-0.038600987161912396
PF4,,-0.014537251874528314,0.033205982622099416,,,,,,,-0.021371182719223804,,,,0.12292104990601992
ANGPTL2,-0.05311784846384536,0.003913625753327128,-0.023757332199777142,0.009724992117189734,-0.006111423938210291,0.02043964511092946,0.07639240036709478,-0.06644562814047233,-0.015887930666110803,0.025633586046464023,-0.0112545284225584,0.02209286411245873,0.073200619150807,0.0018646760379776681
LRIG2,0.0006964838709663553,-0.0030921676810856634,0.027231326095689998,0.017873761694821043,0.003322032244425357,-0.010192020887374269,0.06890174164931646,0.0361584509234731,0.0668151058568302,0.04385542412930919,-0.03789712487576618,0.018628366162909454,-0.004751775448772146,-0.020278915968448222
ICOSLG,0.09013566606474893,-0.04792777344557823,0.04467059456908748,-0.02109050822500056,0.01850252556983395,-0.027364744763882357,0.0131250978008378,-0.04672129623823138,0.06110182784827471,0.043507270639969675,0.00017949647511887457,0.04713329534379322,-0.03462781012195163,0.026841553112627585
WIF1,-0.049509156455321106,,,0.03881918762328786,0.04280307317943617,0.00504494383208235,-0.023343986579921632,,,,,-0.01518661172884976,-0.032056676999516226,0.112493614238336
NPPC,0.011496635746147163,,-0.004953421627172367,0.021420703025819846,-0.02028690954289496,0.03671847964981663,0.12677789504058928,0.09342537448234725,-0.03146661846922422,0.06692621734923507,-0.03875722466507449,-0.014607058470475182,0.02401568484945633,0.014339669304487912
LYZ,0.03741611122548687,0.006439645140659712,-0.028647537024322448,0.00010978761073538053,0.025770452276175686,-0.005347820788087007,0.12054215840053101,-0.0547901272141265,-0.05692618230033431,0.003343265494633442,0.10599365251491866,0.007514396151153896,0.0744929230409719,0.014067383162941201
EREG,,,,-0.03828838700054543,,,,,0.0554949026708994,0.0007771398261832769,,-0.0203477246220928,,0.08642967012689491
SPTAN1,-0.059257155525258794,0.008588960738655628,-0.07496877097617614,0.030612848322255012,-0.036004813062510306,0.020585912516682865,0.0026048892128049325,-0.008434322477572916,0.009376259234909725,0.025364722521564544,-0.0778162129339735,-0.013025950177027436,-0.05187950455825915,-0.03814031853778307
PTH2,,,,,,,,,,,,-0.025980909505941063,,
LIPC,0.05829639120516585,0.03760191540855152,0.031126706245605675,0.031112063782320207,0.03479381407308693,,0.03247429174245167,-0.0673436986619972,,,-0.013688733368666954,,,0.13097638209741008
COL8A1,-0.01139864023650131,-0.015525311148380082,0.007219942767462295,0.06168849253300819,0.0012951464074351048,-0.010015745729415285,0.032390859648317914,-0.08701898106130558,-0.010711486214218616,0.036369435721776255,0.01897371083795882,-0.025008107532561274,0.026819138991957644,0.029889781178002246
GSTM2,0.011576772698832694,-0.031854873544510894,-0.010994511543391988,-0.028771325305451158,0.007010995089591858,-0.028874768740845363,0.03180820153709592,0.009268564866578444,-0.017318808584652456,0.033605934356497884,-0.03769390294999805,0.02404528694819848,0.03970196653183087,0.04705126805132311
SPX,-0.06952701446691373,0.012235346936848033,-0.03702051254284637,-0.004672902761335225,0.0504324499459344,-0.004728193858338857,-0.060538024320989876,,-0.021252462669635337,0.03826875469924397,0.026371218840554104,-0.012520583921902773,0.054906870266190705,0.018532183601589924
MFGE8,-0.018271579750522886,0.022355638518957534,-0.00015008440104089622,0.03547545851796771,-0.06071586828285363,0.0028503742278198152,0.02010982305777856,-0.07957802488304709,0.05188317623617191,0.03020163839169618,-0.03827715796036048,-0.005735839596174002,0.051627534032450045,0.007720144958154538
TGFA,0.12752385420479317,-0.023563403665229594,-0.001405123512467958,-0.021839703349468078,-0.010872347994711503,0.017046177675882995,-0.032941728556885916,-0.03351388320114986,0.04570694283163048,-0.005978668171481511,-0.017133773337706996,0.0103310119118411,0.17691882588454602,0.014858353518337895
SLIT2,-0.04311420681540815,-0.02867268584928846,-0.042788150440045865,-0.04361559546303148,-0.034681348720948,0.02271977774878946,-0.05000932745226423,0.0339681419027432,0.03111975089908956,-0.019698637082790977,0.07202299180077815,-0.014995219849251683,0.06375122606535612,0.05107518157937297
PLTP,-0.03555117166870635,0.015880705569100526,-0.04404438043187115,0.0404407932624417,-0.02320871465831523,-0.0018221877141176262,0.051632058704489114,0.06735543637396595,0.00047697430811767907,-0.01739116207506943,-0.05150729548639012,-0.08779813637142803,0.051124044616368255,-0.006151626944384892
APOD,-0.0485538804843855,-0.04937071606782662,-0.006723717185268261,0.0027880212525934196,-0.011907365133292422,0.008995431739629512,-0.06493594564458596,-0.05247363300822749,-0.004961871921821141,0.06943167504394102,0.09968869817133158,-0.02338071080258104,0.16237726062902974,0.0043641540181864865
B2M,-0.03508738550796666,-0.04091074715746503,0.031517739905304105,-0.04097112260516072,0.009302808356725987,-0.010712763232750862,0.0837439006203146,-0.11010553868919054,0.006034543000312183,0.05629617266593935,-0.023569366623660094,-0.06343510438355045,0.01144445864676195,-0.1060797764383262
OMG,0.0048728895282153665,0.02228005884323114,-0.02610377041479034,0.048900671542082025,-0.012705408704964222,-0.031204591774976486,-0.09055181224743211,-0.0239207028234606,-0.02079417939935111,0.034837575868156515,0.015906984511716044,0.03662337841366405,0.007311379842438575,-0.0007073062632783354
CXCL3,-0.006805806863175526,-0.01860201879135303,0.0670696879202403,-0.05007992791908535,-0.022872482246640086,-0.015425381029101189,-0.016011391132203446,,0.10527326715595559,0.016612461341667547,-0.028768436522378472,-0.04582787417476856,0.005327711808357949,-0.009760200834790655
CXCL10,-0.02396256559856832,0.021642912394776864,0.031874408582588255,0.02055680626797726,-0.01415331520508258,-0.023432282793076756,0.0014198477837063805,-0.06088890272569233,0.1574141179357753,-0.013457094276702733,0.05361075183985083,-0.022322695209807737,,-0.03589809940316297
RSPO3,,,0.024675091436274832,-0.03373217499684217,0.008130849430174381,0.0246992112051542,-0.01673159514381694,,0.008660174784567758,0.06953615099927944,,0.011738568895004069,-0.05507391522436058,0.024457515602968473
CORT,0.02573127223904353,0.035699255933720156,0.01302419562614744,0.016139213840722127,-0.0009651899912864375,-0.022445207244883424,0.017438254029806123,,0.012708976369045197,-0.003951884632025496,,-0.02717024241291072,0.06150152069233843,
NCAN,-0.0016104834460077065,0.028176918375676232,-0.09179552171254195,-0.043040347879050395,-0.032544974008630205,0.033608939227304784,-0.03301178837479791,-0.1967558049537303,-0.027347395684216985,0.0681064546480331,-0.10463136574099349,0.015070972821636094,-0.00435704914334658,-0.004106930462953982
PRG4,0.03913774968746087,,0.026420693865711494,-0.005577911930558477,-0.01722310901263333,,0.04897213036583998,,0.014354369363690259,-0.0060774678418461636,,-0.0389569905631314,,-0.03256901567968749
ZG16B,,-0.017493219911370744,-0.016723818951948192,,-0.009207362886350112,,,,,,,,,0.0045411035538122065
TGM2,-0.0027074367907996,-0.013246850381180427,-0.009500626990537985,-0.06333739721609627,0.03073307995594983,-0.012950650865004801,-0.03217655494912973,-0.071291301815933,0.0433554453553632,-0.02040431016240924,0.07344783134483097,0.01576708578399133,-0.005797904857917164,-0.022521198616672095
VEGFC,0.07348809810292672,-0.007849906638090244,0.14462689592630698,-0.01471447248440658,-0.024793156636533472,0.047200391612649245,0.09621355744229482,-0.01727981954660511,-0.027127007503064827,0.003053575819215644,0.0033216682664431027,-0.027882241404474907,,0.019961319703486552
WNT6,-0.029623447895911273,0.023213493282130147,-0.01992999360992103,0.05107670757899698,-0.020490657698756486,,-0.01742339767095823,,0.1419844772655074,0.057802917358176144,,-0.021681562223545215,,-0.02062697720968499
NRG4,-0.022076444222152616,,-0.01753684442799468,0.0017299414402826728,-0.017688834909469545,0.020543298029522074,0.005224223462051148,-0.046100085339257905,,,0.038263991760228044,-0.021573130931107767,,0.03771656113097682
PMCH,,,-0.024299006456177885,,-0.013477029107303687,,,,-0.021424993503505393,0.01976319030358403,,0.017647382320318268,,-0.03972533096803485
COL9A1,-0.0343923454816736,-0.032088731492216256,-0.018315954065708438,0.04343868337755305,-0.024676935075396696,-0.010743548286681004,-0.026538518440799887,-0.04224300758222251,-0.04306337754763363,-0.018139270601961976,-0.06215624540537579,-0.005259940271997243,,-0.04695431981993905
GDF11,0.0037263480561805984,0.056099410933117454,-0.04303657625185344,7.519431646541716e-05,0.019766363056800733,-0.02032411240708507,0.03346266016899515,-0.10479001810225531,-0.03194025970294378,0.035163309271217184,-0.053209651246100775,-0.05302827201903404,-0.04648397897476684,-0.019413224340011043
IL24,,,,,,,,,-0.015973958879638362,-0.0012502558255680794,,,,-0.03467911563033038
SORBS1,-0.04682502270991487,-0.015510937330340665,-0.07563842101815328,0.03155319123970558,0.04512238208880125,0.0004208650850015916,-0.05392374049235855,-0.09001133589212462,-0.006783829606205134,0.034795929079907084,0.06728895352845195,0.0560214543553363,-0.021527706426019082,0.007424898028753533
DLL1,-0.059918741709138156,0.0059173649355726615,-0.0618049807237029,0.010776649976616618,0.010967353877225038,0.005252323168844713,-0.0028201569321732903,0.12724233534202364,-0.0642124365279981,0.016418936163366052,0.011121152872086633,-0.009377974687659503,-0.07929759114292273,-0.05127053779590675
TLN1,0.037390536009579936,0.005485318619361508,-0.06060773872769737,-0.017215460730501977,0.05390082810335219,0.00853882178244209,0.06515160031666274,-0.06807758531872872,0.028544284056265856,-0.05843747688317734,-0.028757875316125652,0.03719435521284721,0.022911685892070308,0.07131416878540993
COL2A1,-0.022596694435945586,,,-0.027166923242148866,,,-0.016254849186081985,,-0.03492116817616051,-0.04663835597537094,,-0.011377805540618069,,-0.009116527506794668
SHH,,,0.06090071019883827,0.027093049485897348,0.037099974053783825,0.017260629688246237,-0.015513509344886553,,0.011782086661868616,0.015402911810984622,0.0385602517208534,0.008688252793245891,,0.02803961652383068
PON2,-0.054006216034444575,-0.039014841735808624,-0.03869201697588975,0.017112347244679447,-0.012040262329005513,-0.0003304483933207857,0.010210738026431273,-0.01627490849893454,0.02338262500301824,0.06714874940254993,-0.011823465089623628,-0.03826581660524535,-8.080594975274577e-05,0.05671299548389523
ICAM5,-0.028506134037998954,-0.02082429763311796,0.0023042283020715155,-0.03487154374930119,-0.0009840629332110767,0.0080037184076046,-0.030297045757742617,,-0.023924938255020737,0.037026683249192796,,0.03020866740799631,0.018455708988391217,-0.018692421046443808
HPX,-0.03598377401107737,,0.011628314620331209,-0.006714364915821708,0.04567280154201692,-0.01441909305884557,0.06683406086958996,-0.05997188554596275,0.0019052053462370782,0.015604689209498276,0.011656421885508231,-0.021741338058965175,,-0.008483673127909756
SFRP2,0.05244530754540841,,0.034207129468209044,,-0.015059229083082064,-0.01708533868330639,0.0489401950950181,,0.04504490213583263,0.0348208744936669,0.06553399055891132,-0.03741054330344948,0.02449950334885529,-0.054891319068424885
CFC1,,,,,-0.011587553860601155,,,,,,,,,-0.027447651096570696
CD70,,,0.10619975863043445,,0.11959700039001589,,,0.008985034277040895,0.12419449337316246,0.0003607027458954049,,-0.031415930015407115,,0.11961109419433491
HP,-0.06085217312373302,,-0.018043996321516553,-0.04819091431483508,-0.028603540351649213,0.011654969816758466,-0.014261866375487906,-0.036176216240874554,0.07717197614086803,0.01765704847053848,0.028389614065971555,-0.04315479860825011,,-0.02549694714145723
CXCL2,-0.0449197349778682,-0.015709157462629172,0.06944301114858478,-0.08240715071845296,-0.05060274488139743,-0.0059452561517815234,0.046666492122492645,0.04781750168661895,0.11255421780379177,0.036623484483539866,0.012692817889297422,-0.06402218523766587,0.0510925433510604,0.031452493076985145
NPPB,,,0.1083113079689064,,-0.010146533410954308,,-0.019963802759957024,,0.04727446166760139,-0.012639845192594782,,0.06185543701234442,,
CCK,-0.09316402654557449,-0.010180038261778558,0.040196859287943726,-0.059012303625116405,0.05526865611364975,-0.02554222194598308,-0.05677425348944299,,0.026577567687060537,0.005861314362017896,-0.012917596991594432,0.09019832180578191,-0.008773944243291192,-0.06228922743743431
SEMA6A,0.05259982386383468,-0.012152652235154281,-0.06785492970274541,-0.00856541599662904,0.014625190808893497,0.03662783832178555,0.02909455902051017,-0.022475683675325864,0.02389526263453674,-0.0015081401972399206,0.016350024494230425,0.007573110379376216,0.06197292535799863,0.0852129680491333
IRAK4,0.023656739785904303,0.06855523211675917,-0.004409047539412005,0.006490183614034037,0.03494408159088343,-0.016076707487945874,0.03574929311409989,-0.1500356979747694,0.020341445456569605,0.023453064658660785,-0.06671998347828488,0.013934977533371293,0.056755303256369016,0.08203332278815835
GSTP1,0.044943194742827625,0.038329722565710156,0.031132387336623484,-0.004520586254541065,-0.06773593595276683,0.017519774075417723,0.017395181571903562,-0.16004580783421052,0.009269669758072977,0.11404895480775659,-0.050519151200641044,-0.04172865476997062,0.004853048752415995,0.04658900569628031
VCAM1,-0.033629471321089774,-0.02439864188367935,0.0380962918261511,-0.016907281829405433,-0.005876196467457794,-0.04542093476039355,-0.015606379819429163,-0.10315584324970145,0.05714311049932577,0.019676927306111366,-0.044766688657575354,-0.026766066415389894,-0.013622594440988308,0.025824829523823485
NXPH3,0.010636885049813022,-0.008950873864558022,0.04873292056451568,0.031854283136046255,0.0039987219648899815,0.053103337540990225,-0.027942607030985025,-0.02300174739026686,0.06002412300827205,0.06557826994503271,-0.031066774098579438,-0.05346351042198045,-0.032321885752632756,-0.0018502411427779317
MTMR4,-0.0766990962304984,-0.027381652690181203,-0.03183851286837879,-0.013072101656134032,-0.0007785907189517978,0.0257925824578313,0.035779159760976696,0.05002967353608398,0.05937647656991942,0.052977551923468306,0.05393007005679698,-0.0003553872579128783,0.11153427427906551,-0.03703241128715477
LAMC2,-0.020160136633923357,,0.061680360936946996,,-0.01277335357465853,,,-0.04610011297647999,-0.019638525257669976,0.032280152233031253,-0.029459899374185586,-0.012056438390618283,,-0.029870923244012193
IL10,0.04215363386886819,-0.02317163103786911,0.03443155298520265,-0.010851307687627933,-0.012589986022784085,,0.056805187054628364,-0.02974547090138766,0.011497789386868212,-0.031195840795993836,-0.028416902120770873,-0.030022998105307425,,0.0977690252363907
SEMA4D,-0.009292391168070506,0.010308834858692658,-0.06655713465669151,-0.005611527639501893,-0.03370227563636884,0.012285244652084368,-0.029934382083242676,-0.00935829936574841,0.01018654238167908,0.07998959779193028,0.06323746052308211,0.06688774311490966,0.13093700620540602,0.0047739583704936766
