,UKF251,UKF259,UKF260,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,,,-0.019296710177516555,
BMP1,0.0704645641116616,0.004090886016130742,0.06201056819981892,-0.037235276079970576,-0.033716630482373625,0.009922436056730455,-0.019393119103725664,-0.011317521745547848,0.011029525905959634,-0.02730721745530412
NDP,0.05253225295652515,0.009596694000249166,0.008699906774687238,-0.006316126623528137,-0.011954433797499484,0.012233310319319117,0.08125949801246836,0.007828686257303796,0.05907832810997355,0.09286782872491335
TNFSF18,-0.01918130599440272,,,0.008622539803149658,,0.013442760916861944,,,-0.019900356599136033,
RTN4,0.06264739818769641,0.023450191896995713,-0.005606687753247892,-0.014397056730657625,-0.003835253564013006,0.009108740545341991,-0.006843481657538803,0.022523640440612527,0.001526150550474406,0.050319478985260645
HEBP1,-0.039323732721822,0.0035162052219163014,0.035016330652692544,0.0631555398183442,-0.0016597653615693844,-0.06884062853668448,0.021710245641848203,0.048762444570343635,0.022759357174904713,0.010588760467741236
WNT7B,0.05008940475211237,0.03539651402034709,-0.0183308886840795,-0.009327224767884121,-0.009013812658288795,,-0.029991941465933952,-0.02989255892751627,-0.04161325554575226,0.017973491222314626
PTMA,-0.004528183287431516,0.004829715536329081,0.011096200735216492,0.026909698073841644,0.04603415532130618,0.03284553741491125,-0.03376490310578642,0.004115081920929317,-0.08347160540041516,0.05314838228930218
CEACAM1,-0.014296302618219332,-0.016473640801980535,0.051629467206417735,0.014821954055653978,,-0.014810855218146738,-0.00021431593404886603,-0.0144815531150239,0.11272457834496731,-0.017163928396483053
PDAP1,0.08430016034934122,-0.06591413071202408,0.01156429527752962,0.020032429453679165,-0.008620819074593292,0.04540614205831063,0.03926888244470128,-0.05992454081985956,0.0237357401989737,0.049451002241686894
QDPR,-0.04635260501646676,-0.017115030914858765,0.05913299960808493,-0.018694543034321463,-0.007445585284109559,0.006406794775969924,0.013704522384320838,0.058150608027355236,-0.12533171782249633,0.06881557348699407
POMC,0.09226377784025508,0.08945087124409694,-0.04870398729015694,0.02427194666394605,0.004476471162850641,0.0685136699256923,-0.0064710443653998,0.016511115353420272,0.06193465159644497,0.0659355513661274
CCL18,,,,,,,-0.019070594963365533,0.06005312920227596,,0.0018434897476029056
