,MGH258,UKF248,UKF259,UKF269,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.01784584359560642,,,,,,,-0.007492757440463116,
BMP1,-0.08114814835064654,0.08480166705372946,-0.004426181264199369,0.1170778645462375,0.1549274086681485,0.016599421947081767,0.11365597776820463,0.03165895697488311,0.006070270222740997,0.012982532623113857,0.007850252469918766,0.005256003665321549
NDP,-0.0007992262135231993,-0.02466077628830721,-0.038872335709637544,-0.02203942057777925,0.004401645838742013,0.05650913110832907,-0.027452811111610194,0.008655814542674483,0.06953899526179837,0.08092845754668014,0.009323425356410486,0.04257298093338476
TNFSF18,-0.018712516416420664,0.013993369359774192,,0.08144044814362922,,0.158090067763603,,,,,0.043265300146023714,0.0027741923549114552
IL36G,,,,,0.06868763063050919,,,,,,,
RTN4,0.034893336915653904,-0.026893538771648642,0.0665988450552895,-0.1537934128039889,-0.09762608519339651,0.011166993347293817,0.05560465898622282,-0.033635404495131443,-0.01026665602074814,0.094663954737426,0.008633940909036483,0.03170845720083828
HEBP1,0.013362151694483904,0.03535215687088344,0.015530186492544463,0.02945026286391076,0.012188979594401671,0.01514966859928949,-0.04397525503803132,0.036211016418038464,0.0478059257023186,0.009345557027980733,0.015034314443800339,0.00868770086986078
WNT7B,-0.016485140870554426,-0.015464178948608055,0.022394832036052695,-0.07386339547760329,-0.03982996076601905,-0.03016057127254479,-0.03720001749862295,0.08926966173495228,0.06831082722484401,0.039786212301804215,-0.035708847333433526,0.06039979256070255
PTMA,0.014199896057403138,0.033490412064936845,0.05856825791026406,-0.10449417084696389,0.11381737993038196,-0.02265664103853501,-0.06555645164411675,-0.036649124532244844,-0.06891988325435142,0.05221792645083231,0.02397897098231177,-0.039471803153344004
FASLG,-0.01648514553086152,,,,,,,,,,-0.0024780459076428557,
CEACAM1,-0.02288976884243848,0.0021307943404118095,-0.01040993589018204,-0.023412931312607257,,,0.028778853514420066,0.009080125178139546,0.06134749275536426,-0.029565616390939065,0.14397530390723504,
PDAP1,-0.012547722081228393,-0.03231369930927717,0.026202090077590435,0.10839750473467709,0.05074871988773598,0.08681471234911292,-0.05901814505651501,-0.0012275932712790553,-0.02360066731206266,0.09632807028300105,-0.0012728246077916437,0.02464560788392858
QDPR,-0.025942755230141192,-0.025954467983635623,0.017146048358885495,-0.1442145818726018,0.04449726827114849,0.05866857578458228,-0.04783480773635129,0.06171428901118265,0.12051979953873874,0.04077874594637521,0.03248773256117556,0.06212408713936614
POMC,0.13224914498619583,0.017028374370637315,0.020931540298889842,-0.011459196182084758,0.003966969159483522,0.11104133208715457,0.10490004162492751,0.036207788630855796,0.03934793315897705,0.053204079081542476,0.04029780461991956,-0.006205725099112767
CCL18,,-0.04473426187406406,,,,,0.02880981650328693,0.06373859251952854,-0.04072263035645444,-0.04482904433448645,,
CCL17,,,0.02023496373104863,,-0.0023408183159174425,,,-0.040709014233383356,0.04527161258021933,,-0.019418123552175034,
VEGFD,,0.0046734253447207165,-0.02803846342353982,0.022349684850290878,0.07520930792820187,,-0.06474116007236035,,0.03453936049639815,,,
TNFSF13,,0.030431257632104438,-0.017359414322213232,,,,,0.0012558234117012977,0.00781821139148633,-0.024631579131866893,0.08703973071582077,0.04613838478710274
WNT5A,-0.03721875691702908,0.003528907887466002,0.08051173267848277,0.08471703127490506,0.06140272278009866,0.11038735524517786,0.01248622864745526,-0.015126564154155274,0.047016421452029965,-0.04756860928471207,0.03388603908640353,-0.0705368663116725
CXCL8,,0.0009078915465807514,-0.027933779965781877,0.003955692562525388,0.029078263148518715,,-0.07957200358457742,-0.07768754834231878,-0.15282195236579244,-0.13241935960519965,-0.031694367472573544,0.006286942855655988
GRN,-0.07535690109008268,0.07057952024944406,0.022804952567812977,0.11964529001784699,0.013907452498421522,0.04066015934668715,0.0337823481121044,-0.03356590174974391,-0.018085454951118206,-0.04722206927508461,-0.023228999294145857,0.021481102765535224
MIA,0.021383818410029704,-0.041235746549411,0.0036246586612376772,0.004069175541096637,0.042632401632075136,0.05284602348366293,0.05141603067556461,0.17411105613731767,0.13470526270227418,-0.06473052930008513,-0.024109236775044264,-0.019149057018313504
COL4A4,0.005551403051379149,0.029356130270865984,-0.02847983481747135,-0.017585754252746645,0.03106023360393757,,,0.08328688635494395,0.026525669670033766,-0.024856611884178398,-0.01655129383965467,0.1035358171033093
TAC1,0.011770789285154279,-0.008659691212105776,0.01540205571879111,-0.0674177101306715,-0.09153650357156037,,,,,-0.06777249149754001,0.04199281051103904,0.01755039540818174
RARRES2,0.06458591723736518,-0.05211253095357149,-0.012860797080891299,0.07673573778918685,0.09887324685644484,0.008758937498342723,0.10335706773470692,-0.023695766533341357,-0.032881583656952755,-0.023148097715724392,-0.002736627283967859,-0.005602087873015773
FGF7,-0.024885397609123686,,0.00952523224580424,-0.0022024808505054713,4.077885861846114e-05,0.03703933916607133,-0.008374558874559327,0.058553473014365726,0.026807128846755023,0.04610769650825134,-0.015271141852222204,-0.0026620958552114183
EFNA2,,,,,,,,,-0.007893705106274466,,,
