,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916inf
IGFL3,,,,,,-0.0210663382273356,,,-0.0035969705251775804,,
BMP1,-0.02859182641210167,0.02541290026992297,0.028750616582596228,-0.02996353521132504,-0.014336723255805633,0.01102122136431227,-0.017830787268739212,-0.03934536239286892,-0.027213216530485442,0.00666370178813952,0.07821488394508108
NDP,0.03053190788249376,0.07975067725098088,-0.025675585237615955,0.023300260741086293,-0.011525977744014296,-0.008678142522148404,0.008186091051360278,0.019936848840003057,0.04466086771376151,0.07269224852588374,0.029184921160567697
TNFSF18,-0.012118003867242134,0.018700029583498524,,,-0.01764334699819268,0.13312188914796827,-0.010647509681371023,,0.01597266177654126,,
RTN4,-0.017618700368312076,0.02521901937128155,0.002048631517599445,0.0782126922919387,0.10673191911872691,-0.03389283807847176,0.06135117813600661,-0.001634659368595922,0.054332723482520634,-0.012602246209710472,0.049456937358954664
HEBP1,-0.027083884624090598,0.004180303826753754,-0.03711736319131791,-0.06395237954271582,-0.008315421862618438,0.04091110992411423,0.0021505533345779334,0.04944891061021095,0.03659355042788089,0.03320150581710827,0.07807981028877452
WNT7B,0.026557315480316455,-0.01722763404856583,-0.01828314318695636,0.03531106955820191,0.06633360802921465,0.0636722873173935,-0.030520095349847606,0.01393054453564586,-0.03350663275148833,-0.024159455749945154,0.07693497189875771
PTMA,0.0160555001964587,-0.006895526828395532,-0.010155744672052732,-0.07415756003550332,-0.05609926213478861,-0.009611069664919284,-0.004236700120908118,-0.06511542020606796,-0.02442769198719831,-0.005761540671414648,0.0033434554991003743
CEACAM1,0.0350668070442678,0.08361260266535121,0.0021574164448954123,-0.014562082600038181,,-0.003459504559551578,0.00044123803889560353,0.005646899516409211,-0.009636600196384609,-0.016034982149125996,
PDAP1,0.027733036384851046,-0.0038165064685561924,0.05459911810838487,-0.052054282356926676,-0.018236417986318268,0.023941346267147976,-0.02543583996575759,-0.06977219040398515,-0.027605304323172854,-0.021874018144858714,-0.09226041430722044
QDPR,0.04002638850323775,-0.03708087913164443,-0.04809675238798555,0.06765832437540477,-0.016959242801695324,-0.06992910604220295,-0.0268942476220624,0.08309735485586944,0.0012601915921113113,0.012854323406861854,-0.03450478772548602
POMC,-0.010013249346386808,-0.023491915009391927,0.12976024277936551,0.11808298374701905,0.0729747481857137,0.07308618684103206,-0.012354528249030876,0.061654721864006085,0.022833948484254386,-0.026231124350413554,0.013766122787597623
CCL18,-0.03523621226289557,,,,,,,0.047768859520105095,,-0.03225354662818076,
CCL17,,,0.038591525534833734,,,,-0.013279517579130084,-0.03786855886235129,-0.0016589680541856063,,
VEGFD,-0.01471900354443646,0.04983421687369507,0.041001431681677525,-0.01393217615341521,,0.06401860229228125,-0.014148202783512946,-0.02623270660746865,-0.004615687853339372,,
TNFSF13,0.024904693980743443,,-0.016185974562194127,,0.04817886743785159,,,0.000932148119195037,-0.03541654963895214,-0.018006210248312143,
WNT5A,-0.040596860913906324,-0.045665128905807345,-0.015348234430286928,0.018484937401034362,-0.025908847084924427,-0.0034728834962666467,0.01354665948016122,-0.009538344343821486,-0.03423873094259353,-0.006737808607266882,-0.019356757571591308
CXCL8,0.008728652994866165,-0.017731182594442885,0.030013549113493937,-0.054651068078978175,-0.024338385840441405,0.023561897499102452,-0.018624296621830894,-0.1186899631765587,0.018636123867821083,-0.06630251991765589,-0.06076690182597879
