,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.0205608460568313,,,,,,,,0.065196067811505,
BMP1,0.08345384476893648,0.03723349020024105,0.02493436522943759,-0.04876911188823553,0.08198069189064795,-0.045565425284787534,-0.018147851844773483,0.05279602429549571,0.05607031387015979,0.13484536125029048,0.025277352603483315,0.0459395614092056,0.13006510678862918,0.03051788641691817
NDP,0.0395809228005447,0.023461573006365453,0.0008175144976618038,-0.011355623120638468,0.011231733610118365,-0.04192365559115055,-0.011812209277889342,-0.035842349387042574,0.008917139109594682,0.012542543574802186,0.05567680499063613,0.005645794721976438,0.033317582917810486,0.0026758733149085828
TNFSF18,0.22938775341436868,0.03452695793291722,,,-0.030532239140881236,-0.013134252838118263,,,,-0.06254487665422005,,,-0.043462486624945965,-0.030559947272134985
RTN4,-0.08577189625616956,0.026812123134843838,0.0252824821646045,-0.021486834663549226,-0.07167849683634242,0.04319691294616991,0.015998303924259907,-0.025775808974554736,-0.10966647028742146,0.0009027804441565727,0.005301505032567099,-0.023507239790303426,0.0016518358088677648,-0.020553747061732738
HEBP1,0.012469854573504838,0.053121644117367244,0.04708777273937883,-0.040048876154740544,0.04339818452589658,0.008212166590779939,-0.046920910472658325,0.04066819910325135,0.0712763888254504,-0.08416372571908182,0.07320332607204338,-0.0953232582976834,-0.005065811444528401,0.02003061649778861
WNT7B,-0.04837046715079102,-0.008700505658441184,0.013519786992993445,0.003128432779941854,-0.0575820759843085,-0.022318604003376458,-0.013194807536118286,0.03281282569780442,0.03608737945248123,,0.02521140571580595,-0.027464029440171248,0.026309922798527865,-0.010760815169259795
PTMA,-0.05778906423699306,-0.040827682059070516,-0.027101991117961095,0.010249268616621898,-0.04389707713612349,-0.004755273830872434,0.001137048310913995,0.08830651358803153,0.02554188521179874,0.00705861590234522,-0.04823875164373655,-0.026766648669177624,0.03516750254300032,-0.03464253166670083
FASLG,,,,,,,,,,,,,0.17512865809589645,
CEACAM1,,-0.019877315258942273,0.0841994272558126,-0.02008637941218819,0.03016224682480591,0.00722534117994989,,,-0.05472634900832163,-0.02252520163548956,-0.0225667712400618,-0.018228275768058907,-0.03744419188467952,
PDAP1,0.043809746020247134,0.010343550335574643,0.05165041715062048,-0.009261207735654576,0.0782815386131763,0.01927183361013859,-0.02744204741340411,0.016557157813067033,0.014387949484464447,0.010005948898506313,-0.03533930352770246,-0.013873035929981226,-0.05114836859848134,0.04163882038232927
QDPR,0.09022734154719853,-0.07577526439872477,0.01279659420706535,0.026298493715455482,-0.05341955910644882,-0.009355850024577764,-0.019581113575680358,0.026202398524474976,-0.027376875996770658,0.019988981559138645,0.05598862666300185,0.02223130567205198,-0.003313447571957037,-0.010090228433482026
POMC,0.06988081791326606,-0.022944646491357974,0.00030632487892689406,-0.030354237013165194,-0.025981998308775112,-0.015239948361103688,-0.02704859468164226,-0.011122373180872015,-0.07702829698230453,0.04371783347539531,0.028099579682676425,-0.029819064587586416,0.014660382350723556,0.1589199943057938
CCL18,0.07398296335969842,-0.024805011354365008,,,,,,0.06651605873971515,-0.04692498318815317,,0.018907056582991237,-0.04263651969867812,,
CCL17,,,-0.02211212101804181,,,-0.016380970449615218,-0.01633147285626153,,,,-0.032576551014152445,,0.05973363140212557,
