,MGH258,UKF248,UKF269
IGFL3,,,-0.011327675662305678
BMP1,0.02897875592134193,0.022540866578059506,0.17886467458356187
NDP,0.047157423712405555,0.015744791588955913,0.05484582001428236
TNFSF18,0.01021985631169099,0.02125845545381808,0.08251254333206277
RTN4,0.0962637482222432,-0.005914523624562479,-0.20387870114410087
HEBP1,-0.03020554378157691,0.01778859238272674,0.0718759347932617
WNT7B,-0.014891054522495752,-0.021898855212473138,-0.08652938632633006
PTMA,0.09279525469449951,0.07808888020460565,-0.0880479815550676
FASLG,-0.01489105873215872,,
CEACAM1,0.09007338647282397,-0.027405073938381718,0.10006479744507604
PDAP1,-0.07186316923354316,0.06460986795157916,0.1697084060076347
QDPR,0.09353295675960033,0.03423754757414551,-0.20442513652670635
POMC,0.014167253473806459,-0.08856174329995824,0.0019267505490392456
CCL18,,-0.006913273631860975,
VEGFD,,-0.008872216685239034,0.16181296190496725
TNFSF13,,0.06378361606076438,
WNT5A,-0.039842612886767215,0.013250268099248789,0.10119083712051805
CXCL8,,-0.06628956293047666,0.11846300286661882
GRN,0.033008613038857465,0.0538187786554877,0.1743044458595002
MIA,-0.0194911114945141,0.013696777700020478,0.03497100040458412
COL4A4,0.08867043364051175,0.05757821354024858,-0.025891510252759608
TAC1,-0.01489105063054637,0.008023331257906916,-0.13006219884220846
RARRES2,-0.07402135788584929,6.470914474415421e-05,0.12312125595279352
FGF7,-0.0013667888278692847,,0.052654123535044124
HBEGF,0.04553746868175072,-0.005539794243383787,0.04745437608565037
CSF3,,,0.10595812728913909
PI3,,-0.04905600661492706,0.07637116474230103
PCSK1N,-0.08200087272116609,0.04926005719060593,-0.04688230571484529
NTS,,,-0.033668947370325226
SFRP1,0.15302409807387046,0.055152943498763346,0.1030467901132028
MICA,0.004622289943769555,0.020401753118970613,0.11410837420083322
TG,0.08867041365828812,0.00293208371899517,-0.03306056166260794
ADA,-0.011896904038465534,0.04352431666152708,0.1420393977271482
LAMC3,-0.05254321851608994,0.0631976326425235,0.17837161570511256
CCL7,,-0.029660184242876066,
NGF,,0.02327466603655351,
HMGB1,0.04666528100658299,0.053140824937605684,0.15893813139906315
ITGB3BP,0.009780889524950915,0.049593333001104176,0.13989422548706767
AANAT,,0.024501453857979322,-0.02470897428655245
RELN,-0.014297106533666521,0.055486499106614594,-0.04985701530432226
IL15,-0.03984945271662949,-0.027677966435689486,-0.0035749842529894673
UTS2,,,0.049359892634967394
BSG,-0.06844946400481966,0.1075115821949615,0.03217382833851859
ADAMTS3,-0.014478162331950602,-0.017290760585717612,0.18290413851172307
CD34,0.005733543992093275,0.05575529339971778,0.09520601311415494
CCL23,,,0.04268343446807566
PLAT,0.03481177516605102,0.0632722507194498,0.16267136665563703
CKLF,0.056798570496739316,0.08095634544135379,0.16677728759878066
CD24,0.10039091005055874,0.12073078023586935,-0.022278050302430043
HSP90AA1,0.01808503951424684,0.006696753705090042,-0.16925159336347148
BMP4,0.091247605645926,0.04212790138187686,-0.032677710218250396
SCGB3A1,,-0.00726381915818851,
IGFBP4,-0.004097728164689346,0.0046127290973685155,0.11351986267819322
LEFTY2,0.0378991548104025,0.049603323108775334,0.18316880386732395
PF4,,0.07053273983880828,
ANGPTL2,0.016143774959465042,0.06827666342416742,0.1259710455186812
LRIG2,0.016600475206378498,-0.003792996148758139,0.11735494082416467
ICOSLG,0.02644954111300141,0.0313634171536688,0.03249155708452953
WIF1,,-0.04936532006027101,-0.06936574881124631
NPPC,-0.055167543142631816,0.01047674086971202,-0.03132965693937536
LYZ,0.05224311871511557,-0.035326784008975515,0.12708243784644546
SPTAN1,-0.05640738755654348,0.04844444564823095,-0.010570599066309605
LIPC,0.019270866142679692,-0.009796389168830104,0.04810457612575864
COL8A1,0.03259251735109998,-0.017162313523340755,0.029044910335652995
GSTM2,-0.04930659929201206,0.0394773851591171,-0.0011452268465338027
SPX,0.03722458002108016,-0.014311284297347453,-0.04873995321290312
MFGE8,0.021519938214065976,-0.02922686530344749,0.07208257758931567
TGFA,0.023663817447714012,0.06527925213385344,0.08235040203756551
SLIT2,0.03367657544170021,-0.06361724719126506,0.00020497181178815728
PLTP,-0.043350283734462376,-0.026960636088793174,0.13090849939142346
APOD,0.08604591730491805,0.12499040486214023,0.04391987829364998
B2M,0.09353334640633681,0.09926191520763963,0.17705744644390456
OMG,0.020246433210233346,0.05169278359412566,-0.05377676757022512
CXCL3,-0.013887981949989128,-0.027516723338270058,0.0663802445481744
CXCL10,-0.09826195700144556,0.02017335308888513,0.10755544744665209
RSPO3,,0.015558393163689037,-0.04057344595646151
CORT,-0.017245660200082964,0.0191293331859309,-0.06478033097979663
NCAN,0.026201901920445556,0.13930387730053165,0.13165958434806763
PRG4,,0.016418609709493676,0.10012155545874105
ZG16B,,0.08930532266101412,-0.02754424875074107
TGM2,0.003025549214138093,-0.010545578340931975,0.04442142712915819
VEGFC,0.1993439360723446,-0.04337894644218696,0.04030853756777122
WNT6,,-0.047856051578289066,0.00927183668081392
NRG4,,-0.013572410289359509,-0.006285657339253546
PMCH,,-0.0194561383341995,
COL9A1,-0.006361714334035281,0.094253151565273,0.1438974148975596
GDF11,0.02046685340825332,0.012473010846448047,0.1652463396288332
SORBS1,-0.00955524052650324,0.03719264386994639,-0.05858242822335578
DLL1,0.09780413754401922,0.11791830805991403,0.06867268106427654
TLN1,-0.012741898847154648,0.02462325300183004,0.13147501681452037
COL2A1,-0.016198085349173552,0.053315007511937594,0.005894541050422499
SHH,,,0.004051058545365591
PON2,-0.08263334369968325,0.123190974833025,0.1636999631969192
ICAM5,,-0.006481897212780279,-0.03830415539211705
HPX,0.08203409648708584,0.05357715440777853,0.03403774764286505
SFRP2,,-0.03943329005023937,0.004992532280223366
CD70,,-0.035468820207269554,
HP,0.19081335704236888,0.08569027331970851,0.046027238189861854
CXCL2,0.040184373208073894,-0.030328615836449267,0.06760402807601607
NPPB,,0.046144734009340806,
CCK,-0.037058415725316596,0.044246492945091156,-0.12759173304264276
SEMA6A,0.0006141615539617222,0.04916199930140167,0.1545741388384099
IRAK4,0.011525532792978934,-0.006210204433627314,0.05203242860467728
GSTP1,-0.07325881705421398,0.08525437378025391,0.1543236606475357
VCAM1,-0.03138835049112564,0.06212599636113944,0.15456792142181328
NXPH3,-0.02222374838913291,0.03007942937629572,0.06540177013554759
MTMR4,-0.011559654402010275,0.09460171873132373,0.0716661770233413
LAMC2,,-0.0182552204944492,
IL10,-0.0179129909380635,-0.0334708324995755,0.033388040399533775
SEMA4D,0.0260931538933593,0.02776799484899114,-0.03217083133378401
TRH,0.1029931492631813,-0.037075140773017004,-0.004366426359800476
SEMA6D,-0.020577516824364334,0.01537533554034997,0.11213561427367139
PDCD1LG2,0.03297997915275952,-0.032207880902274305,0.011007120683220368
SPINT1,-0.033735719479456215,-0.046843913640932704,0.07425040013692562
CTHRC1,-0.03548943453545746,0.01964271256018358,0.1052672993464472
PODXL,0.07442032122019905,0.04873379208066831,0.1567963622659163
JAM3,0.022591272941596796,0.01962980589566365,0.11307683173475229
TGFB2,0.08844340115546596,-0.044210008420832496,0.14925722647788367
COL18A1,-0.012960425089935182,0.03190157480960287,0.1759975547343173
NODAL,0.01124443421405547,-0.02213886105501967,0.09713234750998652
INHBB,0.010210020552983609,0.016525865073833804,0.07876174822075636
LCN1,,-0.007718223872045147,0.027621519845822146
ARF4,-0.03156165461791702,0.019030145604290647,0.13114999015795584
CXCL14,0.10937174230829366,-0.03923269142993216,-0.010081394593449011
