,UKF248,UKF251,UKF255,UKF259,UKF266,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.0900361470762095,0.066542900689729,0.07694941734264575,0.004851274413503242,0.16398008097188801,-0.011384419998081938,0.054268419823479866,0.023621060264397246,-0.028531443997672136,0.10443296282294197,0.06368344606192142,0.011266414652720384
NDP,-0.023789328201060386,-0.013034921954666281,0.021401482580732552,-0.027101424339907473,0.0017910339762970886,0.0020553052321241843,0.11437390795756829,-0.003359943372409871,-0.032698366018137866,0.1038092950344609,0.16136803531721317,-0.028315700010609093
TNFSF18,-0.017269851459883384,-0.03899844267607594,,,0.0015040872125335945,,0.015296893269525038,,-0.038771624360704755,,,
IL36G,,,,,,-0.013349800014265598,,,,,,
RTN4,0.044057143316138886,-0.015740700654934714,0.028299367071959926,0.004292096158735335,-0.16252627336349484,0.015280263923651,-0.003894549042796889,0.024641003207104474,0.11082855002201207,-0.029577212668830254,-0.03291267174848539,0.007730726348651454
HEBP1,0.04298320605927128,-0.015820444400144892,-0.005123626561210229,-0.024460406571666118,0.10933864864968607,0.0465628623995555,0.011050138682819304,-0.010630508089937617,-0.02166322456421887,0.02809457277016026,0.1267150565689525,-0.022588887084731966
WNT7B,0.028508759738835123,-0.024224623687150195,-0.0077475585762110805,0.023489418199480958,0.07061382613110896,-0.014672968665314383,0.10232524852029659,0.08918311324319937,,0.0021732873172664664,0.013525146341622574,-0.025268057750323265
PTMA,0.019067782852054144,0.01798816638835541,0.07168970311275415,0.0014940733861600562,0.2509021830600382,0.0038284353632720204,-0.10429041192658801,0.04258852937704643,-0.01601722082893945,-0.06942931807457053,-0.043805283592383566,0.029357387817291847
CEACAM1,-0.007226617438091266,-0.01859094166688348,,0.003105764706160939,,,,0.06659075123464496,-0.039084416753279366,-0.05466161303855926,0.0013225149369837457,0.034625220846120894
PDAP1,0.001808789038336276,-0.0028915632976310207,0.03696025479472882,0.05001326635633395,0.08957009418106193,0.005233436839023816,0.09730919858406249,0.023397255875830362,-0.0667978799298438,0.005680275415128467,-0.04603147689934965,0.07569883059545483
QDPR,-0.002730896343125954,-0.0149286201633337,0.1307817208136184,-0.015671500470268804,-0.03861797974057857,-0.008872655235813723,0.06458635685683821,0.08241692265008212,-0.07775591985341418,0.00821191796174926,0.0848245757904503,0.021316509705987023
POMC,0.03806030158048828,0.047151067024903716,,0.036006597417676936,-0.054224431476695104,-0.028602089615501727,-0.03592727768393141,0.07000979582663815,0.05810836866583154,0.0299137846756578,0.004532037882932946,0.01617678367602015
CCL18,-0.03767725319523321,,,,,,,-0.026552784726559305,,0.09753106487415686,0.018607286071694915,-0.0008793899935909539
CCL17,,,,0.026204815177381345,,-0.012195421313725526,,,,-0.017446475541912677,-0.05443938042752602,
VEGFD,0.017181331451493472,-0.0019018102330418337,,-0.026305811086691052,,-0.013070210754810935,,0.07647287933102578,0.11338142592013567,,0.08935214251946823,
TNFSF13,-0.004271907642031426,,,-0.016286679724123353,0.06043219939450701,,,,,0.06228728810789937,-0.0032223458746573216,-0.019387180466434735
WNT5A,0.051377594647462554,0.011657550355263674,0.04940827753988236,-0.005353725453263945,0.23912762046152944,0.016201897941506664,0.01980828492871178,-0.017357254210901084,-0.08689795011304988,0.08782744565658902,0.059304907498261464,0.05089394496060303
