,UKF243,UKF255,UKF259,UKF260,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.02501854403588092,
BMP1,-0.07524655131016952,-0.14128668186895638,-0.03701755097842257,0.05798949008354658,0.041920334127094144,-0.06280984151719401,0.006007309942409066
NDP,-0.012795427411120979,-0.016911612135041776,-0.05428412575391817,-0.037532477583868594,-0.03854194506800961,-0.10107825069903044,-0.054803088793517224
TNFSF18,-0.031214031594443657,,,,,-0.042201810931985904,0.027009417811716695
RTN4,0.053998648083665,-0.09420831432507094,-0.02248763252269257,-0.04157475872699183,-0.006360568602339251,0.0521394698068854,-0.030377826539734507
HEBP1,0.08523297815315897,0.06688216738657375,0.047779402645530045,-0.027293250501033307,0.04958822961811828,0.04188390803593398,0.038841420707643445
WNT7B,0.0006815329517450187,0.012091716805331587,-0.022753993461543644,-0.05265884460936508,-0.022405699361836416,-0.025763032550735428,0.09373619453018726
PTMA,0.04645678762026082,-0.14371161970343768,0.01909644429877781,-0.015166322173033821,0.0028932571505174407,0.0372600760750176,0.08087433164807782
FASLG,,,,,,-0.021698574707119892,
CEACAM1,,,-0.004133518291627954,-0.014777308912804146,-0.016893060819803414,-0.030190379764426435,
PDAP1,0.022826792246641695,0.10238376510665659,0.042331476313577796,-0.02350186909275181,0.03237030053611833,0.051069423804615995,-0.006624077553806216
QDPR,-0.034918485165524524,-0.17281738819080195,-0.02313278241481018,-0.031907884442843884,-0.10613094725020818,-0.014576114516127465,-0.13108043201983444
POMC,-0.029348479871338963,,0.0509018318996152,-0.029735439954345605,-0.03957441011708999,0.004363444240311748,0.017784655515978545
CCL18,0.017370357495378793,,,,0.05624460593739565,,
CCL17,,,-0.015228931843954545,,0.1781073794458765,-0.019667320796361926,
VEGFD,0.05380129980840482,,-0.01696671180085197,-0.014138092503752187,-0.016893060819803414,,
TNFSF13,,,-0.0105045763524009,,-0.010100776180796783,-0.03204625767310499,-0.030734319981749785
WNT5A,0.030797935348351527,-0.08446354630215913,-0.00912019177577506,-0.04145829529054417,0.025244325324060537,-0.02748486158382612,0.10480429432300549
CXCL8,0.089422712708137,0.32497452787692854,0.11394169931194488,0.11183367141394827,0.12399995992849738,0.18355349773262356,0.11771471199089109
GRN,-0.012857372381110588,-0.21912485801327036,-0.04280488717096976,-0.048788474780673705,0.006217939298122435,-0.04561266079667172,-0.004778331610884853
MIA,0.13373411039563796,0.0849017615939085,0.05116066044742048,-0.0015066846441752092,-0.15838738414632458,-0.10194843256764957,0.07830788928031916
