,UKF243,UKF248,UKF259,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.018186168101222772,
BMP1,0.08155788556655401,0.0005336826511398449,0.0309110523958835,0.03969338413877473,0.018682255177787436,0.010880961014239044,0.012862610225099021,-0.002062031702929688,0.05827170140907419,0.01104304415419147
NDP,0.05222822451062874,-0.05248399548026304,0.04648251050466596,0.012718284260107219,0.037290331201429584,-0.05361645804398357,0.06634093674767252,0.013832260182407654,0.006017300059292464,0.03263027449907492
TNFSF18,-0.019285627630517287,-0.0182745391071216,,0.014906564874006038,,-0.0009266223978957948,,,-0.030676814233650207,-0.008321735875527909
IL36G,,,,,0.010838854509326049,,,,,
RTN4,0.07189165312773958,0.02705429244969985,-0.007534615123032112,-0.050749140536369704,-0.03169559374890953,-0.10288152125554716,-0.04291085376758287,-0.027359905376325374,0.001384675180724724,0.0539081518564757
HEBP1,-0.0018451370630109163,-0.01856738758296103,0.002068296100227059,0.0436556165839785,-0.05860043076855642,-0.10537656586279959,0.017804204405032754,0.029570117773501468,0.024136036400441072,-0.014657390640501396
WNT7B,0.10114834253763991,-0.020836038138530476,-0.024957669818597577,-0.030520094017639478,-0.015116031948961287,,0.04796292283552372,-0.01705753710522219,0.04932547244672678,-0.02131803739554407
PTMA,-0.1305840825673627,0.03809644125686005,0.0027394388546427817,0.01971503690122298,0.09492589912810419,0.06481224863494157,-0.1561346445607078,-0.0353888642724727,0.03785891219648306,0.029868900850010673
FASLG,,,,,,,,,-0.01577285738988961,
CEACAM1,,-0.023605608056772014,-0.03894239726470753,0.016144933590488006,,-0.01722230855868585,0.1284827127917396,-0.022267306336054445,-0.02194561444695521,
PDAP1,-0.04239245571584806,0.005623513807537626,0.020912584771560647,0.0075700235442418455,0.09123753929199777,-0.018591564419953813,0.02582088501448958,-0.03473417433317739,0.0017618279535222287,0.06219553021731509
QDPR,-0.034615797056613176,0.05163304292681568,0.015814096718949937,0.02796631531851822,0.03696709552990704,0.10400152035126825,-0.05883297814118745,-0.012924438626409176,0.0271994014097328,0.021460060837052024
POMC,0.04898764252041156,-0.004724408222246571,0.05320883546155277,-0.012354527709753302,-0.02946575504226461,0.1199657204820445,-0.0736336074136951,0.025040674704627404,0.11480569384287898,-0.025066142084949956
CCL18,0.01781477527213474,-0.029457568501938515,,,,,-0.021922625483520388,-0.04074889745096995,,
CCL17,,,-0.022571495110605588,0.007032723156750813,-0.012563672860904911,,,-0.01579757607750867,-0.01429632362260359,
VEGFD,-0.029140731633344227,-0.02945757785609622,0.022554803566754177,-0.014148202165941128,-0.013464877343902263,-0.07364145864695354,,,,
TNFSF13,,0.008980524495312165,0.05688157213546345,,,,,0.14195002818580826,-0.023294666077384577,0.042144187567062154
WNT5A,0.0024125707720805086,0.001941955056131371,-0.000834308467648244,-0.0163276998095866,0.00689650114034846,-0.060354478381009095,0.0764716621145056,-0.008560759476318906,0.04440303431228891,-0.036724627287194625
CXCL8,-0.09584579651068408,-0.004936818257557767,-0.00790891551437187,-0.04520726217712502,0.05599633950335784,0.021355013157120954,-0.001791609243622295,-0.08595361057496315,-0.02338522777675445,-0.007903493487826593
GRN,0.0053001093738713565,0.04574476898547271,0.013799762410294349,0.024954406308665883,-0.0008542122198826493,-0.06708839449789611,-0.00652025880258472,0.013261247453215757,-0.026669774370774238,-0.019818487179183032
MIA,0.007284853034024561,0.004062137924230461,-0.04069895002577715,-0.015182533523772457,0.05677998039560141,-0.009378748028015303,0.0339545523200967,0.026909539629980293,0.040705522544322574,0.020059483570591344
COL4A4,-0.029335232057530233,0.10859218156731155,0.04891595959419676,0.025890257432213945,0.0010471443507713693,-0.057662712432493636,-0.027717048407221542,0.02393207375023921,-0.02126305539884245,-0.03243205085909569
TAC1,0.06307615905122654,0.007471181688794137,-0.0012879931203223294,0.03230070745327321,-0.031701683214168844,,,,0.025177057856005165,-0.02044968380216209
RARRES2,-0.01325638979268151,-0.03770243498154359,0.038801576426449456,0.032816387869516114,0.00967482870766252,-0.0445685780987588,0.08349865848038253,-0.08801832751364626,-0.024721343082564292,0.004457128968211002
FGF7,0.010357832190429125,,0.057030299968722886,-0.03160527713316006,-0.04026710166805784,0.04023124153264085,0.012276565792841908,0.10365304869660234,-0.006957173959454726,-0.04555899625061727
HBEGF,0.045410272087153876,-0.022655187136622398,0.023837228347196964,-0.03313774813272613,0.012360215692585545,0.05961935253207849,0.00650407590674995,-0.014648621460033049,0.0055068919189103305,-0.07382321333550473
CSF3,0.0543142553249961,,0.05266853768155236,,,,,-0.019447909356648193,-0.015051823306374041,-0.018964786100495238
PI3,-0.03475192935756686,-0.030990604046801894,-0.008616316573632566,,,,,-0.11392281147553684,-0.03270261156667492,0.052840947199384244
PCSK1N,0.10017017274674647,-0.004181477906861518,0.004245812187399943,0.00833073342823878,-0.07020680489793431,-0.047170828381147306,0.07020792148693017,0.02507093121419539,-0.045050474894125656,0.0440532497467063
NTS,,,,-0.01583826727519615,,,,0.04878071831357369,-0.022289697831788517,
SFRP1,0.07268731396917931,0.03365157560645056,-0.0196945019533321,-0.01892873773646374,-0.025450019582461195,-0.005896128370260363,0.020471343229167584,0.026145345653267326,-0.021771741723831683,0.04892718715036183
CXCL13,,,,,,,,-0.03548459482699992,,-0.027671742402538203
MICA,0.04681612889085191,0.0034326304138763016,0.09744167406747023,0.009992375148188869,0.017581429255432972,-0.0489944336142972,-0.024584787791641433,0.01002561955967929,0.04692913648700103,0.016769027835081524
TG,-0.023384843684645756,0.008232650300775099,-0.007766268058530667,-0.013378610833659502,-0.018872409408241853,-0.02753807888831589,0.043761836162919204,-0.020991028986629707,0.02816248396431462,-0.030494403327176886
ADA,-0.016598253401410017,-0.02682237258365836,0.07768775954058256,-0.007118652710631856,0.012077179965645684,0.030742870439710912,0.01765312762576561,0.07258589492260234,0.06588449850394569,-0.026211105685949372
LAMC3,-0.05198728296787618,0.02432346988463743,0.05217656881203084,-0.00683052396982229,-0.011657009193599558,0.05858734514455114,0.010088688582442797,0.055397291678590706,0.05036020423966633,0.006458370181367137
CCL7,,-0.018737502076788877,0.09559899830711681,,,,,-0.023676925189075732,-0.015772851781249788,-0.03992276406482767
NGF,-0.016900847705810195,-0.032171360578615055,-0.0018605324591369138,,,0.0009189564574945551,-0.03257840555695774,-0.02734495311220489,-0.009479983095541664,-0.011474582753336862
TNFSF15,-0.020908457895450563,,8.110402720057438e-05,,,-0.03121362203701886,-0.011234451885236639,0.050019088791211266,0.03308641025991949,0.021898029203843396
HMGB1,0.04174874277687033,0.04206298108425498,0.0023289353960395456,0.0062133967049065545,0.007019761574590565,0.05478531229440094,-0.024942207476923037,-0.04411698634751639,0.04706064345373444,0.07203835872799272
ITGB3BP,-0.02032876569530726,0.03218112496487744,0.05805423543957333,-0.031914720940530904,0.006018327093941707,0.0108848045564089,0.09661906396056669,-0.05124514430730682,0.05949847857549882,0.0253812128537617
AANAT,-0.0302920971567917,-0.027185264801510182,-0.015569313824001483,-0.012031462907555064,-0.016852965414614632,,-0.02283333339677793,-0.020771344188692503,-0.016688334946837923,-0.020830458991389866
RELN,0.01104219707295012,0.03389254722478506,0.10331674658198216,-0.003364760158942444,-0.01865768735308229,0.03453188186167049,,,,0.049715433270501215
IL15,-0.029721011988827928,-0.0036239174850946636,0.006787692945166767,-0.024507233364941334,0.135659208101438,0.09556116273220283,0.03549043431115514,-0.03805395359063428,0.02705015317003285,-0.06110026441101131
UTS2,,,,,,,,-0.017688319781258597,,
BSG,-0.024459241399939352,0.03570932704594879,-0.0547775410797224,-0.04532088900028962,0.050764858609445275,0.06575916218939588,0.05078310946456018,-0.04448727436851816,0.03783680716480341,0.06410284873120553
ADAMTS3,-0.02260749467513343,-0.0003614047719324917,0.006504312256076545,-0.027747025195303414,-0.025972591292841657,,-0.027340592212945686,0.038370418105981054,0.02200486398075339,0.0355341417146943
CD34,0.05341794243313472,-0.01985455845738601,0.0322158221024647,-0.03703090136297225,0.015407263312677697,0.019803748042824584,0.04378438514846205,0.042008026039797065,0.044873308076643345,0.038656907257741194
PLAT,0.02484807287844259,0.05383494066218152,0.01857150444915262,0.0024117601677589016,-0.0028401985806384357,0.01359989007377993,-0.007645746185630507,0.06559980838760854,0.027519308055068876,0.05922677017402022
NTF3,,,,,,,,-0.02628445519394332,,
LTA,,,-0.019694501031992342,-0.011587552654506499,-0.01563034842008184,,,,0.052456384203353426,
