,MGH258,UKF243,UKF248,UKF251,UKF259,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH881inf,ZH916T1
IGFL3,,,,,,,,,,,-0.014719731069522832
BMP1,-0.02055602163934791,-0.026370508325746903,-0.039896458808811014,-0.003148493993560813,-0.04992199705592149,0.005950864971459352,0.01438899359171005,0.0390000849025444,0.03477891207359809,-0.019817818412600087,0.014563040498260278
NDP,0.05994390114104671,0.06829537845288661,-0.05605802714298907,0.012822768218507908,-0.04211154615998327,-0.012457852325502497,0.05316141477521715,0.06826756336846512,-0.06120669085840386,-0.08184528632186724,0.03097929705600961
TNFSF18,0.0779024732645177,0.025178880307260034,-0.024469139356747407,0.04233112227224705,,0.02473748235907292,,-0.03158892514123432,,-0.03862777529666174,-0.02482955469649928
RTN4,-0.0005066679997691623,-0.02866341590536625,0.03850356769755605,0.005633662245994585,-0.032783215716543704,-0.049214754025510656,0.009046454973782614,-0.015242019332857647,-0.06989898058458667,0.1561067866305402,-0.020402521851107636
HEBP1,0.02630336206789996,-0.021786927046173236,-0.03286486644214485,-0.0017765398247765228,0.004979493701172941,-0.006295056583167022,0.05316758373856447,0.05430000517564828,0.06380516058851833,0.09341696762320303,0.05880553020267517
WNT7B,0.003320509028240633,-0.04592130748743474,0.015528268123260486,-0.011757829628020307,0.008364515010591487,0.0015414970017825322,-0.003787000121841317,0.00936016702551967,0.014965569505700167,0.070952883596426,-0.017381241015020265
PTMA,-0.014399827992353509,-0.026961885568626436,-0.06243091918399297,-0.03319121051820447,0.023022836236187134,0.0007500575507292807,0.09084193782860904,0.03529027704685783,-0.11383221495336553,-0.0016447752735724614,-0.02571642425485894
FASLG,0.0024943172712170035,,,,,,,,,,-0.012766417734888335
CEACAM1,-0.011422265836572144,,0.07066438399100286,-0.010132206508054218,-0.02096100321420725,-0.007102882436044813,,,0.15665636247982143,,0.05171878769254125
PDAP1,0.01715869258418014,-0.029290489817781006,-0.03812655470523502,0.03550953917024519,0.01783672698482212,0.01007257176150052,-0.010910114299628309,-0.0016823458418206525,-0.009512676177658249,-0.06734910474742162,0.007969028320363397
QDPR,0.06515582195768849,0.026150076428066944,-0.03636358798721591,0.0585774472132401,0.008743105727808892,-0.004896206226496541,0.05766528551040907,0.01821271684684171,-0.012993878807419534,-0.01517777220550749,0.008409892975607623
POMC,-0.013193640196502422,-0.045955165101012156,-0.03691196939422438,0.0026496399149368555,-0.01006917565194883,-0.017569383597961546,-0.028582760328627086,0.0011559035909126877,0.0455651596160706,,0.08821933373657265
CCL18,,0.0018073291343452848,0.10620828728107905,,,,0.004451142648021392,,-0.038712172179813126,,
CCL17,,,,,-0.0342127146285931,0.00900870665634336,,,,,-0.011571323757501296
VEGFD,,0.07750387785930786,0.01668888458037514,-0.034984290778728507,0.01766645704338623,-0.014192471307606744,-0.019311668291889284,,-0.04361358926004878,,
TNFSF13,,,0.008334910668365638,,0.001000036671708164,,,,,,-0.018854506243697514
WNT5A,-0.033022108008246086,0.012177160542559242,0.010959815576565042,0.008152157261457786,0.009680089721922325,0.058026511120249875,-0.03446427689473236,0.0970950713164052,-0.04037693150801998,0.09457287598984883,0.06019954662724762
CXCL8,,-0.02679009995299354,0.14762909848361994,-0.03275721630015652,0.14400543576135388,0.03197684217220304,-0.026762826932541558,,-0.027896667191804666,0.07245027125851979,0.0447801784377468
GRN,0.018404340100858372,-0.03366044197979195,-0.010426095060951315,0.06306007105601943,-0.005346376965743998,-0.007804507218394038,0.005079363765104659,0.08742468640919138,0.03495659238233116,-0.08924758600753945,-0.03715048257851514
MIA,0.11466994836647375,0.019492123576646703,-0.010179962625072547,-0.031112581668369617,-0.03270987893504711,-0.039196353495501754,0.004294460776410069,0.06692486104029605,0.025217551999784774,,0.0972758480871605
COL4A4,-0.002962173454139523,0.05914417575107387,0.08015092977998123,6.192088493861573e-05,-0.002908657997130503,0.03414810083003401,,,,,0.053375978743080754
TAC1,-0.02016108252901993,-0.046366082755674984,-0.014553214966284122,-0.02358638231566306,0.02488493852392389,-0.03312839445791598,,,,-0.028128380814458873,0.09171573575787809
RARRES2,-0.04754676033284086,-0.0686698354206654,-0.025286592000208562,-0.06133572618926502,-0.0017694079325731714,0.006823742369838042,-0.03724897742413276,-0.10966906364982679,0.050836404346703425,-0.10059021376397155,-0.026180541332407097
FGF7,0.037974852428648426,0.013602204760957188,,0.026097892038435266,-0.017437461391367162,0.02099078454690986,0.01926696212143911,0.0193797740181286,0.03764306230779879,-0.08951077952227361,0.05261058685335896
HBEGF,-0.005327303843031545,0.003252599679448486,-0.0067616543609515314,-0.02606215060890257,0.08370638180334887,0.037806418338000684,-0.009674635179549416,0.04981166762206255,0.02101351692169692,0.07418556429145277,-0.028947195870841946
CSF3,,-0.037021103591597486,,,0.19258809441621433,,-0.02901242599852753,,,-0.034717553388711846,-0.01218281882926756
PI3,,-0.0006056307618533258,0.046548979180733224,,0.10539498841122763,,,,0.030867186262447634,,0.004976549344570388
