,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,,0.05227541304009102,,,0.022055641069979075,,
BMP1,0.015972734490846238,0.0026800207505715025,0.07540629930765039,-0.019084326386134012,-0.007971133547478661,-0.03345641183353309,0.03433690145314485,0.029559974532470026,0.0007529899530641725,-0.038151115849760074,-0.05596469363173343,0.09582276412688624,0.0228046774603009,0.012830918826679824,-0.034028455760032585,0.015241285934292083,-0.0029233345515890575,0.10844768385233478,-0.06648008054241789,0.0496654831661316
NDP,-0.0035108553268602244,0.02689851182044663,-0.014935101647513112,0.028847461018889253,-0.03677588180613976,-0.017279556992224745,0.027310575557629415,-0.0135312537309496,0.08966238907507103,0.07574618606565271,0.024275982248033748,0.01065378769442732,-0.021156703181831948,-0.0062139736219096724,0.0016022111816476274,0.008971397494271064,-0.045145160345187035,0.08804985110067706,0.11132934431282399,-0.03885122075472389
TNFSF18,0.10310864890343706,-0.01868161817231398,0.067462590762219,-0.02772720186201648,,,0.004095502933831227,,,,-0.029395999156425993,,,,0.01370766424077053,,0.051687050433070404,0.025802319101926097,0.06782434486157439,
IL36G,,,,,,,,,,-0.0008114129616594286,,,,,,,,,,
RTN4,0.011873366208602973,0.033051118320407455,0.021121355142518214,-0.0109824890532733,0.017625314402057415,0.04841284384745086,0.02306290874121951,-0.06840222879201399,-0.12123754774630968,-0.01700685744494673,0.1130701010931978,-0.08640447260240938,0.0397012765214162,-0.010364253422885533,0.040055246231436345,0.0414819585908288,-0.06739515795646332,-0.02636701111551069,0.0300324939807151,-0.016110930175667462
HEBP1,-0.0037583311129993175,0.05401752052287449,-0.009750826936163958,-0.009287508473848224,0.019836413860295755,-0.07589505873985042,0.015813939373162316,0.013025214029457959,0.125309226990865,0.02885838996957324,0.024246956457332724,-0.007582400957136299,0.06965794375579532,0.016432929598428445,-0.0336239274546367,0.0013119601017581686,0.06864122445802817,0.05732877063468755,-0.04328449129728062,-0.03593786321403527
WNT7B,0.019106862277475385,0.07163258717889848,0.00988591466281813,0.06127634049705263,0.03560026221202622,-0.014222997732237674,0.006957828058428288,-0.028516808261333314,,0.1125167314877385,0.05677874883915293,0.09252423554823627,-0.040558260472793546,-0.04426210854075898,0.012531674673565675,0.04590337423023864,-0.021817427096113,0.05200403302782586,0.05835793490510678,-0.052391091456887466
PTMA,-0.01095169278063854,-0.014810659520409655,-0.019466341693050337,0.032786074134343604,-0.007427944798215115,0.007019154223728867,-0.0443612210669173,0.08513162922299639,0.1521668185843923,-0.05674297037489608,0.06444425952241228,-0.09190792491381801,-0.0006783494288378361,0.017626661221897936,0.02770271268326102,0.026966166563547684,-0.03351351774868998,-0.06904894693707807,-0.04008008541237747,0.11307323206809256
FASLG,-0.0332685276083973,,,,,,,,,,,,,,,,,0.0004191249340576354,,
CEACAM1,0.014673803024097537,,-0.012200522018276459,-0.017638416804436428,-0.012730974609054452,0.02151130744587939,-0.009942650320612216,,,,,0.037042621768677994,-0.022726793752029593,-0.02144293091033852,-0.004878453026064398,-0.01871001236964507,,-0.03901943737381444,,
