,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.07480397913414168,,,,,,,,,,-0.022429277496056502,-0.032449600836081956,
BMP1,0.06471982541699968,0.06104629656056091,0.038880979125270505,0.019047089195011392,0.073679821446728,-0.0020329577933391233,0.050637725373218104,0.20376137785899956,0.2264776667588606,0.040581187374471216,0.028543272908053526,0.07638221636569893,0.044760218631761564,0.07537872360030363,-0.06076826045085554,0.0659944887507346,-0.013883039224562747,-0.032435344947441484,0.12629327798490847,-0.0015470378055576462,0.02429047825080651
NDP,0.024512932737854494,0.09669783104385107,0.08074296151158356,-0.05754497078963859,0.03074994091636505,0.05027063373235623,-0.018851868305801232,0.020185153631804148,0.0531924302048835,-0.07331207185021786,0.07955940868600231,0.044098774120343256,0.01905911776052108,0.06527594535592715,0.08272346817368578,0.08389619775983517,0.02368878012795707,0.0639592427230319,0.027271428543733486,0.1285245710545479,0.06016140210037289
TNFSF18,0.13194945001948002,0.10898043321524117,-0.02944921241047499,0.0014949269278413068,,,,0.025105980668406757,0.1389157900468817,0.026338633319773205,,,0.22438836490305153,,0.0005366797228209114,,,,-0.023130917981686025,0.05424193710183505,-0.03389767319548053
IL36G,,,,,,,,,,,,0.14824392239504405,,,,,,,,,
RTN4,0.031452544170847065,-0.04138162679966474,-0.051300354444042524,-0.065204853849998,0.03983008085744289,0.053053394068166934,0.03780645054054574,-0.2848006572284107,-0.23401409968420528,-0.0252147642563527,-0.028453896534961495,-0.11538244756807585,-0.11575752817834298,0.09242303389208564,-0.00022916982904064317,-0.1084934769164836,-0.011133811676163247,-0.09927213604483187,-0.027103384503672348,-0.04679130637592183,-0.002310317220487417
HEBP1,0.010509964325217159,0.025224417456038935,0.013586200393952018,-0.052329098296971445,-0.032296326941612774,0.011540795067457072,0.04269846135520222,0.11603919900313436,0.10819176729005318,-0.027259951004057818,0.03662295007786153,0.01935663053925098,0.05351893484570024,-0.05136629335229362,-0.020760021482308755,-0.034678986698490455,0.013103621508255394,0.0360702682098426,0.020278754354004138,0.09426358847107444,0.028964587963090406
WNT7B,0.03974681034866419,0.07365421328991155,0.012102491144994657,0.03662441099285293,0.002454020957015306,0.028314409112947216,0.06364646659992813,-0.0013549103588815273,-0.10026242544766724,0.13139064674786102,-0.010749564732627016,-0.04277117385874534,-0.02255256960286157,0.04215442671236102,,0.06772539451061134,-0.031527889335397186,-0.0365519625783923,-0.025467603985870276,0.018725049430358125,0.10552007242577303
PTMA,0.022130847392793508,-0.10802446949207097,0.08348178453479153,0.035627897883631215,0.15447626013969742,0.008171120165170109,-0.01341476367547112,0.3791251485174966,-0.12406136684914461,-0.09026359617827935,-0.01263484212694192,0.10521676398746715,0.032930112333296915,-0.09716285626662516,-0.03249476693265303,-0.17150911860127419,-0.06921587436156733,-0.026419227781973968,-0.05735959542960832,-0.08746762304116083,-0.05322156177033752
FASLG,-0.0014119735286056622,,,,,,,,,,,,,,,,,,,-0.02814352773479259,
CEACAM1,0.09823651648407691,,0.020288904318375215,-0.017144210880047493,,-0.05790389398046894,-0.0055516886212134305,,0.031599193069807754,0.04244459401448013,,,,0.17217906900627636,-0.03115761085098926,-0.04388429386453096,0.013591697176920867,0.0013587647796818167,0.08919159751521603,0.029591221796324552,
PDAP1,0.02120874216753839,0.07729958294510275,0.047793203776151594,-0.04511564044028527,0.01920303523706667,0.011829832895702521,-0.009018556318361562,0.1697438617361931,0.18227544570787588,-0.012670391344122128,-0.008345089595408585,0.04181985862185025,0.008906834555932282,-0.0671476093668993,0.08803246384186073,0.013278600636042807,0.010572556222430864,-0.10136043715364579,-0.019052675897620948,0.029198322240595414,0.0392454875991649
QDPR,0.02913337389493814,0.07215517759676655,0.05132098665126977,-0.08105274242000726,0.06780802132178516,-0.021481430148824348,0.06136196205382036,-0.11694685466345185,-0.22610645465588405,-0.03729374520732211,-0.07668731195947709,-0.07934385575307744,-0.06538156990110032,0.05020094352962127,0.047939402529078426,-0.1205144979335765,0.0284105442936406,0.08649087784664837,-0.0017056880068255461,0.06749299952009721,-0.022885168058195085
POMC,0.004820080422532624,0.1070224974407341,0.05604231784725645,-0.030462527501907227,,-0.018531932764186094,-0.01125471331174231,-0.04881066261626845,-0.03444298188255423,-0.027029708472531062,-0.028912063919125687,-0.035288824229813914,0.10329420872308881,0.02371518384825463,-0.06512576428407604,0.019005475626864863,-0.0059605666462983695,0.06117590658406564,0.013579472800280634,0.01581721724549382,0.04172017577936875
CCL18,,-0.04731788255623332,-0.03081242429193928,,,,,,,,,,,0.12408576464979221,,-0.04058277589537708,0.020526953384720943,0.03652593181536489,,,
CCL17,,,,,,-0.04452101585712563,,,,-0.022492180309981975,-0.013304947735461276,0.052673616086468804,,,,,-0.016758085850961734,-0.04019460864249204,-0.012911089924915855,0.0756886411317974,
VEGFD,,-0.005439795002660948,-0.0036490428798289618,0.002255677344516186,,0.08169319520493633,-0.024818807276623063,,-0.023626615907150986,0.028904626106588602,-0.009759340066355638,0.027612901760185413,,-0.045925890825700595,-0.048403970696063635,,,0.14942537033582998,-0.031189023335062946,,
TNFSF13,,,-0.01936654995039175,,,0.02147582779925496,,0.05365222322698753,,,,,,,,,0.02492167371764451,-0.03397136549610911,-0.016106844207484153,0.03275516694567309,-0.03687583328321553
WNT5A,0.030222766809748326,-0.01889125413055102,0.03699003244807646,0.07697204091181171,0.1073951131049722,0.06625796718684883,0.11150824380060789,0.21017589591610528,0.24878407429939947,0.07487910295945449,0.038438077670370094,0.04856169424665092,0.025579668354402795,0.015194195717504072,0.008064620611741638,0.07864982141864076,-0.002607078275448989,-0.011590593146993384,0.03922738467229949,0.0671612551827812,0.009662034589251382
CXCL8,,-0.14312148769511027,-0.07102423741113476,-0.02299244813411813,-0.12319168974278764,-0.010155069390063044,-0.12470531892503454,0.012536909992387551,0.015290550480190412,-0.014305513877642565,0.05296271369628045,0.022885639699561748,,-0.04802636416186411,0.005628464406259501,-0.02860820657705181,-0.07043426041597,-0.1306800586815409,-0.005470984091121559,0.04488458743735747,-0.057716517434921025
