,UKF269,UKF275,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,-0.013231771793494187,,,,,-0.02454492946721179,
BMP1,-0.10766934770468624,-0.01104790139016178,0.019369344532712125,0.0378028652085986,0.06313528624036507,0.06928992529035348,0.07186144348975687
NDP,0.030449479963755164,0.021934310761680228,-0.014674185406730138,0.10354221019243938,0.07359276676317296,0.11505101783843576,-0.04508453618255741
TNFSF18,-0.019648783884664355,-0.01262208878819351,,,,-0.025312752516088183,
RTN4,0.12854333341070123,0.012066387689105328,-0.03795380620308077,-0.03889555268490386,-0.09000110440590653,-0.09395303372312834,-0.07812797457886052
HEBP1,-0.05882739274732122,-0.009457147396522245,0.01705836308703842,0.050318466623689544,0.06622537423886186,0.061129596736312186,0.006578786243523737
WNT7B,0.12220411032583678,0.044771290118734784,-0.015270045121778297,0.0503679113672854,-0.012568453963049762,-0.003810933777015256,-0.010524143820949945
PTMA,-0.0007142308044544464,0.03477875630189019,0.04048025720439302,-0.14830414326718147,-0.0772234641328378,-0.10094071283765448,-0.0018737104833610845
CEACAM1,-0.02585668048116718,0.00924108898137224,,-0.016261969233119535,0.06443236480246806,0.05878248387000135,0.06674114406738883
PDAP1,-0.09318829306890065,0.007796614783921397,-0.091537910164127,-0.03924468925740655,0.026433620348797048,0.04076919208069235,-0.01600217281746913
QDPR,0.04496543462964474,-0.0053178548846479455,0.014985005502687776,-0.008015629606296367,-0.008234717037579562,-0.08142727209727572,0.00780949952864818
POMC,0.016311599896924954,-0.01464567369855005,0.010997046831569927,0.05797895130297852,0.0800969679665516,0.036237026269491,0.03029332785647113
CCL18,,,,-0.017010153344893954,0.17508033647510649,,-0.04044408298546301
CCL17,,-0.01574220216408139,-0.018900035240193857,0.05543493694582692,-0.045575917979435825,-0.03236107166419927,
VEGFD,-0.022166767094381735,0.06520488481244331,-0.013863404414851132,,0.07218689031484292,0.08800034250089452,
TNFSF13,,,,-0.03781085314349816,0.011185612341889263,-0.03470306432541177,0.04436022847926852
WNT5A,-0.06687095479022134,0.05362390245708608,-0.009798204455108622,0.05210461974195045,0.08471034979054763,0.08510392197421254,0.009742963731403093
CXCL8,-0.044076075264691726,-0.03140247385556704,-0.012910204991973612,0.048736870977143555,0.033040248899958574,0.07546074758024005,-0.0338235937887003
GRN,-0.08103894847139108,0.030737382987393407,0.010385170234602807,0.005922362836889492,0.03260530135419308,0.056088483869278435,0.08389370922128597
MIA,-0.02564888395665809,0.008972553781127466,-0.015766702916108637,0.12268721944321544,0.1131568969249353,0.055953536113372414,0.19595599131508654
COL4A4,0.07551636439069279,-0.016435346102122373,0.017850548039205758,0.09781420391270612,0.04532657003865729,-0.0060452548972767285,-0.018067074650726038
TAC1,0.11389103569382145,0.001438281717699857,-0.016001927772593048,,,,-0.049891713192830166
RARRES2,-0.12550963668197887,0.04015035067953233,-0.010688051193541128,0.12109875968209136,0.12432182153385912,0.029196378917157588,0.03745887298500135
