,UKF259,ZH1007inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,0.06822297728431725,,-0.03219517713884737
BMP1,0.017630640542733354,0.05132845632925786,-0.03540011519126946,0.01425907899241958,-0.09316247536742829,-0.05672636351376415
NDP,-0.003459416801112861,0.04564707935658716,-0.02868027433129263,0.054672051807307095,-0.013878464011808386,0.01553410278741853
TNFSF18,,-0.02634637836937611,,0.029507327047315523,,-0.03814497202572677
RTN4,-0.01912822643944946,0.03678860793840974,0.04616531290802075,-0.027180373877340996,0.02189629310844919,-0.014704988013652538
HEBP1,-0.0435529336238884,-0.05405054018579015,-0.01583119752983615,-0.06412520285146821,-0.007682750451396331,0.0072057723379716785
WNT7B,-0.021051242603995726,0.05115148885690227,-0.038902376146295894,0.0897871616015684,-0.001253077161701101,-0.04292007664923119
PTMA,-0.03087663150942406,-0.03672499679983249,-0.0013014185610575454,0.03599786916052711,0.008877434853513921,-0.07327507296032837
FASLG,,,,,,-0.027922866148978934
CEACAM1,-0.012671277571157548,,0.07816413930767467,-0.03929002189013634,-0.019097386102341542,-0.038850567123761795
PDAP1,0.011627699196628377,0.04124237385097306,-0.03159581521352787,0.005932053206621486,-0.00410808903083218,-0.03798329191130359
QDPR,-0.023267640297666828,-0.0038856564106196905,0.08665499624282313,-0.019468091175225882,0.037320927275033236,0.04227052646552741
POMC,-0.022636735462613484,0.04979172026466026,0.04372676632469933,-0.02165841367589143,0.019569793132424664,-0.02126211543843106
CCL18,,,-0.02785817357500069,,0.03157560483247826,
CCL17,-0.014089304340735893,,-0.015465278708299715,0.008712280812460563,,0.007886194223145425
VEGFD,-0.015697040913519773,,,-0.036869390901546825,,
TNFSF13,-0.00971848680629734,,0.02802973458643736,-0.037487416249374274,-0.0040784352032057734,0.0616914975388815
WNT5A,-0.008959817491141773,0.10087849246491405,0.014483763344340678,2.8997829981794678e-05,0.0417248904890362,0.055241500309882105
CXCL8,-0.009538778285276966,,-0.012652498718523992,-0.028634774070682902,0.0921121675545083,0.017267655776910848
GRN,0.013625572005667828,0.03407390269900761,-0.059298550928747036,-0.03463558966995601,-0.021466456470620482,0.04254370477481427
MIA,0.0041366367530474586,-0.004652926717530987,-0.00022442223104643025,-0.02763343961444642,-0.05331555510686429,0.02130343662438414
COL4A4,-0.033957126189730104,,0.03311877582362408,0.023088813823293888,0.05517515263540526,-0.01565812939560084
TAC1,-0.030579429240944114,,,,0.052776300547348165,0.015424594522508606
RARRES2,-0.040320745849333484,-0.003393860904523241,-0.044481002207140824,-0.021787071691379323,0.02128066647714891,0.034858435676335627
FGF7,-0.024974599189830773,0.02619671550845239,0.03967960618805149,-0.031085164777091546,0.012850844519502221,0.08692517375445555
HBEGF,-0.0045399604810030594,0.0746576153636932,0.007503408998881802,9.810875258674591e-05,-0.007148415282789067,0.020424609157593254
CSF3,-0.016793222284917524,,0.030643440062263713,,0.0005754050417259741,0.05258408138863694
PI3,0.03182909259932661,,-0.045887099193257105,-0.029702112198450963,0.017238584401145035,-0.009391007725270106
PCSK1N,-0.006294281900282115,-0.025509943836711825,0.04512004311348115,0.05847441945047181,-0.07248098969019603,0.02678020924137426
NTS,,,0.01672805021729658,,-0.03234734891693701,-0.03945970179488021
SFRP1,-0.012293462639492327,0.030711529062137467,0.047579852863092256,0.05159799265750414,-0.0027632580203879676,-0.015319458863425433
CXCL13,,,-0.009103090442211175,,-0.04466037610638705,
MICA,-0.03366666915353794,0.05229643392266878,-0.014132277548127316,-0.03649821347060409,0.056329315092768444,0.04145482449163285
TG,-0.013266593893466174,-0.03376411410307995,0.021931688013350978,,0.06192514961953197,0.05772611874028987
ADA,-0.041508896912697886,0.06456874706303743,0.05110040460143196,-0.08496498647239568,0.006187348100541896,-0.007609234205841658
LAMC3,0.06136859623758811,0.004450516513733943,-0.026498968895237344,-0.06690138118380189,-0.057241278114263966,-0.04109025980436698
CCL7,-0.00959172618855019,,-0.023178888027381755,,,0.004356282589353458
NGF,-0.021977094539860673,,-0.026769760061337754,,-0.030083574849240024,-0.03449926452130437
TNFSF15,-0.010680856236269102,-0.031121966063174133,-0.022596813062052863,,-0.017001709903376967,-0.00867977784397318
HMGB1,0.021352167099498564,0.0009525871882060328,0.008191671477959028,0.04187613376429227,0.009234149623786618,0.048553632867419476
ITGB3BP,-0.03884103511970159,0.026777269267555578,0.008782118012231409,0.014536618299853362,-0.012492110377652408,-0.02476804402162492
AANAT,-0.009718487843532938,,-0.020334425069267397,0.00361082405746052,,-0.02954354632462344
RELN,-0.01686911848920837,,,-0.023905647174670825,-0.02053622304839776,
IL15,-0.024885046897335797,0.14541141347743805,0.021562745736073113,-0.024049359470868267,0.054759447958987933,0.029892566219674593
UTS2,,0.03631124136051083,-0.017316251174011487,,,
BSG,-0.04106773044909351,-0.02001776220256956,-0.058462328348037045,-0.007704336281807723,-0.007020685403613311,-0.0258384286183951
ADAMTS3,-0.03211052271040631,0.04466498539481789,0.0027428059700054935,0.037434248830051066,0.0414623664820326,-0.002402252327800135
CD34,0.04988978700559766,0.03091206642105342,0.0442371423679752,-0.059590491367278856,-0.03203591069737432,-0.023589063886301064
CCL23,,0.15129672894874308,,,,
PLAT,0.001107739590812884,-0.04661415393354222,0.09468825850392511,0.07482178240401881,-0.0543256572931695,0.03466507188814572
NTF3,,,0.02915842233632411,,-0.003045265198433121,
LTA,-0.012293462064384824,,,,,0.02499276367902839
CKLF,-0.02468754634509193,0.034607410479378695,-0.015311678597354328,-0.0256195659532036,0.01604023503958974,-0.03535961096354105
CD24,-0.012664044054373809,-0.020192641111840083,-0.02710750845317111,-0.02912422107233652,0.05599823215234033,0.07987945729672986
HSP90AA1,-0.021237642595697683,-0.03545303442823388,-0.008269414293873872,0.08435540168728992,0.005452197398806357,0.04643177762000537
BMP4,-0.02868212276535538,-0.02688749985922152,-0.002985721040901916,-0.0019686892659466185,-0.05221533791717297,-0.04372088530400348
SCGB3A1,,0.04581410535401202,-0.03527924746249354,,-0.03530718668132197,0.0602052117790783
IGFBP4,0.03952711781962523,0.025302301209480946,-0.031734872308339046,-0.07205970841849248,-0.026490494168530443,-0.043506493009427695
RSPO4,0.029746033120950026,,,,-0.023777887638600077,0.032437665700218894
LEFTY2,0.015249743123378194,0.00903086218596839,0.023387885105002587,-0.04517001623015364,-0.03233635628217039,-0.017546274742952766
PF4,-0.008368592131236377,,,,,0.0383497323230233
ANGPTL2,-0.0302458719343077,0.03770954639117909,0.010218117001231533,0.006388893373859848,-0.06129562881937899,0.05777805386702612
LRIG2,-0.03483720625545198,-0.015921821181287397,-0.002008801509160704,-0.09109316919001603,-0.03041255223948356,0.07950319037050557
ICOSLG,0.019113514578697158,0.12081594221586373,-0.03345843659855355,-0.02031345312583057,-0.012801024034327901,-0.009737151211353639
WIF1,,,,,0.08339852453130188,
NPPC,0.009606478872373038,-0.025946737605966125,-0.007379803708786002,-0.027838351948383647,0.026945520443576815,
LYZ,0.019227450764138523,0.011718107022706032,-0.0064411595780089256,0.0036071373904121343,-0.04638094511208803,0.02246545976188169
EREG,,,0.01586004620909952,,0.0359961753293409,-0.02275556481315498
SPTAN1,0.026457971164066677,0.058962776574650815,-0.005028248064073835,-0.03315918712593861,-0.013633684511426403,0.004021242684742341
PTH2,,,,,-0.03781476275702884,
LIPC,-0.015038983330419553,-0.02751385921614233,,-0.040066041650677404,,-0.033068287902915106
COL8A1,0.023085104028139607,-0.03875562004653224,0.010820700728938929,0.045868382832897375,-0.08613774332437965,0.05681809392652604
GSTM2,-0.020667410414274293,0.05842129609030867,-0.03144698517675676,0.011049982455283774,0.0012684650683185705,0.018986715209450715
SPX,0.027430588449535904,-0.034397377990230994,-0.02337002263087645,0.049709231285038014,0.009058789002250673,0.0012571567129598294
MFGE8,0.01993629674291165,-0.011998375859508458,-0.04148412306222644,-0.01906262952263639,-0.09569726470538804,-0.06513758105975553
TGFA,-0.039002921625087957,-0.05899490146875731,-0.0017642599396574799,0.022141475706633204,-0.04071837555116333,0.0055787640409879075
SLIT2,-0.005105886072598749,0.0590454785760627,0.016771737017751205,0.008959385216017331,-0.02026347181549952,0.0761691014458066
PLTP,0.0335709992028144,0.021985892494136544,-0.04555295618435459,-0.04961484990099909,0.003801380963521486,-0.010663250200954853
APOD,0.02759777273584892,-0.017396304912353486,0.05985976809624738,0.025519409008986544,0.018976013278916317,-0.009300622099148647
B2M,-0.0070657146630040205,0.051538709432889664,-0.01818391270693249,-0.05104206819540699,-0.04023759247403807,-0.013395461994206633
OMG,0.06337349802482604,-0.005956594596879534,0.06803065820946966,0.007991871971892286,0.028344997213511552,-0.0005319614394285683
CXCL3,-0.038375316686251534,-0.02674071511127618,-0.05304552478944769,-0.030450563377291295,-0.0403605128197889,0.016006694652392895
CXCL10,0.014179360034696886,-0.023728022072322278,0.011507607107665645,0.060911904298948216,-0.008905632253724228,-0.014320999594852694
RSPO3,-0.009718487125446717,,-0.012145250147216154,,-0.04731297480586575,0.18178954596148011
CORT,0.08776823584910287,,0.0065937058208607804,,0.007348351500780419,
NCAN,0.09089353341851654,-0.0119234559664664,0.042883943479496194,0.042735329185493276,0.004051655999333996,-0.042427113079341015
PRG4,-0.009591727683278334,,-0.025387296640289395,,-0.011525076315225539,0.03279955347315996
ZG16B,-0.01113237304225662,,,,,-0.01223236663663594
TGM2,0.05440423044537141,-0.023089097578195297,0.017632346245865425,-0.0041487827585254666,-0.02570245843980174,-0.022549181995685296
VEGFC,0.032788684548913996,-0.04425954092224356,-0.02982989732104576,-0.014311393294736791,0.1306852866140155,0.0029203115514008964
WNT6,-0.01326659444430219,,0.04585867649291979,,-0.018821376996538533,-0.022890829221656386
NRG4,-0.011673571372507224,,,-0.03225175013545017,-0.03139931756044243,-0.02833624219094425
PMCH,-0.01617487041707435,,0.013690416165619876,,-0.018078430647647935,0.02749192065180911
COL9A1,0.035070652369179035,0.0016403796726231516,0.03973311518562889,-0.06784661507450233,0.015450683373305447,0.04828098126989586
GDF11,0.0008437437886035447,0.025255113773025153,0.012300456689699516,-0.0011259767981810797,-0.03332441958705217,-0.020998039654448433
RAET1E,,,,,,-0.031084656349034172
IL24,,,-0.01756557752035067,,,
SORBS1,-0.011732124695796235,-0.04970157468214346,0.02868914560922706,0.010131835152039652,0.022937010508749488,0.015934533722350205
DLL1,-0.028512507808450202,0.014824538779468833,0.04375545678682804,-0.09132566502504193,-0.04491915959972898,0.022054032341427002
TLN1,0.022373736499996483,0.007679600727912599,-0.06276205897060466,0.03101546925237206,-0.01239233920276365,-0.02333166734980968
COL2A1,,,-0.03840065517393128,,0.06761430365672132,-0.020466673106084854
SHH,-0.009967379890960115,0.05971354938724211,0.032608325321305434,0.031017794995785,-0.024241583462058187,0.004386160379997447
PON2,0.009520042072932394,-0.006770215267835831,0.01806378122686659,-0.051770225852781716,-0.04970064616270962,0.021741744909210083
ICAM5,-0.015534869006609116,,-0.04910062088982642,,0.043401128458388304,-0.05361978291121813
HPX,0.001730627302374585,0.08226002626981913,-0.006021368481034711,0.0817810014306015,0.007351980165366425,0.022745011513662386
SFRP2,-0.011351765532237127,-0.03412968769705077,-0.006724064341910414,0.023693219247508977,-0.0454798823944599,-0.02915989231902338
CD70,-0.003678768814786689,,-0.04230803974513493,,-0.010685646432785184,-0.0011609114874877116
HP,0.051780890181336914,0.07014634862104928,-0.05783766119371301,-0.04130618792559999,-0.0342047893789143,-0.012829099700722104
CXCL2,-0.033023011378667616,-0.017393590484047976,-0.027625443571497866,0.03279338508649934,-0.03722070831318161,0.027562342116555547
NPPB,-0.02747821518557702,,0.029865127062657683,,-0.027020083092902745,-0.0005886110864579838
CCK,-0.03049831396937422,-0.027513881423593282,0.010137441966538931,0.01779061309680712,0.02256675215733204,-0.026275505449890577
SEMA6A,0.00488175725641379,-0.014396733900727557,-0.004011321926048465,0.034931865980852704,0.00997719014204297,-0.0011709777433835439
IRAK4,0.014177771194130315,0.07509892716376754,0.06504758576878089,-0.06446246036444545,0.01747387976901288,0.02355742376574576
GSTP1,-0.01929332232880708,-0.0033503754151176578,0.02483942812539014,-0.017703966543572626,0.013774123366261357,-0.0004047970109973753
VCAM1,0.03261041340347271,0.05341882900941732,0.015578780168455006,-0.002139060284735122,0.03395136257888068,0.06277175644484434
NXPH3,-0.0015039976667668073,-0.011250116390337185,-0.0017856944940054381,0.018787941953653273,-0.03380743933961186,0.027870751120546794
MTMR4,-0.006615229676546688,0.023565931271925356,0.06573324969095526,-0.0013937145935271414,-0.02275517780848627,0.00046618131127569204
LAMC2,-0.00815795102241229,,-0.021595275184956294,-0.014694997980040444,-0.017547936777644817,0.008533962902908386
IL10,-0.0012958424252641292,0.055580262137152975,0.004373966174844932,0.0031383080965042562,0.003438054307667232,0.12999204339367515
SEMA4D,-0.01449609872620756,0.0688667003114848,0.02214180252551113,0.007900931627367883,-0.019229909219893135,0.009949159123166771
TRH,-0.011050600318625299,0.002402265610195011,-0.006084108549098153,-0.021253651636337304,-9.302687304957538e-05,-0.03219516492833036
SEMA6D,0.023343022306244132,0.03405996858938915,0.054273887964870746,0.04448770666758638,0.0072763351521253706,0.019660050415032257
CEL,,,0.03883225580670006,-0.042975154625021474,-0.007984925474927733,0.003882224241749281
PDCD1LG2,0.031142050146019368,-0.023601888983677977,0.05208412870764684,0.0490186678008946,-0.008457176456573243,0.058730772964663634
SPINT1,0.013191745184874908,0.003282605335281809,0.04085938512256122,0.0009828234706720203,0.0013568286554216916,0.1261457209184626
CTHRC1,-0.014151365227470538,0.07442355687978751,0.012180298563630388,-0.03399309471538576,0.016033458550178206,-0.01610887001554375
PODXL,0.040047585042343854,-0.027689311988500553,0.04209073532457796,-0.0646765972802247,0.04029178913885308,-0.03481650765476714
JAM3,-0.01994718808263435,-0.0341632427718783,-0.0041500919703983535,0.05664937816308597,-0.0015507752053578164,0.004465000147828367
TGFB2,-0.014363045118318677,0.042000764919114794,0.030259882109401785,0.011806020683671103,-0.00796548882079051,0.050930225649361914
COL18A1,0.07104293554130202,0.005452486986827908,-0.016209289736094368,-0.021354011558165936,-0.05668401449418958,-0.06315104863851863
NODAL,-0.003959187924179222,0.0649000061704497,-0.02625878595746383,-0.02365202853103892,-0.02006738182481967,-0.014357875724294773
INHBB,-0.03472913160717198,0.0013577199207145815,-0.01367277494017298,0.020110563052693747,-0.03682358033981662,0.07249822784446638
LCN1,,-0.01310589321919632,0.004152324488503743,,,-0.03255750312195261
