,UKF259,UKF260,UKF275,UKF296,ZH1019T1,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.016113798782790293,,
BMP1,0.02904555191402741,0.028904734690295225,0.02438629980266871,-0.013586306877732842,0.06286045762091813,0.0063002398910181456,0.017129423372739913,-0.04160708539540277
NDP,0.015090929008177347,0.020256793963228388,0.05071356261019552,0.06053803529125632,0.04062511681046276,0.10921455813915439,0.02219321280654649,0.007745431916997812
TNFSF18,,,-0.02011412547279135,,0.021977295944258422,-0.016617876259440226,,0.09259884432889995
RTN4,0.017801898891713554,0.03998904800218471,0.05107338456192513,-0.02332782036267647,-0.07878899808553848,-0.03719412644745935,0.03752682756065304,-0.03266880901250804
HEBP1,-0.05945648710207375,-0.00328807014542504,-0.005880988811745343,0.043656433514893074,0.06489728547843988,-0.06337827382162144,0.03886972206839235,0.0469399356319786
WNT7B,-0.021747769731506866,0.03235594372341013,-0.03700409801349556,0.02962020883095229,,-0.034749323609698436,-0.022338912311980718,-0.048113676698346326
PTMA,0.010018127110259487,0.017148242862508586,0.013177029111103153,0.03602023878837111,-0.007391360239013333,-0.017157608551284224,0.03997994612996948,-0.0030196080767827564
CEACAM1,0.07369370031526122,0.07028646111585889,0.0024193732458989707,,-0.005250392395225985,0.0172260408068933,0.08666413171088468,
PDAP1,-0.0013399401761453975,0.038088734951294285,0.018050879411645532,0.08099736739271111,-0.08433423565129627,-0.03396103350529813,0.06045845711617184,0.09344582145486677
QDPR,0.005421212099406035,-0.013568676088182683,0.02899743200898917,-0.0036190426946268524,-0.01473026612855165,-0.09175069742267833,-0.04049834609095359,-0.031075934077660922
POMC,-0.023385722143571264,0.058692647042238186,0.0255051649481181,0.019262055433113993,0.007470452383631086,0.0277408420108811,-0.024254469669081048,-0.008646611045866642
CCL18,,,,,,,-0.051059250181526475,
CCL17,-0.014555480274655364,,-0.0026252471666498318,-0.03353108940019106,,0.0031150712779323864,,
VEGFD,0.02002705540955914,0.07712397711625076,-0.026727256843915036,-0.035324777819388184,-0.06592038413471776,-0.02240703680006266,,
TNFSF13,-0.01004004453218951,,,,,-0.02278263608102502,0.13824089149895327,-0.028663475568326525
WNT5A,0.08157899901103081,0.013794826059823786,0.0004356848577530306,0.01346923751701814,0.017558914779292677,-0.03431936251095293,0.014074269281329769,0.012896007140945643
CXCL8,-0.04362009532302091,0.031044838735585386,0.02474853082232315,-0.032895969077817694,0.047357255833568236,0.08377876970534258,-0.06433811836192663,0.014365917308374443
GRN,0.01130335769526818,0.02044542071914452,0.010529941726694856,0.017117330984509654,0.02400355034838755,0.061059463552934554,-0.002886927723253312,-0.0222228225867152
MIA,-0.03064895830714444,-0.04075447879113611,0.006764488806258954,-0.04017449544061491,-0.053529626800778954,0.02259538323954282,0.01957086692376974,-0.007319215724202393
COL4A4,0.045335958922814446,0.09003461847173366,-0.00409958505278245,0.0001085321055594899,0.028741523931211762,0.11390123511911904,-0.0038379603683166255,-0.032035774109371314
TAC1,0.04490773050725617,0.0002024711704911458,0.10087377467413051,-0.0034231330550688207,,,-0.025580214067182718,-0.09073661119627444
RARRES2,0.01013736558840156,0.03794596154669111,0.0008205886324870579,-0.0020148412927977317,0.04413355415564235,-0.003125135588475015,0.03697014062912778,0.0211520236451
FGF7,0.03425686240679092,-0.030400709574932173,0.026131029125314457,-0.026429544270186223,-0.013811985623248053,-0.03264421766906293,-0.04127438255856517,0.03032545403123684
HBEGF,0.01724613056777985,0.00606058839205847,-0.08106579699708025,-0.007648711295372621,0.013409426652193426,-0.00783859615621195,-0.05221630830333888,0.019137271357972382
CSF3,-0.01734886335085391,-0.0301366057885716,,,,,0.050470244130577456,0.028631564773794548
PI3,-0.02993890035873354,-0.016540917923025627,,,,0.09077203343810085,0.0123171188491549,-0.009513313340944888
PCSK1N,-0.008251908519264715,-0.023976003363753485,-0.04822068083951116,-0.07389650493525708,-0.013645184566909914,-0.024232009653559018,0.014523474723721659,0.015478917332507353
NTS,,0.03568774505442704,-0.029919945478711164,0.07753531475409027,,,-0.04914692044473366,
SFRP1,-0.012700219161210712,-0.018113427058916137,-0.044225929757096584,-0.00788331772631031,0.054431012865407594,-0.046172639946491276,0.03812513464302152,0.007292225464966282
CXCL13,,-0.017950637534416242,,,,,-0.022979089524230747,-0.027333630323652734
MICA,0.00032988275787425243,-0.010726694429792107,-0.0460993909164863,0.029645823424860825,-0.019749636897196582,0.07499332592831207,-0.01271209734967198,0.03762582277802141
TG,-0.013705548624562141,-0.018819924325914,-0.025273427943147873,-0.002514744741002073,-0.009552574880055894,,-0.0174940507081097,-0.030121802066535707
ADA,0.02191472758902591,-0.007573706352316929,-0.023701271658052577,0.005147707856223233,0.06036529030714963,0.005270974397238109,0.039999992885525644,0.0894275057784903
LAMC3,0.05885707173827466,-0.02116414431441155,0.0110603692906688,0.027021059106501828,0.034796946253103624,0.006886297094108481,0.041574298276742326,-0.05462106411693207
CCL7,-0.009909089757801736,-0.023799231196356758,,,,,,0.021128753776903007
NGF,0.003101213421268988,0.0037402517052570875,,,-0.07535281318475903,,-0.03649198220382081,0.0268318469588679
TNFSF15,-0.011034256092684035,-0.01762087001693379,,,0.036883222134831146,,-0.013199638299676601,-0.009575089343909778
HMGB1,0.014376795963811459,0.05673889657190081,0.03891347283692629,0.00642580715439584,0.06576958939678204,-0.012172547673837698,0.03991431329729734,0.12058995752554268
ITGB3BP,-0.007245901004062484,0.052405140494069136,0.02429717131932724,0.014277126209734517,0.04434337063071392,0.02298416940824985,-0.06900636810922556,-0.02980549285873729
AANAT,0.01888214686024021,-0.0158774577146998,-0.022728541447645512,-0.006480648291451824,,0.03191064973604134,,-0.020575938343890945
RELN,0.016011939266758493,0.010247000182628007,0.010921557416897563,0.008758213115797733,0.0805510522979009,-0.002934903182758913,-0.015943732590478505,0.030842461489118348
IL15,0.004725644824707681,0.017277873985131455,0.015295142843280705,-0.03216630739504333,0.061056383539167945,-0.03272637489696521,-0.03219798027753523,0.06468529514201349
BSG,-0.01871273723221151,0.033920538411990164,-0.03430556786735461,0.06464278374140482,0.05390471486945487,0.0029988820940831514,0.0014490334193107924,-0.009061152753278517
ADAMTS3,-0.034256398543058,0.03241628295571339,-0.019248806885429643,-0.027076234893603245,,0.009440975582586306,0.003050919915103216,0.03976325435295464
CD34,0.03673008483483658,0.025883598574575003,0.03907822212657246,0.016079151110594936,-0.05204135486859473,-0.017023014575409858,-0.015516129348831917,0.02127506067618411
PLAT,0.09144899862899136,-0.011129935362665672,-0.05124459764193846,0.05609545453217509,0.014406766660991149,-0.000844916049485912,0.040489274958340676,0.0762085352278067
NTF3,,,,-0.015564220122655329,,,0.07535952672253253,
LTA,-0.012700218567074498,,-0.021889954098544884,,,,,
CKLF,0.03367352686244604,-0.008486818325250185,0.014997056529763532,0.003014889503891444,-0.10459184624765842,0.0034707421939196804,0.033824072425319464,-0.005142512100537475
CD24,0.01620838134584119,0.07768625568026152,0.009409179651713053,0.07247313480557038,0.027889545742267173,-0.015512573404196518,0.0419879996948916,-0.08070150711280641
HSP90AA1,0.004944813475938159,0.026724925610029704,-0.07141754316991406,-0.009991349739188455,-0.029313342029888365,-0.04289700904965909,-0.020511596127325154,-0.06381424089773628
BMP4,-0.019489600851535668,0.018725569309085456,-0.027859945671882855,0.04667839963136251,0.029139983015679875,0.03618274050391781,-0.02002044234943503,-0.04751115775641552
SCGB3A1,,0.07919376179194845,,0.003109660042480837,0.028428420037328473,,0.029720893501248645,-0.04134746739085488
IGFBP4,-0.055926531212153525,-0.04922750013249053,-0.03619661871342717,0.013679492546838787,-0.004685781033506244,0.011349477289128294,-0.025393412350160943,-0.03471376537692572
RSPO4,0.010457556340151329,0.04837301221214524,-0.02545934924309323,0.05508476081948409,-0.005244493092870146,,-0.018460467690813387,-0.02594544322015181
LEFTY2,-0.005734071950790575,-0.03387268781168843,-0.033887678639084574,-0.028827723109174794,,-0.005037913026959531,-0.02510501645304191,0.003847423045088645
PF4,-0.008645485592973219,,,,,,,-0.020324533789179144
ANGPTL2,0.0347479213078483,0.009787622943252033,0.05682090962466657,0.09243236871204433,-0.05181668553221506,-0.0014643145300483164,0.011499168599078664,0.03974704412074507
LRIG2,-0.01708287145465463,-0.027653864392382693,0.02931495916894097,0.02853006243397398,0.012160291305567247,-0.03557422809485092,0.03359342492907587,0.026039509249645876
ICOSLG,-0.029547447575983144,-0.011429179017246584,-0.002775093368132548,0.006628967959901028,-0.05672211358007531,-0.03150918383302468,0.0314846349030301,0.061843598184226974
WIF1,,0.09078432605205253,0.010014938942277387,-0.001458728042942101,,,-0.01716079283469864,0.02933737890205933
NPPC,-0.013411280187000166,-0.03806856271764325,0.07575084967911844,-0.01021478502024473,-0.05580025119339908,-0.024931603248475664,0.018049092966002437,-0.04884454940209319
LYZ,-0.004603752327510447,-0.02979517881127619,0.048044626727538634,0.001869146310360156,0.0018808800372410728,0.04417745870120902,-0.049744355486882504,0.023009017310502748
EREG,,-0.007099679138901686,,,,,-0.006906532312932947,-0.023399559184695055
SPTAN1,0.03859210579805435,0.020492565014678953,0.05362082509914694,0.004561177924663504,-0.011047034397319536,-0.03046653799059106,0.053146428596359124,-0.05125942580482073
PTH2,,,,,,,-0.01590535052267771,
LIPC,-0.015536581503452666,-0.021128267342260896,-0.004827844406841994,,0.008921572565753584,-0.030602285342794674,,0.0019417119158210282
COL8A1,-0.024544948805615478,0.08098479846167127,-0.04913830108285203,-0.041757678991367224,-0.04440168914649186,0.057721948122471126,0.029116482185891,0.05165437157712208
GSTM2,-0.007072664078701944,0.022489662755488287,-0.014634909003406244,0.05222977976145551,0.040781397351907146,-0.044051724472534935,-0.01841110675731304,-0.03709899821920599
SPX,-0.014154885372213774,-0.001317139831088421,-0.02134107606393402,0.057930599548317314,,-0.017373820714037716,-0.04543020570890702,-0.013715185581071413
MFGE8,0.00824529697448149,-0.03473419269918648,0.024976838695257533,0.03455329831001668,-0.03189021222093161,0.03106763601125505,-0.02704346608106781,-0.0332323155613636
