,MGH258,UKF243,UKF248,UKF269,ZH1019T1
IGFL3,,,,0.04509917051722643,
BMP1,0.027282143866425815,0.014364275755033146,-0.014883181837495119,0.09997580125611912,-0.013618871319337467
NDP,-0.012991334959441384,0.024744011749666683,-0.03797223913469106,0.029385720443062917,-0.018359809419494635
TNFSF18,0.07086927114090832,-0.01991359280752992,0.03949168176670402,0.12607002891784216,-0.042222380205653116
RTN4,-0.04488779029145743,-0.04978366459637053,-0.04160136088825897,-0.09089555430764198,-0.04950346782155949
HEBP1,0.02738506671736947,0.026536501386815247,0.04308154405888932,0.07782278255854862,-0.007117454567385404
WNT7B,0.17356654995586074,0.05414434383142456,-0.02835893472018176,0.004352554723925446,
PTMA,-0.01964675121784555,-0.044544682145506755,-0.00968867137456413,-0.06068341742244415,-0.012554473047725436
FASLG,0.06859721162369294,,,,
CEACAM1,-0.02942093388117379,,0.03153656841376654,-0.010195539962553114,0.03203889349304668
PDAP1,0.10646206314352771,-0.009657201211672803,0.012458292866561308,0.09264880225991659,0.008447000053733122
QDPR,-0.041625552130408715,0.050640521532075315,0.033860081879425394,-0.05353887028172454,-0.024702171403660177
POMC,0.056739738234014646,0.003842895562589919,0.019703832355819177,0.05322379137307614,0.004983414201108974
CCL18,,-0.02170100836139901,-0.02457437760009807,,
VEGFD,,0.03541747775582992,-0.024574385403613945,0.07043094455336321,0.007843076430384045
TNFSF13,,,0.05353742035222434,,
WNT5A,0.061225886959542244,-0.016857977088802534,-0.020440798374705513,0.023828060264358696,0.03933356120459058
CXCL8,,-0.04559763911713644,-0.010038320784047608,-0.04343374409666801,-0.06476476067044597
GRN,-0.046875878895143275,-0.051237594788424386,-0.05111262734274751,0.0709021074247459,0.10065812922488643
MIA,0.037981021707860864,0.0077292258865005814,0.030475800318060433,0.08016482108781083,-0.03700680133386414
COL4A4,0.013355780746880307,0.02146565913265884,-0.029513627836650045,0.13727034354447007,0.18191645757863723
TAC1,0.0012565021883085992,-0.034096802328186515,0.022557694808599173,-0.07013911747357893,
RARRES2,0.0822809960546326,0.11574733654665977,0.011281059904145163,0.07673169146076889,-0.06880438571615309
FGF7,0.028143561036610254,0.11274287229862834,,0.004197836789454113,0.031614909449779016
HBEGF,-0.0358514422302089,-0.053344036809211216,0.022948998012849664,0.06046718872431847,0.0796651621947412
CSF3,,-0.012288269549769608,,-0.013593898989984532,
PI3,,-0.044803000563961005,-0.02585328133417121,-0.015306909682768722,
PCSK1N,0.035365026750713395,0.005651377149834854,-0.0007824874714262415,-0.040383909454080685,0.06184720519469594
NTS,,,,0.00597663545491315,
SFRP1,0.014253007829623576,0.08789201228061437,-0.022922319965582312,0.061068430746014896,-0.012485346091261396
MICA,0.011007950147869035,0.060213496149024756,0.018732957817793723,0.06823654094336182,-0.003996201379921593
TG,0.04990891708349578,-0.04363228356325023,-0.0006345038883248434,-0.016406619862291312,0.018365584912504097
ADA,0.033981156594105076,-0.026515853718357903,-0.02019120679304277,0.04211057918625313,0.05853963914504449
LAMC3,0.011169632678812122,0.05621864090187893,-0.012436950083454416,0.10833373159273249,0.06527046730100211
CCL7,,,-0.0156313801421638,,
NGF,,-0.03153421034169246,-0.013838319373991013,,-0.042484728458548754
TNFSF15,,-0.03901175376953976,,,-0.045417504994997894
HMGB1,-0.028765608182828598,-0.02142292904470528,-0.003686003933337991,0.08383760218774591,-0.06179252957965728
ITGB3BP,0.03590090830963449,0.01529955415569325,0.030336162338052003,0.06803585975139202,0.05770051485590611
