,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.020467304182293308,,,,,,,,,,-0.0175433633812957,,0.03635379443304915,
BMP1,0.0789348030628147,-0.004746418710446973,-0.00761536583394385,-0.02042867015537897,-0.012403244589856066,0.1319185926876413,0.04528104504980396,-0.040309518968236306,-0.05639718616511768,0.04395615563231684,0.08481792356549975,-0.0159801290157292,0.004563026879367033,0.002646303037410298,-0.07262270061544851,0.033651197174701226,0.020087151072494317,0.047759313344729104,-0.03129680129365466
NDP,0.06185023366565586,0.052687327351041556,0.09317007681972882,-0.06913848374998638,0.03616264233370681,0.041439621257495174,-0.046227230947127676,0.06687279663043269,-0.008780691919238822,0.02599412571041596,0.025352977852688235,0.03581227315322486,-0.0430666916055473,0.023398866354818963,0.015581035765757239,-0.06690153788071923,-0.010055785854891898,0.10173090515979417,0.006413594649603963
TNFSF18,-0.03179350607720056,-0.033159627050964965,-0.021585261497890605,,-0.0118330304882849,0.0008282003082821269,0.05626720787397702,,,,,-0.03158893444949005,,,,-0.01809216099658186,,-0.010710180732021716,0.01718806751155859
IL36G,,,,,,,,,,,0.026760629517120094,,,,,,,,
RTN4,-0.057461319280443145,-0.015715249290238827,-0.04655032093870486,0.004214754415155671,-0.011722893937691803,-0.1479759531707114,-0.06681429741385637,-0.03138618229749517,0.07454149087581338,-0.044235136381651115,-0.023748357709917747,0.10336805695298838,0.10449318351442097,-0.01168848002274795,-0.02104246193842616,0.039837073596179565,0.03221610618141437,0.022300260063340148,-0.07758566932865958
HEBP1,0.03662877084578106,0.0148903551310709,-0.011733055459357404,0.003991003860780913,-0.02681577731176747,0.03126801475188192,0.02387437003568749,0.021291549694649452,-0.07942967863871139,0.027058230045146035,-0.00026527337130348634,-0.003301590398375464,-0.015071206229015663,0.03713932778064529,-0.062729271579204,0.028735918211699133,0.0447389798015965,0.05496438456185405,0.010517397475389868
WNT7B,-0.06541138356436334,-3.1485725747324055e-05,0.06103619956131583,-0.010539980516058355,0.027360445115048718,-0.027036211304794614,-0.00806084542858068,-0.016779664093727158,,-0.03074655643775758,-0.028385152837069317,-0.01156000064075482,0.005000295996416653,-0.031832992606629584,-0.03116907278288708,0.005810405618996765,0.09309934900824429,0.02463247521729291,0.027463017435337633
PTMA,-0.0350608656350046,-0.005153336049431306,0.03347253453061372,0.0360000256997116,0.02842539582381497,-0.09257040908802162,-0.011808864785792392,0.04389810119594865,-0.08998371232869126,0.06442357667393146,-0.003440251271960557,-0.0009823557263128064,-0.06475000370121706,0.015074749748219499,0.01340978217816419,-0.0018369625154114775,0.05131465291969699,-0.05414936412714632,-0.024310374967581757
FASLG,,,,,,,,,,,,,,,,,,-0.013290555888968447,
CEACAM1,,0.053130822957691004,-0.015300313663736805,-0.016857065178754866,,0.02273341300862312,-0.029280449942411156,,,,,,0.07066186239714531,-0.023621185595870845,0.03631719752997469,0.05316859223174352,-0.014826660991910582,0.05689560810161764,
PDAP1,-0.02536190834549697,-0.001172588403465071,0.02478212482865722,0.04236661109210048,0.04494429946347201,0.13274619181982938,-0.016861574130675853,0.03319530674342966,-0.050940217133191745,0.06685972939232476,0.01897362289673462,-0.06633812676194928,0.010748485778131497,0.008037111142936924,0.024112225862546962,0.03477847666563128,0.011224834401699387,-1.798980799415534e-05,0.02506528522882978
QDPR,0.01510065259021198,0.01920598668860857,0.003850937825020412,-0.018896999173810672,0.01169821336145265,-0.14440032359669908,0.053343448183070234,-0.009535024915171088,-0.049373986972474755,0.017110260649219566,-0.012318867839591774,0.015365294359313914,0.005411026645706435,0.028203132843464214,0.02801119756168267,0.02702033707697644,-0.02053826466846815,0.058860815672575034,-0.09605397469982248
POMC,0.024968926123244667,-0.004654359710084222,-0.01492761852270908,0.07844283074313498,-0.006167743460026773,0.021584164142978386,-0.021601948499136298,0.017981141293081024,0.0010991755664426157,-0.007494914791589952,0.035409941994178795,-0.03895007649631882,-0.020196715737830686,-0.03062327502699371,-0.012198514009799159,-0.006201383908233234,0.08370720759754802,0.06265045209683558,0.036366258137565555
