,UKF259,UKF269,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,-0.013231775099903559,,,,,0.025638504437285117,
BMP1,-0.034098284707225535,0.04035654957906116,0.026499022921380958,0.034540867426240976,0.058295828712965354,0.12434375524353619,0.05499161090098537,0.07076501331787206
NDP,0.006072466682396831,-0.04803067657041512,-0.01120353461155775,0.04269656899126049,0.07669481477881357,0.025862535536431194,0.13831231367222152,-0.02831103066174185
TNFSF18,,0.019457229090113323,-0.019246033495910992,,0.14308892811447302,,0.0927045660947866,0.04815653146340244
IL36G,,,,-0.01375290994419053,,,,
RTN4,-0.019278407418517305,-0.03508696301176203,-0.00014238198040917224,-0.022034293503937315,0.06372385916048971,-0.03374555837480962,0.07207950056508958,-0.12205056905657376
HEBP1,0.0007286429198932194,0.044681457993961636,-0.009725172648347592,0.01103496304489941,0.07269475229191505,-0.017313213233943428,0.1118587978904322,-0.003456560209163373
WNT7B,-0.011643166424117729,-0.002969393764186301,-0.0047059100664836205,0.029785385534240524,,0.005756964918038834,-0.012856428341786484,0.04612047601312881
PTMA,0.052864259229883394,-0.10171977209869568,-0.046003339659306176,0.0072493783311029505,-0.021715211337231085,-0.0730304427447377,-0.12247830395797468,0.028606720054566607
FASLG,,,,,,,0.071310614026434,
CEACAM1,0.032762490595031675,0.09531007043168989,-0.030269425628803952,,0.09280186257640786,-0.030822934246715613,0.013993468652833182,
PDAP1,0.04859113965681923,0.02734425909190488,-0.0017621753095521397,0.03475873219990415,0.05137397996330081,0.030932596776652277,0.04277742157875139,0.06215930150478494
QDPR,-0.027122933419384158,-0.04676820942382702,-0.030926054604878444,-0.0044028847910748395,0.06394626350348943,-0.1624438300252153,0.13797554763717196,-0.13429862030615286
POMC,0.040547361969162435,0.014225870796236295,-0.00925614348284265,-0.029465756960951908,0.04586069552215461,0.055424478015736835,0.009184283640975498,-0.015332113603173356
CCL18,,,,,,-0.032815583508271906,,
CCL17,-0.020512771057409437,,0.03391506049826614,0.1469966266862419,,,0.07844526843028937,
VEGFD,0.04136563943610062,0.06406953513603306,0.06146153914610867,-0.013464878220679016,0.027230375144449138,,,
TNFSF13,-0.014149250386028581,,,,,,-0.001042236757446476,-0.009366294661458866
WNT5A,-0.06687590205245453,0.04307078662546549,0.025396134194377768,0.026698461753659586,0.11876359672119016,0.035175123258888386,0.03203367721694101,0.015751096010282694
CXCL8,0.02486449451188435,0.12459859173429447,0.027020740041441206,0.001762971621282888,-0.00788230719865812,-0.03197003220842683,-0.01598293894583671,0.08293507753996861
GRN,0.04009487136741475,0.0031594332214086606,0.014469605268190336,-0.002628676787388443,0.02473804233957474,0.1902594032616164,-0.07288588162327382,-0.05146420198772209
MIA,0.033297459172442624,0.08058805711561197,-0.016272438891459347,0.05614548608671504,-0.03841781141803836,0.022005756764174093,0.16322217897830665,0.02662160850313553
COL4A4,-0.015013404947172097,-0.013038932230236725,-0.0028480894935792836,-0.017888228888024507,0.059285752769266925,-0.007165450469444643,-0.07199131762485123,0.17995994942945254
TAC1,-0.002030315316072367,-0.02293501729381028,-0.02188480608966843,-0.03170168527845047,,,0.009174434370046372,-0.1241838594850665
RARRES2,-0.031163491952176117,0.07627117488470628,-0.0019386966972313984,0.05178533856191579,-0.039520159289625975,0.005632224646768344,0.0418153114156944,0.1366981550236465
FGF7,-0.011489030714341722,0.05520015665856922,0.007183991710523997,0.02557273870764274,-0.021904963637726923,-0.03345470004836924,0.13301895195184588,-0.01557298866904497
HBEGF,-0.016220624895392857,0.057244793233056514,0.012540323671075446,0.0026626322677433664,6.70771401550656e-05,0.15372191927832318,0.02093785344117414,0.12547311377273013
CSF3,0.060226492451070875,-0.01379493933130956,,,,,0.0611695797775893,0.07299223079154255
PI3,0.04011709584150696,-0.015533283760545998,,,,,-0.08362836381955979,0.060173174732680586
PCSK1N,-0.039474984558045365,0.012276499182978058,0.03780479379501652,-0.021492183158213257,-0.037725329074878196,0.019984108751504068,0.179382501882767,-0.11934426634484822
NTS,,-0.016955639850258893,0.009874551389975911,,,,0.11154132884772573,
SFRP1,0.04791693887609206,-0.012916312364291232,-0.0024235821162707687,-0.026035534688610935,0.0254640103667833,0.10068554556886154,0.03176172024057269,-0.0325685783948198
CXCL13,,,,,,,,0.09254218213111871
MICA,0.023338172806452024,0.1048299913104275,0.005898651003983481,0.05260195297813662,0.031490911491289686,0.06951863368873587,0.06017770043408158,0.10538033196254773
TG,-0.01931497799089234,-0.016649257567598316,0.045830380110681204,-0.018872410637134584,0.04743327599960209,0.03573937112112268,0.05495312534720561,0.03271694521883504
ADA,0.031161020002770774,-0.002952982858900691,0.04656806856742046,0.0014684741166618863,0.07361586645512433,0.1816903279838764,0.09377306202279682,0.04088468119290262
LAMC3,-0.006019424348739482,0.018516358717542432,0.029224556825493644,0.017321143635770104,0.0984325317004703,0.22129134667225223,-0.061774549602187916,-0.01905521755801949
CCL7,-0.013964698227308782,,,,,,-0.0009465151505717443,0.05197806316858508
