,UKF248,UKF296,ZH1007inf,ZH916T1
IGFL3,,,,-0.015954311765282007
BMP1,0.17222110077716937,0.027753193077929145,0.06070253289906126,0.05985185379094405
NDP,0.023370840225722028,0.027143066144523994,-0.011445887345194727,-0.010503867640857962
TNFSF18,0.04847554352175828,,-0.0252577245950281,0.06998661389863721
RTN4,-0.006176477707124289,-0.0734234267565,-0.04202590071257481,-0.013917940994661919
HEBP1,0.029720782219590153,0.03198606291747955,0.04253637265256466,-0.026782875544509862
WNT7B,0.05521584517885459,-0.0395866713201469,0.18291539164529141,0.08304853777001948
PTMA,0.04668216082646186,0.011450540839009598,-0.01750466060517722,0.0419988789228783
FASLG,,,,-0.01383716915113698
CEACAM1,0.041160104926076954,,,-0.019252388563584154
PDAP1,-0.015011643867682006,0.021205913037615758,0.0034543435071570203,-0.018424873955569753
QDPR,-0.05360709952796651,0.007563808682230148,-0.029001701605923347,0.005773893109559893
POMC,0.0820127153541105,0.03852138178817395,-0.023208921166868835,0.016384273811177814
CCL18,-0.04176645088539145,,,
CCL17,,0.001449415365127793,,-0.012541839649939655
VEGFD,0.04185696173872969,-0.02732156522886322,,
TNFSF13,0.013312652762490024,,,-0.02043588088475571
WNT5A,-0.01573128423997615,0.035007250303711976,0.011536162799351041,0.02329980028913313
CXCL8,-0.05588466132826699,0.01710691191111416,,-0.07469261821331999
GRN,0.1754488088030022,0.01606407438393541,0.023020327689863635,0.08001178540928082
MIA,0.03244705264268006,0.03763646961054147,0.038785108046317844,0.04228800904025616
COL4A4,0.01942955634307432,0.0015344393089048811,,0.031199082200793135
TAC1,-0.020455687191015814,-0.03463864856329154,,0.008748934781512839
RARRES2,-0.1098069102821164,0.022348188191874813,-0.010635332933047678,0.024218249277040544
FGF7,,-0.008204800600081984,-0.002171197197493421,0.005550381180581
HBEGF,0.19332908676122915,0.08093586464538417,0.0874222126076386,-0.020930396479898264
CSF3,,,,-0.013204622344257505
PI3,-0.00495048266068688,,,-0.028689257548354496
PCSK1N,-0.007568240059906547,-0.045763336318785486,-0.01340313132748197,-0.034896338787681565
NTS,,0.02017690705513956,,-0.01955424509346606
SFRP1,-0.013444021068775862,-0.030220005460183563,-0.036910449744657285,0.046004761100481316
MICA,0.14716394433723584,0.08428934925071256,0.17475780249113804,0.016710096306319592
TG,0.010091220227091637,0.07305648402140077,0.08383104939379057,-0.02575153225238843
ADA,0.2065189566492733,-0.052149553276521245,0.04730784232646796,0.07157701194156697
LAMC3,0.24757852317811968,0.06414531964526081,0.042892537708347694,0.0722141919674838
CCL7,-0.0265669910995411,,,-0.013837164230804791
NGF,0.05260997706686004,,,0.07683063232729961
TNFSF15,,,-0.02983598112267137,0.022046618642926796
HMGB1,0.06537268835063538,0.08609894678416025,-0.023122859217983103,0.002820240162167021
ITGB3BP,0.007673571354172549,-0.0026312189037717283,0.06522436149349518,-0.03787784961107085
AANAT,0.035522566526599735,0.007868881044049779,,-0.01464029679607995
RELN,-0.01752159109564922,-0.0017221941655386397,,
IL15,0.033069927143942864,-0.010727806789285579,-0.050929664586606874,0.008880635032558981
UTS2,,,0.07478217322862109,
BSG,-0.01743943165688919,0.03312615227741923,0.06831939815139729,0.041876567574606845
