,MGH258,ZH8811Bbulk,ZH916T1
IGFL3,,,-0.016653372351124626
BMP1,-0.001937850526084436,0.011837383181899142,-0.013423378123483173
NDP,-0.010369257020239187,0.06888296367724074,0.06956418978080314
TNFSF18,0.003135538046608867,,0.034448998637966834
RTN4,-0.04683646726480902,-0.029289565509947896,-0.040638275601761635
HEBP1,-0.06801208282739366,0.032906664011498256,0.07669648148817512
WNT7B,-0.017945690461370217,-0.022590489149184247,-0.02389087309817476
PTMA,-0.04402177323501238,-0.02963247702947477,-0.020595468358326593
FASLG,-0.01794569553457094,,-0.014443464158750315
CEACAM1,0.01298469359693599,-0.01668742751486763,0.0009195792609431686
PDAP1,0.011780478361068618,-0.026187519438281844,0.055190912083918436
QDPR,-0.034273106292998165,0.08622617512954596,0.007064746890372758
POMC,0.019114166943522193,-0.028770413394179146,0.014303054936787078
CCL18,,0.008719121748790594,
CCL17,,-0.02408934924496393,-0.013091377975516938
VEGFD,,-0.01668742751486763,
TNFSF13,,0.08456870498893286,-0.02133130771818357
WNT5A,-0.029698931783028105,0.016807825804964528,-0.00693783438249132
CXCL8,,-0.03582659336042495,-0.030450178926540585
GRN,-0.01581134633497095,-0.05695951104223744,-0.09177356973226126
MIA,0.05816586455475436,0.13680216162774084,0.09567246923625372
COL4A4,-0.02078330210038646,0.06661862965623344,-0.03844526166589705
TAC1,0.032891654964779735,,-0.017209947536159353
RARRES2,-0.0013513091800534402,-0.04775005085442626,0.06342578084976896
FGF7,-0.03805987913491407,0.007341507852919484,0.020196079601240275
EFNA2,,-0.01586028307888221,
HBEGF,0.04603488257393882,0.06383043728688541,-0.07537477329339376
CSF3,,-0.015344648946152896,-0.013783201424797619
PI3,,-0.08160135783374062,0.07211023157635989
PCSK1N,0.04837337628871234,-0.04909626963052295,0.0971502378162402
NTS,,-0.019322745229998047,0.10130560635053852
SFRP1,0.04551070961328356,0.048643266600644365,-0.019936740914382446
CXCL13,,-0.040749588521379235,
MICA,0.0705886071130738,-0.027960864641137017,-0.026773869860577428
TG,-0.02078329741678931,0.15067635635379883,-0.026879871818992207
ADA,0.02757596134082889,0.027576867235938232,-0.03934017215261128
LAMC3,0.02805313033435948,0.042386095959225475,0.006754320534552983
CCL7,,,-0.01444345902282686
NGF,,0.08871767795672582,-0.04324328099539788
TNFSF15,,,-0.002624233146549871
HMGB1,0.03918235809108785,-0.010740360260711318,0.054478053552500974
ITGB3BP,0.060227363923469,-0.03590961055496059,0.06290101679914896
AANAT,,0.12987661048788837,0.011133890540061107
RELN,0.010607229071637176,,
IL15,0.05203370757567043,-0.03869583047437184,0.006519741467034389
BSG,0.039537886573421284,0.059367316993387716,-0.03665285676232539
ADAMTS3,-0.018355241686183753,-0.0113995911103324,0.0429019092769449
CD34,0.07389430249007102,-0.004934595487718253,-0.04255963417682537
PLAT,-0.01126511668604439,0.07372580991403625,-0.006421038150253632
NTF3,,0.060942680561958076,
LTA,,,-0.02056697551160629
CKLF,-0.01750770334256006,0.04338046140797218,0.08079995385362586
CD24,0.017501266831238756,-0.021431806860179817,-0.032590418537231804
HSP90AA1,-0.03333861688655636,-0.1005399124530848,0.029903478694055508
BMP4,-0.021389030265084565,0.0029705729507733163,-0.008563107769819486
SCGB3A1,,-0.003197895330555559,-0.03028407200302929
IGFBP4,0.10670576859143995,-0.09152333808010489,-0.030493648863227082
RSPO4,,,0.0038267175771109435
LEFTY2,-0.020577807170028523,-0.018236475968782744,-0.003642585178506969
PF4,,-0.014537047500346678,-0.020566970752255605
ANGPTL2,0.00010403698928146353,0.07058053952295029,-0.07408446081771156
LRIG2,-0.005798615439467619,0.01916163892445513,-0.012181831982258692
ICOSLG,-0.04208457947087866,0.08056978786670743,-0.018124413509853787
NPPC,-0.041727612065335866,0.06192559266956838,
LYZ,-0.020344506818223817,0.017911426960987152,-0.029725475449226567
EREG,,0.0269576757461697,-0.03106088989566752
SPTAN1,0.00705528799962217,0.027603764840975313,0.07882124453908913
LIPC,0.15824031356130647,,-0.02600443558245248
COL8A1,-0.03545371436994179,0.032653428731218605,-0.06769945725971005
GSTM2,-0.0015569396461954422,0.0019877941477967416,-0.03446680858762768
SPX,0.04111179011223762,0.004340546105426265,0.12777212931920143
MFGE8,-0.09728220442567488,0.041200482555739514,-0.00030675592296757924
TGFA,-0.05798644595874311,0.023258867004698692,0.0511910114929408
SLIT2,-0.02138902684251897,-0.0034035222966233253,-0.10568393454766821
PLTP,0.011258808764108738,-0.024671848453405986,0.045508732314019695
APOD,-0.04992143424724618,0.08216456284413717,0.04986245790894711
B2M,-0.02410063556131404,0.05045849472661661,-0.12256287721688497
OMG,-0.003708393006270076,0.11707492222769716,0.1458578032661324
CXCL3,-0.01673685532687383,0.02284405378982768,0.0431196329806263
CXCL10,-0.0032787392366170455,-0.019498394936988885,-0.041398686253984435
RSPO3,,0.11063596259743555,-0.01465728662756736
CORT,-0.0207833017658437,-0.015212281347625457,
NCAN,-0.04061198621862901,0.10165309371030747,0.14440435364718918
PRG4,,-0.02244665202946168,-0.03320270440220425
ZG16B,,,-0.018276059009131044
TGM2,0.029450542876614028,-0.015569282289895082,0.02761720587743865
VEGFC,-0.02078330310401483,0.013022072339761262,-0.0486419816206804
WNT6,,0.02975750246471106,-0.003288101218831729
NRG4,,,-0.014657288270299496
PMCH,,0.05467935286943235,-0.00509572793868649
COL9A1,0.022742304907169095,0.08642045579746306,0.08594581077750885
GDF11,0.006282099448936831,0.029781836846308304,0.014439688585262752
RAET1E,,,-0.016078941089676183
IL24,,-0.014305261668860352,
SORBS1,-0.07625423858705234,0.039120084284360625,0.04488287572002485
DLL1,0.025892726934979737,0.08910605366829795,-0.0032472791199814038
TLN1,0.02401205877379927,-0.028439945761718672,-0.08673873066601552
COL2A1,-0.019520835499191046,-0.03728388799575534,-0.02133130606919983
SHH,,0.07148986573211734,0.035452919510000146
PON2,-0.009412146199446744,0.10262245027193415,0.08217996356873157
ICAM5,,-0.04565715666369385,0.08849991737128228
HPX,-0.022173367805978273,0.1267487428215394,-0.021775902896356183
SFRP2,,0.0042073676012660466,0.0855689428828662
CD70,,-0.042747503854328836,0.035836242650726165
HP,0.04214895006690627,-0.0493719613415266,-0.021925700121897592
CXCL2,-0.00523763541462966,-0.023990785597150246,-0.07806203844204639
NPPB,,0.039984995346776894,-0.014868186564793532
CCK,0.013812137385918513,0.049007876433038076,-0.0192880517218953
SEMA6A,0.024442554111361727,0.018322161212426934,0.030651380698102613
IRAK4,0.025689979152102346,0.023848727020058625,-0.004241566133634631
GSTP1,-0.03344826930159465,0.07151379697183799,0.0716038410641997
VCAM1,0.03601556864091042,-0.03807685348685781,0.06369555676668741
NXPH3,-0.023103741462811616,0.015353968280780981,0.15094770373929992
MTMR4,-0.0013216694658445228,0.011791616442228087,-0.006208040576483104
LAMC2,,-0.018786822550612984,0.03180483383447601
IL10,-0.02158752357841345,0.03058992354757592,-0.05544393220252682
SEMA4D,-0.005462649121070971,0.057004892512647246,-0.008438297271953823
TRH,-0.019083060452041115,0.07200958212042428,-0.01665336603507656
SEMA6D,0.025586030521525183,-0.01458947298337479,0.08260537363433983
CEL,,0.046125432795012244,0.061843243129833685
PDCD1LG2,0.02364385933639935,0.006865846655486688,0.07360796266778141
SPINT1,-0.027697034033930878,0.004232557301663228,-0.008151806273903781
CTHRC1,-0.046428592165014715,0.055771773966568704,-0.03452361172045981
PODXL,0.08518219193350025,-0.0041978894600781065,0.02104102768283752
JAM3,-0.06736457222547843,-0.0434607099056705,-0.07104884099245247
TGFB2,-0.00967983442333729,0.00509036269197979,0.00957908393502086
COL18A1,0.014820773698091497,0.023482413932782685,-0.07809304929397193
NODAL,-0.013507803428087127,-0.017670367946078062,0.17920057854481783
INHBB,-0.012139927328321835,-0.007005553607729654,0.06698020002396075
LCN1,,-0.01668742751486763,-0.016840790158553248
ARF4,0.033140069640550086,0.11056877596164627,-0.06581338669169784
CXCL14,-0.057812129423144405,-0.06836294805050643,-0.03601046349306983
LIF,-0.025775258945150453,0.02978626976446855,-0.06506597691924894
IL17B,,-0.011731610079296757,0.0018096553171022861
MMP1,,-0.027505066651211114,-0.04165213083389274
MATN1,,-0.02951543050132863,-0.020254051711783193
