,MGH258,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.038647924875662126,,,,,,,,,,,-0.0301276705135802,,0.023138145145137103,,
BMP1,-0.06241167711417503,-0.056718800523011946,-0.012543818809346576,-0.04556859672413651,-0.04567407791236137,-0.04075866230919755,0.09213480036627682,-0.019219152554593482,-0.0032857745626258053,0.09440229134792534,0.011946208993972458,0.10485034843434292,0.019855045105962858,-0.0024453401077068307,0.08858248701779002,0.02150608495093849,0.005798639774333119,0.04207040007657738,0.0177894155446049,0.026426503301146563,0.050483486810168336,0.012641673908012107
NDP,-0.0656072705175554,-0.021916402981817153,-0.013628989442482682,0.01576966047096199,0.06341764838620118,-0.04317068857064132,0.05108444985699073,0.046967124388619184,-0.028895379836029713,0.019641184888200325,0.025586793052682275,0.11544128522126927,0.11799760110213785,0.05600701878402766,0.023008640366233256,0.02017898037979908,0.09227054620723701,0.04417524239052263,-0.004839795704035621,-0.004438564553001903,0.04785095575363654,-0.156001453941434
TNFSF18,-0.028284493663090965,0.015055834328669417,-0.016307928590729538,,,-0.011440815299762134,0.0078028381197996575,-0.013628219845265929,,,,0.09049630882918375,,0.026957146712153292,,,,0.0009545971409016542,,0.017862822690995095,-0.03928058938915241,
IL36G,,,,,,,,,,,-0.02012643427610286,,,,,,,,,,,
RTN4,0.014336894267427302,0.0376822933960189,-0.00830700231277636,-0.03946306025869509,0.11276680664731532,0.026467450834885973,-0.06904820490006572,-0.009260478964110497,0.0589392087693679,-0.004342341751681373,-0.00176872904315306,-0.015420651704834936,-0.014591464347815178,-0.07223946083331524,0.0288301262364956,-0.017436746616729042,-0.0788686425086419,-0.06389717138763573,0.01971955811800485,0.005596061629224538,0.008782028741370698,0.022753410971768504
HEBP1,-0.0324485252533103,0.036512092443495826,0.00848861721628805,0.013986267722482936,-0.06813302081157072,0.021941628338202884,0.037815403764615674,0.036287961335387725,0.018875965164212406,-0.015518017464492861,0.01962553955514832,0.05255167822403337,-0.08015302116048158,0.005672745343315361,0.005679795934844471,0.0448796232065005,0.030186619423645977,0.04729921577435351,0.03086396128814967,0.06476683527641196,0.022733989544247386,-0.054633205337932304
WNT7B,-0.024917753022206703,-0.08881751897683714,-0.022011067328971887,-0.039803685569513886,0.007616604741636346,0.10463131400765209,-0.06557781866001333,0.06962138159450279,0.01906406410657201,,-0.022121270667889673,0.05869685129586597,0.05424675885133536,,-0.05008425692548997,0.05320472424201353,0.03488722538914248,-0.033743666086779735,-0.03447285813993339,-0.016949205648150976,-0.022804995329908127,-0.0007771645850121126
PTMA,-0.07016817320276622,-0.03563839277741739,-0.0018876999518923708,-0.013550763469428519,-0.09949674688349976,-0.023064127267894745,-0.04069275430394735,0.04513821976999727,0.0043320884406635035,0.05176363062583675,0.040127553236753336,-0.01680753379765883,-0.0575177968643936,0.08521997922523104,-0.08121567976965573,-0.06629391834204575,-0.06620293275335484,0.008836886297189204,0.06293174236674955,-0.058831826996413324,-0.03631401254727549,-0.1188627603485008
FASLG,-0.02491776006639165,,,,,,,,,,,,,,,,,,,0.03868065720449498,,
CEACAM1,-0.007549868950375391,,-0.016892170298431597,0.0699274793398033,-0.01926855833894813,,0.00882484830648662,0.06809707302299747,,,,,-0.04064157809752028,0.02712658347003787,0.1365881316668814,-0.03427731085478956,-0.003931231071239477,-0.02137590891431963,-0.02288013731039614,0.019062671840336647,,
PDAP1,0.0363933032528301,-0.029183307241753827,0.059151479884869955,0.03666835013370811,-0.0276392680112104,0.010168478286421617,0.05356956896210794,-0.02017531917072108,-0.028018120468358387,-0.008091298065893388,-0.0038409555483365568,0.06475940170340526,-0.10417735958307497,-0.06470873164567842,0.017849019709884343,0.03849940371174395,-0.031711612548559975,0.03667242072585904,0.03788760169056094,0.07966117926994658,-0.021847354552295913,-0.021817933143857375
QDPR,-0.00496882651783675,-0.04500250927258837,-0.030027779063372353,0.014408871904042313,0.14667480228189203,-0.06654984371123376,-0.0746539504900662,-0.00022207548724012974,-0.004679866163851535,0.05721180744036325,-0.00044545730781115137,0.0057075963498744615,0.04148800744659973,0.01722831979502698,-0.06526501034853407,0.040875166342469016,0.04732401204412569,0.04423189014397038,-0.03116626946365632,0.026281310636603643,0.047971017978876644,-0.0008976194581866563
POMC,0.059757033996787265,-0.02397252957367631,-0.01949734922477054,-0.022846688679047846,0.04755115122850364,-0.004779567935141315,0.05042208247032175,-0.01581310861420705,-0.02497068280877931,0.09637028057093786,-0.02613633916911424,0.12876277784830403,-0.08881841098168596,-0.017145962618409758,-0.07014141807044912,0.014562174340505477,0.1294535404735269,0.030605447185096595,-0.03742889897612083,0.06663903289743298,-0.07972815140302847,0.1243974811733761
CCL18,,0.06640626747423191,,,,,,,,0.0014155011907064365,,,-0.06680960752339281,,-0.031846440449746695,0.053992787570108836,0.0071087102660938074,,-0.06799770244632958,,,
CCL17,,,,-0.026640054006379293,,,,0.0161032345106339,0.02714157419484402,,0.053188610892269145,,,,,-0.024318092982992583,0.024815394648220582,-0.039721593246692846,,-0.024701194271032356,,
VEGFD,,-0.05308914860545501,0.031175124924247965,0.04808530363970111,0.0017187501116903861,,0.026376966848746776,-0.01810891219817046,0.009885946229431378,0.10684481552028963,0.048322615039001295,,-0.07594043853549903,0.016259784892425664,,,0.022658402843353017,-0.041894020832563585,,,,
TNFSF13,,,,0.012308427114654357,,-0.011095204152064603,,,,,,,,,,-0.0009082915143142648,0.11689460607650695,0.009693486507036617,-0.025692860714765415,7.047744786698549e-05,0.07717116616998078,
WNT5A,0.02902528819210717,0.044333876275213825,0.009635215475379795,0.05745461832918729,0.011689121151206582,-0.008881292839272869,0.03129685170552342,0.015512707047870564,-0.04397001343479952,0.022458520524124625,0.005815775001813754,0.09103125904753363,-0.054384153855602704,0.020817572805699375,0.04158957068697333,-0.04402324064194129,-0.006094759203506039,-0.0014849343773945204,0.042257710791646586,0.06972110962518487,0.0014241200171994893,0.02746806585086794
CXCL8,,0.017120342062232858,-0.022654431409928115,0.021740328206163336,-0.04295832882338965,-0.015782208280739455,0.05326159210119911,0.04815033272070182,-0.01804584876084669,0.0097508356442312,0.03041042304815794,,0.11403203930577192,-0.016037388458542766,0.10792110339810047,-0.004394397537413957,-0.09273051698318373,-0.03691942878075452,0.03970955781059101,-0.038165726477142774,-0.10818548446166563,0.012559280673323271
GRN,0.00796732838738537,-0.025969215800420352,-0.03451212170324788,-0.05698814278003953,-0.04834048555948133,0.019728226708493612,0.0645638905935502,-0.04783900417875289,-0.03673702829109504,-0.017532363263486065,-0.026644792361104324,0.03835321089239723,-0.0606131037889508,-0.010080553901869294,-0.019933478482493147,0.06664730583073102,0.013196088434290074,0.033565177506094786,-0.07694410374460416,-0.028812297665651833,0.006143663902527982,-0.046153489481038125
MIA,-0.032615198716443694,-0.010178025310675808,0.10147760383200613,-0.01997665069856961,-0.049363148621502775,-0.020062268941459776,0.0035624176923738033,0.07994301845511653,-0.022038653643237094,,0.02295351003079898,0.20626619459359644,0.010230568371504805,0.13285647676192744,-0.04700441470471128,-0.008101054887431031,0.10729291000133438,0.02203158620531093,0.006544286333053446,-0.029107255678775815,0.03493541706756801,
COL4A4,-0.02885780236977286,-0.0008937545364424556,-0.036185227552355134,0.055105326443357076,0.010088797538219535,-0.010556596559956022,-0.024426026236882344,-0.017745439259013094,0.0029496788215580562,,0.0774952116880537,,,-0.026577647845554095,-0.04026385125298337,0.03585409953862827,0.059625081424143946,-0.02290921576304017,0.008900787384024736,-0.022660848915358245,-0.047759120821614126,
