,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
DCN,0.007587945826148457,-0.04846923588615235,0.03485276892069284,0.0359601192771775,0.005381177408042566
RARRES2,0.03447302869817074,0.010695097309650766,-0.06404227863839146,0.07028048471847563,-0.08009767055940849
SEMA4A,-0.06621401706951105,0.005645003997586869,-0.03297389195241214,0.007011462725831638,-0.0555860428533046
GDF11,0.04873219636086368,0.05677293986240225,0.07811350350730147,0.047962792291459444,0.012974468799640145
GPC3,,-0.03863595837897627,0.02948037648757936,0.004523836001723731,0.0090099297760533
OSTN,,,-0.027412705584495805,,0.02339546694578769
GRN,-0.05469591916197662,0.06086248531974125,0.06150749307273212,0.0028798100183199905,0.054811414014491855
CALM1,0.020733563404070704,0.059247606593738525,-0.10825490149040154,0.038951546421518726,0.05903433406733851
ANGPTL4,0.09565380714527394,0.016331159770333503,-0.030438988379284538,-0.028760047777759083,0.00955261643123626
BMP8B,-0.015741079724934447,-0.039452648320407784,0.02981505167929809,0.04275212532981467,0.05003902684353671
TNFSF4,-0.08307733227112184,-0.03343140300299463,-0.00020375856328168414,-0.019857549420838578,0.01769165848948797
RBP4,-0.028115910041238402,-0.0131616999055442,-0.023551242103546796,-0.041253438345601474,0.05781488842701781
DKK3,0.009467735844498972,0.005111012886594084,0.0615528297923677,-0.027472444430800914,0.0983521640757473
COL11A1,0.04808206955092507,-0.02228945381489884,0.06828241158020874,0.07411667394561143,-0.048334424773685554
COL5A1,-0.13883772073085254,-0.023396439782743198,0.09627001462472098,-0.04018960023486923,-0.04832707789423755
KISS1,-0.040357497303055004,-0.01851387117195007,,,
MEGF10,0.05414517958192146,-0.0031075553444969884,-0.023957155944211453,0.0013425914816602154,0.011570772794215962
CEACAM1,-0.04449310141324587,0.07264100623737861,0.046859014034957874,-0.031128788141816938,
EFEMP2,0.03378288291651051,0.03643979705002131,0.060235605682266304,0.008846685059794576,-0.08610568142050856
IGF1,-0.0567871106032417,0.012798263824795432,0.06599185173615402,0.021062846626697888,-0.0827475469688531
COL6A3,0.0790878714369728,-0.039786118850817676,0.036715962261855334,-0.017299417512364742,0.03984145555680489
RLN2,-0.05017153948337969,,0.014145992445660551,0.033137801130920935,-0.02834040345744036
WIF1,,,,,0.09817198204346618
IL13,-0.03758170919385339,,,,
PLAU,-0.04450411160883104,0.10522179943988784,0.07729444359710298,-0.008824888601136643,0.0556576839889001
CXCL12,0.0003063587383973622,0.02518518482662696,0.06270882861102371,-0.01947541976311699,-0.016068722071840798
MMP9,0.030415930359467623,-0.07513935555481543,0.0042997159604615445,-0.07250395304340472,-0.021903582964012253
TNFSF14,-0.04547842790516936,-0.004208169887584863,0.026881939047724426,0.004560571114288246,0.018274144950546727
HBEGF,-0.008383499222433621,0.027304063096375456,0.012337435296943713,-0.020184484526285015,-0.00495865853694108
NUCB2,-0.015125753765424027,0.053844882311956124,0.011470594681321646,0.012501898254034305,0.04083055470669624
VCAN,0.006361674374271415,0.007029699939244188,-0.06638477483488164,0.017773541802009143,-0.03333206355562095
VEGFC,-0.041947991722818434,-0.03302529279879395,-0.04088175484568838,0.005034220137878038,0.03527387188004116
LMAN1,-0.09309493829513663,0.05425602451362233,0.016578595766130525,-0.016754799616084216,-0.02388473521761395
IRAK4,-0.021898725927528798,-0.04127327240959727,0.03758739115130317,0.026426571880913314,-0.05010525921099126
MICB,-0.0541015794445695,-0.02404302440171078,-0.007424706385830921,0.02551555668242839,-0.02571751116697343
COL1A2,-0.03686760255314167,-0.016198796162646977,0.04845737745136361,-0.02126014112276744,0.010216502548820287
ICOSLG,-0.0618962719317494,0.06035975967042705,0.06414671157410459,0.029430453854367475,-0.057447542343626874
GNAS,-0.017524122683357003,-0.005607207514403757,0.08695651779585324,0.009818611750647386,0.05316585821207009
C4B,0.07934940769695055,,-0.031368608406762435,-0.025502811447766102,
COL2A1,,0.08401701118135309,,-0.03304234979861607,-0.03122940910879499
GSTM2,-0.07847784964879412,0.10169228941145057,0.02257714264679256,-0.015299566132159836,-0.034923016033699475
NLGN1,0.015940106226338593,-0.0012907152616005464,0.08677659165885983,0.010989120503069933,0.0009401126875631141
SCGB3A2,,-0.028077429648203794,,-0.037237258436626834,-0.0264711420284135
LEFTY2,0.004168473413055588,-0.01975943487744703,0.11893399605289787,0.030352107435708008,-0.004211272163500106
ACE,-0.05960983495832241,-0.06584902235025948,0.021431684867761543,-0.04167499836224621,0.044254734329432464
RPH3A,-0.05210269436498676,-0.06368832668651912,-0.015662133873646542,0.020788909838944034,0.036440879091144414
NCAM1,-0.016078175893305277,-0.029435059121766905,-0.05651009527072832,0.04328398120906153,0.07986861856449792
EFNB2,-0.027082186358984066,0.052308281252269356,0.09375379983427014,0.02071538051460253,-0.00948314525633422
ICAM5,,-0.00275569231532352,,0.006706149414688913,0.01738714618351144
CCL5,-0.00792390061556271,0.06235843158572357,-0.035205969437738835,-0.00391585472554538,0.0354525959392267
PSPN,-0.04946425075835306,-0.01564696962075513,-0.004562887386340777,0.01825496363913503,0.011555155137224665
PENK,,,0.09810225323175432,-0.02804071762709296,0.019194778733946108
EGF,0.01588898734938596,0.07287704193820724,0.018160969554213383,-0.007859573347573699,-0.017572601584091165
SERPINC1,,-0.018081021332493452,,,
UTS2B,,,,-0.02987732591255963,
F10,,0.08940618913212238,0.00044345719709991703,-0.01873448391060084,0.02798867208505403
FN1,-0.0693622119581155,0.02953981628549033,0.055858579578095896,-0.06263264840941249,-0.0625805406215976
FGF2,0.01329961199336476,0.07892586416511581,-0.029972970032900587,0.02201679079380779,0.08783956533379603
GDF9,-0.006435083148831205,-0.032515696039022816,0.06041137422917574,0.015088571904733767,-0.03311601458470394
CSF1,-0.09642405673283143,0.02341009319592329,0.017054219118030844,-0.01804223565927768,-0.02119289796405979
GZMB,,-0.022950826253451136,,-0.0037172100036178515,-0.05390266229684736
WNT11,,-0.04362981753868202,,-0.03013137833723732,-0.02803678244244794
GDNF,,-0.02635312715956455,,,
