,UKF259,UKF275,UKF334,ZH1019inf,ZH881T1
BMP1,-0.03417452151250806,0.03005548748729373,0.06903456656540724,0.05238887590935304,-0.012774912207957845
NDP,-0.04099580705462276,0.0194143842287428,0.002314359494369347,-0.03620716599903242,0.03295282475381072
TNFSF18,,-0.009684163835306948,,,
IL36G,,,0.041995788582516895,,
RTN4,-0.014592216471965588,0.049315016147155125,-0.0904186852705551,-0.0445366942696176,0.026521694916946677
HEBP1,0.036178459241433106,-0.028242989205988413,0.0014510443488828235,-0.04198114650123941,-0.01701633477951384
WNT7B,0.020172923305655458,-0.027758754157719258,-0.009002936344143448,-0.031398337407836256,0.01543592330207984
PTMA,-0.014121364479093016,-0.044490444523686896,0.0927921552732472,0.008494491320201495,0.02208914636791216
CEACAM1,-0.013532645957919401,-0.015230882615488313,,-0.028158531905451673,-0.01351765766452986
PDAP1,0.026120422379066983,-0.02988022875928584,0.035145856625139686,-0.007127892245565198,0.11503216493343277
QDPR,0.0020954789352934686,0.01035509259658902,-0.055153904683630316,-0.09795204052111947,0.00176423863592071
POMC,0.11838444260274894,-0.011236737908853165,0.0024190413515145326,-0.04296921359235334,0.010858097344455976
CCL18,,,,-0.019964862091640768,-0.046551375588747355
CCL17,-0.02418746619892758,0.011072974404944274,-0.01950103632600576,,
VEGFD,-0.003960646989799424,-0.01286812764964236,0.011110024628495445,,
TNFSF13,-0.01668397285254205,,,,-0.015179423569579693
WNT5A,0.04825202860659247,-0.015458936942992031,0.0028094063536895763,-0.006697545876519036,-0.013420687024534866
CXCL8,0.055519981839574586,-0.05358447904106781,0.07410634420525011,0.04894762383873971,-0.06034912633011217
GRN,-0.016753683457022727,0.019222127398317506,0.06448564813768069,-0.002369783587487182,-0.030571906838767
MIA,0.09671564560138765,0.02797614103268723,-0.00487810682254902,0.031011558500644014,-0.0019775844901514144
COL4A4,0.006782761326016185,-0.01260984509091748,-0.0035211385400616244,-0.02524182377030913,-0.027242752328947763
TAC1,0.009612834976836206,-0.03423102929872702,-0.0492066040559501,,0.007825408486075072
RARRES2,0.07157218803382927,0.019761349955394983,0.06252461842028435,-0.008596427328241453,-0.06791575726709684
FGF7,0.026650623522611213,0.0020400426710528623,-0.035195858204106686,0.040700650298261656,0.06730834194883434
HBEGF,-0.02925681626221591,-0.021090318659359984,-0.04350653875025234,0.004676226883849119,-0.0006467378677530775
CSF3,0.031347876880676744,,,,-0.019379408756106446
PI3,0.016816800384052446,,,,-0.07437104526178785
PCSK1N,-0.03847523924859769,-0.03045000266111222,-0.05913127280347406,0.0816100746375311,0.002076397822002493
NTS,,0.02460817367028958,,,0.04947713270100839
SFRP1,-0.021104499190977732,-0.026747586947518893,-0.029184955612326802,0.09231105514577961,0.022995669422975307
CXCL13,,,,,-0.03161184845612294
MICA,0.011095088724893964,0.04423882933215135,0.04224267898516277,0.030344998640583546,-0.011552466161328413
TG,0.029136522803262305,-0.012168165959407385,0.08501618294762404,-0.009490046603939569,0.12258609419387459
ADA,0.05198467342555136,0.004463301140905139,0.05630627210130407,-0.009607405377305662,0.03651416940309887
LAMC3,-0.0326564553721682,-0.01790210783260263,0.005843625237771386,-0.01984407120697551,-0.01139906314094124
CCL7,-0.01646635968421481,,,,
NGF,0.05616491495810715,,,-0.02966904555292153,0.03341321030886991
