,MGH258,UKF243,UKF248,UKF251,UKF259,UKF275,UKF304,UKF334,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,,,,,,,-0.015610213568717569,-0.019607129989758946
BMP1,0.039643310441660896,0.051554273085252095,0.019312760133907765,0.025845904408467717,-0.04022650077790665,0.04902220404017143,-0.040020959721467,0.005667687671831376,-0.022656848388180995,0.0020308804041781936,0.061727803793239215
NDP,0.016628485290009452,0.06139560205384625,-0.048004428585984235,0.001907762058872893,0.04865672263815149,0.03517810489089071,-0.019439604220408666,0.006620580155597583,0.019541882361701523,0.005915009138003922,-0.03301576712595451
TNFSF18,0.021912028169884478,-0.02838196739831216,0.03538167850138122,-0.02636383908014871,,-0.011674764661574738,,,,-0.01609853771696805,-0.008588418809333899
IL36G,,,,,,,,-0.01375291054121208,,,
RTN4,0.007438387128794366,-0.012245507515670695,-0.03430157600868357,0.05657739529661915,-0.0012356699279648408,0.011503834694217441,0.030774542132446042,-0.025443504667260322,-0.03545531115123503,0.10887798212990271,-0.0061552104973608725
HEBP1,0.03472354013435481,0.06052520428003378,-0.07294465889001066,0.04318297915425506,-0.02934071514830123,0.07603260131792529,-0.005769525642105732,-0.041155105337952705,0.024277127788233013,-0.05753205474520826,0.02135886154389904
WNT7B,0.1043896097388188,0.03662836627574989,-0.0009150722218273639,0.022873399033215527,-0.027801497682743183,-0.03346462612583523,,-0.01511603358944984,0.048246179457229574,-0.03366334470399422,0.07263405412309118
PTMA,0.028404522782652382,-0.07701788607325312,0.014456763908814438,-0.024429934273237884,0.01172778358846025,-0.019308000427992526,-0.0755992506220607,0.00868087041168285,-0.005250121843588935,0.05262709773111774,0.009573199591035355
FASLG,-0.018635843038527902,,,,,,,,,,-0.01700525715104888
CEACAM1,0.010142819943472497,,-0.027420566802126005,-0.012567901711491237,-0.013164345381915363,-0.01836162348633581,,,0.059614122540145476,-0.02313191798919711,0.04718545267500005
PDAP1,0.07766081970933074,0.07901331185454913,0.02243073608271168,-0.023667599565119046,-0.0366284509389043,0.006323501332689813,0.027869186550119485,0.00398880532275856,-0.037686066658453005,0.08666908561184761,-0.037207214880054844
QDPR,-0.013516202807272754,0.06095714520298275,-0.033354391766376286,0.006140935197746067,0.01640346799253429,0.013814681011001034,-0.11936530769239602,-0.06369052854300164,0.06561170301262774,0.02961592079685893,-0.022864202445924665
POMC,-0.04090810802164577,0.03898756021456609,0.012428624065644014,-0.022331156225634814,0.10592623800406976,-0.013546473694648937,-0.0202720944037716,0.07484312937013769,0.025914543115325286,0.04258912520873756,-0.007472534461042921
CCL18,,-0.038062551966454396,-0.03421827656347455,,,,-0.025705200621744424,,-0.04990290228444726,,
CCL17,,,,,-0.018607156325588278,-0.01456070453984554,,0.11933823646257936,-0.01538386804129914,-0.020581164866069167,-0.015413355583422932
VEGFD,,0.07905410413228721,0.008795108358258221,-0.01800099771155741,-0.020730426929777144,-0.015513199125871216,0.011313798214595376,0.011426654906698416,-0.02043581307795783,0.0025052216880650643,
TNFSF13,,,-0.012414515450471326,,-0.012834799992935396,,,,-0.004588186823841609,0.025041718279089558,0.008385148822545105
WNT5A,0.013491220147056187,-0.015331755727598496,0.009782124333559605,0.07746380514436134,0.03589572089627636,-0.030345014854990332,0.019547233662448,-0.03747566080068605,0.03816153964398784,-0.06154398704879107,-0.007517553540267271
CXCL8,,-0.052851529759079426,-0.0229111636557604,0.00304157486381219,-0.013696448692152514,-0.0008307433451031503,-0.02864131712236713,-0.006584194522033687,-0.0757129195647095,0.005970822484647659,-0.03935285607228984
GRN,-0.05718295561154653,-0.010668758820876402,0.038573418950651056,-0.04790999755411592,0.0023408488073236593,-0.004003513182286949,-0.04913741389814832,0.05847132019058336,-0.03383755423813398,-0.1037479953076075,-0.01632369839566106
MIA,0.05415712530677964,-0.012654286425141577,0.04887088331233239,-0.01600882850406378,0.059362827088086594,-0.01866169778754512,,0.09185225297593423,0.11964036641959987,-0.05995250185044942,0.1003403350942352
COL4A4,-0.021582577003994047,-0.015088755721948587,-0.02368866804099078,-0.02692208136974374,0.04549921814511255,-0.015201826028453276,,0.037862169691711994,0.03059616828713907,0.09983986063113091,-0.00012470993536022965
TAC1,0.030723158374337083,0.10245286153979087,-0.016713032149125527,0.004514316549246051,0.013861625920314364,0.05628261197388953,0.045278079349238734,0.044760758980419306,,,-0.02026242321037279
RARRES2,0.027338504976856907,-0.007778330500165103,0.042299353670221834,-0.0024606877417880945,0.03343769559618576,0.014986282958419974,0.02044022582004304,0.0029004622570576654,0.0006666008936372265,0.01589213018806351,-0.04424990953782624
FGF7,0.02302519167737071,0.017755111225164086,,-0.003679678318542141,-0.03298291101218554,0.018206113928255073,0.0467789196530884,-0.010890920755325158,0.028121880021724725,-0.02766054278064595,-0.015256615816022464
EFNA2,,,,,,,,,-0.019422872703103115,,
HBEGF,-0.030657198757745804,0.04662200453784124,-0.00349663514615816,0.06562579627361215,0.04077498170444305,-0.021222945336593073,0.013522639160865555,0.012314291253390626,-0.02251547429164137,-0.03283188357958928,0.023517955594742283
CSF3,,0.011203359305280831,,,0.02993532206597606,,,,0.0386734094052422,,-0.016227885638597835
PI3,,-0.0032850507379756145,-0.006933638547132715,,-0.038272718500479426,,,,-0.07320808798040929,-0.017487056265880707,-0.03525780430619012
PCSK1N,-0.02737038999128059,0.06556164005728336,-0.015243812736744373,-0.029767378470239594,0.009199488875710574,-0.05683066859726519,0.0577242606598433,-0.026102629809984266,-0.05954923747263245,0.08694577109374017,-0.015261048239482215
NTS,,,,,,-0.017366319138439,0.21285927713995778,,-0.02366308463790643,,-0.024031285776520497
SFRP1,-0.02711560760598838,0.04770333729411388,-0.011053955101921765,-0.032461222268417134,-0.016235463127476542,-0.022364408773939703,0.02815270916618534,0.05590937776878219,-0.018956325512051578,-0.059312562482756084,0.0467761039501926
CXCL13,,,,-0.007197644166620649,,,,,0.011578157794763741,,
MICA,0.01953516646686231,-0.07141588294005725,0.011462307310579067,-0.03724625917146373,-0.02159103150524318,-0.036144444336758376,-0.009548241022796574,0.03219534002355801,0.04213859918412269,0.01389149067227519,0.003923638569720892
TG,-0.02158257214027722,-0.034414636836708416,-0.046640484400791334,-0.017089814092684057,0.014979288101198697,-0.014669358795969116,,0.2106028717877451,-0.029143675495424598,,-0.03164747234078668
ADA,-0.006003944954346065,0.10167008303462471,0.041747628307611924,0.016740640716409804,0.030999907929648646,-0.04038345967927425,-0.02701320367862994,-0.020426722321893385,0.03367715510915017,0.007134356594305313,0.019728430088227045
LAMC3,0.06659066005025088,0.04620582735958126,0.032713294823541315,0.02269418496768558,0.021034140002629754,-0.013893920709673047,-0.02097278962279331,-0.017441010139529565,0.021528640858222852,-0.04467450648687788,0.056482616627821725
CCL7,,,-0.02176571457790372,,0.009885461411484735,,,,,,-0.017005251104182415
NGF,,-0.02487237220276444,-0.008872806896929455,,-0.019221444036996275,,0.04901529001735483,,-0.01916179661721435,,-0.017237384840913375
TNFSF15,,0.06447850858862533,,,0.006412166092839588,,,,,,-0.024343505659203894
HMGB1,0.0444086789078471,0.04790915789392603,-0.00991884544333287,-0.03226350735434316,0.0516129936964468,0.039241831264261354,-0.04880052932482165,0.00911447533333692,-0.09944014820008083,0.06211894151067936,-8.849590626343935e-05
ITGB3BP,0.07133681092967768,0.03138294095301132,0.028798282822510624,-0.02550169667949578,-0.0131559020292251,-0.04248296450853257,-0.008649300209113522,-0.01697156678948442,-0.021296775570693344,-0.007738074144093277,0.02668717615759893
AANAT,,0.146895489770225,-0.03157874043026158,,-0.012834801362769169,-0.013192240093214668,-0.015436004082054321,0.02255512028184256,0.022518099839797932,-0.025458240652790277,-0.017992264824236815
RELN,-0.017892524504729834,-0.04288534870327803,0.046860848650855935,0.015546035712834319,0.004367292443109218,-0.029045054216034576,0.030202494933872854,0.1255074669020355,,-0.031837099709010774,
IL15,0.029984295351365084,-0.01663111668549655,-0.01701628638526917,-0.02177216169516537,0.029823106761801638,-0.020218273069822348,0.10378149743177965,-0.015630348186969834,-0.047387816831927075,-0.03170361677949921,0.04488420857887787
BSG,0.0708363609839175,0.0007239929067600899,-0.010888392490948303,-0.024053523531747206,-0.0010091339327492686,-0.018204872663188466,0.0005923340212793058,0.028567347391492883,0.014909432620300627,-0.0121594634788567,0.03475459718987033
ADAMTS3,0.05101301016488706,0.040508888396346435,-0.01942222455603442,0.014897141209332988,0.020036109890291,-0.026255161321288006,0.019358645249672467,0.0001943527450524414,0.05180041867811045,-0.024714405501144975,0.06139656232176031
CD34,0.0028681936429183924,0.0031191787434472706,0.009122755894521965,-0.04281407855078274,0.028118009762917166,0.08088681059904544,-0.004487268622615498,0.06038890720053609,-0.017171444336900016,0.02200398899209545,0.08306006086708956
PLAT,-0.001563606978324787,0.04244749044276487,0.011128155012750328,-0.018764085610015507,0.04360100403787948,-0.03421053491080176,0.022608128868910834,-0.008164419034677347,0.01962926687064631,-0.06318195611728633,0.06563263673685961
NTF3,,,,,,,,,0.038055786258733,,
LTA,,,,-0.012567903001183068,-0.016235462367956057,-0.012705502056198489,,0.069354997946158,,,0.04521275420714899
CKLF,0.05547071288539393,0.0402881048963199,0.059594206838605085,0.011380308633161659,0.05261620467240475,-0.020544548414882555,-0.031062459994403088,-0.002083024971758088,0.04602457660531989,-0.02842288512820244,0.00662877680043688
CD24,0.02619031608028532,-0.01191177865065413,0.02192288337303244,-0.07227964547997755,-0.005831751563680782,0.02158925411459679,0.018486729608241947,0.0622459268375366,0.007536804151642666,0.04720033044764889,0.03115559359615547
HSP90AA1,-0.02628015443209039,-0.05771198304376843,-0.02573117478822817,-0.02563255878060693,0.01700042882511326,-0.019406895934714258,0.08303006360909639,0.013538470452905545,-0.12644387591680095,-0.007808301010096947,-0.06515234520947517
BMP4,0.021117512247048047,-0.053829897549830204,0.05149545259352888,-0.013322713911799532,-0.0378792826911713,0.015033228628224553,-0.024620761454808147,0.06223316602860576,-0.00922006390692775,-0.03227372023792923,0.040009732899090565
SCGB3A1,,,-0.0059117706889710514,,,,-0.02717168691928025,-0.010906651608479642,-0.026132150028132264,,-0.012148709526551855
IGFBP4,0.03416950882075495,0.048784577249428585,0.05187142889993691,0.0646230025872559,-0.0033464796989334626,-0.009076803547521857,0.007708014512437695,0.0018214171698241258,-0.03532085738176903,-0.06984177424517825,0.03727741313469198
RSPO4,,-0.030384152655167973,,-0.004675761443732518,0.046285288764729614,-0.01477727238263597,,0.042020282496411474,,,-0.03193688796315972
LEFTY2,-0.02136917924184065,0.05597090292920403,-0.020244075900096054,-0.0127222559717671,0.02930651845969399,-0.027522858359283184,0.01610039020426288,0.052503917086039,0.015675964723024054,-0.052489829688748324,0.015290676488382539
PF4,,,-0.022578432708509323,-0.01143221593625109,-0.011052050423865718,,,,-0.01780240754051511,,0.01017443942771206
ANGPTL2,0.004277518246817338,0.07613310554977588,0.03157318397626747,-0.05071024724514079,0.0246664676063377,0.009644985278588132,-0.04634892356856274,0.03589277098174559,0.05492837256353669,-0.011437979742388422,0.04255221679861238
LRIG2,0.01831243239422399,-0.008334146714564419,0.011651696968923335,0.05179747759019827,-0.014278414569992844,-0.02392102073745672,-0.033325680002426035,0.0012986916805326186,0.03460156543784146,0.0862112571535768,0.005408746447206538
ICOSLG,0.0241280726206978,0.00991675265856566,0.03228278492389446,0.013424195489421748,0.019256063879145458,-0.01858980688702733,-0.023156921965712167,0.018770992833975632,0.05719744812173905,2.8065965628866723e-05,-0.022847421948270247
WIF1,,0.06712931738783783,0.04185550555537806,,,-0.011403271087897229,-0.0376106125977774,-0.031976530754619766,,,
NPPC,0.04612805422995213,-0.022240649717412662,-0.013985416213317909,,-0.017144455714065088,-0.022244158654144197,-0.027451743788738603,0.05152113366417551,0.0629915955905191,-0.024152445774294658,
LYZ,0.016154007735416333,0.023983000341345425,0.014080426244757254,0.00830363607598319,0.01596500848388404,-0.019758194811415816,-0.034056222976604385,0.04135171895036148,0.01970552427559716,0.008741067475267188,0.007380214608912547
