,MGH258,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,UKF304,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.08066607779610001,,,,,,,,0.024630863701193613,,
BMP1,0.11078483723522638,0.018963844434867726,0.056886173521540996,0.035421093075732386,0.04102236117913931,0.5853089501299741,0.019864042183870518,0.024783757455869738,0.11849352677014229,0.03750017380229596,0.014949404459850144,0.18092904775353544,-0.011450444145717699,0.02689214630762266,0.04001152568053533,0.02751927959275607
NDP,0.12311237162067006,0.006637993330625778,0.06621348609967496,-0.0677064551045204,0.015513941775374462,0.11347998707052805,0.017655148028525566,-0.005223602253085334,0.07834503993943104,0.11697467115303009,-0.04055494648893633,0.02641813899104769,0.022533848934790986,-0.029271610989199597,0.016626015258503723,0.056783324951284526
TNFSF18,-0.04535538814052047,0.12598636145917505,0.0736588900274057,-0.021472797367746033,,0.1834483681336926,-0.01433915972666538,,,,-0.014952454623965572,,,0.024701721052484606,0.0511845275886605,
RTN4,-0.19894681606106066,0.15377915046347845,-0.02206808219781902,-0.034170319764699794,0.004225626741653217,-0.6595337147818279,0.0035870152280270393,-0.03181278465252781,-0.0951613775429694,-0.16003459484691374,0.05124842433096505,-0.05517397998311554,-0.01751196455031991,-0.04702473347820679,-0.07853569693989508,-0.02691893386379477
HEBP1,0.0035853905033640366,-0.04174941050255565,0.0019649182870825556,0.06433325927235296,0.020912603090154875,0.2913479556162464,0.046059726756302516,-0.01723426945410578,0.0748697199505944,-0.00978846293687235,-0.014435000146461792,0.011393069023710083,0.04328540809191195,-0.023881162927081333,0.044937530431981516,0.025669400724330087
WNT7B,-0.03585848641271141,0.2550254976614623,-0.03308410977190503,-0.01975488630741628,0.016421761928509363,-0.26784588650699337,0.016439441434813754,0.017054918451991086,,-0.059955740292137565,,0.050851471288776894,0.019346836018541175,-0.05905521537789657,-0.025215214335755912,0.04390896977374463
PTMA,-0.10673814825641693,-0.06875023651694422,0.019950731378930626,-0.010793658044369584,-0.02712862831493701,-0.37211314320629685,-0.0010550066800918542,0.009670303304213248,0.18610161834199937,-0.04666234396102488,-0.02581948927767424,-0.11733602048253634,-0.04207933574628516,-0.058318484812780624,0.054235205006724845,0.07890700309121149
FASLG,0.03176315810583808,,,,,,,,,,,,,0.09846748105013625,,
CEACAM1,0.041307548477015274,,-0.03257111843005154,-0.01516068706453851,-0.02114454958244042,0.16181763373527525,-0.010054426578709825,,,-0.04514817594066431,0.0328287334257289,0.07172059733552567,-0.021561216826178665,-0.021316145213695806,,
PDAP1,0.22146466071722518,-0.05831331476391831,0.013191274688538476,-0.0022467808530907555,-0.006039836463421292,0.4909963894849968,-0.02000741540761276,0.02784950841779197,-0.023715006542697294,-0.007611089252328199,0.09737527531175406,0.07248417426630105,-0.008287816961291139,-0.010566305647726367,-0.1578662729401888,-0.003653160116515992
QDPR,-0.2586348102282163,0.10378776422505662,0.027355932872710192,-0.0666524477084555,-0.005257640897587859,-0.5217910687259463,0.01273534883045927,-0.05139984171197343,0.20870213785520367,-0.03397669741995329,0.035622642289420435,-0.0960904456049663,0.023548297910905562,0.09529382614287236,-0.04018286890727305,0.07796668284344213
POMC,-0.02099811905903951,0.12451272482097023,-0.014050668431179417,0.034090052136402614,0.013088444274310959,0.01111982035136322,-0.016638027032781447,0.029011735845951098,0.07260955048360289,-0.00912314289844215,-0.024147693340898457,-0.009241686602331491,-0.024502383223451378,0.09443367811583551,0.19428459755124688,-0.05679658290505468
CCL18,,0.02648294902679011,-0.045843709977312845,,,,,,0.09049233706067979,-0.038712200528292245,,-0.05831908675174353,-0.039456762309210726,,,
CCL17,,,,,0.04561787452008372,,-0.017883723927799054,0.0021838365864854945,,,,,-0.015296639745944736,0.033332218881226346,,
VEGFD,,0.0028086585647130297,0.029710709352936127,0.008679472776534624,-0.01990589180716944,0.12660797711972271,0.03945689858854328,0.0314146158946991,-0.03710521697923667,-0.04361362119777934,-0.06038005622864148,,,,,
