,UKF248,UKF255,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,0.040268260259862285,
BMP1,0.03470610252771985,-0.05705107354997863,0.10894108931613526,0.1123562291062147,0.04532411776849754
NDP,0.011622418974614038,-0.06604727031421938,0.06203053280622087,0.0006779088880399273,-0.03961405856065302
TNFSF18,-0.026566997632405106,,,0.0423552773751522,0.054335361430888074
RTN4,-0.04882911178510812,-0.04366241021646795,0.03802003768088545,-0.009061325761155451,-0.025136976889311866
HEBP1,-0.023156711774161065,0.07657346736752446,0.030274723357408127,-0.012574509408453104,0.039789978905553615
WNT7B,0.058565854346543884,0.05932644899483639,0.0033472437266057332,0.11724402356003029,0.09542070794214749
PTMA,0.016121406434402047,-0.16082069853129277,-0.12713193533953623,0.06588440726547425,0.09317107768464297
FASLG,,,,-0.022105402359857862,
CEACAM1,-0.01690916590593718,,-0.016525071875815898,-0.01731585741853424,
PDAP1,-0.020967595227802865,0.01635895911939784,-0.05321384061767032,-0.029986911598355478,-0.008517205275764486
QDPR,-0.06145027110569759,-0.10771230802750759,-0.05014302036596956,-0.01942047629804069,-0.10646546450136155
POMC,0.005446435856297781,,0.04660497079501065,0.004112492005572168,0.11508709354222373
CCL18,-0.02110104140451875,,-0.04880075215388598,,
CCL17,,,,-0.020036064368841977,
VEGFD,-0.021101048105087707,,0.037459117321193044,,
TNFSF13,-0.01592352802876096,,,0.17542017390301545,-0.03340794967087183
WNT5A,-0.0028296920198542727,-0.0773130035808183,-0.06092514231647389,0.03267832862204501,0.1369887674273369
CXCL8,-0.010014994371429128,0.24451938411146332,-0.08336409097224393,-0.04226352679228649,0.15126574193686795
GRN,0.10210148172856846,-0.17202140974133745,0.022112558389917825,0.10338647056445394,-0.05292445219216923
MIA,-0.042040567994672644,0.1538716116959145,0.014611771924412428,0.00019809659819995182,0.06762996932643463
COL4A4,0.018101852201132126,-0.045960823462469984,,0.13392279171237892,0.024120295024956693
TAC1,0.017637276310283886,-0.13685845813693837,,0.052209569964232205,0.019471420278265924
RARRES2,0.007308163057582055,-0.018441171805985507,-0.04336544935097112,0.00030131576468561086,0.18689843765778638
