,UKF259,UKF260,UKF275,UKF296,ZH1019T1,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.030232669620224584,
BMP1,-0.003958728505161077,0.01642384965300464,0.014325794924277718,-0.004423920869467034,-0.01712736327799273,-0.023376555627317355,0.017975200295544155,0.08583626546086008
NDP,-0.03815024442476644,-0.06230312844325045,-0.04302492086476006,0.027402203212136794,0.05783356732531178,0.009398934437416554,0.10521229364647343,0.042693459270200934
TNFSF18,,,-0.011533387234191048,,-0.054531579054190746,,-0.03354091753334633,-0.0006945197640446228
RTN4,0.06373783177071865,-0.0493930396670457,0.014133347466385933,-0.04698601637758138,0.04666483538699062,0.061796220454658796,0.0065160562714983656,0.022996787686405517
HEBP1,-0.021803306427970726,0.042093275440452355,0.005984924260052216,-0.03830693050591878,0.027876070389307766,0.0025758168041914507,0.07327126418683083,0.007428533891805717
WNT7B,0.0023484892176476656,-0.0339972742861693,0.04303051321733104,-0.018257316496042182,,0.038253177826774266,-0.0016025509371331713,0.2124285327388638
PTMA,-0.023584228663436946,0.011369885805895137,0.007728080438503841,0.06319684740341536,-0.06782326731092693,0.03268514005363931,-0.035237382678783374,-0.046460447675919454
FASLG,,,,,,,0.038765636395457936,
CEACAM1,0.012776356478771145,-0.024742251075775386,-0.018139270473976593,,-0.013193384630548442,-0.013120995794986705,0.05937210458116792,
PDAP1,-0.0014360901117394843,-0.027101432747531094,0.02496366518704817,0.05383253569453954,-0.06960126952517452,-0.03441272538763125,-0.0022377682581485826,-0.005131706896350022
QDPR,0.01350135904683659,-0.02318774977409889,-0.09026034742760143,0.09100388820157533,0.013234069964040278,-0.01089038144505369,0.06594352218834343,-0.00031721475386933904
POMC,0.019681197454216138,0.015625741076847978,-0.013382430507776513,0.06270113504237002,-0.03700091796185614,-0.021464225472699352,-0.06581740992369149,0.012390659567821125
CCL18,,,,,,0.011436356864826984,,
CCL17,-0.01932048342970128,,-0.014384379362558437,0.05380456336892267,,,-0.02376619563067417,
VEGFD,-0.021525152096271746,0.040419286826895516,0.020913885988404636,-0.0034479745377212693,0.03896123718805376,,,
TNFSF13,-0.013326837064620546,,,,,-0.01473399887536686,-0.006886637407830634,-0.03453645720635856
