,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,-0.022046863759437027,,,,,,,,-0.0173258381814152
BMP1,-0.05491129280502794,0.0937570807081995,0.033946804938568345,0.07936563362919154,0.015418095946249544,-0.017689860678778764,0.07102954653263206,0.03650308564191475,0.0006124218214314232,0.06536916729672945,0.06773830181438237,0.013032793012547266,-0.06480658279852237,-0.03269654891271432,0.018343184232534178
NDP,0.0363867317271577,0.06583297585968949,0.04388879071174181,-0.017461070464985354,-0.08312816832165099,-0.0015106327877470837,0.02045122964827728,-0.018651205389203288,-0.056072023663391916,0.01391646666214603,0.004751044290469807,0.021640155330367797,-0.037384455490807426,0.006993149228590036,0.02622627409998954
TNFSF18,0.14733388682002663,-0.029419582636698284,-0.030647139090317157,-0.054610449366496186,,,-0.02064542735910928,-0.013383382913173428,,,,,,,0.16474009783423693
IL36G,,,,,,,,,,,-0.017926782714100403,,,,
RTN4,-0.017404228209563905,0.01162197283136539,0.005724651041265276,-0.017036479426065988,-0.0033025159878036,-0.011154331723669994,-0.048706348340689126,-0.022530624892787503,-0.0022134446429274562,-0.043769246535215356,-0.04647241751665382,0.03133985324422883,0.022982508095084585,-0.04592707892992558,0.01926084722133634
HEBP1,0.06064644864646925,-0.01467115955656964,0.018990035003051783,-0.02631569756189283,0.01890401150083038,0.013049523239747321,0.055056287261319795,-0.04495339200049985,-0.052805301286066926,0.040682365468235636,-0.008257659555298263,0.1533664647246889,-0.02091813882001123,0.02856718226483201,-0.003847892510144683
WNT7B,0.03651935161350706,-0.01337820121458788,0.06188038355893034,0.03607446955569493,-0.04289275619017109,0.07166758613886255,-0.015377020950929264,-0.03836222129276137,0.16646005696911081,,-0.019703600110324588,-0.05908579510919193,-0.02518680008018308,0.026892466848409048,-0.03698054113097873
PTMA,0.0795846086165963,0.011302679636809518,0.005731367827644581,0.0046250950418044185,-0.02631170951814764,0.01975190406527308,-0.0015661656200095296,-0.0267734542395956,-0.01003622372162836,0.08859097559886071,0.03755221339547316,0.1513519422627627,0.05289005042316684,0.03535712987077406,0.000809202779797074
FASLG,-0.016985061614442874,,,,,,,,,,,,,,-0.015026693543946293
CEACAM1,0.053923378331477326,,-0.0013103084030322727,-0.026033338997858185,,-0.03114975235590792,0.011576593600616927,-0.021048872945076066,,,,-0.044493085402427496,-0.024907854877257492,-0.01920073854046346,-0.020907437046845976
PDAP1,0.03799663564905303,-0.07343562883117356,0.01396029127357891,0.02114793457160353,-0.0343731312876884,-0.03345137609349341,0.03324629643744206,0.015739585295067537,0.019797133594913252,0.046492127040030896,-0.026310401761000593,0.09618363788577435,-0.011823858147376692,0.010248403739648908,0.04472434320967714
QDPR,0.0021367163602851497,0.011420409310961553,-0.05327126534729535,0.010615167962235281,0.13260045168424664,-0.030035932924153484,-0.05161780532037427,0.02189483869343798,-0.0159623228255242,0.03202695916136079,-0.04868960999712149,-0.01685598362784767,0.006467732115889922,0.02365103703406967,0.05984507720641925
POMC,-0.022351213773957997,-0.032111183352139507,0.0031752824546710484,0.004429822081040522,,0.021027818213248787,-0.016164382154911876,-0.015529019199455435,0.008080538272176786,0.045588429606167484,0.014788438471753148,-0.042054076690461156,0.03537034857235676,0.01524540312934843,0.07250618714852423
CCL18,,-0.03945407931824063,0.030746153210894765,,,,,,,0.06836188721277112,,-0.038150494639803204,-0.004227280054509212,-0.038203004704341674,
CCL17,,,,,,-0.0015501167205290713,,-0.016691684157344767,-0.013920452445530982,,0.04417443817117129,,-0.0176709174613503,0.06347465463452312,-0.013620009905094802
VEGFD,,-0.04445321556579402,-0.024341732745867373,-0.03728753506213083,,0.03649879770577979,-0.015172575415255355,-0.01778357766758078,-0.01021082021475215,-0.025007594945231887,-0.017551336198191245,-0.017544061841664092,,-0.01920073854046346,
TNFSF13,,,0.00014266337972503623,,,0.03418069809781287,,,,,,,0.054302213961220924,-0.01693248102275836,-0.02219266932431635
WNT5A,0.03225360234998301,-0.016460930034272524,-0.017270285130353537,-0.024711886989599224,-0.01677570319752556,-0.011897037878648351,0.04350682561603822,-0.007720462553942818,0.0340517999389068,-0.06256685276637299,0.03294693950809853,-0.05634291873385927,0.011988958830429431,0.0073869885761510936,0.04615164587812014
CXCL8,,-0.042968571508642896,-0.025416359057330452,-0.034913837729491984,-0.026463795556854658,0.03280241009522228,0.06498981443414356,-0.0321083778804439,-0.009508759765200417,0.04634184518594085,0.09479819923997979,-0.007229939443511164,-0.08060059596370835,-0.07473456385451907,-0.0031498041349926125
GRN,-0.007840138445571538,-0.0030947770067273703,0.07534452049311992,0.016991302614187617,-0.005193372542806555,0.0033580544283243557,0.08369955673118687,0.05283327568807402,-0.010334379154072844,0.06611624481498195,0.02168854369196157,-0.13881965699972137,-0.010756994455275939,0.005278574922279128,-0.005860886118674829
MIA,0.05967929231993415,0.09021208034500688,-0.04849712988256956,-0.033160926061651746,0.001236944005202412,0.0625077775290196,0.05786680087305813,-0.03280772600733616,-0.011612657615566105,,-0.009092012595438426,-0.07603134427395643,0.040759950693875766,0.06799226230149269,0.12566585571460057
