,UKF248,UKF251,UKF259,UKF269,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,0.0570955818466617,,,,,,,,0.08328694450667348,0.06161498170500603
BMP1,0.08235870158979408,0.04490217348435395,0.0480370799077922,0.11360745408484546,0.10954106679615086,0.09735549674693615,0.06586097795042518,0.013231465415380174,0.10575171559682948,0.01732911633919061,-0.023368197533645812,0.06370642963939972,0.17502812002769957
NDP,0.03207615207809402,0.000998785782148079,-0.009220678197397728,0.10995655899457445,0.07533006011651464,-0.0229855804056241,0.02830128571810441,-0.14987467225205614,0.0571690917101947,0.0028694677285131713,0.06347322477875392,0.004355018720990771,-0.006844993160278997
TNFSF18,0.1283243119408029,0.024663410178893036,,-0.029177876560754407,,,0.25801442322994206,0.18052360015690144,,,,-0.016098524656402113,0.15334922639987766
IL36G,,,,,,0.04003566773231528,,,,,,,
RTN4,0.06119837645184243,-0.012070312499405123,-0.03857072263813408,-0.13536534180505536,-0.04991346454917772,-0.05393151622128243,-0.06692197830781359,-0.06252807566456832,-0.016644181045749745,-0.03911462981728556,-0.03726557941725194,-0.05248263929030681,-0.001165816922166071
HEBP1,0.05155905782492725,0.0067551513591385184,0.02267918617333999,0.046614877224806124,0.045945336880594996,-0.04499136449649525,0.06979176247100256,-0.05424722102769562,-0.029864535330822194,0.0010004075836351058,0.040205116518737136,0.026443528392236994,0.025650284129090085
WNT7B,-0.03190576272084499,-0.016376404248419175,-0.02833910972081839,-0.0626145056473495,0.012607297249431557,-0.013983229528038316,0.3080998481024168,,0.09211362999841592,0.012797870864342207,-0.03444587758547217,-0.03366331739329428,0.13802428552248006
PTMA,0.06780788066431118,0.02237530701849351,0.03395079216038892,-0.041311536854271684,0.13159751139085918,0.004083151382305322,0.1003116358744339,0.0256909746880684,-0.06134732054423452,-0.011387891813861026,-0.03177456751460187,-0.03809614538529089,0.08714684794623746
FASLG,,,,,,,,,,,,,0.04439807294379659
CEACAM1,-0.025576100780707378,-0.012567905286271124,0.0020885892913217415,0.02075515775956063,,,,0.1117510737741575,-0.0026426306927347988,-0.020080487380232253,-0.016687424019375296,-0.0012543329012651102,-0.02066393664247553
PDAP1,0.012673128913137434,0.018276848164160454,-0.05059475840386443,0.09076378431320394,0.062184383937250454,0.039523228475155096,0.0699401548815996,0.030235404459627288,0.03432096180572039,0.008163924795050764,-0.0065644357519508275,0.01108560475025013,-0.006450432501284736
QDPR,0.011496018896440035,-0.01522974207721123,0.033803892596373494,-0.10171243056964165,0.09276775910653559,0.007171191637377476,-0.11398777403585195,-0.06730541128704022,-0.10252607451043526,-7.764557530917068e-05,0.01720524837042535,-0.1502092972364103,-0.05495676327969074
POMC,0.05732023380641037,0.02301887017285375,-0.020331290938941843,0.015537264791495004,0.1011157963308324,-0.027257577740251553,0.1622674232611128,-0.04988950536194597,0.10358754182365049,0.006282989075121052,-0.007105316467604304,0.030560641862927788,0.061869005080423665
CCL18,-0.03191655724132179,,,,0.030942683633418424,,,,-0.02770776523216212,-0.02360761855475738,0.021271146832903324,,
CCL17,,,0.011037050276577013,,,0.016689175371849364,,,,-0.014246133873365516,-0.024089344199001304,-0.020581148168797306,-0.02202436536073219
VEGFD,0.03311629502628197,0.05363857762099666,-0.021131301990504697,0.004218274570670519,0.04674092955793762,-0.012455813212250207,,-0.03345601239678173,,,0.007674488658978996,0.07035420624377574,
TNFSF13,-0.024085265938813133,,-0.013082993204007356,,,,,,,0.1864344522373685,-0.02618429355583882,0.16000378533114837,0.09546054164507306
WNT5A,0.014046892805687739,-0.010434903525147726,0.03310950913123859,0.03460253946028054,0.08622210253381024,-0.03697744061697589,0.09888446091981283,-0.05761866454049257,0.10505823969383687,0.028069539875484408,0.004214425660384224,-0.0013355672300835652,0.08251560026805423
CXCL8,-0.07072004753525839,-0.01685507209815057,0.0031787279707544097,0.0002981948679367037,0.040821819109642846,-0.03744986428624489,,0.04025948830970256,-0.04878388309136498,-0.08089332271637861,-0.07389004593151498,0.038464119624654285,0.012150654082817958
GRN,0.0398381759285229,0.014735399081117175,0.06336812345492569,0.14788154150957566,-0.020590496506011788,0.10213488546239387,0.05363299928555738,0.11799848042067325,0.15643512229259912,0.09053089837035369,-0.03894306508127254,0.0696075604127912,0.12443327131141226
MIA,-0.02519681118324413,-0.016008833057571555,-0.03993808114662124,0.05139816895171068,-0.0046228286254370995,0.002394813452481679,0.059514267562942376,0.02055199018656158,0.09804278937398016,-0.02062896914971393,0.08828664489238192,0.024593418762223464,0.026751851870626415
COL4A4,0.08463515675183808,-0.02692208902738757,-0.03202273501561407,-0.01936243292526893,,0.0037340772128582373,,-0.04199435238418282,0.0054617068852120575,0.00916282463046843,-0.011100866820511712,-0.03170359507638689,-0.018764570653416888
TAC1,0.055986034682420326,-0.01603547283314931,0.001579094819460681,-0.08702445579441777,,-0.029325944421501677,,,,,,,0.08631656829977868
RARRES2,-0.049474715041881945,0.050128654730817714,-0.01110510162742124,0.10380908139661438,-0.09896553295324265,-0.05140500862787316,-0.050396519364337485,-0.08157289302996189,-0.019019029071161337,-0.0805966113625295,-0.01896090786417274,0.09182532484896523,-0.09952149703865891
FGF7,,-0.020317460223797365,0.029844185299154426,0.008287372629923991,0.050286412791814145,-0.026138689245903936,0.10422111961982769,0.025019925485163737,0.08170443359032772,0.0014770064501299265,0.007574020188400494,-0.04249253206004104,0.04301543462213548
EFNA2,,,,,,,,,,,-0.015860279756650678,,
HBEGF,0.14564439796557083,0.00855377583806129,-0.0002690135513792767,0.08636041881221804,0.08088931534564314,0.09231326268939623,0.10779035850097907,0.11011626047989923,0.08803551339199141,-0.017777794430295552,0.0015838840970861545,-0.04115788307095381,0.09290391896848836
CSF3,,,-0.022606977547636017,-0.02048508135437914,0.008315730117898212,,,,,-0.05318709904396704,-0.07495037042085011,,-0.02318825906547247
PI3,-0.013475674637798805,,-0.03901281798830282,0.0947853410029004,,,,,,-0.07381160419349396,-0.06462467134392176,0.010776999823820707,-0.05038038340540764
PCSK1N,0.009280988342237529,-0.05294574909960213,0.03303520462996586,-0.01881304375478305,0.029288065122982102,-0.03295248983075567,-0.03851716401713794,-0.03843472583302855,-0.013711617661001763,-0.0260456326902585,-0.035478740269565434,0.04378693308502696,-0.04450832677030049
NTS,,,,0.09491605126532247,,,,,,0.022320518268228742,0.06539907679035445,,-0.03433864969672719
SFRP1,0.030475437020104953,-0.0012267380222099511,0.05171895097342907,0.05486061869872132,0.06950466576964465,-0.03318637244707633,-0.05406067724253549,0.02622231758087013,0.04254201613494761,-0.027169647580565323,-0.023607481500521596,-0.034896101414435665,0.0030799968648789213
CXCL13,,-0.030390273223206067,,,0.04219834853233453,,,,,-0.03199973754627402,-0.030863481268761775,,
MICA,0.054968706450954315,-0.006477540550075649,-0.05624835078882299,0.08493962199031001,-0.0045129402439221524,-0.04439956461319735,0.16621863924261496,0.020991394081581325,0.13117190789084487,0.05597874396589116,0.030852569994838853,0.06613033405684156,0.09890543659939607
TG,-0.022547003690887604,-0.01708981895366444,0.04667069339853111,0.14276105047239848,-0.04867292420369424,0.020584213821309406,-0.030917168242056044,0.00099858287118629,-0.04511471981407248,-0.018929550180104754,0.04475541208873673,,0.12845581775213655
ADA,0.05444631202253778,0.0492233154088361,0.0028342731974526853,0.10595844916670773,0.13521513909402882,0.005603283099408638,0.08975537381388381,0.015362879906379301,0.046114494527058326,0.10886566297905195,0.07110269937156245,-0.02191812255420246,0.20702930178488085
LAMC3,0.11936160246595895,0.034614572787107875,0.09651814780097719,0.12353333726574872,0.062206864473694834,0.1415193337831109,0.15519260435735252,0.07994954935103539,0.09176864860076334,0.09942471706025724,0.022924142359760733,0.12054884519580564,0.1595036742899878
