,MGH258,UKF260,UKF304,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.015352601248828163,,0.007857437748298573,
BMP1,-0.05856955488172813,-0.014335990584163641,-0.032467071065985564,0.05159465102977608,0.04807813415480891,0.07091848893862228,0.010054404558109542,-0.06798282224949113,-0.01386846438287331,0.010848040886107295
NDP,0.02787362841390222,0.06251204745320302,0.003521991212454926,-0.03630684907362095,0.03915454189493424,0.041766172424199846,4.68518609812485e-05,0.03781784782733177,0.13701770872150412,0.03271930772450651
TNFSF18,-0.02115380653898456,,,0.009275095212595818,,,-0.015832866678590584,,0.015247683953929614,-0.040193227246830325
RTN4,0.037930570151016106,0.09312043583394408,0.0364459920147022,0.0682991275472057,-0.02179738953934844,0.002907225226273744,-0.013140368101251524,0.07070442709569107,-0.011570680458216255,-0.09956161665544894
HEBP1,-0.05123596949025534,-0.06989000560852361,-0.07693371296075696,-0.015142634928688389,0.0033807303549319265,0.027328273119753187,-0.10392246235292071,0.026607983037467687,0.041720435458507815,0.04714278206455902
WNT7B,-0.018635841005200295,0.005199247377709542,,,0.03544151493900721,0.027756375067483068,-0.03310780507051917,0.01720032474657162,0.020388849257185537,0.04657452785162709
PTMA,-0.010976163779866575,-0.06745761372428821,-0.06180019440460958,-0.009518882486472535,-0.12945412761100278,0.00842439847108414,0.012647658099912324,-0.05408373580151266,-0.03235795776205512,-0.02442957229369024
FASLG,-0.018635846273504803,,,,,,,,0.013471790153007597,
CEACAM1,0.10820356144741743,-0.017709629505940395,,0.08782250015794185,0.056513124924524434,-0.016893071826819338,0.06604568089983355,-0.013120998889057598,-0.020369819555459384,
PDAP1,0.06428319362759893,-0.03331357531059031,-0.08288261943924684,0.14218008007298313,0.09307057704649412,-0.00771016327674476,0.03872021552270227,0.01078140376261645,0.024627152978027686,0.07714617911692948
QDPR,-0.020919296351537355,0.08114722835930872,0.008736272454329565,0.05459661075096666,-0.10257306549799108,-0.024542274145212296,0.01399451965587316,0.03280115678494133,0.028988702738655964,-0.0788519638686517
POMC,0.06430743578833914,0.06906145022447202,-0.016567995231671812,0.04325945994368152,0.0341968863064195,0.003840505062594768,-0.03769438066059544,-0.021464230534192878,0.05416726079855971,0.08326391852282371
CCL18,,,-0.05130520272161974,,-0.04908050750868372,-0.010621355524870799,,0.010942371932607447,,
CCL17,,,,,,0.044432572008028574,-0.020241517903275563,,-0.01326978258926308,
VEGFD,,0.004306889906701081,-0.022142146474898317,-0.08832944847281643,,0.007297108697118972,0.002519840694637634,,,
TNFSF13,,,,,,0.006533399189238581,-0.021706410255209547,-0.014734002349801103,-0.0026343793585054736,0.004896035105154008
WNT5A,-0.005888657792243235,-0.018849546859957638,0.009819889648885662,0.08596220393413709,0.05291203437212626,0.05254859980756585,0.005029181637471271,0.02661951874924114,0.04396297577931161,-0.01267076588164896
CXCL8,,-0.064537097648772,-0.050454548140815084,-0.026343560368613256,-0.08641396086282811,0.0015101260034905072,0.007965626011916188,-0.03786173638597864,-0.02129496807226547,-0.02649002121353547
GRN,0.01808759958358561,0.006806725454739667,-0.0231444049517869,0.026620175037015966,0.04438342837922736,0.02290304477594727,0.043319764813107495,-0.03758452518452934,-0.053976432081409925,0.02089782452348357
MIA,-0.024392715390146757,-0.05141264838531265,,-0.046399152768427265,0.07626089539269733,0.027701784202549706,0.028265953240209227,-0.07776772511989043,0.08507806624679573,0.1439706741589686
COL4A4,-0.02158258075049148,-0.0378971961246945,,-0.027987289126109663,0.060163442920267735,-0.027048449377080324,0.03354715222309526,0.029138931323745797,0.003938885018841279,0.01665701091925926
