,ZH1019T1,ZH1019inf,ZH8811Bbulk
BMP1,-0.05848096502029428,0.03048229962214468,-0.022826176039317934
NDP,0.05806972234834381,0.05278054840159398,-0.004736053243729296
TNFSF18,-0.02813141779947521,,
RTN4,0.007704643833738349,-0.10941780338244127,0.014809267765585802
HEBP1,-0.04874833858052717,-0.0069886100776338925,0.08636213701715503
WNT7B,,0.024234253094461377,0.036124279857658106
PTMA,0.054274718969709174,-0.10653742231037039,-0.04393768189819656
CEACAM1,0.013277731482860598,-0.046864656900876,-0.020606749605870098
PDAP1,0.02923039424901932,0.09411076315077133,-0.06915641825373661
QDPR,-0.014773238022015705,-0.08187853212468733,0.04079392432789669
POMC,0.030394982838546625,-0.02734578061484501,0.003721191262866904
CCL18,,-0.04156149454914741,-0.05032031796625585
CCL17,,,-0.029747136736148115
VEGFD,0.06444771985466499,,0.020518229864856578
TNFSF13,,,-0.032334120609944665
WNT5A,0.13664581310731802,0.06583471738532132,-0.015139591436718933
CXCL8,-0.0590616167220256,0.04754655635925826,-0.07749808439757692
GRN,-0.03736526819617183,0.03444094872850691,-0.03973888278891193
MIA,-0.037072438579595225,-0.05152623112600293,0.020770425737721778
COL4A4,-0.05518910648310668,-0.02191922753037094,0.042220697098454475
RARRES2,-0.07881160968466212,0.1187736318090127,-0.045131690635014717
FGF7,0.12101901102474621,0.010531906619675308,-0.02798248529254794
EFNA2,,,0.0017129468051997484
HBEGF,-0.10240841113279925,0.009920512361195283,-0.0409256123734954
CSF3,,,-0.049036747449949736
PI3,,,-0.06879508730799708
PCSK1N,0.10202249459617613,0.08564700073571717,0.06064514366422388
NTS,,,0.06448913853170571
SFRP1,0.14021527716651933,0.03120920470982356,0.03437458601973932
CXCL13,,,-0.01322396054694318
MICA,-0.03858146024557496,0.0074535740452880235,-0.006869713398298343
TG,0.06276118067742868,-0.05701329245548061,0.027807338414632714
ADA,-0.02167454289633798,0.053835464937670455,0.05548678258909366
LAMC3,-0.09812942324700184,0.010078717554927156,-0.008573332918450124
NGF,0.01934755079516059,0.020043303456006346,0.21475465998189708
TNFSF15,-0.06209977844629881,-0.012806086978934752,
HMGB1,0.07658328051386712,-0.03667780518472483,-0.03366930976456007
ITGB3BP,-0.019290276922686544,0.014715809287580551,0.018826660237211332
AANAT,,0.08252124577497069,-0.026356558236333483
RELN,-0.056169775038514336,,
IL15,0.01040095697086599,-0.030859347400951597,0.03294716254219051
BSG,-0.02818033275815647,0.10620775988357162,-0.03778208898500541
ADAMTS3,,-0.05183301950229422,0.05377892840991059
CD34,-0.026668455380463554,0.061915383273488514,0.024585355126502142
PLAT,0.05025943628393909,-0.042405368959941035,0.026183128634444094
NTF3,,,0.034673848334536336
CKLF,-0.06089312339908953,0.03564567155010992,0.011783170655451853
CD24,0.05775571824773447,0.060115487067477553,0.01639256668050229
HSP90AA1,0.07616492651604632,-0.1341367110208806,-0.06728840563035707
BMP4,-0.06576514450138797,0.09767941296352611,-0.0238825400817477
SCGB3A1,0.02552033481467779,,0.033623305353663445
IGFBP4,-0.039174875861541246,-0.02577025954729706,0.01710989600759951
RSPO4,0.035579821870562474,,
LEFTY2,,-0.0553184448729182,0.013083177398744204
PF4,,,-0.017951316797115095
ANGPTL2,-0.03816469116632731,0.049583941230287004,0.08137124937177524
LRIG2,-0.018595511319509345,0.022886845754011034,0.014181013756299215
ICOSLG,-0.026808816800612846,0.07191158718680962,0.0681509770245937
NPPC,0.048885821868367485,0.059707932663965076,0.015520215013075538
LYZ,-0.028375149417149144,-0.049907756410612306,0.026993758251729255
EREG,,,-0.004840271455432264
SPTAN1,0.01943195796659397,0.09359299521542765,0.029744454596602604
LIPC,-0.03034905149311919,-0.03965777384444922,
COL8A1,0.0008863772438030369,-0.07843387123821384,-0.0039100905730388305
GSTM2,0.027488137756110576,0.0072960883570460456,0.01710727345697712
SPX,,-0.04288963597704653,-0.022288854315567815
MFGE8,-0.03425979384623372,0.029868204084187045,-0.028913714523551105
TGFA,0.011537732965435973,-0.061403234099091805,0.049040401316429456
SLIT2,-0.060256136609420086,-0.006312848429844888,0.06444322988116492
PLTP,0.0693616826012105,0.040244938022570044,-0.02112153296630701
APOD,-0.050707057004659495,-0.09277034738862494,0.05904461870296031
B2M,-0.15392574565241143,-0.11395112266919298,0.012442917377284679
OMG,-0.05767427901236113,-0.027111724218231863,0.08198813367405396
CXCL3,,,-0.02968956455740102
CXCL10,0.010743793274031401,-0.014520617047121306,-0.024077919848635367
RSPO3,,,0.01962188623799576
CORT,,,-0.01878514063268742
NCAN,-0.015358892687258924,-0.02319782944326067,0.05503186276821703
PRG4,,,-0.027718624542285054
ZG16B,,0.008915984163948528,
TGM2,0.009513277486887722,-0.004880892301629321,-0.003312048816689874
VEGFC,-0.0020255065159151485,-0.027941280369812745,0.05163540109743203
WNT6,,-0.009450342870688005,-0.010553035642815166
NRG4,0.012943787040424315,,
PMCH,,,0.03627058930070154
COL9A1,0.0047362496696859244,0.07785271260239952,0.10915282081809716
GDF11,-0.02303974101739531,0.03717477889166873,-0.015301007429212345
IL24,,,-0.01766509217757013
SORBS1,0.07161643671682595,-0.046827978716806135,-0.017804256784841363
DLL1,-0.0488825284014564,-0.05256892507380849,0.06324414539309736
TLN1,0.05689249785089185,0.07424576636792601,-0.018562359283764273
COL2A1,,,0.0112616699545863
SHH,,,0.007480364710305653
