,UKF248,UKF266,UKF269,UKF275,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,0.07245444013078652,,,,,,,-0.020753578861788042,
BMP1,0.03360357371648553,0.04301390159363082,-0.032866045627613825,0.0090602552981375,-0.034725301137851904,0.032115425240257574,0.03623152972611977,0.021632719551399577,0.010766955567177059,-0.0010822323724044383,0.04271970508353809
NDP,-0.029750985925741283,0.023286631915246183,0.048235160796638005,-0.01600638473696746,-0.05866863486550931,0.008245618910329069,0.0036164227326306126,0.07429775142100975,-0.08989359758384909,-0.004015707184102939,-0.05228089192287552
TNFSF18,-0.0027994804571845736,0.08212632517292562,-0.025626174953873704,0.026544560092982235,,,,,,0.04995543549563014,-0.026018901019005388
IL36G,,,,,,-0.01912875097428389,,,,,
RTN4,0.02165231224020434,-0.027110070106431954,-0.01583618693292114,-0.050053252624312004,0.15479009635096527,0.03591206831667803,-0.025177263114919975,-0.004794213552379327,0.08384701533039066,0.037985652912399574,0.08031351419816654
HEBP1,0.027016808540550004,0.02236176275464487,-0.04817708335003817,-0.03233577070549526,-0.10885624581989155,0.05310262972753958,0.02955100119806502,0.015021818036626966,0.030389692179681932,0.011312267306230637,-0.010091836500884395
WNT7B,0.02965449501500577,0.01461819423233786,-0.008971109426686115,-0.008614422922857003,,0.07858917201440385,0.009365358169012081,-0.003496935364011878,-0.02059139770140766,-0.005344561149279648,-0.001487176109064212
PTMA,-0.03096885162623271,0.021958163726238763,-0.038533196109168076,0.0013150501980152436,-0.175090361983146,-0.0027751935089129452,-0.03823278005425052,-0.028065366452617112,0.07417600569899088,0.05243698161553148,-0.034828483692908724
FASLG,,,,,,,,,,-0.01799957186664303,
CEACAM1,0.01078262462250274,,-0.022234937206152675,-0.008224442222261315,,,0.019993338700571343,-0.022723277246119663,-0.026292647994543488,-0.008696725162526385,
PDAP1,0.005594365375784441,0.010378577576754882,-0.008428859724768112,-0.04463436092791082,-0.007643810712090799,-0.00617976838290173,-0.07323411610473372,-0.04387195681213583,0.008719525097777412,0.05481476377193572,-0.0775708668628876
QDPR,0.005496209799377908,-0.022618367122672327,-0.0033588211195452904,0.0151207845975104,-0.1754851536161895,0.02756125587964196,0.004321512581007276,0.008725682353111282,-0.003937603104839488,0.021623729802898888,0.1183123876290952
POMC,-0.006428463983063336,0.06881297031869048,0.023446607479503227,-0.015671670931737988,-0.038432480822200576,0.05776744798576077,0.03877323561200365,-0.02863738548245432,-0.04301131816876477,-0.038177893203865866,0.014584406662542295
CCL18,-0.02658320576073017,,,,-0.06474767936430659,,0.06397554940502352,-0.055488738308073764,-0.03519254721091846,,
CCL17,,,,-0.016845016291794183,,0.03964929893819932,-0.014780061818873164,-0.007824825995064436,,0.059351839902473606,
VEGFD,0.04069929011536918,,0.050333476250728953,0.01335133368160867,-0.011042174253578646,-0.0008612169068709406,,-0.022723277246119663,,,
TNFSF13,0.013660638393856676,-0.014624189602097052,,,,,0.04771919732289113,0.054824908936140844,0.0746865008146848,0.03605395971450703,-0.02830485298080142
WNT5A,0.051791955028873043,0.015020064119182155,0.033741268728105456,0.0022804624621207423,-0.004973244355905327,-0.06755016885403624,-0.003711755678736043,0.07329046202125414,0.04885992093127973,0.0031412060216522244,-0.02315244517945743
CXCL8,0.037900674190774135,-0.0030309599285494116,-0.050461582980160014,0.009696855650743744,-0.06740340649321659,0.0011457469930150103,-0.04105713929900651,-0.06783513276264752,-0.04694633435547307,0.02552643194456359,-0.06442054290895471
GRN,-0.008927143638147336,-0.0068219573476231855,0.03715898925359796,0.02056233053907921,-0.14687435294609272,-0.0075565586809726165,-0.008173932667915792,-0.011895338121973,-0.07300483297749077,0.05517026993320533,0.08049862082420985
MIA,-0.023226249279040587,0.043406819176561716,0.05752927116596577,-0.02480017153709461,,0.000973019352569264,0.08768407145085781,0.06965491559693641,-0.022980146604196373,-0.010619065681865854,-0.05185020572704497
COL4A4,0.023303674721270443,0.012161007257713161,-0.017005524464483408,-0.01758671817105855,,0.043147685623156,0.05131235096096727,0.057864462926721476,0.07409203398999085,0.011425152111312217,-0.015835296730965606
TAC1,0.0858863741012138,-0.0064280826449852144,0.06382535772953642,0.047058418986329675,0.14314952522573263,0.04923193303984919,,,-0.045362308105679316,-0.02144718774481721,0.0008680421932711509
RARRES2,-0.028118218353083493,0.022538082777064476,-0.00639521848963355,0.040384298380832226,-0.006409105040959963,0.032307795955109,-0.046128387224558046,-0.014457914956540894,-0.019682577092081616,0.04416867692609698,-0.10303276910284624
FGF7,,0.0260974759818537,0.00042272804080689533,0.007237439316912207,-0.05118872203076409,0.028663618669580868,-0.00344134924040916,0.11641794724515152,0.007265980698442844,-0.0008488933553390628,0.009253939148217346
EFNA2,,,,,,,,0.11001847276128528,,,
HBEGF,-0.000808721773602096,0.030731040639682284,-0.015308865978081317,-0.002733095156331687,-0.11137987524519924,0.017842205654222006,-0.01418283740564517,-0.019346764434517345,-0.017327289182028038,0.1003701977151804,0.010694087284046888
CSF3,,,-0.017991517567722652,,,,-0.035669776317624614,-0.02211136291554451,0.0034201621033356317,-0.017176746649643564,-0.002576254218882137
PI3,-0.027966653254875327,,-0.02025868624358454,,,,-0.05024111635216047,-0.07466293521030327,-0.015697223608692787,-0.037319364055024694,-0.07870489113129452
PCSK1N,-0.024012115924365682,0.03639217755477152,0.02659999383189596,0.04585578971076479,0.19160544541028787,0.019448917383636823,0.021195095260624356,0.04592875380946691,0.08228385345318759,-0.012438598367096492,0.03162672020154528
NTS,,-0.016986162604716033,-0.02211373931493411,-0.020090781185414082,-0.02663169043001016,,-0.03448034567569765,-0.026311790515715368,-0.0773731158561485,-0.025436419546036523,
SFRP1,0.04996970987683169,-0.014060541932527636,0.04023471948912044,-0.037304365756302325,-0.031722152736635235,-0.049897885269751356,0.02209466209623957,0.09392912519349259,0.0223913832131819,0.04478438900981418,-0.029074483617164786
CXCL13,,,,,,,0.04505211422114941,-0.018440954922782426,-0.0080992335314856,,0.010962721893017472
MICA,0.05685750778210865,-0.015632145964861698,-0.017528133729340888,-0.0359081979957373,-0.03999101289091802,0.010615020857901284,0.02944927741565631,0.02444018426365209,-0.008712305868488703,-0.049807413774987416,0.04006382765674501
