,UKF248,UKF251,UKF260,UKF266,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.019700603288925103,
BMP1,0.07434796310795266,0.06631006375195873,-0.040449834258869305,-0.012882879450934779,0.028688431849438607,0.04538715942524132,0.01003321601868554,0.09201523382580928,0.007723505710398674,0.02277171989260396,0.02390435081512218,0.028905773596911113,0.054285997496914026
NDP,0.004090100986805911,-0.04192010418360219,-0.04143364665775415,0.01562355531034865,0.0030850791853937252,0.016909573229769357,0.047872768884485585,0.05708332999821715,0.06448239783053562,0.009336712270314285,-0.014146377630781934,-0.022098773169663702,-0.0172726446454899
TNFSF18,0.004302804448039603,0.08546235734221581,,-0.014292937485593156,,0.08257941821780095,0.0011615598748258898,,,,,-0.021163483634260623,-0.03568579961065637
RTN4,-0.01997126507193008,-0.04366319567495925,0.023027369786146844,0.061588602824824513,-0.06930405459885583,-0.034814627034484125,-0.018336831729303872,-0.061302429443984945,-0.04053136646287869,0.01657144098526049,0.04836726458875051,0.004173284746015178,-0.039727633432268705
HEBP1,0.018127401450445085,0.05941198100348192,-0.03863990182017932,0.007890545713622087,0.0047837643700324685,0.06457795144402531,0.022770229972100247,0.057440606123478476,0.021401377102573955,0.03829542048566041,0.05056133013781081,0.031150300719294265,-0.030538251863719338
WNT7B,-0.0010631829457233256,-0.0029885606613568073,0.018922797310742916,0.07677505070837948,-0.005488345478496553,-0.004993246740730593,,0.08587936900684146,0.042949633766718315,-0.014584490558636348,0.019185869638013112,-0.057175382346631096,0.1252784774349151
PTMA,0.07725452107479369,0.008400934370216998,0.008515210337051066,-0.07044688715591611,0.03323640024618156,0.0533339566434873,-0.06078359607248355,-0.10042337827813012,-0.029693828204621246,-0.013977049879812627,-0.022940532026005874,0.04219843077326347,0.03444118719570744
FASLG,,,,,,,,,,,,-0.028471965230727557,
CEACAM1,0.04127562332380489,-0.015019857478612744,-0.015610033961636021,,,,-0.030603842339149787,0.05869448028892249,0.000974242543711516,-0.0180810238522463,0.008555221846020934,-0.03961455784803962,
PDAP1,-0.025979899335726267,-0.02490993032520881,0.0037118486118089453,0.008089744973873514,0.07287391620377019,0.034091373989289304,-0.0006304778887514137,0.03357211911301269,-0.06121624428747777,-0.004557948002966389,0.022872548071899895,-0.018332230579281034,0.05769310396294174
QDPR,-0.036693815078182535,0.02444946069240493,-0.011887153776682953,0.009696198908674594,0.01593208583648251,-0.01888572335190597,-0.03672652256790677,-0.13959201444434194,-0.013226801656298977,-0.03134198239200061,-0.027452741702140522,0.03931818761674863,-0.0836723222867878
POMC,-0.025560619321668736,-0.0021650243860003994,0.08208631314078857,0.07411868467460504,-0.022256556793330433,0.08665111294763242,-0.0008828126020390433,-0.05959576518279567,-0.02028687633680075,0.018621132423405514,0.021535042887381242,0.037017077815910314,0.07241482948013675
CCL18,-0.027432420898127544,,,,0.03167482678868281,,,-0.02613450930061314,-0.010837289593995233,-0.04415266292852462,-0.05744073334402173,,
CCL17,,,,,,,,,0.1375913483759337,-0.026101093047159178,,-0.025806638521369864,
VEGFD,-0.014901022465049395,-0.021512932413627672,-0.014934796683115687,,-0.015037429456451574,,0.007927591896907334,,,-0.0180810238522463,,,
TNFSF13,-0.020701391684609344,,,0.012256951402493414,,,,,-0.011451864709299356,0.02896415086867937,-0.026097452544296948,-0.04204976347797591,-0.03882105976513611
WNT5A,0.08007979369575934,0.02150402410211081,-0.0034071558313426625,-0.036351773928809256,-0.05139651008294466,0.07648230787612172,0.09642743512305084,0.06214833041983492,0.016523160644437884,-0.030269152627334033,-0.002657288674528456,0.018168982933020224,0.04505841403522959
CXCL8,-0.042103925816342425,0.043492783420119745,0.024084993298356474,-0.01971661200980227,-0.018782460197748072,,-0.09077384877365921,-0.0134606674443106,0.02259691233991167,-0.08857402541962098,-0.018797329916933083,0.01306829099058585,0.04884957325788568
GRN,0.07702479748953991,0.01804457108544728,0.024414201456989526,0.026583308147145084,-0.003107659940235701,0.0038044815983304765,0.018405486693055074,0.03501994803589202,-0.03376318501424725,0.022105204463532268,0.005578377760038459,-0.051590144366417755,-0.053791176945865236
MIA,-0.005534909557924658,-0.019132097628575484,0.026603203785715183,-0.02506366445802194,-0.020393455861048647,-0.05336039384371749,0.035889945964922926,-0.029659864710067138,0.037914485207248445,0.03668388843313703,0.027798838226765068,0.0910367839646387,0.06166456120105071
