,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.006273043089983543,,,,,,,,,0.0036207297008212383,,-0.021666612297029063,
BMP1,0.01938653274089925,-0.040061557753837726,0.03376555248123618,0.0696683340798277,0.08345528126810293,0.01871904343007253,0.009736789419753734,0.06830908942427455,0.08889468492667826,0.009233956677563796,0.008332043620896647,-0.032856359586554876,0.0895032122563221,-0.04308375122776211,0.04677674980493494,-0.020998039881470556,-0.02430878460413198,0.034551986387558714,0.012749248712159988,0.011516881538521925,0.015798825225533327
NDP,0.05082345634485819,0.08087727636365383,-0.0294017114846019,-0.0918565649320881,0.09584363387696081,0.03694208391971916,-0.0003439344286083879,-0.038826171946228456,-0.0129957526271012,0.001128899115001641,0.01063264757716282,-0.045029123807860935,0.038336693417060815,-0.030437291076991266,-0.0361078376733607,0.07516056645785421,0.027598673353497763,-0.008331215160004186,0.012173772144567255,0.06800861413316986,0.00890230337296605
TNFSF18,0.11171750590766509,0.026998188135726468,0.07521993536436912,0.030395932432761646,,,,-0.022397545864286158,0.05591502228902804,-0.01888898325793272,,,,,-0.06672028847207957,,,0.003299987729823251,,0.04291910724673384,0.007560081847665973
IL36G,,,,,,,,,,,,,-0.010752886496069522,,,,,,,,
RTN4,-0.04049025247609369,-0.03717225833021682,0.01833165751509179,0.012697857641930342,0.03887200264564039,0.015699822369709248,-0.0033662027475524665,-0.10194712622898558,-0.10935118120006876,-0.026440523936552912,-0.013586171233047957,0.014155366522466503,-0.10570556191496218,0.003774228924969949,-0.06592521426732428,0.021646887068687615,-0.06865387424475121,-0.005259652425494418,0.11844769940742504,-0.0015575631469869405,0.03923856945408486
HEBP1,-0.009541381138756203,-0.0046421933084543855,-8.54325489522954e-06,-0.028472246992112746,0.016386996562842017,-0.07694214031238958,0.06243735029425352,0.12925253110754037,0.022188171361200625,0.03501430004108533,-0.008806129745871956,-0.016158241879689107,0.007740860616284254,-0.0385517139879466,0.07227426091728598,-0.01887841370320927,0.01452761679915106,-0.0648808017001227,0.022524590607145203,0.03048904227388386,-0.04335707837801432
WNT7B,0.20363936308458058,-0.055096930611829374,0.044964099004761275,-0.012685293292457378,0.07680142467256636,0.018919938335332186,0.04269488680728686,0.019387438083065398,-0.008024594878886406,0.011892500303910498,-0.014901627574177059,-0.011468356150061872,-0.02674585198158408,-0.004043364199409412,,0.011522897174241145,-0.00429474962214821,-0.04468148953923533,0.084433361703727,-0.04624555757877949,-0.03383190204266704
PTMA,0.06846377503163463,-0.042555977548570566,0.05628779499590765,0.04861456699453654,0.024645088846853815,0.007824779896271837,-0.024986338634921154,0.16280037092319827,-0.04224849672815133,-0.03881055513240189,0.024992091965292656,0.05794655160350058,0.10934554152651745,-0.06804709124989455,0.005320929818017251,-0.11772287653873645,-0.014252735429634554,-0.05853428704876971,-0.0037798404765053218,-0.05570835082911003,0.019176635917394994
FASLG,-0.02867912529052419,,,,,,,,,,,,,,,,,,,0.003681729478484814,
