,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.018649543966050744,0.00536676970823776,-0.025064111174259784,0.01265870234267746,0.06382931597772946,0.05179278783592427,0.10481935782813044,0.04814884192078931,0.08013432358545526,-0.040738749983222966,-0.01192064042956998,0.05069955863095441,-0.03596553321529355,0.004912697397834703,0.14009814418329677,0.055179888806157804,-0.04274509808383621
RARRES2,0.008183105995323587,0.09794785478887855,0.03693061058424506,-0.06588710370970627,-0.006773340866888545,0.03157388175438618,-0.07148069885929444,-0.039033948310726804,0.13887346864125946,0.0432055768020047,-0.00150752558097985,-0.030616052151681627,-0.16108632961998212,0.05544870708142823,0.024084959085323505,0.048038822958453666,0.03241621890205764
SEMA4A,0.05314646520535369,-0.011693871010106301,0.04845152357688335,-0.03975786793416558,0.035000285570869545,-0.04139209994700381,0.0020468971785970514,0.020482260823392065,-0.06870132400540882,0.01983675494397062,-0.029389845651046843,0.03942502493086156,0.028124461265828942,0.0029719244407753064,-0.008250651920572638,-0.020164800078331165,-0.025753911135722014
GDF11,0.05966598570125524,-0.011357031368276442,0.0945787574889851,-0.018236353631676812,0.057348287215150305,0.007569333789558442,0.016756270825064437,0.00886492913433457,0.08093601914192759,-0.049743650085698865,-0.015549882667907305,0.025454647228411093,0.12165245061496358,0.05815473934316237,0.0016743381891560372,0.08372588524308604,-0.002078339479834276
GPC3,-0.032860819417865415,0.029028972652753747,0.048487026475749456,-0.017016485406569196,0.036748239368767754,-0.020813614001091826,-0.005685810336015038,0.0031845354982163922,0.042410141249822265,-0.022504673936192578,0.0024253083519569234,-0.02914033612797304,0.020657116725373022,0.041528287925573226,0.06709406413403761,0.060745432491180244,-0.012148464243652199
OSTN,,,,,0.16711916035611318,-0.03182094295064286,-0.013511376005239202,,-0.018679081929578616,0.13362510905846126,-0.010407976230227661,,,0.13485965879855796,,,-0.03339428050199355
GRN,-0.10716894973811443,0.0190922372556274,-0.06096108878709786,0.01328157743236041,0.08814290539012826,0.029198157340076213,-0.033355462512314166,-0.08306383548301824,0.1615562105965363,0.029308088632587083,-0.0062014714292445115,-0.13134448932540257,0.04501455750312125,0.08611162878918273,0.05208472499099659,0.0072721526373559645,-0.06711515903478386
CALM1,0.09955467144109785,0.10409745625138764,0.0682231195958975,-0.02609092273964583,-0.032040924471348264,0.055764956285558845,0.12783149813078618,0.024706171211457708,-0.13239991513763905,0.039228235828191446,0.0034704075672774403,0.18286304318367166,0.03439575238210125,0.04252889344258817,-0.014181769194155074,-0.007670929538003396,0.01245541010054991
ANGPTL4,0.06355128508093474,-0.09182701573332185,-0.0335239315248458,-0.04209676717547348,-0.07277555685912833,-0.0496732583595308,-0.026611582203110568,-0.008245412449221962,-0.053829307367381056,0.03559769318338982,0.02924578570428702,-0.01650000308163896,-0.14571679058612322,0.007739578272358088,0.05036871910981491,-0.024128851962553374,-0.027570943204943504
BMP8B,0.05425912641958662,0.03821357702877479,0.08252483976602405,-0.02993698258252852,0.027323177923144065,0.011007028558562375,-0.06300238895215406,-0.017405949250453287,-0.012139565940020093,-0.010708640772178963,0.011517325444883365,-0.015520079699951879,-0.024069577844159633,0.007847824574866045,-0.012634943834741152,-0.01715215668207365,-0.06255068369919396
TNFSF4,0.02919195202438739,-0.05306954867168149,0.013278133459083456,-0.017432760480836078,0.03487077241523701,-0.019784621100671498,0.03153109512860755,0.06456672264873221,0.04640991512684375,0.06343487597293203,0.017887129061284927,0.018506648538894322,0.08537929777091736,-0.02709298082606057,-0.03853027620073989,0.04003152928797485,0.04197594476957534
