,UKF255,UKF266,UKF304,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,0.0487920899509487,-0.059447829757274355,-0.011485617578125929,-0.023129562185060817,-0.006524963979689043,0.0505693595563829,-0.035282408642470516
NDP,0.06898059383346415,0.015721123480862773,-0.08006015545068816,-0.0038701819976394167,-0.023539836761259817,-0.012664867173753203,-0.020007226941056142
TNFSF18,,-0.015383946928837943,,,,,-0.02886114326632066
RTN4,0.01310710895564219,0.027910958331301052,0.05174086546384308,-0.09013833000526868,0.046322259000342675,0.07006261199009349,0.13005190806895256
HEBP1,0.006788567753911577,-0.07173494039052962,0.020098421267137467,0.03966040189989193,-0.0015598744061515227,0.05342618509634985,0.0653572361200522
WNT7B,-0.03159405077392997,0.019563291776162468,,-0.03093600377158792,-0.03487036426098446,0.0010217448639107487,-0.0627530858729773
PTMA,0.021895629001347165,-0.0027821608577014907,-0.04964458808274341,-0.004204110251217877,0.0567460763536753,-0.041133058726323064,-0.07761699482517577
CEACAM1,,,,-0.00211819064464493,0.032876066549671894,-0.01822827673255684,
PDAP1,-0.029478823797383463,0.01475466511692511,0.026933217350039534,0.060937786766947284,0.007479066066303604,0.003170296675414631,-0.006964826756775321
QDPR,0.0074935171161147375,0.03742289407653647,-0.013861198225680882,-0.047111935292222525,-0.005988871481275632,-0.05190062827772321,0.026838984622131457
POMC,,-0.0022343463122180096,0.03557181778846811,-0.04259446276570869,0.10365634103537354,-0.02981906616537833,-0.03383425688701676
CCL18,,,-0.060753177135641094,-0.01967088387336348,-0.041251753528248794,-0.03612926572413333,
CCL17,,,,,-0.024386204269090446,,
VEGFD,,,-0.019823588739675047,,-0.016893068051154477,,
TNFSF13,,-0.01491921924860836,,,-0.011177449687020837,-0.020469133065341448,-0.031396807129338185
WNT5A,0.040999812657888615,-0.01928737180093018,0.019910407344018558,0.0430970424611197,0.03229043456477647,0.02590505774816669,-0.029541629525820047
CXCL8,0.04845542812823479,-0.02122162173318281,0.036249918763033066,-0.01468790390319742,-0.07388507416447058,0.016637164270262364,-0.009762558431108816
GRN,0.015627974541765836,-0.016616940476163543,-0.03581365043693487,-0.007007912174954265,-0.0035922458385441195,-0.014543980544462633,-0.03487833453248496
MIA,0.01997721012652083,0.060293895454619745,,-0.012103151383906966,-0.01910428955122945,0.008138156135941262,-0.015920278109893864
COL4A4,0.07391026449491007,-0.014194977977740204,,0.03099062677811311,-0.02704844333165052,0.00585991767378439,-0.035090686003982734
TAC1,-0.042354090727051416,0.09569904572412845,-0.02232334128242833,,,-0.031448970280567805,0.08650327943868484
RARRES2,0.016883344264092225,0.023387895356448234,0.020458537715132553,-0.0020988021788267233,0.008303768643200237,0.0008212563817690047,-0.030993001647887278
FGF7,0.07676606367016924,-0.0308822506715383,-0.034322804803308835,0.01919704081469878,0.03661388318294014,0.03487432959828289,0.07513927820278153
EFNA2,,,,,-0.01605573064652538,,
HBEGF,0.06125315842211897,-0.04946004324971345,0.04190681829039357,0.06540156383647663,0.02927671457088782,0.016116214026935454,-0.0774940889642767
CSF3,-0.02242601404090626,,,,-0.05313520402811585,-0.02613272465440331,-0.02270322468093032
PI3,-0.01512110392521996,,,,-0.04221686545292498,0.012295605436497974,0.015962465556604733
PCSK1N,-0.05296344438585696,0.015115054591480654,0.08020057626563142,-0.05343695474705054,0.03476855648495675,0.053709442388491326,0.09887801575675503
NTS,,-0.017328842895741138,0.18665502004926277,,-0.01956086100237163,-0.00866491976182368,
SFRP1,,-0.035712575733617954,0.04646183579551458,-0.046450330027434775,-0.0022401608759869507,0.0017657862853366372,-0.03509181927849895
CXCL13,-0.016283939702298127,,,,-0.0003512978897184352,-0.013521711054908554,-0.029940148652617096
MICA,-0.010733915427637328,0.004737656690950976,0.04163699770859593,0.04287506214052236,0.02600746992821941,-0.010443046596370941,-0.01758441067372572
TG,,-0.020002052814710822,,-0.032028797956315726,-0.006774395124237822,0.014009100589900497,-0.017197049193557013
