,UKF243,UKF251,UKF266,UKF296,UKF304,UKF313,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.015863888667525652,,0.1226212335813409,
BMP1,-0.01852174086625525,-0.02461608478450504,0.04122295755324753,0.025717708240719207,-0.010936681382052867,0.07414033008379842,0.04550564652641624,-0.02054007244220516,0.10059851630808475,0.15450229353906283
NDP,0.0007952689791619537,0.0715760430902984,0.03612271461916606,0.019877485054257953,-0.006328101913142217,-0.02850393512117681,-0.019997217186629057,0.03574697670322582,-0.02192980542181261,-0.012006956659683788
TNFSF18,-0.021812101648939413,0.029003209307200763,-0.015383942469282754,,,,-0.016360148368740387,,0.003668533503395479,0.08254231837708298
RTN4,0.04042245070122477,-0.021123961952830776,0.023169023670500867,0.018543883760340846,-0.02050550265894316,-0.031111051723501523,0.004694116851035319,-0.005889566630029522,-0.0180515966339215,0.04799829751316913
HEBP1,-0.017024005814340347,0.03141384095492602,-0.00833796622453995,-0.008448842058450052,0.005564607213819827,0.06369782632156087,0.019041477535079687,-0.017343789258345586,0.009326992195715575,-0.02164406976474555
WNT7B,0.05199071835298832,-0.0037893204448241615,0.05126001874143228,-0.025181473300027634,,0.010491173593216389,0.011091877281676737,-0.025860407247953292,0.030513610318267416,0.04669631800015876
PTMA,-0.003517214096120488,0.02329109396840635,0.03054030034339241,-0.0119614659521029,0.010838648557388647,0.10717642470086969,-0.0027109415132983644,-0.003265728348979024,0.035634308473677455,0.06302896518759793
FASLG,,,,,,,,,0.04547360187574157,
CEACAM1,,-0.02152632802966562,,,,,0.06507550326863175,-0.017163928396483053,-0.012156911490929833,
PDAP1,-0.028050921994542736,0.028007098880434202,-0.008718929667459465,0.001545219606559782,-0.07691924015713081,-0.010233626828374497,0.040533175744841735,0.027161833378409057,-0.06223170622036465,-0.018374155027048013
QDPR,0.04534012500634548,-0.021560772920810798,-0.007558617687865391,-0.02663942932684434,-0.04257503451676529,0.07548406550293715,0.029472137142212182,0.016649119711804748,-0.027989867921219682,-0.046652677345576474
POMC,0.05907826163546223,-0.029959947873521357,-0.0405859430276645,-0.011381657963557779,0.06654209964200733,0.007835706274124849,0.01245608302346536,-0.014274281535124592,0.0133911069533293,-0.030796732225455703
CCL18,0.009990305648700515,,,,-0.007669947661144375,0.08407013581602259,,-0.05230722257360675,,
CCL17,,,,0.01524154809822484,,,-0.020915620830300696,,-0.017993612314368912,
VEGFD,-0.015673024934517988,0.01119069084928573,,0.00257095588138445,-0.025497239754327924,-0.00969199792603072,0.024164210281947908,,,
TNFSF13,,,-0.01491921492377014,,,,0.00048245875020783445,-0.01927394121925446,0.028306541591294167,-0.022489367834784547
WNT5A,0.08747775924465226,0.06400485567981852,0.029943747767788645,0.008009641421832999,0.010512405087985954,0.033233044809905535,-0.026486465735991463,0.0034358231369034722,0.04835355087983592,-0.0072615400645142806
