,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.048904770047451925,,,,,,,,,-0.03667462278674346,,,0.043133303951137736,,
BMP1,0.031910561669996944,-0.025638816813107253,0.009385124002654621,-0.0028123794846133775,-0.0355709837973838,-0.011999762654328606,0.25794065243789543,0.10195972462583004,-0.02526796617168417,-0.02447522832740667,-0.05748027785174015,0.07856879510700548,0.282688167124079,0.05445570911220582,0.08183382075531118,0.0846269284169593,0.019079124031949144,0.0017115992285946793,0.0013281731493203345,0.08550013313341163,-0.062438291524371754
NDP,0.02612081960277574,0.056394973577500486,-0.02260947099606939,-0.0357454619249813,0.04194762113887242,0.026827210594614438,0.03952410327882506,-0.0014451838456634469,0.06600717613234637,-0.006818618454877282,-0.04354911517279692,0.045581843937891796,0.23479232473853134,0.0423497107954567,0.07340124558520134,0.04765186106127192,0.01966957075582888,0.0685903902299368,0.18708513910712113,0.1697765736723673,-0.01947721970610847
TNFSF18,-0.023357426730537846,-0.019440333762339765,0.04073037672894654,,,-0.02026188202204126,0.10990097089271943,0.0006170440653832098,,,,0.021847740114469223,,,,0.005237767125647371,,0.08890420200386896,0.0063756960077973315,0.005995381359551487,
IL36G,,,,,,,,,,,0.01905211644016462,,,,,,,,,,
RTN4,0.025852775290278903,0.06912870174447167,0.04462434455981155,0.055601908417497285,0.03369276187017845,0.06770272738472984,-0.280643336430467,-0.05642766708699195,-0.014523208422455717,0.15443952828711785,0.11577731017525451,-0.002332429690646606,-0.09691257972922296,-0.06621820304836033,-0.11505095458257743,-0.13163067985983337,-0.031832661816644604,-0.07339162560035219,-0.025889810255833364,-0.07782349010351117,-0.04567356122944643
HEBP1,0.07585056734942486,0.041042907695214036,0.07111225817774837,-0.018016423670255962,0.013915178197508874,-0.017654459932755395,0.11865562996775879,0.038887805225041955,0.04459293669723118,-0.014865598247001992,-0.03952891695749234,-0.009240130386510137,0.10625192087050818,0.026374212074696497,0.048010238509979694,0.019163614259023225,0.0017227805439504994,-0.00468465114810522,0.15201331004352744,0.11389426595078501,0.008714724065975496
WNT7B,0.06822752145044786,-0.026709528668243054,-0.02883870570068735,-0.032553776998981085,0.021208760723776154,0.08322007818147029,-0.06678920823674195,-0.03561187814822643,0.0007283428231314854,,-0.020583734165389438,0.002982835125813981,-0.03767125286903112,0.006950184996484758,0.030043325531661006,0.004363863668538813,0.038549820214543985,0.012842590051533332,0.09172143145894981,0.12072220515933796,-0.04319136454901375
PTMA,0.06252445280873858,-0.08402973434676206,-0.02003297263243831,0.013284885261409099,-0.02138219797013104,-0.020759865811818864,-0.19291755041145822,-0.09905236286487006,-0.001975120531889398,-0.12004351321993746,-0.06306810089283428,-0.010338703062687585,-0.13948150072941368,-0.10891289629652678,-0.06743429542408695,-0.1476363011059578,-0.00876121769862879,-0.024103541132545307,-0.13497624274939088,-0.10223617708557081,-0.007318475200377319
FASLG,,,,,,,,,,,,,,,,,,,-0.0587431125088109,,
CEACAM1,,0.0044173394802520406,0.023297653943386714,,0.05676415520418698,,0.11588464968069384,-0.022558777846445142,,,,,-0.04827319628082974,0.005560154511498259,0.021802591561665436,0.11652925496642084,-0.02827496491466842,,0.04512965460602161,,
PDAP1,0.008314037607702017,0.04666263405112774,-0.026686338573992847,0.016157743764462138,0.05093370914064162,-0.008941697240606547,0.2193242634775013,0.04547455491647,0.006600889746944822,-0.005751976669103679,0.019158025978601688,0.11932102637032027,0.041226344240047695,0.03757856271673898,-0.033785895258119106,-0.03230468217783672,-0.06367661745457462,0.0035447664827685608,-0.038292351525062725,-0.04938236936672141,0.04823842052912201
QDPR,-0.007355183567405151,0.019163287581103566,0.038057789765611354,0.011807746782842032,0.0044107704469222705,0.06804245042415139,-0.29747898237577186,-0.028130400549575683,-0.05155903170365904,-0.06725725034902527,0.09746287182935984,0.004442043189325425,0.1730325832041263,0.017398920146971072,0.03978807718266688,-0.13308932595521772,0.03648410564529704,-0.00397259490122554,0.12635473174495926,0.035596170531442047,-0.009552848150311393
POMC,-0.003752617845730507,-0.0160070560180595,0.004117338104670315,,-0.0016639802397167777,-0.025003014416191034,0.021443595807933546,-0.018835655369016654,0.05930225299116351,-0.08413682778988624,0.006898700103039574,0.06077919927235285,0.06551996439779924,0.0697398118922644,0.09896890652920626,0.06489526395459742,-0.020157496741218195,,-0.02563406612582578,0.015710368457218193,-0.06466801080294346
CCL18,0.008488064451515162,-0.030424330789538857,,,,,,,,-0.10478998842505984,,,0.000888225613201119,0.04941711854962351,0.0035256778788443407,,0.01814574311229513,,,,
CCL17,,,,,0.008525154815877166,,,-0.02920879569751188,-0.025905906086685727,,0.0018011699568730795,,,0.025191691988023165,0.04838575677399433,0.0543411854313819,,,-0.05324403348522581,,
VEGFD,0.03422063261434265,-0.007399946042084575,-0.03169960970101876,,-0.01084001886223507,,0.01121530280408141,0.014499373644604371,-0.037600246466555964,0.03213804693649828,0.04654209172720166,,-0.025067728200225712,,-0.03505320384389484,-0.034012965357416894,,,,,
TNFSF13,,-0.02295918361544802,,,-0.015369713234927819,0.019681179525624426,,,,,,,,-0.006752306163095996,0.007167116613796488,-0.017981411796643667,-0.0317508905393399,,0.036352186977084554,-0.018362183515562958,
WNT5A,0.01678539616045606,0.07619320167491418,0.05662911119074943,-0.024823448291655607,-0.007676431495641628,-0.03201289552879809,0.1977953930857998,-0.053421630071881505,0.026817653838491974,0.1550189289391474,0.009596466216056386,0.03386482266106796,0.028382801421661708,-0.006007518037869675,-0.0058881963884866,0.029616570974940342,-0.015254222756546724,-0.050081344321862495,-0.021093074891829572,-0.024344753679649722,0.06011490347639666
CXCL8,0.05817456537016539,0.06677300203670396,0.025716897315206287,-0.040154762702150494,0.046337818584043455,0.038974771065992196,0.12331175030222541,0.028555824243928413,-0.018622816291981023,-0.006889527787284744,-0.06826586213434871,,-0.2046453226917799,-0.05335104172489478,-0.09387521861039591,0.0862324814087256,-0.041829305755058076,-0.017534875777992592,-0.008731334522754017,-0.1392437522382175,-0.10225457693066277
GRN,-0.02519626702649807,-0.025314805278858606,0.03370647140473351,-0.015536246340460235,0.02264224713316407,-0.0001311273964523836,0.19306928055584582,-0.01455221479547406,0.026697648357219512,-0.0539130457015488,-0.004971186256878025,0.03190129431655943,0.06856479494255834,0.04544923180611948,0.0481978901485743,0.16908209992877413,0.0315424278994324,0.023464432326776908,-0.09544938150034452,-0.05660035110119501,0.08204927157870828
MIA,0.04617196108862365,0.00302404851049984,-0.028191416024876556,-0.018514881923237986,-0.04602597638039665,0.016676176778885866,0.1125361036384724,0.02919663424500837,-0.0018773355580250387,,-0.03849894500206365,0.05309933610060408,-0.0032344447935668563,0.1543372855897873,0.09075615365738297,0.06630538951146986,0.00995068220011689,,0.2936729784790572,-0.02598531104944609,
COL4A4,-0.0026595414796308646,-0.036539374087667637,-0.040639530142777276,-0.03301214215083188,0.041046715381136814,-0.018695915321398703,0.005214416143090296,-0.04591258828525614,0.016775898628418596,,0.019399214928668206,,,0.10132705340171351,-0.03947687382707259,-0.01249248654565745,0.045866896374405525,,-0.0678746420272269,0.03442677832230639,
TAC1,0.05286348043758265,0.022053894740659805,0.08423079918007459,-0.06580086085155336,0.03485897670467767,0.08368100965201271,-0.1535067306274713,-0.04797914478942503,0.025855223547392347,0.04992494144161901,0.050625647770977916,,,,,,-0.041343123556203454,-0.008194239710405678,-0.028263296775518674,-0.021903800107075093,-0.023917256665843465
RARRES2,-0.013462281668215226,0.010190295295376897,0.01449331660293412,0.04673207172048187,0.024279826183346377,-0.035844788926032344,0.2937401466190686,-0.13838188060688225,0.03479214320048233,0.0049778493293578,0.02360464733251358,0.048810876086227604,0.0816347197014533,-0.00821538226218702,0.026815171489697434,0.010063250224128812,-0.004721480139082551,0.029707752223891354,0.027000998128775,-0.0442758852602278,0.14642156821258046
FGF7,-0.049601335147173395,,-0.0357788710568789,0.0034437045689134837,0.027169566426607783,0.023686420827168476,0.15921420294055924,0.012618823743689498,-0.020863015038191827,0.015649263666992305,0.012044025948203621,-0.06776718117425641,-0.010323719540787151,0.02887403127469501,0.040366787057340675,-0.07000192908819607,-0.018757783878241455,-0.011912735784443245,0.13873710189467955,0.05500669746248921,-0.07658557609114816
EFNA2,,,,,,,,,,,,,,,0.07624628665464839,,,,,,
HBEGF,0.0010322387761692463,-0.023602700106722857,-0.007698649026342277,0.012877677853942624,0.05749023302136368,0.03795137395700215,0.13121807428029333,0.0705152234822409,0.039123931899180994,-0.06645288636594594,0.030665109550317673,0.10615613782202217,-0.024035315546354206,0.09618044294683965,0.060289953523234845,0.0155707281386068,-0.028282619122883865,-0.03585041862068616,-0.10964770877967676,-0.04898794629833666,-0.06665087834638135
CSF3,-0.03552878879873708,,,-0.023107244629298616,0.0005269123110360351,,0.048102222785368964,,,,,,,0.0363497329030948,-0.06601230017544919,,-0.02121686972454654,-0.036235262831906964,-0.014901376211037605,-0.05729498924266476,
PI3,0.013934148893361146,0.06981436685505231,,-0.03429572005392917,0.06187957394588672,,0.016354720957673135,,,,,,0.029464090228622068,-0.04533419773278847,-0.10553026921069696,0.095598309016016,-0.07700168265696065,,-0.04782534326066052,-0.10484419364426663,
PCSK1N,0.008948407213111373,-0.07359979606560664,0.013271820865256101,-0.03148163984905039,-0.02917012512549916,-0.0001098057083808642,-0.08528839324648886,0.027453201997658445,-0.06102529114853174,0.08638241858863713,0.09227767744238859,0.04321954988111741,0.08059489050288532,-0.062408623166129454,0.02880189190359932,0.04538476772954795,-0.07614642330084515,-0.009739152376934257,0.19238164241903505,0.022437024237868416,0.04800987046295366
NTS,,,,,,0.07546108562231515,-0.04445247482452257,-0.046272523699344106,0.08110619381330435,-0.033723974110517474,,,,-0.004886037660025329,-0.03356685855119325,,-0.0072654067234086015,,0.1224958108223021,,
SFRP1,-0.013687700035958058,0.008155014851757807,-0.009439891622740556,,0.018550095882771997,-0.03624846070669038,0.0815174130356622,-0.032658720992582047,0.014749491443007941,-0.009187140953290169,-0.05390883189603919,0.13808404903854862,0.00878140550252185,0.02608511061803134,-0.044012286271192344,-0.04227028858302873,0.003149596367086115,0.010440992423106855,-0.04382742773475957,0.014153975980238638,0.05905002060638445
CXCL13,,,-0.04022926280606188,-0.016778593714576358,,,,,,,,,,0.05619774697277489,-0.007967921866430774,,0.013206415474286675,,,0.010055362292789265,
MICA,0.04657212648747251,-0.052510943623322405,-0.0011911155606899317,0.01329233377808353,0.012039801209282223,-0.025077022311985223,0.18239072186757413,0.002149158053483016,0.013257503305562081,-0.04699097786650851,0.004295444733813646,0.05115641293902152,0.12216675421506008,0.04698827915654465,0.09788816049985863,-0.01945507298784245,0.11867639507981269,-0.008061211310481755,0.007399684957457581,0.11006041997828042,-0.043334651683881224
