,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.13582563463401598,,,,,,,,0.19364086992075039,0.043226390776086865,
BMP1,-0.032500700698519576,0.10372586504424892,0.05854036318397724,0.014675395860083446,0.07724904326347272,0.12736967725603224,0.05010922884429961,0.014547548368201024,0.053528346893792475,0.001945533994821317,-0.020656721107807387,-0.0016399816822928609,0.04142567409124445,0.032191954303636944,0.23123452671138187,0.09931263212390554
NDP,0.015244735527969022,-0.01384184348419268,-0.016445323798854043,-0.043719995915252524,0.05314700466303135,0.040850622947927386,0.02812148903474583,0.027049580356956853,0.027130617869287454,-0.02795519948480028,0.0469977266490102,-0.0024790731589041854,0.0357418727736075,0.011843161142039042,-0.03783575137801506,-0.001582213391314022
TNFSF18,0.12555949090631627,0.019436068085219263,-0.013049357735346932,,,-0.011246610685888909,-0.025544480684217902,,,-0.038037003318831634,,,,-0.01712245033026874,0.11543377680905174,0.051363591385973274
RTN4,0.06229820594947732,-0.02587601707339556,-0.01792088549380016,-0.03835647177694562,0.025847133390085618,-0.15357048792371086,-0.011762856281296405,0.00925937629906179,-0.09984242531209642,-0.013311669626302125,0.01757636074211072,-0.05981852506940485,-0.018588045830618224,0.01894799998145735,-0.07960838114252997,-0.0281739188750948
HEBP1,0.021938954331934046,0.10137918773871742,0.00841336407834809,-0.01639564036549107,-0.018031493259194956,0.045564162665359564,0.030915776345370977,0.01810805806008422,0.0018841345287899792,0.07934919354679174,0.03713828397196661,-0.005138315119938849,0.02547739492596959,0.02989705381083235,0.057093390314508254,-0.02118566348709512
WNT7B,0.09458223081209584,-0.0035308261337617134,0.004250482408431552,0.02174570412017328,-0.03243560739254532,-0.05031947557037117,0.0226454499102171,-0.01807010498254389,-0.012054796312350347,0.0467262705942752,0.08627091936966653,-0.03299707673686229,-0.03178788055367448,-0.03580442881078106,-0.02642577917933383,-0.026041841212502363
PTMA,0.03667605069952752,0.0585125111359316,0.052171862754318246,-0.05896417967721322,-0.0019847316614555292,-0.061553877157762935,0.0055200975315838246,0.061489071135598906,0.15495973134491328,-0.014519830920124063,0.02333105926543404,0.026591088344994344,-0.025212182876089954,0.013134038777124926,0.16688939535136815,0.02376411904328613
FASLG,0.06457229958872024,,,,,,,,,,,,,,-0.010235983112572138,
CEACAM1,0.012630209480939002,0.02386459375449199,0.054615168259594775,0.07640254805882911,-0.023376151846641387,0.046877108654436846,-0.01240183309192969,,,,-0.02689722490959338,-0.01848988957308973,-0.015399748203835729,-0.024603173516586512,0.03004536142979948,
