,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.0204327552716465,,,,,,,,,,0.04475067871783003,,0.04611662585045412,,
BMP1,0.03535691847158891,0.02901610248522819,0.031998486752212243,0.0022551880405742315,-0.03237108009065554,0.04423092220370041,0.01054869834477965,-0.0059547618680411175,0.06519425558014127,-0.04791309257534256,0.001278639282885423,-0.035054543128699385,0.13585804260186843,0.06559108098150972,0.016046151020722633,-0.048976761641874395,-0.04358199425272179,-0.024703794665560982,0.0823367925330422,0.049759620698461474,0.003393031738406089
NDP,0.00348250199481133,0.020817178942626798,0.011073357636325783,0.04907864484776129,0.0375106547885233,0.0934308746633486,-0.02134485703079775,0.019547300147444213,0.02597345573374343,-0.05344225218273859,0.002276770825966719,-0.020911057953153872,-0.09936124045989159,-0.020141000367338218,0.02687933941833603,0.07474842623737729,0.05165538365659262,-0.021213210883621093,0.0328374254362235,0.014434122944216761,-0.05609341346856594
TNFSF18,-0.022596676426354812,-0.0017936939745366342,,,,-0.0287748558491197,0.021781612775935575,-0.0037282694891329227,,,,,,0.029498234624365002,,,-0.016871924880628653,,0.014419244731844692,0.024581623630509506,
IL36G,,,,,,,,,,,,0.022581283080084294,,,,,,,,,
RTN4,-0.008795125650227,0.026677650908918483,-0.014049768495056878,0.01953175430102629,0.11229501856773001,0.07063569990927115,-0.006676716498779163,-0.016630314467629536,-0.021536318543070487,0.1408616234223512,0.04666406217440801,0.021123804265774197,-0.018971618555478333,0.20331206614512237,-0.02977280880073191,0.019615820706931634,-0.004582503560011599,0.09704346988072914,0.029014437341888247,-0.030450141219598752,0.008309564485384374
HEBP1,-0.030829752838263016,0.01245808889307836,-0.041225715654718595,-0.01874594264168822,-0.019681763332381388,0.015484944408207848,0.038711084201453055,0.02688632038645203,0.013444216405501138,-0.10157355607251124,-0.0019067737958686124,-0.01879797201785231,0.02733575214118249,0.05456206068313819,0.0269324032901238,-0.009100235127686948,0.039676626998958846,0.01794177389325325,0.04489886615145389,0.04738898943615922,0.0823779542776361
WNT7B,0.021082705477707915,-0.023482031649556794,0.07630488698811891,-0.03484110605271103,0.00862960822425282,-0.008767551918556238,-0.009718553824352437,-0.0038844646529560857,-0.028868417405492855,,-0.033932517227835864,-0.015357766154922554,0.058865065201292276,,-0.04854955224551871,0.040549872444959466,-0.035280559828602114,-0.01871738345951157,0.0781678594006109,0.03978524952827666,0.1687006087187077
PTMA,-0.0680235368764977,-0.062172847677867404,0.09486179766892476,-0.05618118674393624,-0.12236435704859513,-0.07196413527364268,-0.04304174774445368,0.04880587339976488,-0.02853847882035365,-0.2363587484619134,0.005386395603788474,0.04520303498327657,-0.11282669358801568,-0.00023645031726260353,-0.0242299089396576,-0.013594722737543053,0.03095786662351355,-0.05650954118541227,0.001888791061123677,-0.054208949944481916,-0.1014550703569077
FASLG,,,,,,,,,,,,,,,,,,,-0.0262840086284103,,
