,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.03307048177027283,,,,,,,,,,
BMP1,-0.017745909577239143,0.045488370928910525,0.04656444195298367,-0.02270369396489564,-0.07037447368355745,-0.02590098281299061,-0.2120618043550511,0.027815391746147174,0.047870641427441435,-0.06385217778738068,-0.0401069567741284,0.0018020697853492543,-0.012450419549999254,-0.018086390099225108,-0.08940330429590275,-0.016762131133511986,0.08931019037622365
NDP,-0.07363830784637526,0.009516206285104654,0.047015869607820886,-0.020953160460520807,0.13728559408047947,0.053670904573498684,0.07124651781795105,0.013040189595224308,0.00047936538217003134,-0.0013560783233261312,-0.004656642189167662,0.07266124959976382,-0.0009664195438617611,0.05806711029231863,0.0790311009383793,-0.020349134010192713,-0.07113796769691431
TNFSF18,-0.007905062970162998,0.030186793206539952,,,,-0.016689359198723275,-0.01767400362021115,-0.02061958231384909,,,,-0.07286142709377615,,,,-0.05269268362779081,
IL36G,,,,,,,,,,,-0.0233756358464475,,,,,,
RTN4,0.17917848426783275,0.021249873863974096,-0.05297012620148984,-0.0033818967666498357,0.17160833866917147,0.017132468070287662,0.2810266915225142,0.06579547392401792,0.018254819689028194,0.18080087907161987,0.06096081559362623,0.15778215177694863,0.010659385805965326,0.0010295569625301663,0.01917133510452679,0.15013921663466168,0.05170632395078458
HEBP1,0.003659810162347751,0.04589163864732265,0.04434465161131711,-0.02722393018238611,0.012812202432300168,0.0446159702974172,-0.0622147308566831,-0.009179995828386777,0.04045339219437449,-0.11511723103579888,-0.02523958837751913,0.06863667382017394,0.036547729910503764,0.09128026646258666,-0.015429210735099312,-0.019829575893348134,-0.07907948073172193
WNT7B,0.12666123675416321,0.011042442224233374,-0.03255376868288316,0.029603023375753715,0.046316062465698034,-0.005540280511621305,0.17913175312436533,0.014220373674404431,-0.013333401584137572,,-0.025692517636234608,,-0.03673614199352931,0.0019072957364921117,0.036220876521897455,0.01962257803677132,0.09676761035709314
PTMA,0.0761897376305203,0.009812548889263858,0.02471765730687092,-0.0439690197873955,-0.1786117737324103,-0.02576633716950012,-0.03497422986591856,0.036656380770649616,-0.07849157296078424,-0.2489521984094608,-0.0678801289197502,-0.05315609540576703,0.002082323974357809,-0.008374299645043045,-0.07528813404376865,0.0009422091603871493,-0.1800273350974422
CEACAM1,,0.08511031239789615,,-0.0064218152388499945,0.019746704983390036,,-0.058542894737223954,-0.014067354707271752,,,,0.14506009872211206,-0.020585072254079056,0.0215842490383377,-0.021894374799453144,,
PDAP1,-0.058188140156352944,0.03140339870763239,0.0004689307790407543,0.02824307002788352,-0.06605171849404781,-0.0014030432476614984,-0.14218475458601398,-0.024619405270897527,0.03166746402801428,0.09351547142587485,-0.03125407486020303,-0.001593970810053581,0.023946558128180837,-0.04305601077292216,-0.055794918637589175,-0.04450109536120842,0.1500566955051452
QDPR,0.1347579353070357,0.0658426700838607,0.12963096491526713,0.009852829374498592,0.20476741070123952,0.023579549308045122,0.09911802498979992,0.015828962860931464,0.02140771102179287,-0.25623720181475634,0.011915905438977078,0.02180239386656357,-0.03311064844304855,0.06735462902268546,0.016849215170209188,0.07387628131338349,-0.1471668290582482
POMC,0.11639248556762458,0.034568536712191525,,-0.00459163595011132,0.08167666102475676,-0.018080551834188305,0.02327965709973773,-0.023925332758830024,0.048804860723072,-0.0372242680802749,0.06592938534890995,-0.018268257778122778,-0.0406993972220244,0.012098114520058262,0.07051271821752471,0.004589070284870194,-0.03575692668292772
CCL18,0.05149022441849068,-0.03404606299257545,,,,,,,,-0.044332252024162785,,,0.12793923667520712,-0.0027550562915021055,-0.062388812914715014,,
CCL17,,,,0.10509745199227763,,,,-0.0257166336547365,0.05172697712219597,,-0.02135430697980647,,-0.014604112418765428,-0.028494022668437324,,,
VEGFD,-0.011535847034533517,0.03633204439725054,,-0.025483092877373555,-0.03396786338195134,,-0.055401927915736074,-0.02739889801632089,-0.012105159933213695,0.005189824074275277,0.008417500594684397,0.06325402491527339,,-0.019738679241654827,,,
TNFSF13,,-0.025692259824443526,,-0.01577731135930842,,0.07459488406899081,,,,,,,0.054005143432508895,-0.004665931187855947,-0.024585915483279076,-0.03868055541903911,
WNT5A,0.011317678484080712,-0.0035208714254642975,-0.009847644510160437,0.03627711942220801,-0.08743994061868432,-0.035025028685663456,-0.17259817539672664,0.024112524236854574,-0.018908683514607238,0.029012262441018427,0.015182843410696922,0.14613661582014428,-0.017335197029194036,0.014619159865337596,-0.004705365276706247,-0.02663420717764814,-0.01782833091717664
CXCL8,-0.0436846706817915,-0.07656618204869024,-0.03983588018942072,-0.06087985158052821,-0.11264950005280948,-0.023022392726836687,-0.07848661571125153,-0.0903481045840709,0.013727008183129698,-0.08489459536777295,-0.04644063299120871,-0.03808604542347609,0.014802201721190164,-0.11481045534380585,-0.023158663659503313,-0.10042116466235211,0.03668815381570737
GRN,-0.051678845394493904,0.0032021142204155897,0.03971028649868014,-0.00823578485343562,-0.08638096071899204,-0.04768715081039048,-0.2343818567396155,0.03078429270244009,-0.00877478806563236,-0.19315381779144175,0.04006779217177362,0.007090807017668455,0.0020993952299192607,-0.022405033354206235,-0.06932722895309168,0.07139992989176638,-0.03899610181910142
MIA,-0.05017310812571107,0.005950437240342761,-0.016775659847577666,0.007363260458649815,-0.048783229632032486,-0.0041207045787793285,-0.07300711252333093,-0.032444956972625116,-0.013767070101086082,,0.012184723291765051,0.066665470953884,0.08917019446214988,0.1361572031067192,-0.0902941282658713,0.00025572700591391506,
COL4A4,0.02723747086228557,0.004315295399447074,-0.03301213371764126,0.06168492538784225,-0.0817340393125324,-0.01539949971124659,-0.03258850512256736,-0.005922030147108113,-0.01091378665493477,,0.013978808584646065,-0.05453844202280871,0.04541356247715868,-0.005255227919409889,0.042700947982361244,0.01933681219215074,
