,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.06207195972563843,,,,,,,,,,,,,,0.0016870838671467164,,
BMP1,-0.005809139710121235,0.07424967137084904,0.018357512966821227,0.036889648326312176,0.014258196123417556,-0.03114009950224152,-0.15038360117136992,-0.4015227314970932,-0.11385733223696931,0.013620200113588646,-0.1386427956009153,0.07768735894183772,-0.2145344590037957,0.06770691215575468,0.127809569285835,0.09151493307562449,0.05195341850839147,0.0898624039794084,0.07096605831585762,0.049647100933318075,-0.07254527464753383,0.33310502300956296,-0.07478027421547372,-0.10748329290892972
NDP,0.009545129031570409,0.008185155243201934,0.038391527576246184,-0.005715134515413677,-0.03389044840598658,0.1217751797397363,0.00284880980747966,-0.13369229306145683,0.010098819872148413,-0.09143837714206,-0.07533721691791179,0.0844986286677069,-0.06193374520779185,0.07030432240331322,0.07767275284883478,0.07007339694338138,-0.0037248247824840284,0.09223372428563163,0.05539961780270447,-0.019130505244482194,-0.03655943248998437,-0.09790562542194832,0.01671880165307419,-0.029547305473773454
TNFSF18,-0.029214532969249706,-0.00350330100801637,0.024785279251155323,,,,-0.004681013924531896,-0.09217499674127788,-0.005192886855005223,,,,,-0.03479564573430585,,-0.050711727075722725,,,,,0.062066016719284446,0.07670213475596142,-0.10035292798634358,
IL36G,,,,,,,,,,,,,0.010287360909630882,,,,,,,,,,,
RTN4,0.18325859387267676,0.034230521950738516,0.10273224518124364,-0.01337518721288738,0.06254951229341732,0.190869127826264,0.31163195762270685,0.5056057463177953,0.1713754361567612,0.22357398731048841,0.34464324716108286,-0.07886116638224702,0.36832553224779396,0.009984894287486144,-0.024913028888509447,-0.00756103566488618,-0.022296625752019104,0.009507213696018986,0.06575643541255945,0.002647688963947961,0.03371984169879146,-0.004811262203333689,0.38418420213932986,0.12836599224575643
HEBP1,-0.003722915378111741,0.013653061988137524,-0.015647872162278007,0.027493339195244177,0.017460826343995425,-0.014274582799307784,-0.09097893172441916,-0.20305889719712128,0.016309939153726957,-0.050734190377811024,-0.06519203736851328,-0.00437676388598777,-0.07443876242327319,0.04522142206233509,0.028573867417046376,0.0031379964295513737,-0.04947073750595368,-0.012217036379194347,0.1218010947307206,-0.0302432903491799,-0.0843997320557219,0.004067121405769892,0.047608491371356705,-0.10968164180205663
WNT7B,0.3115936940989035,0.05444159257198974,0.018407929698771686,0.008679188168754903,-0.043470124243923616,0.08925857683081638,0.1109939099949235,0.3427355899473522,0.049543074874870884,0.16065205397345045,,0.02184958289570096,0.10596254905203187,0.1941194582710363,-0.04680799736245944,,0.035789867698237096,0.09046784261076479,0.018361931280337335,0.02022367025652814,0.009695155083416515,0.13886329232578137,0.027056131182376465,0.05732044291237332
PTMA,-0.01705016545294587,0.0036243176901823463,-0.18072762553495852,0.027109967795597732,-0.006506256991976636,-0.13645242225123766,-0.3448287266125456,0.16428369700507583,0.11856256299756854,-0.0999135987661356,-0.41831960675601043,0.1378002694497261,-0.3885166834734663,0.04442457586366411,0.06985463009968165,-0.1196203086763573,-0.04578127496574435,-0.01907901905306637,-0.05853564203898229,0.06478080348454446,-0.14782790557761918,0.22416307073116157,-0.14279542556377495,-0.268996679033399
FASLG,,,,,,,,,,,,,,,,,,,,,,0.07974183602516488,,
CEACAM1,,0.007719283864694502,0.05830221324177401,,0.07395267795829935,0.05457513320787042,,-0.11100901478627385,0.042995439550529896,,,,,,0.045347127902543784,-0.035658950643155544,-0.03417667430562866,-0.04471349074930442,0.0417637694926812,0.03249098708265371,,0.07633750946726615,,
