,UKF248,UKF255,UKF259,UKF269,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,-0.01790635601864419,,,,,,,0.029999356475187443,,0.10902663199686126
BMP1,0.06889583479149612,0.031196007440527612,0.056472940384422965,0.14921707079006535,-0.014824607934858604,0.08639992504187649,0.028599458775420396,-0.03991228896512895,-0.012739327959600295,0.06896715479902393,-0.007820427095904602,-0.000963466428484484,0.0366085913763555
NDP,0.02481779503884103,0.07669635136446132,-0.009316963090876354,0.04239801282941838,-0.0024946007399807633,-0.010343980241961334,-0.004801450526310896,0.04542088349207755,-0.0157212989500747,0.008790470731548636,-0.007113695272005198,-0.024754887864634954,0.06610177343280672
TNFSF18,0.019450620531017416,,,-0.003961867962534057,,,,,-0.043522674970237984,,-0.020540795805779062,,-0.042993053427248386
IL36G,,,,,,,-0.013552786341584409,,,,,,
RTN4,0.02970391062029519,0.00887423500593622,0.0031248722856421227,-0.16304976972699642,-0.002369826707427718,-0.009694239034727875,-0.07479238248451309,-0.08334828300912747,0.018930711270270545,-0.040990120661895724,0.085353957980596,0.010067271587025275,0.06506307966724448
HEBP1,-0.015333199249981923,0.023337486343062833,0.037021520453600444,0.11119761699238463,-0.01430392892464048,-0.004636679016234154,0.0046954900015673245,0.05390682179198929,-0.06131197786569198,0.040779784988106124,-0.006141085810997724,-0.05626922494072293,0.08943171009107835
WNT7B,0.04760289681828642,0.06716404167006815,0.01292783259055957,0.005156350919580465,0.022059169489144118,-0.009803729402913252,-0.014896074031466193,0.06702821260690475,,-0.005837435542436704,0.007127392493698045,-0.002370923778519477,0.03814255911254861
PTMA,-0.03238218104502618,0.023701712351627716,0.009965016998747314,-0.10135282978649077,-0.019603493111904947,0.09987939510998606,0.10427333671190146,-0.10218291397061188,-0.037415355959878646,-0.06453025017175436,0.015227655497997483,0.047238820091474475,-0.03581395205384663
FASLG,,,,,,,,,,,,,0.014393083762704924
CEACAM1,0.03519245713082478,,-0.05070647492843363,0.02201760836770947,,,,0.03577450462057338,-0.030603826927535167,0.07074373261927899,-0.029514979084796847,-0.013517655880337041,0.02584740213869335
PDAP1,-0.023173186593330418,0.014535032663714677,-0.012309439640203843,0.13113908202775,-0.02366325177071658,0.03041044994777004,-0.018469470601904826,-0.038834516216764384,-0.10604055810508611,-0.04910279114956925,0.03712299882973656,0.046906514859385844,0.0007789853119077843
QDPR,-0.038260350590847494,0.0194394441377184,0.0511236646014824,-0.20978264419654294,-0.01682081235502629,0.04116242304885758,-0.038555943310102835,-0.03761739403505332,-0.063298033806189,0.04974467598458003,-0.015652626839114555,0.025278837930845174,0.014205907826734252
POMC,0.07075967935522236,,-0.019770371124467747,0.023162362842856662,-0.0031793507640280796,0.028855666173403686,-0.02903698999741682,-0.0738484526616673,0.026912184248353628,0.06923851355123097,-0.018776941701302098,-0.02211310926482989,0.00995880498724826
CCL18,-0.02906277441513594,,,,,0.08645945736833979,,-0.019553073436748048,,-0.035319820649465386,,-0.030275571256965502,
CCL17,,,-0.019472214082343633,,0.13489644831827272,,-0.012380855086511138,,,0.14633254275100627,-0.026260366773151928,,0.10150201190647186
VEGFD,0.01853870264302925,,0.1342248318990567,0.07451303428890024,-0.013641267938560308,-0.018378677501252126,-0.013268945872607966,-0.050683840793170204,0.1436889950446527,,-0.027696581701359232,,
TNFSF13,-0.006623241296803967,,0.00841298244443095,,,,,,,-0.026274475988696564,-0.01039408764759132,0.009585605572030876,-0.03264709352173618
WNT5A,-0.012883013828338827,0.0030126044777834954,-0.0031669644767281556,0.15053505711441487,0.0021613442507946536,0.06120034607708255,-0.025104073871284865,0.008724921894825762,-0.0033725703998300845,0.021278863769557288,0.0431437267495975,0.012560598784157242,-0.012227663539724385
CXCL8,0.041758909585348156,-0.01126961362337225,-0.006026519211163507,0.07634686736420486,-0.012703341846436499,-0.02097265901615103,-0.02218870511778466,0.010835510008704205,-0.006820291128387215,-0.004456897703554333,0.016681540554604555,-0.0324078556176743,-0.004409154060590577
GRN,-0.005348389863063459,0.027352327383916727,0.06855975793232658,0.13345353570330756,-0.013025724718405398,-0.03032260105077476,-0.03474100933546139,0.0658496603979957,-0.0778509890267242,0.03705886696290889,-0.01667484252802871,-0.039717945828601386,-0.04223478059583436
MIA,-0.027120843850727595,-0.0421041086139626,0.0027564904305967084,0.053123778601216115,-0.01551406945583414,-0.024924788474763482,0.018496454537381888,0.0032008159418371075,0.05348624439190679,0.04777656194384802,-0.002569976661864702,-0.0532026249971389,0.03827340316765128
COL4A4,-0.03490415594433667,-0.03203890002007595,0.0005359650672814908,-0.017115191113742077,-0.0032494894482470145,,0.11528987809830839,,0.08241497318617785,0.014762618175220357,-0.0017833250731516623,-0.01279573221635638,-0.01888834129280067
