,MGH258,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,,,-0.03180372442269319,,,0.02450243633300963,
BMP1,0.05342142368899652,-0.02257805890186672,-0.00753306359067204,-0.002626944422047409,0.008556324852071149,0.0025271722450576897,0.06383334534214592,0.02905566619706589,0.06438825885092782,0.016841413403599733,-0.058187082214947033,-0.061988402536158636,0.10162465766076235,0.02471539975926141,0.08429026499616801,-0.04404442987202053,0.004612667851431207,-0.02830918507329667,-0.05108253661289751,0.2145163057873601,0.07883306857520542
NDP,0.023465417211101538,-0.00797134039466445,0.06029474243060177,0.012657705109054,0.10159067570635791,0.05114055873154892,-0.0027940007997791596,0.06306845007087071,0.09937233409049379,0.017493077810548294,0.011898517371874355,-0.12730056684516236,-0.048752271908456914,0.06158797681661431,0.011937750498713018,0.07265520488312432,0.09598618034617847,0.009728045581155236,-0.00163091912370166,0.08601242351707,0.06675643109554773
TNFSF18,0.03675301455655156,-0.031158294764017366,0.059518946989803215,,,0.03466666362097902,,,,,0.0705986150990691,,0.09734327763304708,,,,0.033557243286511995,,-0.036426697242158385,0.036422153815037064,-0.02518450237373915
IL36G,,,,,,,,,,-0.015795204780096158,,,,,,,,,,,
RTN4,0.00973924491581404,0.06269185561069257,0.005053845767648962,0.016669304066073497,0.037791367189724416,-0.03782817090207491,-0.01705524598183692,0.1264219015056412,-0.016992360089788917,-0.0116541573295293,-0.06871861785753765,0.061586987080936115,-0.009587852007739471,-0.01838128245197979,-0.07598635375791438,0.012785930808416876,-0.11459141111973214,0.025149365768669725,-0.009535751290131081,-0.0704903204528451,-0.06866087142276434
HEBP1,0.00573472678336753,0.03151973634498861,-0.0198714754315072,-0.0003694595566773267,0.0015686699651943576,0.009916099587878697,-0.026808423385133444,-0.022482024707453013,0.0013972722661597587,-0.004841258645542606,-0.011617683643245091,0.038292953706192616,-0.03703434275333331,0.0017540361001799356,0.05151361957800132,0.055818721990816556,0.0018202578885919264,0.010428952706797306,-0.00908515129687252,0.09891560450840653,0.0745429000265846
WNT7B,-0.012566931883469835,0.01925678577444769,0.051219475484876674,-0.02081878914921696,-0.0061055761856444665,-0.008959874718833102,-0.014006904362415862,,0.04145109661410451,0.020894147322753423,-0.052862711392640635,-0.0008535209975351877,,0.04113921020274346,-0.052611014918458016,0.08610615595188012,-0.013434058378484444,-0.009857621952364016,0.020426070931633664,0.04124234359144352,0.018785994931724014
PTMA,0.0194488372464286,0.005299739232843067,-0.08197563577929945,-0.04006745486998748,-0.028292032781996084,0.015658524228496652,0.043695296505229395,-0.07879735406882779,0.05630876510701529,-0.016829769410788308,-0.06426216000113272,0.0018570590593324277,0.027846630860323015,-0.05132046000616027,-0.057821224243171335,0.011931753619107865,-0.05820896268045571,0.0007657117987531638,0.05945595062861647,0.0759301623569213,-0.08531475144672301
FASLG,-0.02620831220587793,,,,,,,,,,,,,,,,,,,0.04458000730653858,
CEACAM1,-0.026397279749138757,-0.017550421229753962,-0.014147431554516714,-0.0552879824724609,-0.023094453929402164,0.019297239439879675,,,,,,-0.007689975248100678,-0.0720592318366062,0.0039933013337123315,0.03266090098558315,0.011630925182756121,-0.02119516790052032,-0.03258318444620185,,0.0645567366710112,
PDAP1,0.04899913123467405,0.006570389000747814,-0.0431399117011966,0.03532553926027711,0.02744023282197284,0.006298631704338191,-0.022990741809249062,-0.010333429847919769,0.057305638697113165,0.06781410540834219,0.04697789508630208,-0.016053201888027866,-0.1204838151267946,0.012919022565321708,-0.0721164425261489,-0.026277292127942258,-0.03155261038435894,0.007775028735382037,0.0016411060282235036,-0.044760116595258116,-0.09220195735515731
QDPR,0.01304625745915883,-0.07114380412027675,-0.02615013028728971,-0.0029715067615574222,0.047491538112124615,0.019550739833953154,0.0014831399417898938,-0.08953369929201015,-0.028973734840642376,-0.03605073036035483,0.08623993186968434,0.059457491789210004,-0.00692909979737802,-0.010695716996023275,-0.003661417565945716,0.08689047006340699,-0.07199437733455807,0.024348640074149795,0.05314975050390132,0.05452075449655556,0.008065178723385706
POMC,0.04880325203043478,0.043709398648569035,-0.02513772875439698,-0.03934166740836305,0.0006312163703345508,-0.02832272620625417,0.04631734961654183,-0.030026004384103144,0.043409709679505616,-0.011422418216369664,0.1180513063952638,0.011825377989463723,-0.023194066389294252,0.008729334625617546,0.029179253080781842,-0.03829954149650356,-0.02871895339634576,-0.008148694831801091,,0.06544608690482555,0.11158412531363336
CCL18,,-0.0190094543633949,,,,,,-0.007151330254650855,0.076302669325463,,,0.0891845099591752,,0.11280160072836318,-0.015123422186876432,-0.017319488082571156,,0.023034518180782663,,,
CCL17,,,,-0.012686741493072203,,0.04313620936909945,0.11581525262346784,,,-0.014429367992329509,,,,,0.07833430278694198,0.009571095879470146,-0.013016527690944617,,,0.07290086973588719,
VEGFD,,0.027573832359866116,-0.02026335731162024,-0.03570233547772294,-0.005694841184734961,0.010366828793674695,-0.012716621216748549,-0.030003893097504935,0.03276319627714991,-0.015464400603053598,,-0.007280944604655786,0.04139090628435189,,,0.08942914657359448,0.032561238370236195,,,,
TNFSF13,,0.04734891411103197,,-0.008444001393183251,,,,,,,,,,,-0.042244583580913264,-0.026278782052610073,-0.015576653212560283,-0.036588732325456515,,0.10322567826248338,0.054951546088676494
WNT5A,-0.0005254383242970461,0.05327102181637751,-0.010288100968076964,0.03850983721710384,0.04979884548559716,0.021806265471768522,0.026874285441559856,0.12420419144149304,-0.04288223961887597,0.005481808893445413,0.02846099757441527,0.07411270553269934,-0.09084986977094055,0.02629490692567696,0.03628812450297462,0.021222837788134073,0.05666110740927792,-0.021394045808873167,0.1421836678714287,0.1386632942336243,0.03747294460426091
CXCL8,,-0.009845949315120775,-0.018973406739109747,-0.06430700516695306,-0.04746276873484659,0.00781126267628301,0.058574210791194604,-0.05900351354744561,0.022027506608725024,0.06293766775717781,,0.08548385691939882,0.0008439042666639261,-0.04135515317190147,-0.025854937663744634,-0.12868590211371012,-0.0049051913854069595,-0.01842015211891168,-0.06411723598196546,-0.0409975986702133,0.014123733194771752
GRN,-0.005860722299067237,0.0002851890211603165,0.00015516468686621197,0.013619415003006568,0.046104073131183254,0.04899421863607998,0.018321199979470612,0.04784274847433112,0.02415328845326248,0.05331926554881211,-0.008284306932130997,0.06956275604945386,-0.022712163693397364,0.06593450239689064,0.05770670120610383,0.03578934688927946,0.08985432131399956,0.013285542786023856,-0.03111938010427486,0.16585443089973054,-0.04140742641370505
MIA,0.04375824710212217,-0.05161158361002114,0.05392166010057049,-0.02257969561801296,0.017036453854799537,-0.0598366341892456,-0.014462478538559703,,-0.003018418479557605,-0.021179205321632293,0.01926168540334778,0.09933727275502359,0.024040742066463446,0.08286429778831803,0.05664713124276244,0.08407529593705666,0.022804773538521027,-0.028281456813897994,,0.10853464122116871,0.005141031776935769
COL4A4,-0.044716625110566025,0.021184908101579476,-0.01904046531424923,0.01829279301269717,-0.007905751110820664,-0.03178370741671811,0.07060031509733652,,,-0.020544614891405744,,,-0.045226751551555165,-0.04591548547842488,0.06520177549991552,0.008992860109105329,0.029897076970927604,-0.005212041669327519,,0.1081969719183409,0.0848382575107569
TAC1,-0.02683897176148047,-0.02231085190977385,-0.01962552834576735,0.01567100513995392,0.022761030267320185,0.026754721216196764,-0.06519330839031434,0.004448308993808988,,-0.03640935721089368,,,,,,,,0.01784632055431616,-0.051729687612024684,0.08332532814228585,-0.07568360107350205
RARRES2,0.025040183188752996,0.08251846503122245,0.03882193543147249,0.00798054281562176,-0.03032623415963197,0.08618721971280757,0.0057744378479645244,-0.021639191124726547,-0.007091064268072016,-0.007613142134538008,0.02917707477168446,7.776568026282867e-06,0.0027908919977699606,0.04997664916199063,-0.02933123494856671,-0.06683774000607154,-0.036462005766171,-0.029763695377746244,0.22813802072092104,0.03439910587291805,-0.08107628229969363
