,UKF259,UKF266,ZH1019T1,ZH8811Bbulk
BMP1,0.0053292157431175675,0.10224354067722877,-0.037426589818430535,-0.05120141323391422
NDP,-0.014741452957902001,0.0349182650292591,0.03368402297165228,0.05139172608363304
TNFSF18,,-0.012399100314726153,-0.00702296184767326,
RTN4,0.05520212915193613,-0.005398657066333513,0.09491652781232471,-0.06170642603637077
HEBP1,6.513074820625338e-05,0.08597717911734622,0.0795796932538403,0.05089962171836816
WNT7B,-0.022423409632561488,0.013216341309975193,,-0.006102703853269773
PTMA,0.005625912788132245,0.004764833675308862,0.018354138333023965,-0.04861709538624153
CEACAM1,-0.025892609432812973,,0.08480881859914799,-0.015399747435923315
PDAP1,0.020467376114487543,-0.0058736072044915585,0.014097029144027842,-0.012967875034561692
QDPR,-0.04595825913292214,0.005817378413371071,0.08703397514158727,0.07915754680121044
POMC,0.03848154653484663,0.06273747313817563,0.02215295748750675,0.03181332142060379
CCL18,,,,-0.037605163472988895
CCL17,-0.015007676677963945,,,-0.02223050221118142
VEGFD,0.03623057440928052,,-0.04572200803147665,-0.015399747435923315
TNFSF13,0.044214432231980454,-0.01202454070704868,,0.009906429483631159
WNT5A,0.01798001277189203,0.02568189527662617,-0.05198128024061411,-0.07200937057285035
CXCL8,-0.02619816393438621,-0.01710412925422009,-0.011848784355940346,-0.10586500405322162
GRN,-0.028010202781038638,0.043142975791418216,-0.032824383787636906,-0.06779015239304603
MIA,0.019891222632764927,-0.02174268866584591,-0.022993994113534342,0.0690816847224859
COL4A4,0.03327959544103941,-0.011440819233547905,-0.007939593112922357,-0.02465740353267776
TAC1,0.006422722391423144,0.03214755251731675,,
RARRES2,-0.01916746592118316,-0.012772295467759702,0.0010945136171116923,-0.061794612845871046
FGF7,0.029667366722289305,0.044883751093252704,0.00906813356749647,0.00116699218911853
EFNA2,,,,0.09833335981419442
HBEGF,-0.015565103095391303,-0.04555884772460314,0.009016702862235432,-0.005673439277311559
CSF3,-0.017887842035219856,,,-0.06916686322405786
PI3,0.015994049988930285,,,-0.14571665157996874
PCSK1N,0.018838593498707652,0.0452870272662582,-0.06609348301184773,0.03370814151209063
NTS,,-0.01396664083647187,,0.07391601642651882
SFRP1,-0.013094778002112043,-0.033331247102519765,0.036774990259736025,-0.010901179443075967
CXCL13,,,,-0.037605159380494114
MICA,0.017169079969056415,-0.029644653289295657,-0.034762247802746477,0.04220612016844079
TG,-0.01413134012552617,0.029247423550566906,-0.013299271141464493,-0.0030403178359498617
ADA,-0.021320324885065328,0.06288788862138221,0.09370347750316511,0.02509655233586322
LAMC3,-0.030431123134208045,0.13527897321410565,-0.019042337358175725,0.008527218955432436
CCL7,0.017352376199843957,,,
NGF,0.0016466397129305894,-0.015383934768971529,0.0982557485680008,-0.014439691104921727
TNFSF15,-0.011377058310415434,0.0011276115590068384,0.025202402775147712,
HMGB1,-0.043004878621770215,-0.0027308436149149394,0.058739478758518156,-0.06280402165605954
ITGB3BP,0.04462502773336267,-0.019339207977665238,-0.08527201523268824,0.028324238644143126
AANAT,-0.010351960595582353,,,0.0421985591227942
RELN,0.06462894193824294,-0.023636982688436507,0.06582726440629474,
IL15,0.006268842444262622,-0.01329155301422146,0.1938637997371326,-0.03570987892517944
BSG,-0.08007922395473685,-0.011084911048830859,0.05251615185794376,-0.05466489204637264
ADAMTS3,-0.008498706572599633,0.030792811304937228,,0.03607880391199405
CD34,-0.0382059642407479,0.059417069861025594,-0.0023355413147811113,0.02868937576157195
PLAT,0.047009635709160086,0.07698035971326768,0.00926658218685518,0.0373017623550713
NTF3,,,,0.003974844868293756
LTA,-0.013094777389517746,,,
CKLF,-0.011970773142599143,0.010742805585960165,-0.04359906989134029,-0.005825269961676217
CD24,-0.03981481133760094,0.005761177806010934,-0.013607838941487297,0.05298191898379964
HSP90AA1,0.013672040139274333,0.020371253500043332,0.06371369718836431,-0.13459015859651632
BMP4,-0.03055168761282077,-0.008380029908452455,0.041785158686983605,0.003142621099979912
SCGB3A1,,-0.016966902501228558,-0.04905868271237167,0.062308865361900286
IGFBP4,-0.05035431797022222,0.033626129328501966,-0.014857873903064669,-0.040341569943902054
RSPO4,-0.020043851004922612,,-0.023441305358330177,
LEFTY2,-0.029259141229603016,0.0035885146357614492,,-0.016829264054650003
PF4,-0.008914075664632067,,,-0.013415300816731968
ANGPTL2,0.01615074895085581,0.04163694809084919,-0.034823511925029575,0.07370344560206639
LRIG2,0.0409831994582691,0.026580936549605094,-0.04932638947697445,0.005829442712067619
