,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.010154532182058024,,,,-0.015471715563324768,,
BMP1,0.013958976264338506,0.04800219764030748,0.027496546096394417,-0.010972537638701116,-0.05689799486142481,-0.05182572383164218,-0.14972461883667773,-0.04107562286948261,-0.10879944480652595,-0.07184809878424728,0.007467453846574268,-0.10342167157373675,0.02954873954667259
NDP,-0.0670332081116326,0.022718809618977785,0.07134555367556572,0.037455104327362584,0.09125037003238044,0.03000032502637915,-0.022486523908032977,-0.0006204768691134385,-0.09083068080060602,-0.0699986618542785,0.028816802255994294,-0.06710048398524457,0.0014271130924903325
TNFSF18,-0.018058814337763542,-0.03829384256294031,0.002313749574129856,,,0.017802760721680584,-0.017801786828983344,,,,0.006204113423838891,-0.04965119414979272,
IL36G,,,,,,,,,,-0.020126424200271522,,,
RTN4,0.13723928307941016,0.030006381075678407,0.04913755547667438,0.03866904967469386,0.15608513513803077,0.08129978680269366,0.20547598384192192,0.09897314667943356,0.33370317817328254,0.13920475128898832,-0.1100326639401836,0.10464906451638961,0.010459278743968823
HEBP1,0.024595889861553605,0.022056007370235917,-0.016291919045788444,0.019046792635251997,-0.05604982934489705,-0.07172188358129544,-0.07130125541052532,-0.038402210082727095,-0.1719871321349917,-0.07190562217058842,0.08314114784059791,0.06108038550917062,0.013133952342942916
WNT7B,0.12446003737349196,-0.022052723427545613,0.12501576335704967,0.077711140008629,0.0728472750051052,0.013011517942908356,0.10904767852316101,0.04411927522624618,,0.05527277361210849,-0.03302307269440289,0.009037163375389555,-0.017009397553823975
PTMA,-0.08829050619421899,0.048026748975129825,-0.0322145740965612,0.03223950682782571,-0.1459412188035206,-0.085316357391699,0.04163390332625526,-0.08902848976815103,-0.42574486599834405,-0.1907677579915667,0.036571588942674996,-0.03619027204533208,-0.12711108835765084
FASLG,,,,,,,,,,,-0.013418613629819538,,
CEACAM1,,-0.02839808999741994,-0.012055896488437145,0.021226720357033498,0.032922572039035335,,-0.04044751489730382,,,,0.06899000716427611,,
PDAP1,-0.022544803435103705,0.01843614949678528,0.041556901870892414,0.01955012134180861,-0.08095529823181358,-0.01965135794066984,-0.13396265328921278,-0.0711824945108803,0.045084999466357745,-0.05338471996410882,-0.061519700135431815,-0.06573955529264712,-0.04068335146270694
QDPR,0.012601185423019095,0.029317286303504046,-0.02542737972420385,0.05688588332384713,0.19617401039625934,0.047830825055451644,0.09649396950446024,-0.015373403957179269,-0.32379443473519276,0.039152991109916546,-0.013737957750867537,0.1413802733437969,0.04925663190397867
POMC,0.0001361502445649775,0.08056643205549391,0.0380689206698475,0.03526783807976566,0.09067454044094088,-0.03907607133187346,0.024227934674789762,-0.007662924832818652,-0.06488719671368028,0.015315310545009396,0.0008844635472753204,-0.017617797532143577,-0.044038798050944704
CCL18,0.09258447446566591,-0.04341183661597676,,,,,,,-0.15350736928361494,,,,
CCL17,,,,-0.017292386796596504,,,,-0.02014379969104052,,0.01881773959005676,-0.012162466081862047,,
VEGFD,0.03463959462928227,0.03219330396271518,-0.01726765295281577,0.011793773763865032,0.016032251738238412,,-0.04163347891547821,-0.03311575827973083,0.11277403961478571,-0.019704909868100914,,,
TNFSF13,,0.10882846110222529,,-0.01192790139724782,,0.00987627987793881,,,,,0.06400476703737909,-0.0018970825248343084,
WNT5A,0.01183635012804932,0.005783883787282802,0.05079108579489799,-0.017477186285686046,-0.06010811551967491,-0.059531641487740254,-0.15684863707640787,-0.038669668185021176,0.035579644242463467,-0.04041231998648046,0.02627095509073559,-0.00917485755468607,0.09732568831587916
CXCL8,-0.06752919444692235,0.006229593275428979,0.024637134376988615,0.013585403713654715,-0.09385054809865868,-0.008265855844746947,-0.08598872935090222,-0.030838834031125924,-0.1601466991341421,-0.041128690548456706,-0.03886043930824261,-0.013553353916914946,0.04891362234197305
GRN,-0.037320488324371945,0.07987807700320168,-0.012212123307272577,-0.04799342012299899,-0.05794413994301854,-0.06039698443986523,-0.18597040029453898,-0.04100195296020537,-0.2863690908081848,0.03180441957160323,-0.013007417188366146,-0.0072073077041913125,-0.060236567451249085
MIA,0.002352967329082375,0.00624997817575857,-0.015356642960508524,-0.011368186534925693,-0.07341918960186455,0.008332602935281784,-0.05442939823392625,-0.029546328458545646,,-0.02698677709230843,0.00937669563064797,0.009093844528571522,
COL4A4,-0.027469135017616133,0.06071667267597992,-0.0001545083559183089,0.009135419810792947,-0.11411771352024346,-0.015086272507826383,0.04489417493768395,0.03595169378155786,,-0.02617817496463823,0.0009572954319859453,-0.05496868958499714,
TAC1,0.036119384442736,0.06901574451615429,0.060542288513269905,0.04238434388230013,0.22450807742039736,0.08894110932953972,0.21950130043957342,0.02670205535018676,0.30006607542643277,0.15996261697427377,-0.015988798396213002,0.15671740932205885,0.21145010491953345
RARRES2,0.01776485561309033,0.0018027254477681067,-0.014251090554997676,0.0488236345238858,-0.18678833445117557,-0.060380893446983996,-0.20908133219225652,0.04288099925399161,-0.08854955505244595,-0.0413456712794162,0.022794972694941226,-0.07710831437472578,0.09970339206553785
FGF7,-0.0037226861495928717,,-0.01948973928325289,0.060675606303576685,0.16421135031418577,0.03497733404435802,-0.00955182218039874,-0.008967177384188474,0.06479140087223992,0.04767123585547738,0.06576726471053287,-0.01890259552759698,0.022188510686931
HBEGF,0.025174179912428315,0.04042125936925158,-0.016945314034197412,-0.0028329017859068787,-0.05000278744324376,0.0027165651708738227,-0.07432084894403022,-0.010654686636307116,-0.160191099489387,-0.05173895079682348,-0.0495687030221635,-0.09523307696364723,-0.017908263015310066
CSF3,-0.027469113270219888,,,-0.02061101728581515,0.0020039153114355113,,-0.010630198886637746,,,,-0.012805200502352327,-0.024969516950976933,
PI3,0.04538441685989582,-0.019280297691693128,,-0.03556839317555534,-0.03328290254298488,,-0.03872048709695345,,,,-0.027821446580792886,0.02355162945660413,
PCSK1N,0.08068108982138925,0.020118027576501208,0.07960154319353895,-0.003058336720761801,0.024623121506215928,0.04189517861935727,0.07102903332036732,0.10035866465116108,0.43392058314637694,0.16794543807785905,-0.01265642029854199,0.053767660954295075,0.09991801515629344
NTS,,,,,-0.08420941036783208,-0.013738368942412168,-0.04226605553360868,-0.027985960933741116,-0.07269224855487762,,-0.018962755811253146,,
SFRP1,-0.028994807340878854,0.012658286678817535,-0.044441480250975864,-0.015088275892868262,0.14919775922791162,0.003928252814406313,-0.08117916320149705,0.035366349350137334,-0.10476696528787229,-0.0447188892446617,-0.018522109407239314,0.09794485637167201,0.08834689465642495
CXCL13,,,-0.006227395349278542,,0.05698600808347387,,,,,,,-0.04166407401420847,
MICA,0.006223404616940209,0.03884456000690485,0.02845363106944419,-0.007963851831968995,-0.0024829703058229353,-0.004104903069773925,-0.10251076650939807,-4.1442690162734865e-05,-0.0186824151502759,-0.034287568297755935,0.00032320961133573944,-0.08467774655597218,0.09247921241255734
