,MGH258,UKF259,UKF269,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,-0.01617970627227353,,,,,,,,-0.038914076041853846,,,-0.022022215346363633,,
BMP1,0.011974842338015887,0.03114654810476065,0.012585073510930687,0.08221345685206406,0.017405985371649224,0.04147053071454874,0.0718913226855358,0.06657489491180471,0.031346598376205716,-0.0008600697200673648,0.024267351205965786,-0.051807461921200344,-0.039595341607070095,0.07739464173598447,0.04078646061784643,-0.0888231494196314
NDP,-0.02911913262734889,-0.07184168248905923,0.010168617904053047,0.07112711415112206,0.012157289798049468,0.0757617182595277,-0.049403295687519534,-0.0487902265686201,0.03274906672618922,0.04562456851593817,0.024660889883551543,-0.008716202104172479,0.0690317514172303,0.04495559951381391,-0.030334994645034336,-0.030200758058516276
TNFSF18,-0.020634603292225193,,-0.024026378086233473,,,0.15754185223703754,,-0.010574925525215974,,,-0.02727398334333924,,-0.04314130346130294,0.03380391545156519,-0.005718010958205589,
IL36G,,,,,0.09443617468558345,,,,,,,,,,,
RTN4,0.06057459129545292,0.056080567361741385,-0.003057014046114159,-0.07194879310999848,0.018083436767295402,-0.0013299556909428189,-0.01438721433007801,0.01623130498989032,-0.01390972651415867,-0.058123619319199626,-0.06306704733782595,0.04375884457122751,0.04912159233873829,-0.04826689235401477,0.034630078473352574,-0.05649805610237172
HEBP1,0.03993642234975675,0.010603422607479793,-0.024986429348221414,0.09995384733454996,-0.010706494264865711,0.029995374376207907,0.0039633983698335,0.08604442753339661,0.05622212879091728,0.00802089714001695,0.06760887608761458,0.009417462626106153,0.12004612844198997,0.05950496105720211,0.03233037803970744,0.08363331876388423
WNT7B,-0.01817843920670319,-0.02669571690566503,0.030357456140216097,,-0.022273914257073122,0.09293526436376674,-0.02364648446602153,,0.07981009117769396,-0.04254488325326414,-0.035911108641802324,0.09254143851665678,-0.04314125872701202,0.017903114907035157,0.06522433314866463,0.024361095277424617
PTMA,0.01455047297286981,0.00962460488126505,0.01873995370023627,0.15015272612949113,0.08970708538986015,0.09768277690530013,-0.09740116276013808,0.04006525863792812,-0.00973442336341229,0.04273511373242268,0.02810422803749721,0.1103779439131119,0.12396123561335896,-0.011847070313780076,0.014451232512927417,0.05803321703994015
FASLG,-0.018178444345701386,,,,,,,,,,,,,0.06691183650899794,,
CEACAM1,-0.02524092906606521,-0.010415259850670088,-0.0189053343055013,,,,0.04871414192542325,-0.03486014432847301,-0.037505457084020415,-0.023839996479871554,0.066759899707658,-0.017163928396483053,,-0.010068975826335166,,
PDAP1,-0.07810247304937534,0.031788121441065804,0.008215310086293308,0.04243471857399595,0.025938859197062757,-0.00979706350404925,0.03493315117057898,0.045486872595430654,0.047562653652072566,-0.030774401564948227,-0.04951437843938843,-0.026326159439181117,0.07921619646480572,0.038414802136359,-0.028996463596486992,-0.06471846219840212
QDPR,0.08182511613255786,0.004852498911449206,-0.025161409470600277,0.15188371169294596,0.002900213363308907,0.023893113837763488,-0.04475874427586431,0.006150695290326987,0.03297667580654492,0.016876527996809325,-0.010628974444991139,-0.03792566347309195,0.16606635100224298,0.021567841118300513,-0.027723153129536302,0.06225254360948607
POMC,-0.009419367057646143,0.04099526179005856,0.020072257579048233,0.059539488393598815,0.03878493796504958,0.020741745274460446,-0.015361619526122968,0.05917389837417516,0.041472194793964544,0.03722702281445257,0.045306718535679795,-0.014958491072012255,,0.03442347910175721,0.016735495957620375,0.028064969081793505
CCL18,,,,0.07355989655333095,,,-0.04787008738225318,,-0.02659198572143771,0.06496690712940338,,-0.02409065236573971,,,,
CCL17,,-0.017867072607231797,,,0.03594646834239092,,,,,-0.016913323614204265,0.04691289652807827,,,0.21994591750830914,,
VEGFD,,0.041154213372847304,-0.02710534811137968,-0.039521103408003196,0.04867051058990197,,-0.05393100441986906,0.036107989209882736,,,-0.006338456941574157,,,,,
TNFSF13,,-0.012324306807575808,,,,,,,,-0.019376287355899715,0.06946064010818039,-0.01927394121925446,,0.0478211232759118,-0.037440557597727256,
WNT5A,-0.04637728044970515,-0.05944084119861339,0.0279322159214289,-0.02895232523009381,0.06146734080803451,0.10318993002849834,0.00980719176561243,-0.07319570389227867,0.11519735384821692,0.051705831886092124,0.008966268876197845,0.05193867156269949,-0.04039794943314592,0.025374916583004094,0.0965844979733107,0.07228767728187817
CXCL8,,-0.006612038278118986,0.022925335953561332,0.11343871353961382,0.04554380359847683,,0.08462119481494533,-0.037250923444818645,-0.04681937759080092,0.009752829726388903,-0.04379024468740273,-0.01778720584470168,-0.01602059474181415,-0.06863186793848022,0.017557051189369927,-0.006942226788716127
GRN,0.0476005440308437,-0.0039006768284205393,0.01836233008934654,0.010960935165460905,0.056351762039525646,-0.005014699396755363,0.015698323812967024,0.024300469194784173,-0.019098435233629744,0.038990053461702694,0.052468304701927086,-0.025464109139333675,-0.008789009194571781,0.08889458822383464,0.08210907063927946,-0.05327376831432573
MIA,-0.023794015718553312,0.03274807569225907,0.024345805469647853,,0.023653380103933874,0.00504370243644059,-0.01658339368824682,-0.04949231419784584,0.11628932466023657,0.04952940899751471,0.030713282656096533,-0.07233034074539887,,0.0018478374052055089,-0.06858543357544299,
COL4A4,-0.021052853583967093,-0.04306205789101089,-0.015943899589923368,,0.11700228966866301,,,-0.03710855793844901,-0.033620578704831094,0.027667736357668872,-0.030654125921685454,-0.023705243152611053,,0.018689773405897246,0.10566370201414843,
TAC1,-0.01817843445555779,0.043469895353862385,0.012714732993753645,-0.036235693697877505,-0.04671335546931104,,,,,,,-0.017214976560146446,-0.041875944369623413,-0.022758223544754104,0.03153792174116965,-0.061238069732536815
RARRES2,-0.0449625665360698,0.00968106751223411,0.004304089912578137,0.04480616405573987,-0.004145402231690705,-0.02485725040730753,0.08852269620229612,-0.00934758361657946,-0.025068186116274014,0.03519251892062544,-0.06222691816244633,-0.048040335233175385,0.028679742936745606,-0.029683529294710242,-0.0012298997612149283,-0.0845587212142846
FGF7,-0.010387872216081,-0.022728098392506745,-0.026282588603551132,-0.00894018711910684,-0.036853019796163865,0.04849288262080326,-0.055809714865540073,0.011339476335883673,0.07579355988772009,0.0153498677651504,0.0036438234760805266,-0.04841711720383746,0.0038082831946921886,0.01316572185924684,0.037755078913588605,0.11972913277957606
HBEGF,0.01266361815974204,0.004586359548949859,0.004237075929050296,0.07484698604261926,-0.05846778868929038,0.11051464587796599,-0.004987308475151324,-0.004457414985838708,0.03510575815903351,-0.022770492607526824,0.04754467864146127,-0.005932997460952045,0.07932324713819733,-0.014777179430455306,0.04977594887521438,-0.06437884735818977
CSF3,,-0.02129599266349106,-0.016868338884179563,,,,,,,0.011830911396882455,,-0.024606835926078797,-0.03877418501773884,0.005109843194363219,-0.03168405421198456,
PI3,,-0.02115560535983298,-0.018993972221560993,,,,0.06895124312415586,,,0.026042365668931082,0.05047211954074375,-0.04643640959206928,,-0.039600643208690826,-0.0026076983648453318,
PCSK1N,-0.06250675243869921,0.030452444742389572,0.013081201938275019,-0.10222782559675639,0.04599689875160385,-0.05351770726265905,0.031897774714771586,-0.028806268172534292,0.08530549141299164,-0.016349365444387066,0.018643963973127536,-0.006317060647410913,-0.05594938221430751,0.0554902672552405,-0.012960940084073256,-0.014049737355930224
