,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01813371643996122,,,,,,,,0.15110866080296645,
BMP1,0.06615885538414971,0.05207674491409744,0.005867640173685159,-0.017414869233031486,-0.04880687538086895,0.0313990447112539,0.03141251253734829,0.012509429446985272,0.07214548446295117,0.1230373208137206,0.022227353437434417,0.01783359588514943,0.017013360833301478,0.09701663047788889,-0.006158363045952655
NDP,-0.007220720582322739,0.03860604177506264,0.00218202265669732,0.03882677648906231,0.02094735278189806,-0.04046684555988323,0.08824831957734473,0.010713410714055535,0.09704881431122117,0.0021574539602662417,0.031596950515335655,0.049614140248072786,-0.020602377760276194,0.019241546877802003,-0.010951879860635427
TNFSF18,-0.01898585508883046,-0.032367717914194294,-0.009338185041060034,,,0.029537597267672112,-0.026841947555987462,,0.01532326338170781,,,,,0.03116277880698619,0.006032282471825349
RTN4,0.07802813747297128,-0.04251844152117446,0.05075475646639266,0.0333560732496838,0.010083298942753335,-0.11943748932409104,-0.03649719514715491,-0.057405840859569957,0.04202718285992074,-0.027443765906806396,-0.02690714697640124,-0.038146022811394245,0.008647490275201265,0.022383155693463972,0.018317614945629102
HEBP1,0.04212585700934712,-0.04944070045956359,-0.003517976035001512,0.012591242614543975,-0.021833571583763044,0.03867609183445404,0.012722423965774412,-0.03822431201197493,0.04042920706135813,-0.00014277546046365921,0.012079698759250732,-0.0042194884199847115,-0.015197948867327745,0.018690017041769758,0.04666998168032834
WNT7B,-0.04431319682728236,-0.03383960443456685,-0.023141890999277867,-0.005440956730139186,-0.022211175339473598,-0.0541451429141867,-0.017666932070244466,0.025657102820686555,,-0.013890628853770163,-0.04293214535635145,-0.007750554799226292,-0.021792635918144197,-0.013703132320272015,0.006589946020629403
PTMA,-0.1260269385312737,0.03414623046864535,-0.019201652496757097,-0.018409107031110542,0.03832708811463668,-0.04796163677950403,-0.04343766490141683,-0.043673031989566326,-0.10510710236204406,-0.1007112005727996,-0.048068862918944535,-0.06227305768160811,0.06152299569198481,-0.0020137952327339797,-0.045302553689204654
FASLG,,,,,,,,,,,,,,-0.02315986927305776,
CEACAM1,,-0.020601165392513273,0.05510314594819761,0.0501262944114466,-0.017345623639377233,0.19033861900424512,-0.0059131521626424885,,0.07179977108549654,-0.04381431444435567,-0.024056998536721275,-0.0023705230531757106,-0.014464089404441046,0.04760598985678464,
PDAP1,0.04957510393942137,0.04721113104994395,0.008356411003844504,0.05800149937839746,0.020188635873596456,0.10611720334838941,-0.009556824973158679,0.023855810680078846,-0.0026280652390967166,0.03924615494117393,-0.04935635888918105,0.02163699446158244,-0.00014172994136300529,-0.012240952060801013,-0.0005277229161699342
QDPR,0.015628627078388687,-0.05635247112761842,-0.03216411560359647,0.024441207853728848,-0.029917159351982667,-0.10597729744100225,-0.0016200057910770835,0.0399196259499303,-0.048142788528366544,-0.15322014636172393,0.021810487995546947,0.07847743219042654,-0.022635388580124524,-0.004476975458142082,-0.008040322324736905
POMC,-0.0011500789190341265,0.05373320769715614,-0.031556703316257484,-0.004030509913532954,-0.012309541052385652,0.015684227430109485,-0.031145273332754686,0.061504986258152206,0.11993202089526131,0.09449601832686624,-0.0029993636429916726,0.05591477795353936,-0.023661350181426448,0.012121710931768448,-0.006054348249943628
CCL18,0.1740272752729418,-0.025708307928785923,,,,,,0.017245833253649385,,-0.04008746260380815,-0.0024852379225119136,-0.005616301657881889,-0.015981288683111917,,
CCL17,,,,-0.019733976505084794,,,-0.02433611555967609,,,,-0.017067276070344348,-0.03095421857747304,,-0.020991820188335827,
VEGFD,0.09465468381282721,-0.012395978225369735,0.025694479969348722,0.01559574294177925,-0.016595310620886945,-0.0047804164182712675,0.010598201347050487,-0.017797176991027692,0.06512533408368905,,,-0.02144293204180011,,,
TNFSF13,,-0.019400320298332534,,-0.02904007250336125,,,,,,,0.019405185161026538,0.05295330807864346,-0.016242202981245304,-0.03420441888085415,-0.016077883078090233
WNT5A,0.06303683345061305,-0.03677553931290888,0.04125651799736724,0.035654218156682745,-0.06170743908144516,0.05722826376235908,0.01720498698423745,-0.007801622450525939,-0.0053496206804296,0.0034869401852917173,0.06960035988721842,0.009340543013035184,0.019146190623929575,0.007410425320231936,-0.054621621292841524
CXCL8,0.05140475023180384,-0.023730653323401973,-0.0238183080585607,0.0007770040277041464,0.02357921713155608,-0.012477712669913914,-0.04454445866199198,-0.002637966860872623,0.00881983963336067,-0.06054026863772097,-0.01588232604248815,-0.05748408312012587,-0.0007852963870279967,-0.021588293440338642,-0.04743169454504991
GRN,0.0346487463867137,0.027598368799770283,0.006559807444409491,0.02751271714969326,-0.04445939972782037,0.04978429135143858,0.018070134910835495,0.019547921152471212,0.11976868880050735,0.008606545107249466,0.030363761900606186,-0.04355239005097572,0.007853243008507418,0.037775516752969494,-0.06939401339108293
