,MGH258,UKF266,UKF304,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.01821902888108739,0.0296938117418924,,
BMP1,-0.015279665700317099,0.045946218909787916,-0.03464107214857383,-0.03937685049386026,-0.05360043646442989,-0.01601980503300027,0.07202963351024098,-0.048631375495652364
NDP,-0.0356241110099805,-0.004655291182934104,-0.018062166614449628,-0.03684647196856901,-0.054310636471809365,0.0787228975901683,0.07287494474629594,0.04073734437665668
TNFSF18,-0.01927998481725503,0.05506487343778408,,,0.00790430850640889,-0.010242204672618905,0.03620164812823278,
RTN4,0.06238860267318893,-0.08777564794662124,-0.08485105574845564,0.04992117292598846,0.009132148403364754,0.032479058752307305,-0.07548326784092203,0.09736683075212132
HEBP1,-0.020778925233730938,0.0634345381141064,-0.06990547810749749,0.03149525692029143,-0.039262765324683264,0.04126527866109982,0.04132505011637338,0.05718556678014859
WNT7B,-0.016985062758084944,-0.009500438322946881,,-0.010053188435538638,-0.039289241412118404,0.07067334839079889,0.03907742934985289,0.1523852937161413
PTMA,0.043463744007222714,0.08321086801921473,0.03791615567249174,0.04576878761027555,0.0688846284774324,-0.049230782281083005,-0.024351697601798422,0.07862875928552174
FASLG,-0.016985067559718677,,,,,0.0009752578185657663,,
CEACAM1,0.05348327455981589,,,-0.02856767876685051,-0.026997778093483818,-0.028657709910954232,,
PDAP1,-0.079197959608912,0.0742028933403117,-0.0489092904363914,0.04288253426094197,0.021100508953349396,0.00812506651820892,0.048008596606781286,0.06537227172978832
QDPR,0.04940129302348518,-0.03139310565040044,0.0296405546863988,0.05131910659819478,0.04565331164563069,0.0558166874395393,-0.06936397873082065,0.05947380170604808
POMC,-0.012689481341038903,0.01278622674686445,0.04121794035456746,0.04431913557041306,-0.02217876815988342,0.013037006714055938,0.0031504559680343856,-0.06742506886691424
CCL18,,,0.0487253186061994,-0.020254953943392242,,,,
CCL17,,,,,-0.024020737157162426,-0.02619939591295324,,
VEGFD,,,-0.02573893913908423,,-0.02533446371664565,,,
TNFSF13,,-0.019189179086270644,,,-0.02575913416461459,-0.02283993620205593,0.016022546680164666,
WNT5A,0.042114372602368486,0.10347589768605868,-0.06855894372946401,0.035615166606334,-0.04022846273272933,0.011438564830874404,-0.020324980597552667,-0.005993112222473142
CXCL8,,-0.027295362656267915,-0.04859097876272102,-0.035662035422779695,-0.03410421061197082,-0.0416916591737212,-0.010205776560974562,-0.10661410187049242
GRN,0.0750820750713908,0.05113091879865196,0.10016514702338572,-0.042694725346615045,0.02207483428976375,-0.055787495405537,-0.08035255972469298,0.022070195161702173
MIA,-0.0009658305130642978,0.007461951255013994,,-0.042428856883107074,-0.05975082667750417,0.08691717595639181,0.05839229490691638,
COL4A4,-0.019670777853612296,-0.01825765611467455,,-0.0256085905110711,0.0791193459699021,-0.0642747730320124,-0.006293065580125205,
TAC1,-0.016985058318842283,-0.11241650564639209,-0.0953347191501351,,,-0.034441769994284256,-0.042222782400143315,0.09134883385734265
RARRES2,-0.09518241055087881,0.04878073601412823,-0.007128683344552877,-0.019731844237904216,-0.01100435850028842,0.039972339989001154,0.032095813711189095,-0.10080425091880021
FGF7,0.0007852722383439008,-0.0224752559916948,-0.018254517444760844,-0.034322591008848526,-0.03943725578305153,0.024524111914908865,-0.05843618429322093,-0.014798626546339106
HBEGF,0.03312405638338666,0.06136604464875067,0.1194504531326499,0.028551857876415225,-0.06174475028969877,-0.05227819607787592,-0.03767809467647847,0.029195874147362185
CSF3,,,,,,0.09676014753246918,0.018272770346714828,
PI3,,,,,-0.020409533908731434,-0.059930698999300175,-0.04643479137037494,
PCSK1N,-0.09229093829958218,-0.08578613146553969,-0.05875430353455944,-0.045531239858220295,-0.0340448761845903,0.09051837922703099,0.0015375405487631003,-0.056681271601564547
NTS,,-0.022288449827241666,-0.023173313269876587,,,0.0025785886326906175,,
SFRP1,-0.024713688892869907,0.06252311930421507,0.04538303809199089,-0.035300838718647164,0.04915011177401321,-0.039898822676018096,-0.04280206228489599,0.0066514052480642375
CXCL13,,,,,,,0.027122036176204616,
MICA,0.044042789551466344,-0.047307965832344666,-0.011016767539934125,0.009934842602493003,-0.0072249541917381544,-0.009108418329519087,0.029331548442711942,0.024718521200821082
TG,-0.01967077342072677,-0.02572674663188774,,-0.03297980058465283,,-0.03707626054327818,-0.021939801687576616,
ADA,-0.02911009447506076,-0.004660625206614165,0.05758390644121771,0.06813025282804289,0.018272102146824384,0.0019171634328785708,-0.026425466286040086,0.016519165091145014
LAMC3,-0.030110915473032716,-0.007853405207046993,0.01463794185215577,0.07198436709200937,-0.028709809445233943,-0.08856425868402841,0.009738176404116165,-0.061660421572078766
CCL7,,,,,,-0.014023001341131684,-0.03263886952029453,
NGF,,-0.024550216638233313,-0.02317332852796585,-0.03010014035961942,,-0.01962137656444742,-0.034214776059982945,
TNFSF15,,0.044996450075991255,,0.01695170897852023,,-0.026038386048091076,-0.02626972161074568,
HMGB1,-0.002631091933471338,0.02194875202758745,-0.02993417573345779,0.023299929373494965,-0.04154947898923582,0.0441337561808483,0.043827576733968636,0.11737707650636099
ITGB3BP,0.10026807118758448,0.09712779885286649,0.007123706351764226,-0.0016985384709390064,-0.03940549323427058,0.038689818344316465,0.05474725773046493,-0.028518249779730144
AANAT,,,-0.021786336829575807,-0.021096383582044825,-0.029712881228245988,0.07889187298354003,-0.007403800403294454,
RELN,-0.01630759268032365,-0.0506242488527442,-0.004855632300271148,,-0.03715779009269368,,0.050249015389471206,0.03319697382235711
IL15,-0.02035709167230665,-0.02121112126761279,-0.03153556921253517,0.04549061080308743,-0.0370019991845682,0.0408207128241317,0.0024914992582668193,
BSG,-0.07889687543799491,0.07467412550995474,-0.007348571017602036,-0.019596443909571788,0.0020191630446231798,0.0051694897157717285,-0.018503858572374045,-0.040655826948397186
ADAMTS3,-0.03233299983531701,0.020519393501617533,-0.002635934560921806,-0.025260771638623815,0.03439063518329004,0.11428570653517765,0.044944586944087365,
CD34,-0.02927249423865199,-0.021081155317009267,0.06541517084492418,0.0701780511258821,-0.03168681033630041,-0.10235703908035758,0.01006009843471221,0.07042569114464738
PLAT,-0.0075283792670249585,0.09441090448778663,-0.037679589770565784,0.045533984989717745,0.008331858341652633,0.016930645510017946,0.060794553242696295,-0.008222105342363258
LTA,,,,,,0.022456451861109155,,
CKLF,-0.006910165115780802,0.041976493280162806,0.07184029178674924,-0.05670591454569984,0.020090995465210662,0.0437680577685758,0.04476534146763271,0.03626615973990437
CD24,0.02463870855106238,0.014936045984719547,0.04735024762863933,-0.05626529609019896,-0.005232434373953651,0.017937979826976674,-0.02679398405934012,-0.043281944599930004
HSP90AA1,0.07152756509877074,-0.03105286255882406,-0.042557420598708595,0.06882586424454856,0.05397477127447589,0.027959616680393883,-0.05902316014278379,0.025550530789861175
