,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,,-0.02760809119636069,,-0.030898036676917758,
BMP1,-0.06052662340717188,0.07414679589325864,0.05001078639647423,-0.05238098560493267,0.08454171974124816,0.057837613772161664,-0.06392545449892646,0.02104240235448697,0.05495148710889508,0.050167584681873156,0.00015952580341323187,-0.08124306150020238,-0.09456518270865912,-0.06459270319486254,-0.0164824545046757,-0.01587684774507919,-0.028461959889286653,0.015191139867785163,0.09660974808298266
NDP,0.01104416093511336,0.011208841921851275,0.07073398103834837,-0.047996411597643,-0.0003345186091957116,-0.0041117473942190435,0.030556372262924996,0.04062625353165026,0.050677992160047224,0.039826126320279064,-0.011367222166432675,-0.05900474591180598,0.08748036823628301,0.04333360466803392,0.03962270834474998,-0.0006519613947866111,0.03824948434647989,0.008824083601326867,-0.006121960260233248
TNFSF18,-0.0240517785204732,0.007706681228865075,0.0005400533262367738,,,0.1741553357938708,-0.01398791779923212,,,,-0.024885282292971996,0.048013192582575706,,,,0.006305308116960911,,-0.010913096786496499,0.11626692637670533
RTN4,0.023979244107120136,-0.06214724451317403,0.01616144699086153,0.02472552667971479,-0.033612354612522176,-0.07619387524141759,-0.042228683185831034,-0.0028158077305851298,-0.07201023313241126,-0.07533766403715181,0.02670596908867656,0.07899568987941545,-0.012938547594043344,0.047668264596182404,-0.04093115286501893,-0.029169624214261138,0.030201360027249883,-0.030239086875399383,-0.01920105017875153
HEBP1,-0.05539483912876731,0.012322884250141743,0.0383966743946226,0.021831603864317522,-0.03563092579614426,-0.01420310225316324,-0.01935094880908168,0.01883548888648057,0.039476920357692194,0.029408542362912606,-0.08386759784895605,-0.037571742592061426,-0.04523479243911461,-0.033845028274462154,0.0574621867984292,0.0608818029241546,-0.0010864969327337532,0.05482502658824222,-0.021711384835895596
WNT7B,-0.02118886355388528,-0.019932494165984475,-0.054519740432832524,0.041339843512303784,-0.03793107034233218,-0.061719784516333996,-0.03300511671939217,-0.015511130071136981,,0.03507144751145006,0.08007537429803212,,-0.04630344623758463,-0.04215439615421654,0.01815415610133589,-0.0022136364461004397,0.08519348789950089,0.02815715941819626,0.07707610709503418
PTMA,-0.05585205293602349,0.014301342398957393,0.05461230821650117,0.025404979540276356,0.01565822671524153,0.061530502024307925,-0.019867935969138516,-0.031167752584671603,0.09663314012814493,0.08515689882468606,-0.03368319520672168,0.019857960079558087,-0.06248357303866701,0.03519793175064124,-0.012856914224714586,-0.013785772619041514,0.019928436991147,-0.028088924369257327,0.019169560701137577
FASLG,0.06721898493301323,,,,,,,,,,,,,,,,,-0.02679785666887324,
CEACAM1,-0.029420930800095238,,-0.009063192033211225,0.04254439544468074,0.0049616442264458546,,-0.02199966230005972,,,,,-0.02213246307708457,-0.052216270121464764,-0.02362118729872248,0.030825198761041173,0.007068895325782249,-0.01603498306079712,0.019166675198016875,
PDAP1,0.004408849248597645,0.0022192257336854657,-0.019700357477553134,-0.006990736365389486,-0.03970678587358132,0.07125476232695964,-0.005454566771929639,-0.05381770225522316,0.04319216200629665,0.05409159866253664,0.03763037104846084,0.14605088679997902,0.05355167024736608,0.029777136062213726,0.016258266333239058,0.009717978240341997,0.046331867154978286,0.012965399943930355,0.023995489703209395
QDPR,0.028387985091040405,0.08201152045987802,-0.027692554916208256,-0.015245226703957167,-0.025161469443110575,0.07127414225446169,-0.013640426189355306,0.010274021251640822,0.014018474012470365,0.031440295020375875,0.04686862957333831,0.07862879901014704,-0.022054093164668984,0.05308896122915588,0.06436204623583539,0.07724890981655474,-0.1316682819444549,-0.0003545453599160776,-0.12920876549006943
POMC,-0.045332206033358524,-0.05745193316301854,-0.012976538455517399,0.010866116727457095,-0.033393689766705655,-0.004578243318247616,-0.01623047367574524,0.048973244522043616,0.0306288076029643,0.01654293200735627,0.003955379316396608,-0.019589355869853515,-0.04542585382920781,0.010412034459900032,0.08758299580483617,0.07711474693192558,-0.02623112584178775,0.035793367204659136,-0.034293121649571885
CCL18,,-0.04080559131485907,-0.016918782864797147,,,,,,0.043181909199557604,0.057935170506742475,,,-0.037022194033953654,-0.04322648300514415,0.05113002319046153,,0.00024626312039273456,,
CCL17,,,,-0.02317099695052973,,,0.045839150985646004,0.010600548030210457,,,,,,-0.016758089090841054,-0.029776037311134533,0.020835626337017507,,-0.007374907348388197,
VEGFD,,-0.019930249229624056,-0.005310758956641017,-0.0029712638790994625,-0.015877453829106374,,0.01088497737252642,0.08754958027187745,0.028300153849863185,-0.02772208090983161,,-0.061141534334804765,,,-0.027974779195201912,0.017098951413070964,,,
TNFSF13,,,0.039804843416542376,-0.01598283511425074,,-0.013221207876814649,,,,,,,,0.023859649887820276,0.08096703202564647,-0.010918541349317648,-0.018006211272057714,-0.029073572393441268,-0.03691764086328198
WNT5A,-0.01780897426641427,0.03581541294725378,0.028635955402202568,-0.02481892200969302,-0.016790307843167044,0.011360689873363652,-0.02672532141759268,0.005377317558938871,-0.017192699795485062,-0.06423068840790636,-0.00663275079242952,0.005774736066951262,-0.025257752501575696,0.009488851556853346,0.02754770908024022,-0.024314987724184185,0.044626589838550154,0.0019212848769837667,0.06475099684795443
CXCL8,,0.007520201640164287,0.03372181445718485,0.06149680091944556,0.02490102145699822,-0.018806310688390022,0.03197020066101878,0.02993528208791955,0.17564922263457852,-0.015384427353090127,,-0.010081748923627273,-0.06518340149070517,-0.06810402254311873,-0.060500831493695215,-0.04218907001949769,0.022567529237439644,0.07010586735157784,0.043844374695707226
GRN,-0.011642246335184766,-0.07250252469917233,0.07296950795326757,-0.027507672419493527,0.043682990151082346,0.04701463721335827,-0.024152177904390164,-0.006220457527164059,0.03044481704239462,-0.03067707897988261,-0.07691274381643101,0.06476946244420058,0.0983093578321792,-0.043626960662541646,-0.040294833467740876,-0.01719909051294623,-0.03639431032664941,-0.013450564616446435,-0.007706727171771058
MIA,-0.027734402647369125,0.03841391071005512,-0.04000144085617868,0.04051385228742474,0.016357378997156134,0.037459740605068695,-0.02627639177048233,0.054564069863646474,,-0.02707808854942161,-0.01669935361644313,0.023287795041174602,-0.030198399286130665,-0.05873250685450504,0.05706510087557855,0.04339265000639442,-0.03861374262874453,-0.011309307338622869,0.14556587951957642
COL4A4,-0.0245392927818639,0.04552872026615236,-0.025100197236028524,-0.029040911428357036,0.030657490669176484,0.016200541264761153,-0.018213805506855477,-0.02690498328582717,,,,-0.007357323901195028,-0.04680762096456073,0.032989532942638476,0.010219240712848595,-0.03704082112100608,0.0412040793607802,0.005243241815090162,-0.054134532749460035
TAC1,-0.021188858015930644,-0.03605615845548611,-0.04010046902176105,0.014907624328245312,0.004467474305412761,-0.03764883537274294,-0.007617814015337883,-0.016334559175416995,-0.0002559760388778701,,,,,,,,0.025832013597678023,-0.004964994986726103,0.021558460951997253
RARRES2,-0.04022303730818847,0.06483032887010541,-0.07235364240233154,-0.005398266064230503,-0.001419496313658361,0.05505798717965411,-0.006944359968683877,-0.02530148305042349,-0.008972407980431536,-0.03699192481956998,0.04805256890972533,-0.027787442983335364,0.04654511447532623,-0.0565314251135954,0.013816413174401347,0.00884971182898621,-0.023373442915964538,0.08869690565333047,0.03995869176044026
FGF7,-0.061210732506966646,-0.020756139501486925,,-0.033776974205979596,-0.030400706475023413,0.036384421743415454,-0.027533990390922053,-0.021082361754096633,-0.05076087146147471,0.057903150499935274,0.02093585956243655,-0.09061614141338133,0.021538315491037414,0.021969293419254996,-0.002507826595797319,0.04707120946786258,-0.009528255605714374,0.026582455432753622,0.01315136055633945
EFNA2,,,,,,,,,,,,,,,-0.026588155466732315,,,,
