,UKF248,UKF266,UKF269,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,0.007367676138414357,,,,,,,
BMP1,0.022452330421114504,-0.028672711285431893,-0.0505462009947777,-0.05389294404655125,-0.009918496366266585,-0.12253463345877402,0.008766543211338436,-0.015417660605931647,0.05048023768957209,-0.03671822818076786
NDP,0.007034506098603242,0.0561655877773051,-0.009318187291741466,-0.010306438230579586,0.017244679264930576,-0.08868612273057316,-0.0725711032264397,0.05966051979298283,-0.0809279348212918,0.011596317843162524
TNFSF18,-0.027232127807398174,0.019910882970310243,-0.024026373625784952,,,,,,,-0.031747212563234366
IL36G,,,,,,-0.01883486217934172,,,,
RTN4,0.024542296559005018,0.040506523515494386,0.1453890759252199,-0.006252728913167285,0.1456871400868033,0.16365773352401766,0.033463013628143745,0.019973621882087823,-0.019425666410832147,0.05598869924382697
HEBP1,0.0439438221658674,0.00665295658983466,-0.028944516510793907,0.0534907469085516,-0.08402133582603508,-0.009529619109820569,-0.029191326668264773,0.010556219920647602,-0.02069027280021173,-0.06284704981733599
WNT7B,-0.021474854699363093,0.04667445997269587,0.056102340214056266,-0.02398732956785825,,-0.00447944239698837,-0.041548105632068844,-0.01501702757618766,0.0011584471468456881,0.020023988820111496
PTMA,-0.05920752354186959,-0.000848359277473102,-0.01136710972824495,0.03312505145637082,-0.1626760572748709,-0.19390152441590458,-0.014509078308889508,0.003608463735538828,-0.012255560059084514,-0.06352503446797202
CEACAM1,0.0021299605870566214,,-0.03161733925161322,,,,-0.03198824634327635,-0.010244763263462676,0.00046792263049477126,
PDAP1,-0.030738970729082125,0.006155538112851397,-0.10005355968881673,0.06718865577331164,-0.015571205669944469,-0.049445567837046234,-0.017994593212840655,-0.0315472177201458,-0.0022163945913899093,-0.09285973706061916
QDPR,-0.0031324887910874908,0.021521739574366674,0.08219616139648422,0.07508409400913746,-0.13866506190302072,0.039190442583258295,-0.008049505588703815,0.08399788610350155,0.0331710781526301,0.17935439482062598
POMC,-0.006395931033069961,-0.035405756915366744,0.01056973604665055,0.007432686271343901,-0.04802438792102983,0.049202549755130054,0.0007800195694243125,-0.045888572805446955,0.0007491868263661904,0.04905156290397053
CCL18,-0.021629326141699757,,,,-0.08024164914965987,,0.07646221965062351,0.006096139487683407,-0.0546561387094082,
CCL17,,,,-0.0003987001648380049,,-0.017206181322384634,-0.022694112505910656,-0.037669273132153624,,
VEGFD,-0.02162933301002386,,-0.027105343079326598,-0.021777673083444558,0.023643383076627014,0.0004371819755920157,,-0.02609465529924927,,
TNFSF13,-0.016322188770588945,0.044363466525464725,,,,,-0.02255658041221284,0.030759724511616824,0.01125141809331189,0.06844473560033482
WNT5A,0.0493995594789881,-0.016152180431899674,-0.08956646976720757,-0.01973104236718589,-0.048766670115566305,-0.028607325765979155,0.01772779960243319,0.037401727113157264,0.07018914997375966,-0.03720087823810907
