,UKF243,UKF248,UKF255,UKF259,UKF260,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,-0.03248969697613337,,,0.0024556339117253385,
BMP1,0.09254445757331728,0.01396373789771126,0.010450849750740515,0.00019381386552984908,-0.011105014529731339,0.04399332982199186,0.050041985594274085,0.05973243186828847,-0.06652575443892277,0.06384138661029505,0.014114794071767005,0.08333694886450109,0.031907165701191294,-0.01448600127353103,0.10022587609430617,0.054157207443152874,-0.03676961076611088,0.11665782697800682,0.059687092205589265
NDP,0.12510890875368705,0.0016495561193310604,0.0333076800534359,0.016520291318052212,-0.035376971171967884,-0.020110596990679724,0.07081548630608774,-0.012216741388136453,-0.03554185559025446,0.05187154791380483,0.09617099961505492,-0.027219706620253758,0.06681308375346869,0.12227655747207661,0.06264491958315885,0.03608667960024227,0.00456095954465561,0.0791489314523013,0.028789794477378568
TNFSF18,0.05759057481135626,0.05665003216915335,,,,,,,-0.02773832012750931,,-0.03385525609770325,,,,-0.03350605101465726,,-0.03905559854773473,0.061590479066329244,-0.0013694990161834827
IL36G,,,,,,,,0.00017931219320900695,,,,,,,,,,,
RTN4,-0.09875807921545922,0.05240085957969991,-0.05956674721784322,-0.03700725718972063,-0.0431571351911547,0.017035666001440523,-0.0333436075133816,-0.037848908938291875,-0.043565523895511535,0.0188973694870689,-0.07595193199106497,-0.05833818377936968,-0.0910805427963773,-0.058852797480524424,-0.10813386035876123,-0.016459356358760363,0.07614457494761478,-0.0658774668569034,-0.11774176156206664
HEBP1,0.08993602305336622,0.02018575340786219,0.048070287716692126,-0.028514456190921713,-0.050289672303650466,-0.011576089311852243,-0.019095712856344295,0.026068794830769865,-0.009874636140786004,-0.05723053021861568,0.051807438422784874,-0.03976772102497668,0.010977198972265694,0.02463209271870891,0.009863264193566803,-0.0021856290973830458,0.10384036576586887,0.05494550222694365,0.02205722955523291
WNT7B,-0.06014478129094419,-0.02041793616666549,-0.02871163591322174,-0.0035216828036277827,-0.054551376903780806,0.010449445251290095,-0.008455740389352982,-0.020208321727183596,-0.03053718305028278,0.13332777992770178,,-0.03046731953947147,0.0395080021540978,-0.003823348357764254,-0.025488286025805496,-0.006531741380679065,0.011362340264430285,-0.0008009734718255213,0.1364917240874358
PTMA,-0.10212189731840704,0.06031107589245968,0.0849074316392843,0.050293001527895384,0.007633819720337567,0.023905972662311335,0.07999090356396912,0.010864331786160078,-0.08073130675674563,-0.07252351043736448,-0.035686737835892095,-0.057952788720836375,-0.037847114578019855,-0.07429399435184783,-0.11747997932171496,-0.07052751952080935,0.024160652824129315,-0.03994101919527211,-0.014420844554228401
FASLG,,,,,,,,,,,,,,,,,,0.05590555885043619,
CEACAM1,,-0.054013014275850084,,-0.02719002325004816,0.023312457072017494,,,,,0.047967062195872844,-0.017346075214887603,-0.02732358016866472,-0.027117518442151097,-0.019813692900437427,0.13567355462784264,-0.028071646990520383,,0.029427233845346554,
PDAP1,-0.03200523691308354,0.075346388113116,0.001595045419184281,-0.031471825752983976,-0.030003266398851265,0.07784264627863434,0.01598506397491024,0.07002066781105111,0.023909348241311402,-0.16997643031138882,0.06257082041443429,-0.014469512959720127,-0.04785569334927679,0.008295410545105433,0.017455105548545468,0.026192779042756645,0.025930434400743822,0.07002993039928618,0.04975356822720456
QDPR,0.03717985450519201,0.035170762795482535,-0.0036014215099402433,0.004791634126834365,-0.012846328280610733,-0.016575175345956445,0.06407492985143136,-0.0053957208040251465,-0.029615066012487777,-0.025946741358267137,-0.00730510577471408,-0.08004985411731319,-0.0014497653508785333,0.10424765800652412,-0.05825489787574388,0.032313386082444884,0.07177933700851544,0.050595124737749894,-0.06352007221855739
POMC,0.040911915672748406,0.03644732308439387,,0.05990929893371075,-0.020589608896779875,0.011324404102327223,0.005485238965613264,-0.031052853132199423,-0.04150073426795812,0.003161493494255192,-0.023625275807103635,0.06177669713833644,-0.048216895582352697,0.13345635916849527,0.028250433430594482,-0.030053899273024234,,0.0356723167218033,-0.026991914833759678
CCL18,-0.029861520754392225,-0.03590073277538861,,,,,0.09274519396851748,,,0.03686250876942613,,-0.019372867582335404,-0.009476865499418745,0.010233613712911153,,0.047412509048638474,,,
