,UKF259,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH916T1
IGFL3,,,,,-0.008246037337397353
BMP1,-0.06136030787153904,0.014004719688809019,-0.0044609774870315085,-0.0080536727480643,0.02981787351851336
NDP,-0.06495049845470896,0.02231738150125615,0.0682482116386833,0.05466970315224682,0.08270082291996016
TNFSF18,,-0.026346366736821378,-0.04352269688758497,,0.10274164177952942
RTN4,0.013640842263897252,-0.043930871868950484,0.037141038632621644,0.03990657044643895,0.03218015866715611
HEBP1,0.018255925929397412,0.040010380321805615,0.01823011530437797,0.052675306857415706,0.07699925057619554
WNT7B,0.01621440348322856,-0.029004778229316575,,-0.002087047854714754,0.026335317998733933
PTMA,0.033723160548916456,0.04089252438964554,-9.519771546406277e-05,-0.06762475505644662,-0.05842665190949449
FASLG,,,,,-0.021698592691921273
CEACAM1,-0.014252262236734922,,-0.030603842339149787,-0.01735358435358904,0.041524994532425565
PDAP1,-0.02226874578306858,0.030981378706880176,0.01456888190923681,-0.01546973399392341,0.0361330387500745
QDPR,0.009694408421377034,-0.08705598285363596,0.04045147381691497,0.05767247440726034,0.009784178346999772
POMC,0.07362039153324286,0.06065411003717419,-0.05488387834060182,0.09000201233237398,0.022934324699759184
CCL18,,,,-0.031756846497691595,
CCL17,0.02288831176950719,,,-0.01231152816177867,-0.01966733709756433
VEGFD,-0.016966712343486373,,-0.01859500083630744,,
TNFSF13,-0.010504576688361371,,,-0.0054843042502506,0.03278685210979317
WNT5A,0.0004738267125659365,0.020020337859313245,-0.0529420392189311,-0.005294506458061674,0.07735722981331658
CXCL8,0.060635139310847234,,0.035165744333726295,-0.08935523818811392,-0.024586698130628443
GRN,-0.024028425563379915,0.014284581014890088,-0.07382964900169117,-0.03265857966445519,0.007182065199462007
MIA,0.013254724975374117,0.08211969214581501,0.16657302602543886,0.05508890924609939,0.009436732298693
COL4A4,-0.036703783550464684,,-0.003089611935244765,0.01927416574686534,0.08449743131669775
TAC1,-0.02398778844897266,,,,0.006059773859425433
RARRES2,0.014567389788491964,-0.09085076277755064,-0.027833807251097957,-0.03415442033179829,0.047131064466782085
FGF7,-0.016281887833619158,-0.058364673522836925,0.05602988358853195,-0.00959390095382004,0.10485814555937943
HBEGF,0.003402053480005352,0.08123296777337641,0.10477855026935265,-0.04247384969990124,0.02068738220092916
CSF3,0.013135481137116543,,,-0.0589032768915942,-0.020706671918883295
PI3,0.06491296890202455,,,-0.10191103526218158,-0.035832741229694584
PCSK1N,-0.012030689968859462,0.01498918051464257,0.036487114727101,0.05782288460863573,0.06894609026796238
NTS,,,,-0.02872151361857967,0.0659852151229445
SFRP1,-0.013287832111720788,0.0430169693726234,-0.0005765766663224012,0.0931634068422216,0.029479810367018765
CXCL13,,,,-0.02765421646830335,
MICA,-0.009752612138904325,0.004044166129171586,-0.028154652906971583,-0.06107617228206541,0.04005644880031463
TG,-0.014339676096175829,-0.03376409919541789,-0.03474166464419241,-0.01635894286855427,-0.030101971900295593
ADA,-0.044866387078509255,0.032366190412746666,0.027383392928973613,-0.05711104042093082,0.04013656184579042
LAMC3,-0.033229266408170005,0.057297947712691026,0.007037145386050386,-0.02774508474194833,-0.0156557155321747
CCL7,-0.010367562906614386,,,-0.018452142899608875,0.05350027742894927
NGF,0.03868085495168999,,-0.008268053562654113,-0.0213107478433185,-0.015355823783888244
TNFSF15,-0.011544788367521387,-0.031121952322083476,-0.02476019071836654,-0.017988767330174932,0.06560158177420862
HMGB1,-0.019142266448481476,-0.0008965961173699844,-0.07025703260217767,-0.038074197905808765,-0.060098885208587804
ITGB3BP,-0.022939858022640893,-0.024403036279366838,0.09557500171006518,-0.03546682983161046,0.05849695123248827
AANAT,-0.010504577809494847,,,-0.016187735870515554,0.04858052013519766
RELN,-0.018233594629168084,,0.04328814951968915,,
IL15,-0.03646107702735274,-0.053124802114842155,0.11839866487512175,-0.029656595353582678,0.05962057668343952
UTS2,,0.02432030346225963,,0.04976021339553998,
BSG,0.022270113005820425,-0.03589446669068775,-0.06855888473439953,-0.021533930213771587,0.056470424141758006
ADAMTS3,-0.005110920533180657,0.10371697640387113,,0.02219701844158724,0.010970013231885827
CD34,0.008741524101075225,0.12009463799961095,-0.08139238328016997,0.01726327240200802,0.036532765458981896
CCL23,,-0.0038634310269737796,,,
PLAT,-0.04647369179153739,0.09795572765459287,-0.004751670403684788,0.10526677472187367,-0.006185969412787862
NTF3,,,,0.03249676259035374,
LTA,-0.013287831490095114,,,,-0.0031705301780968163
CKLF,0.009310800142699907,0.054549829779773344,0.04864927192059314,0.007491158470558822,0.04689266623522237
CD24,0.026947124627053017,0.02640279385963859,-0.0470402054048767,0.04357908775263543,0.008149060977341825
HSP90AA1,0.012796863575122016,-0.030867595800179136,-0.042835718329248755,-0.07556867891044036,-0.09150517875144516
BMP4,-0.021914684393996856,0.010126421888701925,0.08374964162888036,-0.022752537734075543,0.0068465968887185995
SCGB3A1,,-0.0362412005814322,-0.04464149748880065,-0.028084941555418002,-0.003914355601893471
IGFBP4,-0.00971911657506582,0.02462603445061009,0.04546947122222003,-0.0117106754362831,0.002068458709337957
RSPO4,-0.0058399393774407286,,-0.04081812315242913,,0.10823008183712081
LEFTY2,-0.029690503827509325,0.023925827216643134,,-0.015663779781595184,-0.007548315139034909
PF4,-0.00904549438285264,,,,-0.017545542555576187
ANGPTL2,0.002211533431282336,0.06171976021698524,-0.028726796573293766,0.0968126622917491,-0.03125462750817073
LRIG2,0.0024369324191969976,-0.007934686829615744,-0.04613997912304436,0.025535379569152476,0.06622062448469812
ICOSLG,0.009506276615690569,0.047478541614690756,0.028396537914292516,0.021322485079645584,0.07482818854232169
NPPC,-0.014031792464840986,-0.025946726149862327,0.011013357990286396,-0.027545721806929775,
LYZ,0.016715593104705603,0.012605223206236981,0.09920881274486942,0.009116790011417414,0.00583760051084783
EREG,,,,-0.025161817825220516,-0.0011376992822862216
SPTAN1,-0.06529228102614573,-0.05384358181845543,-0.0022615630603836697,0.07080685516627364,0.0029383447524029814
