,MGH258,ZH1019T1,ZH1019inf
BMP1,0.016775203316644893,-0.030193018418745107,0.0426002995998749
NDP,-0.0012934056663170936,0.03616201486953198,0.0364942034751619
TNFSF18,0.07892868482088995,-0.017592187988458113,
RTN4,-0.003973092163140991,0.015675203031476216,-0.006073060966169709
HEBP1,0.014432701674870365,0.07951654201279965,-0.03477819252436885
WNT7B,-0.016985059130459317,,-0.029509574935334723
PTMA,0.05920071964997088,-0.026133123606851365,-0.10757396047292353
FASLG,0.0930096651083996,,
CEACAM1,0.1545705167963048,-0.057834755850776395,-0.02646465946714605
PDAP1,0.05473597302601811,0.03205114256782855,-0.04664508601897987
QDPR,-0.003216653706546072,0.04565105441660382,-0.06519029577624288
POMC,0.021970943538578272,0.043564642994945356,0.0190850995229068
CCL18,,,-0.01876387868294766
VEGFD,,0.1160844620198341,
WNT5A,-0.0013700776075436629,-0.02295156589169085,-0.02203826704275189
CXCL8,,0.07359511046893523,-0.033036762667057025
GRN,-0.03547485126531076,-0.08749277631824527,0.04837772451376034
MIA,-0.022231983688769122,-0.025017128763869703,-0.01278013670769499
COL4A4,-0.019670773652378605,-0.02986849650043517,0.1773720596869044
TAC1,0.09276824219522961,,
RARRES2,-0.024884557652358048,-0.04144649712368619,-0.02227658999538571
FGF7,0.016511063733283465,0.09079123970494807,-0.0414656804131263
HBEGF,0.027535773127888463,0.04769607450031671,0.07029816146398582
PCSK1N,-0.028989845890802026,0.00040956148497057804,0.010629357097570418
SFRP1,-0.024713683614584363,-0.005643962285800714,-0.03155104584041615
MICA,0.07895785086816148,-0.04019843285143624,0.09600809378989397
TG,-0.019670769219494025,-0.023309450490666524,0.016299566391967894
ADA,0.03331742558373607,-0.014571276152202283,0.005506471226375828
LAMC3,0.01012535995230954,-0.03333269567849422,0.06942756216653867
NGF,,0.013382072180061629,0.047796418888443944
TNFSF15,,-0.05615731776255901,0.07321418941985826
HMGB1,0.03935736242719119,-0.008880817015925026,-0.03534666989239993
ITGB3BP,0.031199499496511653,0.05596348717244727,0.009501095367814448
AANAT,,,0.12129770063849189
