,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.028091836597957665,,,,,,,,,0.1053008369767061,,0.039451021085187846,,
BMP1,-0.010414840044168384,0.031742919110709394,0.01642257749089899,0.0919413056182995,-0.026976839487607707,-0.037044327649535885,-0.04021332097382629,-0.04838216769360192,0.0007325145948078991,0.06102988038063298,-0.0016885588796477244,0.03901509706904893,-0.09451824541716766,0.004545198079317725,-0.0754103082893458,-0.026487698632803706,0.037116604229505856,-0.04238081818197072,0.04383513482609178,0.003003437046910106,0.056502311442834324
NDP,-0.001226188930347097,0.04560336720672598,0.0550148116752243,0.044759673408711315,-0.01992162470496447,0.021436639326791917,0.0466692068822126,-0.05254972893649067,0.027780956476589288,0.006352928738382958,0.04878447038180819,0.022816985997634938,-0.011937119148584493,0.0728342109721198,0.03939943848814174,0.071149015797471,0.037758831639877886,0.011839731803114446,0.15757871832657988,0.04980276874545792,-0.1006847824217002
TNFSF18,0.035128098993226345,0.15403368976635198,0.019638763489785625,0.05600141499339172,,,-0.011340808337295729,0.05193616590693052,-0.021679607841608984,,,,,-0.029396002787136,,,-0.027669887754857583,,-0.04364436474506607,0.031287451760427756,
IL36G,,,,,,,,,,,,,-0.01664519329101017,,,,,,,,
RTN4,0.03458129681191145,0.1347546031109715,0.03743425686017856,0.039118605805436774,-0.015393125280761236,0.018947771565321195,-0.05369630112899648,0.06304026996061302,-0.026739867112062127,0.0018644460542085251,0.06834414905692283,-0.02777240157506804,0.14789451217295055,0.06136453601050639,0.013366623471994072,-0.051887581244512364,0.005233723219207789,0.02206010122438986,-0.02294642389224563,-0.07401168702029835,0.06395229626058353
HEBP1,-0.04904957629543792,-0.028677574552901586,-0.03012763702169486,-0.019002046974962876,0.00327194555968046,0.032683780656631516,-0.0021368725232721476,-0.031018357521709814,-0.010720371548004223,-0.04649785258334293,-0.005251790135422408,-0.06887663562450384,-0.0007490745713134782,0.03962792138308745,0.037618893486289155,0.032090424950628575,-0.0648234124208553,-0.015649861990615743,0.12569437575759804,0.05623269388290059,0.08658699035487354
WNT7B,-0.026111432713669197,0.0831257769429048,0.002389977961555868,0.011834484811332936,-0.019993273742765907,0.0515633187886649,0.01255786874190385,0.09551607652761872,0.0070833267851315666,-0.0015426233998649893,,0.05315173035324087,0.056114377463570835,-0.03236212985973635,-0.0006514693707378758,0.0814925553382072,-0.039932871797260454,0.024680551788601582,-0.018173052682588477,0.03292237522080366,0.10075335443984361
PTMA,0.008454036964288062,-0.019152576457218084,0.00447300252561505,0.0016466012975396049,-0.05626923293199168,-0.03951827174543721,0.0494710746718922,-0.05409892606563848,0.005011532125658315,-0.05130305701375883,-0.1226206662430758,0.05684448507054623,-0.15198886828910693,0.01582678730338587,-0.030135492421463354,0.040918590369222914,0.020681829154505973,0.0468248221199212,-0.1113998500304835,-0.07729335824472901,-0.12636190519494828
FASLG,0.0970583952563422,,,,,,,,,,,,,,,,,,-0.03981911258903408,,
