,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.017700311554192598,,,,,,-0.021872562276733863,,0.02015781322345069,
BMP1,0.0275794088628734,0.027414746600101406,0.0342770737858493,0.0685107936532894,-0.029488911054769914,0.028315136763780942,0.024874973006442775,0.08346579558819352,-0.04513600376432201,0.0740427788522453,0.14143274796292146,0.01327082406102756,0.06144538865868296,0.07067052856652072,0.001187081427781624,-0.021721467569155457,0.07753235885594703
NDP,0.04702861249810041,0.04172226853932058,-0.0032727645098520387,0.014607616826003636,-0.03346344472357131,0.05778201079539016,0.036332782505904604,0.020896026432190393,-0.006475811148770011,-0.004872795326685718,-0.02987066761248538,0.02087811812375851,0.025334109553510502,0.01603037962017583,-0.007393871499355572,0.05220617989221849,-0.02823392114692131
TNFSF18,-0.02089569772532647,0.01451914663075468,-0.029677237209638045,,,,-0.014925473014490943,0.15204609023805887,-0.011814521710207585,,-0.005856142862225733,,,-0.022556787402599275,,-0.006478720121165842,0.008449965570431107
RTN4,-0.11138476475595543,-0.0053031368652520046,0.001351562566863927,0.045916848700482175,0.009822367315925583,0.01867516566039388,-0.008059972226326524,-0.09171766400951839,0.00968441366105743,0.004111021846140351,0.007668933899992995,0.01033731577475687,-0.09275720633564129,-0.010714189077499386,-0.037803245666499834,0.01291886039133839,-0.12152405154411296
HEBP1,-0.004979795710839154,-0.019814955609970406,0.04368923798840668,-0.021982422163792457,0.005387624295497409,0.007221455405571501,0.044267598788319,-0.00791053919832497,0.02047752148957126,-0.016252736099726627,0.010077502902492163,0.03570073324987988,0.015136251304126254,0.07916710031211015,0.04041925110370746,0.06689609015484771,0.019223963558466645
WNT7B,-0.018408455224560367,0.016872956244970042,-0.01843457979717747,0.05320083342420476,0.037994761260658025,-0.007754853242270938,0.0007907428640654007,-0.0006467527981433863,0.0009830828412557607,-0.02134442565102983,,-0.004811410964913362,-0.036924336479037895,-0.02616198452429682,0.057234017123399275,0.05668224152580044,-0.021105579453186963
PTMA,-0.008110431961978646,0.04831563917690398,0.024203153865403497,0.003904945123367365,0.0044201681283765155,-0.03182805384895013,0.0841035472423262,-0.08088564346568802,0.032773400712870035,0.009788641969560245,-0.04812582869617905,-0.08153208645299787,-0.10139152860318842,-0.05285368544465647,0.003401984993380734,-0.012200324244335453,0.03637955270896978
FASLG,-0.018408460428583504,,,,,,,,,,,,,,,0.04705895118219464,
CEACAM1,0.01112240762953151,0.16475666978885484,-0.014147431229019533,,-0.03039232068717911,0.03155158970661192,,0.00966978783016557,0.010702427024218447,,-0.03236427428237567,-0.017930259843505297,-0.01788812196556339,0.03104504905209906,-0.015527903390473299,-0.019321782916716032,
PDAP1,0.039586983236380456,0.048819424110694544,-0.041150459901260095,-0.040600765752867606,0.017841060902190595,-0.013689652365684528,0.06477046640194588,0.08599361578936346,-0.05067156341270392,0.014310347797536,0.011293314346020607,0.0025887098775093133,0.03469849765247882,0.021612612399606986,-0.057807871227033084,0.0011618077750912604,-0.05413853575923165
QDPR,-0.1362192965812321,-0.025303542850490073,-0.019003043209447193,0.10999054768442684,0.022310712578387657,-0.04661433466570545,-0.025588628339516573,-0.09267206140802303,-0.0028078614223293946,0.02374747217023489,-0.00607948787460792,0.010036393340707887,0.013773065670025337,-0.07996461157990929,-0.02372201019829848,0.042407220540013245,-0.06761397966084125
POMC,0.01727606081258945,0.017315733862483806,-0.025137728176040423,,0.07712807076144608,0.04050358334591014,0.027193179085566087,-0.04458689950525007,-0.013708636722155417,0.07507970933029989,0.0773284039420728,0.050963511075357265,-0.003969313481223866,0.08224161571347575,-0.02540161011397911,-0.024899711961628636,0.019894757143276973
CCL18,,-0.03438974311844207,,,,,,,,,,-0.03281215557039416,0.033322283879892355,,-0.00867427417861327,,
CCL17,,,,,-0.02791943459095981,,,,-0.014735008789352291,0.09722900269869812,,-0.012720651509995963,-0.025822627063461157,0.02409009660203675,,-0.021224966651520138,
