,UKF243,UKF248,UKF266,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.017771228468736584,-0.015224977065995888,
BMP1,0.05197994752958742,-0.10920884379466222,0.014984757396834556,0.0046864509835273585,0.03638294989478676,-0.047945186327778416,-0.0037239359953076955,0.014335705394912563,0.0012018397705077,0.05369404218593009,-0.0012197040578199006
NDP,-0.045665902525891255,-0.021582282406275514,0.0920026325840788,0.04228939645670633,-0.04014714901253848,0.1226595495592431,0.030978630975043622,-0.10930273620978237,0.016027127265255958,-0.0431613405564415,0.06982513679470385
TNFSF18,0.04241330841566097,-0.03830537047761099,-0.024170850332008734,0.001842902581499396,,,,,-0.018327154239204658,-0.02568181436383719,-0.02481140634385429
IL36G,,,,,,,-0.012934686501652219,,,,
RTN4,0.016328396560957747,0.03429965099980699,0.08997774998844123,0.09936571620758257,0.016421606856759367,0.04608946085675077,-0.022241499162186405,-0.019652412893798158,0.11214085848709622,-0.07267391365381494,-0.0353869028667109
HEBP1,-0.0738132522379775,-0.00505342541849585,-0.023398434376499473,0.010176757908750503,-0.0199335730153003,0.0022184837021947197,-0.0365215977031245,-0.04162893147940983,-0.02308434594168674,0.03555645690914921,0.009665619027482796
WNT7B,0.05063111410736416,0.0708897687256167,-0.01680957958336596,-0.03230880282923,-0.0129133967479235,,-0.01421671107669014,0.08935996347769341,-0.025146397895072777,-0.006660466760269766,0.07814278898217043
PTMA,0.11709366034596036,-0.04336795551616197,-0.019171682628428593,-0.003156991197491018,0.004652036322445643,-0.057899220385346194,0.02021658607682507,0.08196134922004372,0.020048345488516903,0.026685222781617085,0.00579576575407997
FASLG,,,,,,,,,,-0.013204617415262253,
CEACAM1,,0.0030302484436671266,,-0.024646246590115075,,,,-0.044493158179013906,-0.026334207260937006,0.1641352960762886,
PDAP1,-0.11099528522055996,-0.06739191595466484,-0.02019074381319735,-0.03199248101292296,-0.0011133451624604042,0.021542323842919413,0.0012632914283823452,-0.07883562645522696,-0.03356918943636321,-0.03262923836694244,0.02685677718622769
QDPR,0.060134516810830395,0.07657448910647871,0.058473939286695344,0.014352450967308627,-0.01829127621839828,0.02752785110609674,-0.04550879521586831,-0.04533806103946718,0.005800042923887273,-0.005144181927498047,-0.05237100183712482
POMC,0.014822060614080309,-0.03790399444352317,0.013609566295538875,0.0897283415019718,0.1025074009029961,0.0067480662851544205,0.00886023387615469,0.016018398400551425,-0.03626387699683134,-0.02692069434377823,0.027217730405969982
