,UKF243,UKF259,UKF260,UKF275,UKF296,UKF313,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.017543365893099693,0.007820606884138073,
BMP1,0.0342313272565359,0.008108729953149988,0.01016307763602197,0.04995354425114761,-0.017389115504200334,0.0649504270313169,0.03380748566634342,0.042962046654592745,0.0007772766475244028,0.08324556480607798,0.04674012730891167,0.006679949969510116
NDP,0.03438130753574284,0.03959658234429018,-0.04991600669555134,-0.04765795603079822,0.08388987945355976,-0.04939154376244268,0.01939713705863175,0.053550394215286685,0.01916207082039118,0.005745985544076431,0.06741343060964643,0.08639140668830703
TNFSF18,-0.02100098298200886,,,0.02500934392316796,,,-0.08134505042252166,,,-0.018092163586960985,-0.023281566049188275,0.08846304057585393
RTN4,-0.03921904643928614,0.019730903703057724,-0.055922816612125295,0.027817106366268458,-0.06642297871895808,-0.04890120792484145,0.09025033279931519,-0.11106230531187306,-0.02491240368708403,-0.07449906077374997,-0.0026028958669533594,0.05536290450916497
HEBP1,0.01391931375544999,0.07258179426980474,-0.0020283734429030692,-0.021741454191802886,0.03876737390085405,-0.0553849282826089,-0.051977297113629174,0.017752294938753695,0.023875346508992486,0.04477522556748876,0.09811294066743817,0.022056919206354518
WNT7B,0.01782204479989025,-0.00382949684734376,0.0023821077783559752,-0.01782735847686132,-0.01204496433762805,0.0852961709267026,,0.054369424024490735,0.05067418686933412,-0.03783217767828577,0.04593937461220396,0.09328609170937412
PTMA,0.021005814168862866,-0.022075357045898407,0.017553778616124123,-0.00031806806481375513,0.014188777941009902,0.06393266863281531,-0.08841960867842719,-0.10143135212224803,0.0019334033941619626,-0.060975959930522634,-0.08753667304803991,-0.0777715220391617
FASLG,,,,,,,,,,,-0.02183492116657723,
CEACAM1,,-0.03611480711476051,-0.004719067141004988,-0.022552080337346687,,,0.0410644278249409,-0.003580893109364405,-0.014947337387991332,-0.025996550227018998,-0.0029681526372439637,
PDAP1,0.007621237855088377,0.040516591128939856,0.013100812189450216,0.06049773777715424,-0.00394927245260568,0.06623993966728117,-0.02932259011363715,-0.010526839084580351,-0.02308012673002221,-0.00258285995598547,0.0025305911066244276,-0.030215042920702876
QDPR,0.021744681132031637,-0.02311929818016943,-0.02503268851155387,-0.009742779097960926,-0.01528127544290847,0.05861526687554328,-0.09352739992202933,-0.09811889791161281,0.04492614319399267,-0.025521128275999908,0.006553101447314019,0.04220876088808427
POMC,-0.03965336065449473,-0.028462615252161583,-0.06340173348280839,-0.016638025677676138,0.0693184338205938,0.005288375494429743,-0.028503840874276893,0.06385966301041257,-0.035016274804234394,-0.027154171620437244,-0.05537463594343546,-0.04442871148790938
CCL18,-0.006882211334522082,,,,,0.06630985634678063,,-0.027707773039680975,-0.03650040809436376,,,
CCL17,,0.028331236235657385,,-0.01788372247123637,0.026843934347543223,,,,-0.02157741990494491,-0.023129914537186057,-0.019790903547477638,
VEGFD,-0.013650139090240898,0.029630637985840053,0.05648559063621717,0.03969007709863636,-0.02764087895632326,0.07239311674290635,-0.016426139310711026,,-0.014947337387991332,0.12610479488078788,,
TNFSF13,,0.022968191068950896,,,,,,,-0.023453917728158843,0.2042781630783933,0.00758214957163277,-0.02486318325252395
WNT5A,-0.024479334580593377,0.07538240466077151,0.01557049147045882,0.03310651205931485,-0.0026904326366994145,0.09187522161091619,-0.05666744091000614,0.07599042566939897,-0.030593744431193216,0.050710862592694694,-0.0554958370427719,-0.028094660896570416
CXCL8,-0.08100390436962267,-0.055602164624959594,-0.013979906964008157,-0.007623051960085506,0.06910799601645051,-0.02248895153600617,-0.007888764480233266,0.11193887840674055,-0.07248160755408131,-0.032839436677232395,-0.03476193764762178,-0.07325812886256956
GRN,-0.01589293589325522,0.026429336670453656,0.014805640864521775,0.015206693794178714,0.004582453766367655,0.046400731043599514,-0.017095433775251682,0.013920239462777165,-0.026010130990015735,0.04039934468377664,-0.049160170383799745,0.050254855414839206
MIA,0.0010365808955487311,-0.013779644749159048,0.05488509488988483,-0.018954332158402375,0.026686038339621965,-0.02304566678512377,0.057467768086171635,0.0384346700896432,0.06017357449728222,0.05312100205862612,0.05342708357336544,-0.011077821743810903
COL4A4,0.11875788621086279,0.013725416656588062,0.006377035416664399,-0.018671159558585462,0.03621954275953511,,0.044853370479360666,0.0038616814269547997,-0.006940913659952443,-0.035629763637294344,-0.017359623303773334,-0.027788372014380395
TAC1,0.039277948331193725,0.05471866414739696,-0.02083388345332532,-0.011880260647386532,-0.040065461093852534,,,,,,0.007476515105903715,0.05978698584665845
RARRES2,0.020071074349280335,0.08839760571330767,0.045204452849299595,-0.01139348099178835,0.022167017240158664,-0.047543109504777636,-0.0065289956676836056,0.02605901113415517,-0.03583277038058608,0.050980646343435236,0.04998251438198659,-0.017271391684827685
FGF7,-0.0484665969749257,0.03517533988517412,-0.04558569677537418,0.0002250185327764399,-0.01328510059084983,0.005740010267624024,-0.05741056484389859,-0.01106007380645668,-0.004875193898083649,-0.007335301477464917,0.04246495016645321,0.01999994510162219
EFNA2,,,,,,,,,-0.014206443865472148,,,
HBEGF,-0.0767096905752702,-0.017564243628978005,-0.023890378897102084,-0.010733981101861289,0.019431578372916557,0.027526636121546072,0.021112547924926336,0.13390421288231008,-0.027499001364608578,0.07442565412774252,-0.028428118852443767,-0.022974718003990098
CSF3,-0.03194442168400985,-0.04948369863842244,-0.0926445225702844,,,0.00427495675172546,,,-0.06713489587935285,,-0.020836768328267197,-0.029230187927935577
PI3,-0.0378429310682828,-0.06173218376056556,-0.030859299325368003,,,,,,-0.06873086667619024,-0.01965263480317457,0.012696508835443671,-0.017742628649047517
PCSK1N,0.021174428832715777,0.04979423565277804,-0.00015183203221894221,0.02511607983726429,-0.027349655771128474,0.07751492453190109,0.13139496423555538,0.01769402193943268,0.008135066014321493,0.004301115551254474,0.11560747345494309,0.04986171840898247
NTS,,,0.06950940077148605,0.0053054129994882125,0.05334491799235289,,,,-0.017307855986649478,,0.02305905584556858,
SFRP1,-0.024268401232898182,-0.010489983542883507,0.039408118583066976,0.0171613884137342,-0.0153802846891799,0.014967571753924434,0.031307229226597476,-0.0007276251565081272,0.015385108564905813,-0.030072461972514532,0.025523563727652257,-0.00820139627769874
CXCL13,,,0.012150596944463049,,,0.015557766703426595,,,-0.0365004041220973,,,-0.023709653006793438
MICA,0.03151572974153502,-0.003906353939883652,0.036234515800362854,-0.04148445094119494,0.0352990038025784,0.000207857618287081,0.014907204094407232,0.08838323246599801,-0.05037539701186662,0.03732606724997688,0.059590919043985474,-0.029884732925316976
TG,-0.025464802788220706,-0.0078086297343084345,-0.024531248007375592,-0.018017173607238427,0.05932430426054039,0.027499785421410843,-0.06643348733116335,0.08259814148448456,0.05701212809864987,,-0.00037740741760682733,-0.006042922188203819
ADA,0.04519365157600732,-0.02850566342712952,0.04757882912875003,-0.012737820141402643,-0.01586284173666384,0.06810361820047577,0.06687258162214288,0.012672949369452681,0.057858409786936287,0.014715874482999974,-0.04459718137067818,0.008691946540075482
LAMC3,-0.010912694328269516,-0.05616320373453211,0.05390361473514751,0.02670452071922716,0.03980114307670175,-0.004910472714051862,0.027362061672649176,0.06549693471647625,-0.01434798903668669,0.1313635532454563,-0.00630861056807748,-0.05003612666801607
CCL7,,-0.02826343152515551,0.030234815561607228,,,,,,,,0.03709665809780882,-0.04949623193481091
NGF,-0.01840408940021224,-0.01903883511582789,-0.05547341492764444,,,0.06534081935676846,0.013574025548250898,0.014146918925283154,0.043562224883712024,,-0.024263306683516013,-0.01730657687957302
TNFSF15,0.07580020403842601,-0.012863808884489373,-0.006062572047667446,,,0.030773375238022822,0.08843360517347061,0.061413385198897566,,,-0.03267189505775652,0.031249268364688006
HMGB1,-0.010982161267305182,0.04879684706545735,0.06285740691319269,-0.06222456871138868,-0.017765398448436026,0.06638985550180146,-0.06973599223249172,-0.021266668704092186,-0.03656344573068145,0.04657907801875877,0.0172525120623436,0.021589750193281014
ITGB3BP,0.004184079178959496,-0.0003993691445685817,-0.014228930512986324,0.011762464109809224,0.04481304475009742,0.05340934086879204,-0.013559981580552705,0.05087966487082938,-0.0414689336632854,0.05992898761490443,0.014617158265653839,0.03546235652388012
AANAT,-0.032986420201979096,0.014499011469328521,-0.039110060194819475,0.01765478646533119,-0.0314356804464442,,,-0.028858807079146283,-0.019118025689626162,0.005965580557271889,0.014046722191493503,0.14889377941067097
RELN,0.045264496006011436,-0.005661026963560547,0.014518295571454887,-0.02683795871607723,0.03749259352748915,,-0.05832286749528512,,,-0.021865654463680405,,-0.015942532780046394
IL15,0.0060094970546175075,0.028317531537314807,0.11372054880378352,-0.039149658382100765,0.014907417207039128,-0.03822755281141406,0.013749516359276136,0.08932128413875716,0.03631439176409913,0.0656965963867032,-0.02592254226973353,0.044819448566047686
