,UKF251,UKF255,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,0.016552358628369644,0.032229825519256766,0.11123984865416037,0.04662667956678594,0.05178845533522087,0.03616727922397543
NDP,0.048530454448401684,0.008583683977829428,0.04651925254971348,0.0037855806987034963,-0.04189562479596387,0.029585216461432993
TNFSF18,0.02063492698878705,,,,,-0.0060339195593661
RTN4,0.02287936949151522,0.016271309502372936,0.015682007873316545,-0.043017875664120034,-0.09128652274784536,0.011590196143644822
HEBP1,0.05596728706112294,0.02077817430051882,-0.025947257776374282,0.0886528790746091,0.04602377394956324,0.014616203012173742
WNT7B,-0.02322449334153319,-0.019158616108057802,0.0023804516713023115,0.03968882862481316,-0.04512971748242884,0.0010181337722166485
PTMA,0.12868578906498387,0.07347675096947827,-0.12727202507160162,-0.031697863157457006,0.030816037324664296,-0.040132409024884526
CEACAM1,-0.007332306607754084,,-0.023839990569599727,-0.00396991011353358,-0.012764308619175383,
PDAP1,0.08837411249583536,-0.020657965518421587,-0.015620337621458102,-0.004639957499234463,-0.009775841471810428,-0.07650314284663719
QDPR,0.000527757290043082,0.03692813344764023,-0.04134973236337124,-0.019011793546606415,0.014697031250475088,0.02831109031628241
POMC,-0.024736961746664014,,-0.057241449368952126,0.03238667430427718,0.032916114297604555,0.17939389977587292
CCL18,,,0.02862042741666152,0.15658748470705067,0.03801842075839473,
CCL17,,,0.1897115073529592,0.03727635005288429,,
VEGFD,0.032957173027705455,,,-0.03024823654212712,,
TNFSF13,,,-0.03245411954963964,-0.020607166859367757,-0.00047127355429605515,-0.027574668084197278
WNT5A,-0.009789449086578323,-0.0242646616304059,0.06567106269594776,0.05526430012137885,0.024198354558212044,-0.01327968804321054
CXCL8,0.016593159454902397,-0.03277263568485049,0.14643303572459523,0.09741462184299694,0.04687342525450776,-0.01269991683555107
GRN,0.027630986239938017,-0.04643270207818535,0.0026906813299178616,0.028915961529220296,0.15695211376531382,0.045672029883704765
MIA,0.0444337474116848,0.005714019569961876,-0.03273553971808673,-0.04838102753832594,0.2859462835718499,-0.04051562447176058
COL4A4,-0.05368842045917126,0.023353583919958728,-0.01097283348190211,-0.031687230049283366,-0.05427555551920672,0.03873234011368692
TAC1,0.01889756452095069,-0.042706371858496094,,,-0.03496625448907229,0.00436920599236555
RARRES2,0.03340591178691636,-0.061248882301257246,0.09417797831948357,0.02590294130068779,0.12118698486153066,-0.06210728158553402
FGF7,0.098609371512586,0.07469405624516615,-0.021931308156205587,-0.038709367052701366,0.07146038866821508,-0.04129881696749834
EFNA2,,,,-0.028748924528223238,,
HBEGF,0.021488027763667556,0.0029086271064122484,0.06223925799316806,0.09075783900185047,0.09291662341403284,-0.038268028009275624
CSF3,,-0.039472101595445896,0.16286888951261058,0.0841658595085065,0.06480351029150391,-0.03241792179083555
PI3,,-0.052436179354483387,0.0763634499683825,0.07894787349224873,0.21382969976658336,0.01844188828950957
PCSK1N,-0.052869100072713865,0.04494601926518697,0.009659793104045465,-0.07636535592747266,-0.025842248586616778,0.023179369900051917
NTS,,,-0.003604278197736523,-0.03502510904329017,0.021406324859273882,
SFRP1,0.008863945731786397,,-0.004178242371877713,0.07225241226437813,-0.07054390666447713,-0.04044396758555555
CXCL13,-0.022797937304893896,-0.03715917069096639,0.09405342366274706,0.04394739095989453,0.1797228116329639,-0.02629533818793903
MICA,0.06551382309265795,0.03393347799604747,0.007330530522584192,0.021559198658302983,-0.03622566740362037,-0.04892234828756974
TG,-0.01789658939258974,,-0.02247357293850916,0.004010294383143654,0.004501507904144005,-0.02897759875988071
ADA,0.0069886094654731355,0.07177094345851313,0.047384169849056364,-0.05409038604227176,0.00843371050808193,-0.002951840625701478
LAMC3,-0.00025838817348508423,-0.05933188888612137,0.03628853595115309,-0.037841648783098106,0.014606091403803931,0.013875556925842317
CCL7,,,-0.025349167281663237,,,-0.03636985490627381
NGF,,,0.017529354813102065,-0.028362490615790662,0.10199977568687627,0.062042047129565486
TNFSF15,,,-0.0247125916336356,,-0.03144160767629336,-0.035878401383799025
HMGB1,0.05256818253622457,0.008925558853628463,-0.08372142666235245,-0.010865030666247997,-0.008584179937586395,-0.004819324454421976
ITGB3BP,0.09390057371504426,0.05601762516245513,-0.032412557017490205,0.025898210510768408,0.07586158219213193,-0.020388254326511104
AANAT,,,0.05556404623636866,0.002997103137394281,,0.005088936186880895
RELN,-0.00378502309270615,0.0023414316594758925,,,0.003682551284422328,0.025926716603530877
IL15,0.006278378547960566,,-0.040741609292354826,0.022025149129276878,0.025743878138831364,0.007454496621978643
UTS2,,,-0.018937601630534207,,,
BSG,0.03164600457715743,0.05324964711426399,0.11573428251527948,0.09802273994208503,0.0862496200729746,0.011118923991896495
ADAMTS3,0.0043413331464148925,,0.006277057593150876,-0.06934234260485861,-0.043329157274105516,0.06587501332277587
CD34,0.04830578560635821,-0.036540083352985864,-0.013892273736967406,0.00960970093361751,0.021466138282272566,-0.006036325188455278
PLAT,0.00024020026916547586,0.015056500396143925,-0.010212832503117568,-0.047527779490723815,-0.055635910970592777,0.0782324299553243
NTF3,,,0.08214838585963809,-0.057274576586182506,-0.04166950984684701,
LTA,0.05491187590211396,,,,,
CKLF,0.07194529215356553,0.005592130136786231,-0.08951900701227632,-0.08456407167744745,-0.04754817396288817,0.0012074511327611875
CD24,0.0965826851393307,0.08264639473172143,-0.05741749539146601,0.01932172900715375,-0.1161533407596208,0.018982311778337257
HSP90AA1,0.08604467021347204,0.07984276983033338,0.08286719833938277,0.09752838746955358,0.056054925119818334,-0.04197297502156529
BMP4,0.026167111887355446,-0.024153838111935423,-0.006604894401694508,0.026504464104885675,0.007019853734423768,0.022193338183253232
SCGB3A1,,0.05769840050063878,-0.03858250423581516,-0.023757221330340854,-0.04038396532294391,-0.03977684725312463
IGFBP4,0.02135400428309849,-0.03404739031270853,0.03151859793935048,0.0360918317708213,0.15633017598459797,0.032809045681842966
RSPO4,0.029334550202475256,,,,-0.024452797704651405,-0.024959882599988638
LEFTY2,-0.03382361804115107,-0.03303515906734033,-0.021518572455625575,-0.03305609796998917,-0.015999146078998046,0.026974388803372596
PF4,0.012275362866381284,,,-0.026350379710884525,,0.006766588261546448
ANGPTL2,0.05466830472009846,-0.015643618385513754,0.010108293812070897,-0.06818043628568651,-0.145039350673669,0.05167857188714263
LRIG2,0.05693305233932278,0.07210220045048049,-0.01645358422034983,0.014408486944346119,0.009688954773280222,0.07471401555690664
ICOSLG,0.022993783972005927,-0.002802007967691321,0.02162618244579779,0.008194873047618867,-0.01767081311897303,0.09143151716443056
WIF1,,-0.03450506872756912,,,-0.0023741698387744633,-0.02165795181741787
NPPC,,-0.0003406113083019384,0.0356859496808856,-0.014577395878025652,0.0838565525920201,0.08172812430699931
LYZ,0.01051965341995622,0.00515204069478071,0.024970204934064343,-0.014036086880812882,0.050799787278240936,0.0822751818531303
EREG,,-0.019376009692362518,0.1457921692356511,0.06165182409118229,0.08565400811832623,-0.02251070622250318
SPTAN1,-0.03523446846690077,0.02214530731966557,-0.04000615459590099,-0.0793765060938854,-0.11001503529626423,0.04305476804595329
PTH2,,,,,-0.005217166526764174,
LIPC,0.005595460940741307,,,,,-0.013789145130947556
COL8A1,0.01764725778899558,-0.04637981381450943,-0.013863343110059313,0.03927683663461632,0.1210163896255733,-0.05158264654138982
GSTM2,-0.010782930798384174,0.011579713041454222,0.03301080520278264,-0.058308266912415634,-0.014446301753226446,-0.046868964480582094
SPX,0.01784047262204248,,-0.02555819814766412,-0.032717364479367086,-0.10109847493294036,0.043981426029092274
MFGE8,0.03877633854337886,-0.024030705121240024,0.027243861617769254,0.01739235664790185,0.04475075691447203,-0.04321176911153108
TGFA,0.06958042405368775,0.0026617403745136446,0.05560104836443585,-0.04789801106402418,0.05701722690412634,-0.08726295099171394
SLIT2,-0.02310544910146191,0.013070254219241363,0.04983684961164934,0.05661347323822557,0.06590588832884793,-0.004086091834870911
PLTP,-0.06897521457130384,-0.005162975411318285,0.02478247983694199,-0.009661938222933835,0.20345758971290342,-0.008758629201398931
APOD,-0.0709230957428518,-0.06952084831823967,-0.008787893464989673,-0.11922516025020145,-0.10322027207449684,0.03920947656545076
B2M,0.0016113839241506315,-0.07080111627428276,-0.006969120788620791,0.041691113174796735,0.1471029038359223,0.13300193809408856
OMG,0.028115675333721647,-0.03961560887621043,-0.07448006451822689,-0.0683326605351839,-0.04285913907873546,0.04617366494467045
