,UKF251,UKF259,UKF260,UKF266,UKF296,ZH1019T1,ZH8811Abulk,ZH881T1
BMP1,0.009566718040680117,-0.03262036591259804,-0.02454345191167424,0.12751549258310454,-0.0050390446455294375,0.0021536382719994614,0.007099968605384797,-0.0011741149880198428
NDP,-0.06357270338800022,0.04003184469902638,0.06048007128148959,-0.026670340091029577,0.012692452897637239,-0.08000851520700515,0.003925121227447909,0.044808965041843174
TNFSF18,-0.005438866869225714,,,0.07535086927842653,,-0.04957570243051725,,
RTN4,0.019275600688266097,-0.006239072879897122,0.12069521995739382,-0.06281657864755237,0.0007555844481642904,0.01884323643996219,0.09550683396319144,-0.0006996640943542084
HEBP1,-0.022840509001475266,0.02019047223276426,0.02377161319497183,0.03339211830963186,0.000588135310599689,-0.052491206457626706,0.06246250244293685,-0.004079458831039782
WNT7B,-0.01823866055131183,0.025695797417045266,0.01368243781646915,0.029352057244144893,0.018924402130550227,,-0.03096922485684337,0.051906048176372795
PTMA,0.03459679971848113,-0.0016553955063874594,-0.05867342081974848,0.08565603771607377,0.0374088036598843,0.013152286636517655,-0.06960374292016677,0.01840801510414433
CEACAM1,-0.013997074991566815,-0.027750786178874436,-0.015405851702530074,,,-0.03486013251786667,0.03263518931839646,0.03600203002855591
PDAP1,-0.00161340810085892,0.026876877602835237,-0.015742068804106415,0.09015321744531155,0.01225211516963044,-0.05376941176217141,0.05397220883285028,0.03953355871638738
QDPR,0.01796614216685281,0.006344709751945679,0.07676199224637277,-0.06857953506288708,0.06654526352443993,0.003454117218667096,0.04952465103032951,-0.011074883947459195
POMC,-0.024870569130311625,-0.02584265803694478,0.10098305329737119,0.020473541642466002,0.00581775545498059,0.048847525124835436,0.04694046560112967,0.009214201508198393
CCL18,,,,,,,-0.03175684612013886,-0.003299398121512959
CCL17,,-0.016084698902694268,,,-0.02021059817796913,,-0.012311528015408624,
VEGFD,-0.003905788590839191,-0.0018142842790930406,-0.014739446658026633,,0.13800497983273066,-0.047391586239098164,,
TNFSF13,,-0.011094865316887238,,-0.015634193145852394,,,-0.023623973041690675,-0.02817092599644442
