,UKF248,UKF255,UKF259,UKF266,UKF269,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.010033190590662046,,,,,,,,,0.019473950211494152,
BMP1,0.08070377065436081,-0.03398722355832502,0.0031084883874071306,0.23967431964614785,0.06278706772851385,0.03387291443073267,0.13710081076252545,0.1842929838493544,0.06803521250889717,-0.11613926542469295,0.11351879515469974,0.054482731791238526,0.012097359285653817,0.3380999970898977,0.1446206556084717
NDP,0.06517785008086284,0.006503175911565402,0.005983787675520584,0.0008446821250933039,0.012291267473480912,0.01383589452335157,-0.002315320554337708,0.13449095802128636,0.06895570370244829,0.0658471443820156,0.06130297694931496,-0.02263812280997052,0.03471401153518459,-0.04882182849827946,-0.012543799823704977
TNFSF18,-0.04797211698225904,,,0.0516545362845985,-0.02232144701007548,,,0.003551598937462976,,-0.008254731849377838,,,,0.11029762566805772,-0.015677210002346093
RTN4,-0.02687134339836102,0.04146440280163067,-0.010461507970932515,-0.16256097497642286,-0.09368151660757516,-0.037156393526680535,-0.018974750700710603,0.008721054009195074,0.0419450996054492,3.591657497589751e-05,-0.0953689368175602,-0.08904243069890408,-0.04859489380643273,-0.07288521191080645,0.020650608637608196
HEBP1,-0.0423208528852817,-0.057205266154465265,-0.042804745282194245,0.0575116158643004,0.02463564120115765,-0.004336092372679458,-0.004900097472100396,0.06670111681630594,0.022838676899563738,0.02772521194487441,0.03304998471639952,0.0017503063917622397,0.017826771592386218,0.06538999959056184,-0.04089309668543959
WNT7B,-0.004750327933836616,-0.015007624542341247,0.004144533079035775,0.04342330257063156,-0.02009652916583809,-0.04643368592261589,0.06107940739143978,0.08182493665085487,-0.04942071885178846,,-0.05397811177653873,0.03269301479335138,-0.031638407458807125,0.06123569281976999,-0.028512352258873122
PTMA,0.015709971325536625,0.03688571137881241,0.0037296526579095606,0.20607565306784484,-0.028502354101507695,0.007780237863143444,0.17156969068505212,0.11824851732001614,0.133473854683204,-0.07568604289551821,-0.19536436071472604,-0.023986117734691392,0.03486668558941666,0.22392567231442695,0.11853066189561356
FASLG,,,,,,,,,,,,,,0.03005213278712214,
CEACAM1,0.005681109597861877,,-0.026274336277351644,,0.07770610774716345,,,,0.019765208330904394,-0.007982065928102931,-0.019497420717089625,0.058668585921242106,-0.02099887116993099,0.05270818319347565,
PDAP1,0.007121182831506248,0.002885767414034426,0.0368916166198828,0.06342954589988667,0.015719997645537144,-0.00682484866988018,0.07705330402378846,0.07484346407015811,0.14742095989710502,-0.075306093864149,0.05137176427325942,0.019172789698215936,-0.0006865703606318138,-0.03521874424862961,0.02202965157926629
QDPR,-0.008135026443429066,0.076360002989782,0.041948615517121604,-0.04592268294305984,-0.11535887587124702,-0.018914160493739122,0.11262089488457881,-0.018975821594956338,0.10425299005851418,-0.055821719282855266,-0.15336088283743554,0.054595321126299445,0.004563140775084453,-0.030944530672748424,-0.08562784348508595
POMC,0.05067263283940149,,-0.012569229727215893,0.011486038068555127,-0.026178781166675314,-0.009444896917825846,-0.01072186921087422,0.04137881332629991,-0.08309711400099953,-0.009286523552277886,0.04543418548337547,0.07804555302639721,0.00939235950539348,0.04609465759759709,0.022177972212709427
CCL18,-0.041115383474697856,,,,,,0.08129376223186462,,0.04529119193170653,,-0.06452532642808705,0.049476495684746095,0.05071140957226959,,
CCL17,,,-0.015228930278417046,,,-0.021222549904238126,,,,,,-0.015296643268464643,,0.09360826499146555,
VEGFD,0.013189469499010242,,-0.016966710056670317,,-0.025181930850596196,-0.008343536315205529,-0.005272881724765623,,0.026794466511021246,0.023701087168665248,,,,,
TNFSF13,0.005071175837430066,,-0.010504575272528172,0.08476731149673662,,,,,,,,0.02982224342120678,0.056093447328760836,0.14953598693284714,0.06832303294331059
WNT5A,0.05210897004045064,-0.03447244619511948,-0.023581635499046086,0.179970687118823,0.09272069432180034,0.048877442808625236,0.02842375444977723,0.06558338688258539,-0.04956610307498384,-0.10877483058669128,0.04060381187166836,-0.010353417884150895,-0.00893744308640998,0.09270232530732278,0.04094075498622181
CXCL8,-0.03191036953155302,-0.0720936727433163,0.0052615416986461746,0.03034628824544472,0.02708734362771409,0.01613587690912623,0.026965730908873616,,-0.11983661618044217,0.04676910878125892,-0.04365307396684745,-0.018029090981703765,0.029256929581556193,-0.07354809371767859,-0.05299889221156048
GRN,0.10991458489246843,0.04557277163837853,-0.011420988557566259,0.11729324616882889,0.08264250693930941,0.0012103100468437147,-0.0068150216439781105,0.09166831885198912,-0.012076286171583694,-0.010157641203076296,0.04778685565410219,0.05506752281617025,0.08091807314339897,0.22684389320775458,0.12935572047340696
MIA,-0.011534242756189422,0.025161180584791987,-0.032067018082415355,0.05800292864179061,0.0774062893848934,0.007943294621540524,-0.040489673086742985,0.20818179924005759,0.0013186632403425647,0.019153048814659145,0.08633118748631151,0.007188938113947458,0.03005082972035651,0.01852449134823637,0.12641004177202367
COL4A4,-0.06563339978311919,0.053153866018712935,-0.036703778603436654,0.1079190208752074,0.010911382136007657,-0.031196227802443948,,,,0.0038793285916140564,-0.04614191108701532,0.005643765003722518,0.011423583062321595,0.0531031781273169,0.021742677225840012
TAC1,-0.06701046703148472,-0.007653021925485158,0.020706271414011195,-0.16206697317416588,-0.044190651560763204,-0.021738435343517673,,,,,,,0.007595510113916544,0.041367823671747725,0.06386756104768324
RARRES2,-0.055586495474170626,-0.046051348684504695,-0.014935672260818059,0.12299698256102312,0.07074830644593513,0.00037568287819965705,-0.10938932819948748,-0.012832683830877318,-0.09656332049232781,0.06449682568450579,0.08901549634458017,-0.025950788299197645,-0.013407546805877104,-0.00995956789880484,-0.11071404223974494
FGF7,,-0.036523828906355915,-0.004956710396509956,0.05691572579009,-0.022499454917196342,0.042353867055225064,0.08404993159452218,0.07396914163266803,0.14244085985666036,0.09948914198792287,0.041814911611775536,-0.030886198426439363,0.03018863466248756,-0.009785126929301774,0.0511193521075657
HBEGF,0.15166135709804027,0.00708099012254041,-0.010142933575973567,0.16555015651514698,0.06702447397702233,0.04287384866892161,0.10914312904169314,0.17242363666266905,0.10751581730525066,-0.04187267156627069,0.13062767811730652,-0.0022559386975932205,0.019712424769433818,0.13379543722944526,0.10620064463844822
CSF3,,-0.00999743655081705,-0.018151557035186502,,-0.015671348015910472,,-0.0492348657615976,,,,,0.031990260306337386,0.021388701809363586,0.06735632681169242,0.016903888134867345
PI3,-0.02312850261890255,-0.026943102631846495,-0.031324107317126884,,-0.017646144705320586,,,,-0.0006233667926203564,,,-0.02486497303106105,0.03599390800146138,-0.10890529898832463,-0.06218696218216118
PCSK1N,-0.015609404632984497,0.03484775475850969,0.030215571135887766,-0.05713522703027811,-0.017242210020386388,-0.02718187162363334,0.06772048681014006,0.026295257560094362,0.1463548425263388,0.03376159568993828,0.01861062522579462,-0.05419371018857651,-0.06319139524258635,-0.1452412854349877,0.01622203143737244
NTS,,,,0.0540716981993048,-0.019261971839395,0.018540604231890922,,,,,,-0.03568547642344748,-0.010081594739387327,0.0019605065189058713,
SFRP1,0.010023475020377313,,0.07304905884486934,0.02634257515371201,-0.027656225170468993,-0.06890353293571334,0.10162608949101024,-0.0007284715782959766,-0.0748964051298066,-0.022671133057272308,-0.032566483564488255,-0.008793949812431106,0.008140178224379914,0.08417965575167181,0.027895669694311037
CXCL13,,-0.020941143489284386,,,,,0.054023769166004224,,,,,0.0662601787554156,-0.0016890596962751388,,0.0036192203626462774
MICA,0.08704478327275267,0.01783122363376526,0.02418152054295041,0.00283915467048361,0.10349585590403255,0.021130125682968428,-0.02174958611296974,0.2048905895313774,-0.07420686872056266,0.008446248188556523,0.07554657484327194,0.04785931376419623,-0.013669609795765673,0.1517738422728882,0.04367947098088124
